date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-15, Technical Recruiter,"Irving, TX",Current Employee ,Awesome Culture & Endless Opportunities For Growth!,Awesome Culture & Endless Opportunities For Growth!,0,Have the opportunity to change individual's lives daily while matching them with career opportunities. The culture is relationship-driven internally and externally - going to work everyday is fun because of the people you work with. Tons of opportunities for upward mobility with various career path options and uncapped commission structure.,"While no company is perfect, management has been working diligently to adapt to changing market trends and listening to new ideas from internal employees to improve the overall work environment and streamline processes. This isn't a ""con"", but illustrates how open to change the company has become.",,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-12,,,Current Employee ,This is a GREAT place to work and have an opportunity to be successful. I really enjoy being around my coworkers.,This is a GREAT place to work and have an opportunity to be successful. I really enjoy being around my coworkers.,0,"The impact you make for someone when you find them a new job is an added bonus. You can create a great life here if you are driven and have good work ethics. You have to give a little extra, but this is the only company I've worked for that actually rewards you for your effort.","While no place is going to be perfect, we tend to follow the old way of doing things sometimes. That's not always a bad thing, but we could look at our markets and adapt to change quicker.",Continue to motivate and lead us with an open mind and keep creating new opportunities for us to grow personally and professionally.,5.0,4.0,5.0,5.0,4.0,5.0
2019-01-26, Receptionist/Administrative Assistant,"Auburn Hills, MI",Former Employee ,Great Work Culture,Great Work Culture,0,"Competitive pay, benefits, friendly co-workers, community and volunteer events, upbeat moral, professional and clean environment, annual holiday party, incentive trips, career training, growth for those who work hard, employee events, free coffee, annual bonuses, competitive and quick paced.",Nothing that wasn't a reasonable request,"My time with Reliance One was split in a variety of ways. I have worked both directly for Reliance One as a temporary Administrative Assistant as well as a contract employee for various automotive companies. Both experiences over the years have been wonderful.

While working directly for Reliance One in their Auburn Hills office I thoroughly enjoyed myself. The culture is fun yet professional; competitive yet supportive. I often saw employees going out to lunch together leading me to believe that close relationships were established and they genuinely enjoyed each other's company. The longer I worked for them, the more I realized this was true.

I often found myself laughing and smiling each day while working with the rest of the administrative/accounts payable/human resources team. We were all held to a high standard of quality work by the VP of Administration, however with her kindness and real life outlook she was easily relate-able making us want to succeed in our department and help the company grow.

Throughout the year they have a variety of employee engagement events: Tiger's Games, Chili Cook Offs, Team Dinners, etc. They are involved heavily in giving back to the community and also reward their employees with a wonderful Holiday Party and Awards Ceremony at the end of the year. I also notice there are many training opportunities for their committed employees helping to advance them in their careers. While you are expected to work hard for them, they will also work hard for you!

While working as a contract employee for various companies I was able to experience them as a recruiting company as well. Each account manager I have worked for has been nothing short of professional. They genuinely want to see you succeed and help you in doing do. The last position I took through them was for an automotive company which was intended to be 6 months contract then direct hire. After going through the interview process, they assisted in the negotiation process after I expressed my wishes to shorten the contact time and increase pay. I was more than impressed with the commitment from both the recruiter and the account manager. Both checked in on me periodically and celebrated with me by taking me to lunch.

Over the years I have always referred Reliance One to friends or family looking for jobs because I know they will work hard for them and set them up to be successful.",5.0,5.0,5.0,5.0,5.0,5.0
2019-02-20, Account Manager,"Bingham Farms, MI",Former Employee ,Successful if You enjoy having no life,Successful if You enjoy having no life,0,Commission (as with any sales job),"- Arrogant senior management
- Zero work/life balance - don’t want to work weekends, you’re not “driven” enough
- Micromanaged at every level",Keep doing what you’re doing. The corner stone of every staffing company is high-turnover while the boys club take turns patting each other on the back for building such a “unique” company.,1.0,1.0,1.0,1.0,3.0,1.0
2018-11-19, Account Manager,"Detroit, MI",Current Employee ,Hard work pays off,Hard work pays off,0,great incentives and good pay. flexible time to work from home when you have put in the effort.,Long hours but you have to have a mindset of you work hard you play hard.,Open up the work from home a bit more and you will have happier employees.,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-16,,"Bingham Farms, MI",Former Employee ,Technical Recruiter,Technical Recruiter,0,"They allow employees to play Nintendo during lunch, and have even seen employees playing during work hours.","I would not recommend working for or with this company. The entire company culture is very unprofessional, often vulgar, and all about just hitting your numbers at the end of the week. The numbers are there to gain ""rewards"" based on performance, and when employees start to regularly hit the numbers goals, the system changes to make it harder.

When joining the company they sold the idea that they are there to create relationships with the candidates and clients, which is untrue. The goal is to send people to jobs to get the number quota, without really taking the time to qualify. This goes back to the numbers game. You end up just sending people to the client just to keep up on your numbers, often sending people who are not completely qualified, just for the sake of hitting the quota.

On top of all of that, there is a high stress point placed on getting ""leads"" or references from candidates, just so that they can reach out to the employer to see if they are involved with a staffing agency. I feel that this is a very shady and unprofessional way to build a ""relationship"" business.

Most of the blame and stress gets laid out on the bottom level employees, who are also expected to work after work hours on a regular basis (not overtime). If you do not fit in with the culture, meaning that you will just blindly take orders from management without much question, and blindly ignore a lot of unprofessional banter around the office, you will not fit in.

Lastly, I got sick, went to urgent care and was given medicine to take care of a contagious illness (strep throat), took a day off to recover and then went to work the next day. I was asked if I was going to work from home while I was sick. Later that week was terminated for lack of performance. Mind you this is the week before Thanksgiving, and shortly before Christmas.

This company does not value their employees at any level.

I DO NOT recommend working at this company. The negative reviews are completely true, as I went through many of the same issues",,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-09, Account Manager,,Former Employee ,Good Ole' Boy Club,Good Ole' Boy Club,0,Potential for high salary (like all other sales jobs),"No work/life balance
No growth opportunity
Old school sales mentality - not open to change",Hire external talent and listen to recommendations that they make. Things have changed in the last 20 years.,2.0,1.0,1.0,1.0,2.0,2.0
2018-09-06,,"Auburn Hills, MI",Current Employee ,Executive Recruiter,Executive Recruiter,0,"Growing company where culture comes first and they truly care about their employees. Their philosophy is no participation trophies. If you want it, you earn it. The great thing is that they take care of us. We have weekly, monthly, quarterly, and annual incentives. As a recruiter, I am going to be getting nearly at $10,000 bonus at the end of the year and I am going to Cancun in February. We also give back to the community and are encouraged to make sure we are their for our families. They believe that a happy work life is only possible if you have a healthy life outside of work.","It is hard work. The starting salary was lower than others I interviewed with, but I am making a ton more money because of the commissions I make. I do work some late nights and even some weekends.","You do a great job listening to your employees, but don't go back to the way it use to be. The culutre here is great and couldn't be happier.",5.0,4.0,5.0,5.0,5.0,4.0
2018-05-15,,,Former Employee ,Technical Recruiter,Technical Recruiter,0,"Upbeat and open environment
Peers and managers were friendly
Usually have fun events","Pressured to compete with peers
Consistently required to find leads for account managers
Frequently changes focus and requirements on us.",,3.0,4.0,4.0,3.0,4.0,3.0
2018-02-05,,,Former Employee ,R1 Overview,R1 Overview,0,"Reliance one has implemented many great changes to stay competitive and are doing a better job at listening to employees on the little day to day things, like implementing new wardrobes, allowances and giving more incentives for employees exceeding goals. This will keep retention in the company which is great.",Very clicky like to the point where you have Directors talking about other employees/managers to other employees??? Seems like more of a club than a place to grow a career. It is to the point where it becomes obnoxious to others around that are not included in click - because honestly they're probably choosing not to be. Favoritism runs HIGH here so if you want to compete with people to be successful have at it.,"Managers should be treated like Managers not children. When employees invest the amount of time that is expected from the executives, than to be treated as if an adult is appreciated and means more than a incentive of jeans day or etc. Its things like simply letting employees share their opinion without being threatened for their job that make people want to work for a company long term. You have to learn to listen and not enforce without consulting those around you, believe it or not the people underneath you may have some quality ideas that you're overlooking. Also practice what you preach.",3.0,1.0,1.0,3.0,3.0,1.0
2017-11-28,,,Current Employee ,Review,Review,0,"Open Work Environment
Friendly Employees
Rewarding When you are able to place people","Never off the clock
Emotional Rollercoaster",,5.0,,,,,
2017-11-10,,,Former Employee ,No course direction/training provided,No course direction/training provided,0,Get to meet lots of great people,"No technical training, just get on the phone and start pushing.
No direction, asked what an ideal company looks like to pursue was answered with we'll sell a janitor or a CEO, it doesn't matter.",,2.0,,,,,
