date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2016-09-08,,"Overland Park, KS",Former Employee ,Great place to get your feet wet,Great place to get your feet wet,0,"Small company. Good culture and people. A lot of technologies to learn. Support from executive to help master said technologies (LAMP, Web Dev, MOODLE, etc.).",At the time of my employment there was not a lot of room to grow within the company.,,5.0,5.0,5.0,3.0,3.0,5.0
2018-10-25,,,Former Employee ,A company in transition,A company in transition,0,A company that is being forced to change direction because of prior bad decisions and a lacking product. RL's future vision is great. Company does give back to the community and charity.,"Micromanagement overkill.
Lack of tools to do the job being asked of us to do.","If you hired us, trust us to do the job we were hired to do.",2.0,4.0,5.0,1.0,4.0,1.0
2018-02-06,,,Current Employee ,Remote Learning can sometimes be a challenge.,Remote Learning can sometimes be a challenge.,0,Small company with friendly and hardworking coworkers. Creativity is somewhat valued as is loyalty to some degree.,The Leadership team does not make the best financial or management decisions. The future of the company is very unclear.,Make better management and leadership decisions. Trust your people and their expertise. Own up to your mistakes and make firm decisions on where the company is headed in the future.,2.0,4.0,2.0,2.0,3.0,1.0
2017-12-06,,,Current Employee ,Support Specialist,Support Specialist,0,Flexibility with work schedule,Remote location is difficult in building relationships with peers,,4.0,4.0,4.0,3.0,3.0,4.0
2017-10-24, Case Manager,,Former Employee ,Small Company,Small Company,0,You can work from home.,Too much politics and poor organizational struture.,,3.0,4.0,3.0,2.0,2.0,3.0
2017-05-10,,,Current Employee ,Good Company,Good Company,0,Definitely a good company. Working remotely is a huge benefit.,There are continual changes as far as the company focus from day to day. It sometimes feel like you are on an island by yourself,,3.0,4.0,3.0,2.0,5.0,3.0
2016-11-11,,,Former Employee ,Great Company,Great Company,0,"100% work from home, leadership that believes in its team members, good pay, and great benefits for such a small company.","working from home can be challenging sometimes, but that's less a reflection on the company, and more about an individuals preference to work environment","keep being great, build business so employees feel like they have job security. that kind of morale isn't always easy to maintain with a small company.",4.0,,,,,
2016-10-11,,,Former Employee ,Support,Support,0,"Remote - work from home position, good benefits, lots of time off.","Constant change, often compensating for lack of sales",,4.0,5.0,5.0,3.0,4.0,4.0
2016-01-19,,,Current Employee ,A Place to Grow Your Career,A Place to Grow Your Career,0,"*remote workspace *responsive team * great benefits *flexible vacation *creative opportunities *new CEO, Ron Olsen is awesome!",*progress can be slow sometimes,Survey customers to always give them what they want,5.0,5.0,4.0,5.0,4.0,4.0
2015-11-04,,"Port Saint Joe, FL",Current Employee ,Happy To Be Here In Times of Great Change,Happy To Be Here In Times of Great Change,0,"*remote workplace
*responsive managers
*opportunity for growth and development of roles
*new CEO, CRO and CFO have great plans for the future","*there have been times of uncertainty in direction over the last 24 months
*would like to see more product and service offers","*keep advancing those who show a positive commitment to the company and changes
*make an effort to remove individuals or processes that no longer share the current vision",4.0,5.0,3.0,4.0,5.0,5.0
2015-10-02,,,Current Employee ,Sales Paradise,Sales Paradise,0,If you work in sales this is the place to work. They offer great salaries and commission.,"Any department other than sales is understaffed and over worked. Sales team makes up products that we don't sell and demands the infrastructure team ""just make something up"".",Pay your people a fair wage so they will stick around. Quit making dumb decisions that do nothing but pad the pockets of our competitors.,1.0,3.0,2.0,1.0,1.0,1.0
2014-09-08,,,Former Employee ,Ridiculous,Ridiculous,0,"Working remotely was good. Good people in the company, at least for the most part.",Very poor management and leadership. Training doesn't exist. No company values equals poor value overall.,Put someone with real business leadership experience in charge.,2.0,2.0,2.0,2.0,3.0,1.0
2013-10-21, Sales Representative,,Current Employee ,Great place to work if you are sales!!,Great place to work if you are sales!!,0,"The sales team is amazing to work with.
Getting all the commission really adds to your potential income.","Management makes stupid decisions and refuses to admit it,
Management wastes money on tech staff.
They spend money on stuff that doesn't matter like server computers and support staff.",Create a funnel that directy feeds the money into my house.,5.0,3.0,1.0,5.0,5.0,1.0
2017-05-20, PHP Developer,"Waterloo, ON (Canada)",Former Employee ,PHP Developer,PHP Developer,0,Great to work for an open source company. I was not aware that there was such a company.,"It was a bit of a commute. I did find my final job of maintaining client repositories, not very challenging.",,4.0,,,,,
2012-02-27,,,Former Employee ,"I've never had more opportunities to say ""I told you so"" than when I worked at Remote-Learner.","I've never had more opportunities to say ""I told you so"" than when I worked at Remote-Learner.",0,"- Laid back / social office environment.
- Work hard, play hard mentality.
- Challenging work, good environment in which to learn.
- Always work to do, definitely not boring.
- Almost everyone in the company gets a chance to help plan new projects.","- Salaries are low (compared to similar jobs at other companies) and inconsistent.
- Senior management makes bad decisions and usually doesn't realize it until it's too late.
- Senior management rarely takes the suggestions of their employees (they'll usually listen, but then use their own idea).
- Communication between departments is horrible.
- There are often key people in senior management that are working towards completely different goals.
- Instead of hiring more technical staff to service their growing customer base, they seem to think it makes more sense to hire more sales people to continue growing their customer base (while not properly servicing their existing customers).
- They seem to think that hiring a larger number of employees makes up for their lack of talent.
- Almost all of the best people in the company have quit in the past year.
- The more money someone makes, the more likely that when they quit, their job will get outsourced to a country where the company doesn't have to pay decent salaries.","- Put more effort into hiring really talented people (instead of just more people in general), pay them appropriately (look at what other companies are paying), and really listen to their ideas. It will be worth the investment.
- Providing the best products and services you can to your existing clients should be higher priority than gaining new clients.",3.0,3.5,3.5,1.5,1.0,
