date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-01-30,,,Former Employee ,Associate,Associate,0,Amazing culture. The communication there is extremely thorough and everyone is always on the same page. They really set you up for success and are a great introduction into the industry. Amazing L&D.,"No salary for associates, just a stipend. Unclear career path.",,5.0,5.0,5.0,4.0,1.0,5.0
2018-07-24,,,Former Employee ,Not Good,Not Good,0,Client management and employees (not management),No cash flow. Underpays employees + payroll delays. Technology is not impressive.,"Pay people. Invest in technology. Less magic tricks, more value delivery.",2.0,2.0,2.0,1.0,1.0,1.0
2018-02-06,,"New York, NY",Former Employee ,"Run, don't walk, away","Run, don't walk, away",0,"You are all in the same boat, unfortunately there is a hole in that boat and your leader keeps opening it wider.","Low pay if any, long hours, little or no direction for interns who are DOING the work, no career path.","Seriously, start paying interns for slave labor and stop lying to your clients about your global reach. You are not the leading expert in Retention Mr. Hecht, if you were more people would stay.",1.0,1.0,1.0,1.0,1.0,1.0
2016-12-30,,"New York, NY",Current Employee ,Mixed Experience,Mixed Experience,0,People are hands down the best part of the organization. It is clear the managers care about us and the client experience. Job stretch projects are frequent.,"In service industry where might not have the project you want all the time. Unclear career growth. People can move up, no clear open positions or departments to fall into.",Transparency on growth and fiscal strength with less buzz words. Increase compensation. Hire more people for improved work load or work life balance.,4.0,3.0,4.0,3.0,2.0,4.0
2016-10-17,,,Former Employee ,Learning comes at a cost.,Learning comes at a cost.,0,"The people, the culture, the opportunity to make mistakes and grow from them.",Little opportunity for advancement and career progression. Compensation.,Middle management development.,4.0,5.0,5.0,2.0,1.0,4.0
2016-09-12,,,Former Employee ,Hands on experience,Hands on experience,0,"Great place to start career and be exposed to different industries, as well as data analystic skills
Work-life balance","Lack of clear direction or expectations on assignments
Lack of interactive trainings to both show the employees what different projects would look like, and also to feel better equipped to succeed.
Infrequent performance and professional development conversations for more immediate and constructive feedback",,3.0,5.0,1.0,,,
2015-12-27,,"Kew Gardens, NY",Current Employee ,Excellent Opportunity In Leading Edge Company,Excellent Opportunity In Leading Edge Company,0,"Exceptionally smart leadership.
Unlimited growth opportunities.
Clients in wide variety of industries.
Leading edge technological solutions.
Opportunity to develop your own role and unique value within Retensa.","Must be able to function independently, in a fast moving environment, with constantly changing priorities. Employees must find a balance between creativity and dependable, repeatable processes.","Biggest challenge to conquer is with marketing, and sales. Solutions are excellen. Focus on having sales create the level of demand that forces delivery capabilities to grow in capacity.",5.0,4.0,5.0,5.0,4.0,5.0
2015-09-11,,,Former Employee ,Great place to start your career,Great place to start your career,0,"-Management will try everything within their power to give you what you want to grow and learn. The work is challenging but it's tailored to you as long as you speak up.
-Get to work with real clients
-People are fun, smart, and friendly.","-They ask for A LOT from interns. Be prepared to work hard and give your best work and efforts.
-Not enough personnel","-Pay interns at least minimum wage.
-Give opportunities/reasons to stay in the company for a long time, like pay and transparency on where the company is going in the future.
-Hire more F/T people",5.0,5.0,4.0,2.0,1.0,3.0
2015-08-24,,,Current Employee ,Great learning/development opportunity,Great learning/development opportunity,0,Invaluable learning opportunity to be exposed to/involved in different kinds of projects and actual client work. The constant feedback allowed for incredible personal growth/development. I would highly recommend this experience for anyone who is extremely self-directed and self-driven.,Sometimes lack of clear direction or expectations on assignments; sometimes did not feel like I had the training to do my job well.,,4.0,,,,,
2015-03-17,,,Former Employee ,Stretch job,Stretch job,0,"stretch work, variety of projects, peers/loyalty, culture, growing company","workload, unstructured professional development, work/life balance",hire mid-level to experienced managers for support,3.0,2.0,4.0,4.0,2.0,3.0
2014-07-24,,,Current Employee ,Great place to do really good work,Great place to do really good work,0,"They hire smart people, and friendly people. Most people worked very hard, really hard. You do real consulting. And most days I looked at the clock and the day was over fast, that's how it should be. They figured out how find people who want to be in this field and want talk about it, and enjoy doing it.","If anyone was not willing to work, they may complain. Some people just didn't want to be in this industry. If you like these kind of projects there is plenty to do, so you are busy every day.",,5.0,5.0,5.0,5.0,5.0,5.0
2014-07-07,,,Current Employee ,intern experience,intern experience,0,have opportunity to work directly with clients,cannot get compensation during the intern,,4.0,4.0,4.0,2.0,1.0,2.0
