date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-27,,"Staten Island, NY",Current Employee ,Unit clerk,Unit clerk,0,"Worked for many years, big family","Stand alone hospital, not really financially stable",,5.0,5.0,4.0,5.0,5.0,3.0
2019-03-02,,,Current Employee ,"Gain some experience, then leave","Gain some experience, then leave",0,"Close to home.
Plenty of staff parking.
Smaller facility, comfortable atmosphere.
1199SEIU benefits.","Poor reputation among medical professionals.
Short staffing is constant.
Management doesn't value the staff.
Low pay. RUMC pays less than other area hospitals.
Building is very old, needs major renovations.","RUMC doesn't have enough staffing in many departments, and very few people applying for open positions due to the pay offered. Rather than worrying so much about looking for nonexistent ""patterns"" when employees use their approved sick days, or whether someone takes an extra few minutes on their lunch break, management should be looking into the real issues. You just lost the affiliation with Mt. Sinai, and no other hospitals are rushing to partner with us. Worry about that for a while.",1.0,3.0,2.0,1.0,2.0,1.0
2019-01-31,,,Current Employee ,Needs improvement,Needs improvement,0,"Staff feels like family. New member, are welcome when they present.",Leadership and executive management do not consider the staff or patient needs. Their only worry is staying budget neutral.,Listen to the front runners. The staff has great ideas. Sometimes a fresh idea can spiral you into great directions.,1.0,2.0,1.0,2.0,1.0,1.0
2018-10-11,,,Former Employee ,Many Issues,Many Issues,0,Co-Workers are very nice people.,"No room for advancement, no yearly raises at all, and a lot of office politics.",,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-27,,"Staten Island, NY",Current Employee ,Tech,Tech,0,Nice environment to work in.,None I can identify at the moment,,4.0,4.0,4.0,4.0,4.0,4.0
2018-09-26,,"Staten Island, NY",Current Employee ,No Professional Growth,No Professional Growth,0,The benefits are good and the people who work at RUMC are great.,"No yearly raises at all for employees
No path for professional growth available in most cases
A lot of office politics
Major leaks / power outages almost every time it rains
Mold in multiple areas of the hospital
No budget available to move forward",Show some appreciation for the hard working employees at RUMC and maybe turnover would not be as high.,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-18, Financial Counselor,"Staten Island, NY",Current Employee ,Financial Counselor,Financial Counselor,0,We are a caring team of health Care works that work hard to please our Staten Island Residents,We are a small intity that would be excellent if we was a lot bigger than we are,,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-12,,,Former Employee ,"Overworked, underpaid","Overworked, underpaid",0,"Benefits, hours available, commute isn't bad","This company is an exhausting nightmare to work for. Get every single thing they say to you in writing, because they'll turn around and do the opposite. Promised raises never happen, promised coverage never appears, they say they'll train you and it never actually happens. Support staff are treated terribly and overworked, physicians are downright abusive at times to both staff and patients. Complaints to management … 



Show More","Consider that it'll save you money in the long term to hire more people for good quality care, rather than work one or two people to the bone and risk mistakes/money loss/poor quality of care.",1.0,3.0,1.0,1.0,3.0,1.0
2018-06-23,,,Current Employee ,Nepotism Galore,Nepotism Galore,0,good commute if you live on staten island,"Management is unprofessional and workers feel oppressed if they are not part of the ""in- crowd"", consisting of multiple family members working in the same place, even in the same department! Management lets go of good employees to hire their friends and families. Unqualified professional staff based on nepotism. Miserable work environment.",This hospital could be great if it stopped putting people in place who are unqualified to be in managerial positions. Most of them have online degrees and no experience.,2.0,1.0,1.0,1.0,4.0,1.0
2018-05-03,,"Staten Island, NY",Former Employee ,management,management,0,One of only two hospitals in the area,company is a revolving door and very cliquish,Change the culture,1.0,3.0,1.0,2.0,3.0,1.0
2018-04-03, Senior Clinical Systems Analyst,"Staten Island, NY",Former Employee ,Senior Clinical Systems Analyst,Senior Clinical Systems Analyst,0,Lots of opportunity to learn and grow professionally,IT department is understaffed and poorly managed.,Better hands on management and more adequately staffed,2.0,4.0,3.0,3.0,2.0,1.0
2018-02-07,,,Current Employee ,Family feel,Family feel,0,This organization feels like a family. Co workers are warm and hepful,The blessing is the curse. Sometimes family members act up!,Need better time management with meetings,3.0,2.0,5.0,3.0,3.0,3.0
2017-11-24, Respiratory Therapist,"Staten Island, NY",Current Employee ,Dull,Dull,0,"Decent salary. Fixed schedule, friendly coworkers","Dull hospital, outdated building and elevators and medical equipment, short staffed",Employees deserve raises,2.0,3.0,2.0,1.0,5.0,1.0
2017-10-29,,,Former Employee ,good experience overall,good experience overall,0,I worked there for over 3 years since 2012. it was good experience to work there. all stuffs are kind and knowledgeable. The entire working environment is very pleasant.,nothing is really bad there.,,4.0,4.0,4.0,4.0,4.0,4.0
2017-10-22,,,Current Employee ,"Wonderful experience to be in. While you work, you learn.","Wonderful experience to be in. While you work, you learn.",0,"Comfortable atmosphere, great pay, good benefits",No problem at this time.,,5.0,,,,,
2017-10-09,,,Current Employee ,RUMC,RUMC,0,Very family oriented. Employers are very understanding of needing to take time off. Love my coworkers.,Salaries are very low. RUMC needs to revise their salary scales. Not an easy job. Understaffed.,,2.0,4.0,2.0,3.0,1.0,2.0
2017-08-24, Unit Clerk,"New York, NY",Current Employee ,Unit Clerk,Unit Clerk,0,work schedule is flexible,know problems with employment at this time,none,5.0,3.0,3.0,5.0,3.0,3.0
