date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-10-29,,,Current Employee ,Field Manager,Field Manager,0,Forward-thinking company with an eye to the future.,Main business is shrinking globally.,Continue to diversify,5.0,5.0,5.0,4.0,4.0,5.0
2019-04-26, Technical Account Engineer,,Current Employee ,"Large Company, Good Benefits, All over the place","Large Company, Good Benefits, All over the place",0,They provide good Compensation and benefits,Senior Management has no sense of direction,,3.0,4.0,2.0,3.0,4.0,1.0
2019-04-15, Research Assistant,,Current Employee ,Rewarding Experience,Rewarding Experience,0,A great place to learn and grow,Management can sometimes be unclear about expectations,,5.0,5.0,4.0,5.0,4.0,4.0
2019-04-05, On,,Current Employee ,ok,ok,0,Everyone there is real friendly,The pay could be better,,3.0,,,,,
2019-04-04, Field Support Representative,"Washington, DC",Current Employee ,Busy,Busy,0,Meeting new people almost everyday.,Move around to much to get settled,Hirer more people in areas that are needed,3.0,,,,,
2019-03-29, Management,"West Caldwell, NJ",Former Employee ,Tough environment in NJ,Tough environment in NJ,0,Many long years in NJ,Lots of continuous downsizing so be aware,,3.0,4.0,3.0,3.0,4.0,3.0
2019-03-13,,,Current Employee ,Professional and accommodating,Professional and accommodating,0,Professional and friendly culture. Excellent benefits.,Geese around the pond may attack.,,5.0,5.0,5.0,,,
2019-03-12, Strategic Workflow Specialist,"Indianapolis, IN",Former Employee ,Best of the Shrinking Industry,Best of the Shrinking Industry,0,Aggressive commission schemes to assist in placement of hardware and staff; best portfolio of software in the industry; ability to craft a solution to fit customer needs.,Insanely competitive marketplace leads to low or no margin deals; latent focus on hardware meant services were often an afterthought.,Keep those remaining technical resources happy!,4.0,1.0,4.0,4.0,3.0,3.0
2019-02-13, Call Center Manager,"Atlanta, GA",Former Employee ,Ricoh values their customers and employee,Ricoh values their customers and employee,0,Great insurance and paid time off benefits,"Change, change, change, but this the way all companies grow",Continue motivating your teams,4.0,3.0,5.0,4.0,5.0,4.0
2019-03-15, OnSite Floater,"Chicago, IL",Former Employee ,"Depends Greatly on the Site - We were ""The Help"" for a Law Firm","Depends Greatly on the Site - We were ""The Help"" for a Law Firm",0,Best thing was that benefits started after one month of employment (health insurance left much to be desired though); coworkers were fine to work with.,"I disliked feeling like I was The Help for a law firm. Our management wouldn't stand up to the law firm people at all for things they weren't supposed to do: for instance, Ricoh employees were only supposed to wash law firm-branded mugs, but the law firm would routinely put personal cups and dishes in the sinks with the expectation that we were going to wash them. However, management often railed on us for the smallest things: for some reason, when a wireless mouse was absent-mindedly left behind in a conference room overnight, *Ricoh* got in trouble for it, even though we had also been instructed not to touch any AV equipment in case we messed it up. These are just two examples; situations like this would happen regularly, and it was frustrating that Ricoh always received the blame and the law firm was never held up to their end of the site contract.

There were other difficulties: the policy was only one employee is able to take a day off at a time, which made it very difficult for me to schedule my doctor's appointments as a pregnant woman, and no accommodations were made for my pregnancy, so I was often exposed to cleaning supplies, toner, standing in one place for long periods, and frequent crouching and bending when I should have been put on lighter duties (which were available as a mailroom attendant). Also, even though they didn't want us on our phones, the only way to log into the Ricoh RWorld employee site was to get a text or call on your phone for verification, and there wasn't even cell service in many parts of the building.

In all in I had a horrible experience at my specific Ricoh site, particularly because I felt disrespected; my fellow coworkers and I were treated like children while still expected to bend over backwards for a site where we were primarily babysitting lawyers and not integral to the workplace. Obviously it may not be like this at other Ricoh sites, but the site I worked at was incredibly uptight with management that didn't care much and was more devoted to the firm than to us. Try to do as much research on the site where you'll be working before accepting a position as an onsite employee with Ricoh.","Hire site managers who actually care about their Ricoh team instead of just the client (and discipline those that are being disrespectful and dismissive), allow more than one employee off per day, RWorld should have never switched to Sitepoint, and make it easier to accommodate pregnant employees who don't have an office to retreat to.",1.0,2.0,1.0,3.0,2.0,1.0
2019-02-06, Field Service Technician,,Current Employee ,No Complaints,No Complaints,0,Good benefits and compensation for travel on your vehicle to include gas and mileage.,Training videos are a bit overwhelming,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-27,,,Former Employee ,Copier technicina,Copier technicina,0,Great benfits. Staff very friendly,There are alot of boses middle management does not always now what lower management is doing. Very stressful,,3.0,3.0,3.0,4.0,3.0,2.0
