date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-05-05,,,Current Employee ,Great Place to Build a Career,Great Place to Build a Career,0,"My most important boxes were checked when I accepted a position at Riskonnect. I have the flexibility to chart my professional path, support when I make a mistake or succeed, and feel like a part of a team.
I love what I do, I am challenged daily, and enjoy the people I interact with internally and externally.
This organization, like most, is what you make it. You decide to dive in and be a star and you will be rewarded.","Vacation time could be more generous. Work hard, but allow time to recharge.",Have one on one skip levels with individuals more often.,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-04, Middle Management,"Atlanta, GA",Current Employee ,"Dynamic, Acquisition, Developing, Transition, Disorganized","Dynamic, Acquisition, Developing, Transition, Disorganized",0,"Good people, industry leading product, good client relationships",Confusion resulting from merger. New management still getting up to speed,,3.0,4.0,4.0,4.0,3.0,3.0
2019-01-25, Account Manager,"Atlanta, GA",Former Employee ,Volatile,Volatile,0,"Pretty decent client base, liked the people in the office, and good office space.","pretty volatile environment, with lots of changes, missed promises, and lack of transparency. revolving door in management ranks","hire solid people, let them do what you brought them in to do.",3.0,1.0,3.0,2.0,3.0,2.0
2018-12-05,,,Current Employee ,Growing organization with of opportunity,Growing organization with of opportunity,0,Culture and an opportunity to grow! It is an exciting place to be where employees can add value and learn something new every day.,Room for improvement regarding benefits.,,4.0,3.0,5.0,5.0,3.0,5.0
2018-06-15, Account Manager,"Kennesaw, GA",Former Employee ,Riskonnect is growing in the right direction,Riskonnect is growing in the right direction,0,"The product solutions are FANTASTIC. Riskonnect as a integrated risk management solution is making leaps and bounds. If you enjoy working in Salesforce.com and you like being on the leading edge of technology, this is an exciting place to be.

The new CEO Jim Wetekamp is actively moving the company in the right direction. I'm sad that I won't be there to be part of the forward movement.

I really enjoyed working with the other Account Managers and Technical Consultants, in addition to all the other departments (i.e., accounting, data services, internal operations, sales). As a smaller company, the environment feels very welcoming if you build solid working relationships. Leaving Riskonnect was a difficult decision because I had so many friends and close colleagues.

Other benefits offered are nice too and worth mentioning. For example, flexible work-from-home schedules, lunch ordered from restaurants in the area tax-free instead of a cafeteria, beer tap in cafe, dogs permitted in the office, beautiful walking trail and lake outside the office space which is great for lunchtime walks.","The managers in Client Services and Implementation would benefit from additional training and/or coaching on time management, professionalism and leadership skills. Fortunately, this was actually already in the works when I left, so I have confidence that this will turn around soon. Given that Client services and Implementation leadership is truly the only complaint I have, I wouldn't count Riskonnect out in your job search. Leaders change - there is an ebb and flow to leadership at any company - but the company itself and the product offering is solid. When I left they were starting to hire for new account managers, both senior and junior.","I would recommend that you ensure leadership training which goes beyond the technical skills required for the job becomes a recurring event, perhaps quarterly, especially for Directors and VPs.",4.0,5.0,5.0,5.0,4.0,4.0
2018-05-30,,,Current Employee ,Future looks promising,Future looks promising,0,"A lot of perks similar to a start-up (casual dress code, beer on tap, dogs in the office, work from home, etc)","Recently purchased by a private equity firm (~10 months), and has lost its start up mentality, feels much more of a corporate 9 to 5 job.","Bring back the familial aspects to RK, where people enjoyed spending time with each other during and after work",3.0,2.0,3.0,3.0,2.0,4.0
2018-05-07,,,Current Employee ,Slow Progress,Slow Progress,0,"Casual dress code, Starbucks coffee and craft beer.
New CEO shows promise and is very communicative with all level of employees.","Low 401k matching, expensive insurance benefits, high expectations without adequate resources, constant change in leadership, people and process.","Remember your employees. We need your attention and direction, even when you are focused on more senior level things. It is not realistic for us to tackle everything and do it well. Create realistic expectations and prioritize so all tasks get finished with a quality result.",3.0,2.0,3.0,3.0,2.0,3.0
2018-04-20, Analyst,"Kennesaw, GA",Current Employee ,Awesome work-life balance! Great perks!,Awesome work-life balance! Great perks!,0,I have worked here over 4 years full-time and the working atmosphere has been awesome. Colleagues are helpful. Bosses are understanding and willing to be a mentor. Flexible working time. Great working space / amenities / perks.,Benefits package can be better. 401k match rate should be higher.,Annual bonus should be extended to all employees.,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-11,,"Kennesaw, GA",Current Employee ,Grass is Greener on the other Side - But WE have Big things to Do with what we HAVE!!,Grass is Greener on the other Side - But WE have Big things to Do with what we HAVE!!,0,Great place to work and great mentors. TB acquisition is working for those of us who has had the experience of working through an M&A and knows how an M&A progresses. Rapidly growing exponentially and has great opportunity for team players. Good benefits and work life balance for those who have had the experience of being in a startup with exponential growth life cycle. Dogs and Beer Allowed and free.,"Nothing significant compared to other organizations. Big organizations have big challenges and gaps to mitigate along the same issues and small organizations have the same issue to mitigate at a smaller scale. Point is issue still remains regardless of a 50,000 workforce or 500 workforce.",Recommend frequent town halls and leadership meetings.,5.0,4.0,5.0,4.0,5.0,4.0
2018-03-27, Senior Acct Executive,"Kennesaw, GA",Former Employee ,Found focus again,Found focus again,0,Thoma Bravo providing focus. Backend (force.com) solid.,People find it impossible to keep anything confidential,,4.0,4.0,3.0,4.0,3.0,3.0
