date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-03, Account Executive,"New York, NY",Current Employee ,Best Job I've Ever Had,Best Job I've Ever Had,0,"- Amazing opportunity to sharpen your sales skills, work with an A+ executive team, and take on an UNBELIEVABLE market opportunity. There will be no other job you'll have that has this much addressable market opportunity!!
- The product has come a long way and you'll get to have an opportunity to sell to some of the largest enterprise names in the world
- More and more inbound leads are coming in after 2-3 years of success in the enterprise space, and as a result, more prospects want to learn about the cost-savings solution we have (especially as they look to protect their bottom-line without hurting company culture!)
- One of the best exec teams you'll ever get to work with!
- Amazing sales team chemistry - everyone has a great attitude, works hard, likes to enjoy time inside and outside of the office together, and overall it's a fun group to work alongside
- You'll learn so much from our Sales Manager and you'll be able to sharpen your sales skills in this position... everyone wants to learn and get better!
- 2019 will be an incredible year for Rocketrip, so now is the time to get on board!","- There are always challenges in any startup, especially as you move upmarket quickly into the enterprise. The hours are relatively long but it's well worth it - if you grind it out and work hard you will be rewarded and noticed within Rocketrip. Plus, the product has come a long way since 2-3 years ago, and a lot of the enterprise market is seeing the results of our efforts.",- Keep focusing on building out the sales and product teams! We have great leadership in place and now it's just a matter of finding A+ talent to allow us to scale our sales and product capabilities for the enterprise!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-26, Sales Development Representative,"New York, NY",Current Employee ,Great culture/innovative company,Great culture/innovative company,0,"- Very hands on team enviormnet
- Great collaborative work space
- Great culture
- Flexible
- Great Benefits",- It is a sales job so there is cold calling and a lot of outbound outreach but nothing too monotonous and there are ways to make it fun,,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-08, Engineer,"New York, NY",Current Employee ,A great company with amazing people.,A great company with amazing people.,0,"I am an engineer at Rocketrip.

- Coming to work feels like coming to second home.
- I get to work with truly passionate people who are extremely devoted to company goals.
- Management is always eager to listen to your ideas and feedback. Also, they are very open about company health(finance, sales, and growth) with all employees.
- You get to work on cutting edge technologies and projects, which solves important issues in travel space.
- Diligent in celebrating win, which brings me to my favorite team.. people team!
- People team consists of truly incredible individuals. If you're having a bad day, go meet someone from people team, they'll brighten your day and then you're ready to conquer the world again.","- Office is bit colder, and lights are brighter. But I think we are moving to new office soon, so 🤞",,5.0,5.0,5.0,5.0,4.0,4.0
2019-03-05,,,Current Employee ,A Great Place to Work!,A Great Place to Work!,0,"I’ve worked at Rocketrip for over a year and am honestly shocked by some of the negative reviews. I’ve had a great experience working here and am continuously impressed by the team.

- Friendly, smart, collaborative coworkers who push you to bring your best self to work every day.

- Opportunities for career growth. I’ve seen several of my peers rise through the ranks and my own manager and I regularly talk about my growth and development. I’ve also seen multiple people make lateral moves based on personal career goals and thrive in their new roles.

- Leaders regularly communicate plans for the company’s future during weekly and monthly company-wide meetings. We use OKRs to ensure everyone’s goals are aligned and a platform that allows for total transparency on the progress of each person’s objectives.

- Feedback is well received and encouraged. I’ve witnessed countless examples. As long as you’re professional about the way you share feedback, it’s respected.

- Throughout my time here we’ve had a diverse team and have held regular D&I discussions to continue to educate the team. The company has also promoted a number of female employees to management or exec-level positions.

- Unlimited PTO, competitive health benefits, office dogs, and lots of fun parties and team bonding events.","- No company is without growing pains. If you can’t be self-sufficient there’s a chance you’ll struggle. However, the company partnered with a consulting firm that specializes in organization development to make sure that managers have the right tools to successfully lead their teams and support those who might need some extra attention.

- 7 people were let go at the end of 2018 (this is the “massive layoff” that the other posts refer to) and morale took a temporary dip but bounced back and everyone here is focused on the future.",,4.0,5.0,5.0,5.0,5.0,5.0
2019-01-16, Account Executive,"New York, NY",Current Employee ,Great culture to develop & grow,Great culture to develop & grow,0,"-Great exposure to senior management.
-Innovative technology that is ever changing.
-Opinion/voice will be heard.
-Nice employee culture.",-Not a good fit if you don't like change.,,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-05,,,Former Employee ,Avoid at all costs,Avoid at all costs,0,My coworkers were great and I learned a lot while working here.,"Like many others who have posted reviews, I never planned on doing so until I saw all the fake positive reviews being posted by the People Team. Any prospective employee deserves to know what a toxic and abusive environment Rocketrip is, so they don’t make the same mistake as so many of us.

Working here is mentally and emotionally draining. Positive contributions are rarely recognized, and talented people are often let go because the execs want people with more “team spirit,” regardless of how much they help improve the product.

Rocketrip’s game plan is to work their employees to exhaustion, then every 1-2 months there will be a company-sponsored event with an open bar where they will encourage employees to get as drunk as possible. At my first Rocketrip party, a few months into working there, I saw managers and execs throwing up in the street before 9pm, then coming to work the next day complaining about how hungover they were. It fostered an unprofessional and unsafe environment, and I often feared for the wellbeing of my coworkers.",Hire an actual HR team to address professional and cultural issues. The team you have in place now is more concerned with party planning and gossiping than ensuring the happiness and wellbeing of employees.,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-28,,,Former Employee ,Do not trust the fake reviews,Do not trust the fake reviews,0,"Met some very kind, hardworking, and motivated people (excluding leadership), although most of them have either been fired, laid off, or quit at this point.","1. Difficult signing on new clients, and keeping current clients happy.
2. Massive layoffs/firings are very common.
3. Many people who were high performers were laid off, not because of performance, but because of politics.
4. Culture of fear.
5. High exec turnover. The only familiar face is the CEO’s.
6. HR (aka People Team) are unapproachable and cliquey. They pressure people to leave positive Glassdoor reviews. They are more focused on hosting special events than anything else. Truly some of the most unprofessional people I’ve ever worked with.
7. Company touts itself as inclusive and diverse, however the layoffs included the few people in the company who are of under-represented groups in tech.
8. Your opinion/voice does not matter. People who provide constructive feedback are ignored if their opinions do not align with what the executives want. If you are too vocal, expect to get fired.",,1.0,2.0,1.0,1.0,1.0,1.0
2019-02-22,,"New York, NY",Former Employee ,Forced culture. Failing product. Bad CEO.,Forced culture. Failing product. Bad CEO.,0,"-Unlimited PTO.
-Most coworkers (excluding leadership) were authentic and supportive.
-Recent summer and winter parties were OK.
-Beer keg keeps spirits up when the ship is clearly sinking.
-When entire teams of people are let go, you get to join your ex-coworkers in the bar nearby.","-Problems go well beyond startup growing pains.
-Lack of transparency from exec team. There's no clear plan.
-CEO is overtly bro-y and unapproachable. The bulk of Rocketrip's issues stem from him.
-Open sexism. Lack of diversity and inclusion. Culture is entirely forced.
-Whole team firings are commonplace. This isn't normal.
-Optics only go so far. The exec team is obsessed with communicating growth yet frequent customer losses, a failing product and high employee turnover tells a different story.
-Ineffective and untrustworthy HR (""People"") team. Don't let their name fool you. Their primary purpose as the fly on the wall for the exec team means backstabbing is routine. Majority of office gossip originates from them.
-No career growth. Total lack of anything resembling mentorship.
-Your opinion/voice will not be heard.
-You WILL be pressured to write a false Glassdoor review by the People Team.
-You'll probably get fired.",Your personality doesn't lend itself to taking on advice. Get help.,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-07,,,Current Employee ,Company in Rapid Decline,Company in Rapid Decline,0,"Unlimited PTO, cool office space (but it's in midtown), some of the most ambitious, bright, supportive coworkers ever (most of them are not managers).","The culture of this place is the most toxic I have ever encountered. It makes me feel mentally unsafe, I have physical symptoms of extreme anxiety almost daily, and am made to feel my contributions to this company are worthless (but watch management pass them off as their own 6+ months later).

Rocketrip fires people all the time, often without reason, so there isn't really much job security either. I can't think of a single department where layoffs haven't happened.

They also bring in senior management people who have no clue what the company is doing, but feel the need to tell everyone what is best for the company within 1-2 weeks of starting. They usually leave within 6 months and the cycle begins again. There is no stability or room for growth here, since they rarely promote people to meaningful positions from within.

To their credit, I did learn while I was here, especially when I first started. However, as time went on Rocketrip became worse and worse. Internally, management started taking out their fear of competitors and product/market fit on their own employees, and not taking responsibility for their own actions. They act without remorse.

Oh, and also if you aren't a big drinker, BEWARE of this place. I've seen people throw up and pass out before 8 at their parties. It's actually dangerous and negligent to treat employees like this.

I am only writing this review because I can see the company flooding their page with false positive reviews - I want any potential employees to know the truth before accepting an offer here. If I were an outlier, I wouldn't do this, but I have spoken with many employees who agree with me about this. This is not a nice place to work - it is damaging, and it will suck you in until you are in too deep to get out.","Please take a look at your culture and try to mend it. Please ask your exec team to act like human beings to all employees, not just those they have deemed top performers. Please bring this company back to its positive roots - it wasn't always like this.",1.0,1.0,1.0,1.0,1.0,1.0
2018-08-21,,,Former Employee ,A company with a great idea but horrific culture,A company with a great idea but horrific culture,0,"Great talent, committed employees, great business idea.","Company is struggling to sign on new customers and establish strong product / market fit. This is creating a ton of anxiety and fear, causing leaders (CEO) to express bad, demotivating and unproductive behavior. As a result, ideas are being shot down, psychological security is being compromised, and people are being micromanaged.",Seek out strong executive coaching for the CEO. His leadership and behavior matter now more than ever. He has the raw ingredients of a great leader and just needs help leveraging his strengths to become the leader Rocketrip so desperately needs.,1.0,1.0,,,,
