date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-18,,"San Francisco, CA",Current Employee ,"Client Focused, Innovative, Inclusive, Energizing and Collaborative","Client Focused, Innovative, Inclusive, Energizing and Collaborative",0,"Smart, passionate people
Customer centric
Great, industry leading product
Positive environment
Cares about employees, Generous - one example is the holiday event and flying in remote team members to celebrate 2018",Open plan setting can be loud at times,"Continue to prioritize, keep a high standard for talent and stay the course",5.0,5.0,5.0,5.0,5.0,5.0
2019-03-07,,,Former Employee ,"Hard Work, little Payoff","Hard Work, little Payoff",0,"1. Remote work
2. Unlimited PTO
3. Product","Weak Management, No direction, no cooperation. In some of the hired people we don't know what they really do and some people take working in this company as granted and they just come to office on few occasions. Remote employees work way better than them, and some of the onsite people never do their job properly, one can't simply understand why we they need to hire an employee just for talking and even the talking to clients is not properly communicated. And yet these people are paid more than who worked day and night without any appreciation. In general, there is a lack of focus on the application and no global expansion.",Management appreciate persons who are really doing their jobs. Address employee's needs and make sure to get rid of people who does not do anything.,1.0,2.0,1.0,1.0,1.0,1.0
2018-10-09,,"San Francisco, CA",Current Employee ,Roostify is Everything You Make of it,Roostify is Everything You Make of it,0,"- Executive team that gives you as much room to grow as you please
- Friendly coworkers who genuinely care about what they do
- Cultural Committee is a great way to get buy in around how we want the company to change
- Regularly occurring (optional) company activities are becoming the norm","- A bit of indecisiveness around future direction
- Cultural segregation between business and technical teams",Keep empowering your team leaders to help drive the business and we'll continue to scale at a healthy rate!,5.0,4.0,4.0,5.0,4.0,4.0
2018-09-21, Sales Representative,"San Francisco, CA",Current Employee ,A very motivated and talented workplace,A very motivated and talented workplace,0,Everyone here is very enthusiastic about the company and driven to create an incredible product. The environment is very focused and productivity is high. Food options are also really good and healthy and travel and other benefits are very generous. C Level executives are very approachable and took time to meet me within my first week.,It would be nice if people from various teams spent more time together. Even just lunches here and there to keep everyone more up to date with the day to day of other work functions.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-17,,,Current Employee ,A truly very personal opinion,A truly very personal opinion,0,"Firstly I'd say every word I write here is very personal and, please also remember, so does every other comment.
I personally found this is a perfect place for me as I have full support from my management to make right things happen. I have the resources needed to perform my responsibility and have the support from other teams when requiring collaboration. Of course, most of the times with the resources, help and support, I can deliver the result we need which I believe it helps me get those help I need when they're necessary.
Also, people I worked with will always happily teach me what I don't know and most of them will also happily admit for those they don't know and learn those from others.","Of course, not everyone will feel the same as you can see in multiple reviews here some people complain. However, in my experiences, almost anytime when I feel frustrated it's because I didn't get it right, either I took wrong approach, I didn't get the full picture, or I didn't make enough efforts to deliver.","Not just to management, but also to my fellow Roosties or potential fellows. A good place to work, for me, is not to make everyone happy but to make the business successful with right strategy and great execution, the later of which actually could make some very unhappy. To me, it could be a necessary growing pain for the benefit of larger audience.",5.0,5.0,5.0,,,
2018-09-27,,"San Francisco, CA",Former Employee ,Culture of workplace bullying,Culture of workplace bullying,0,Interesting product with a potential to successed. Most of the employees are talented and motivated individuals who truly care for each other.,"No direction, alignment and zero communication (except once a week during all-hands where executives are talking about all the ""exciting"" stuff that will happened). But nothing really ever happens. People are leaving the company like rats from sinking ship. But I guess the management (especially HR/TA) approach is that nobody is irreplaceable and it's easy to find new ""meat"" to harasse. So think twice before considering to join such toxic environment.","Look closely at some people managers and you will see an offensive, intimidating, malicious and insulting behavior. People are your biggest asset so treat them with respect they deserve.",1.0,1.0,1.0,1.0,2.0,1.0
2018-08-20,,,Current Employee ,One of the better startups,One of the better startups,0,"Great people, good environment and collaboration among teams. Fun projects and an opportunity to contribute to rebuilding a platform.","Company is going growing pains, which means being less scrappy, more process, communication and expanding teams offshore. Everyone may not like it, but once it's settled, everyone will appreciate it.",,5.0,4.0,4.0,5.0,5.0,4.0
2018-09-21,,,Current Employee ,Potential. But that may end up being it...,Potential. But that may end up being it...,0,The product team that's been built in the past year is strong.,"Leadership in general is weak and seems to think vision absent execution will somehow lead to success. Outside of the product organization, there is little leadership strength. The company continues to struggle with execution. Very few employees have any market or industry knowledge/experience which translates into unnecessary learning curves (and time) required before they are truly in a position to bring innovation to the space. Most of the senior leadership has been in place less than 6 months and come with no mortgage industry experience. Most come from previous SaaS startups, which would be great if the product was architected as a SaaS offering, but to leverage it's actual value, it can only be deployed as a hosted solution. In general, there is a lack of focus and delusions of global expansion are likely to result in continuing to fail at execution. Stay away from this company if you are a strong woman or be prepared to be overworked and under-appreciated. Top leadership devalues women and has repeatedly demonstrated their apparent belief that women belong only in supporting roles and couldn't possibly lead.",Acknowledge your weaknesses in leadership - that's the first step toward addressing your problems. Focus on execution. Address the needs of your supposed target market - and prove that you can innovate in that space. There will be no enterprise or global growth if you fail to execute in the space that currently pays the bills.,1.0,3.0,1.0,1.0,2.0,1.0
2018-09-12,,,Current Employee ,Hoping they can turn things around,Hoping they can turn things around,0,"Good Benefits (although annual compensation review process is unclear so this may be changing), some excellent teammates with motivation to do the best for the company and our clients (direct and indirect)","Top executive leadership seems to be greatly challenged to shift focus from the founding vision to the execution/ operational growth needed to transition to the next stage. Recent decisions seem to have been more focused on the very short term 'win' vs. the impact to the team tasked with delivery.

There is insufficient focus from the top on ensuring the team has the resources necessary to deliver and only committing to realistic dates. Teams have been asked to focus on improved planning and predicable execution, however these plans are disregarded to focus on the next short term win.

There have also been several recent examples of future commitments made to employees, however the commitment was withdrawn after the employee satisfied their portion. Frequently there was no direct communication with the impacted employee, just a company announcement that the position has already been filled or is being recruited for outside the company. Most of those impacted have been women.","Listen to the recommendations of the experts as to what is and is not possible during a specified timeframe. Aggressive is to be expected, impossible is not. Ensure the team has the necessary resources to deliver based on expectation set with client. Continue to focus on bringing in new team members with deep mortgage to supplement the few current resources with direct market knowledge.",1.0,1.0,1.0,1.0,2.0,1.0
2018-07-16, Sales,"Bethesda, MD",Current Employee ,CRO,CRO,0,Transforming the home buying experience,Hyper Competitive market with larger players,Focus on getting home mortgage right,4.0,4.0,3.0,3.0,3.0,3.0
