date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-06,,"Port Washington, NY",Current Employee ,Great Tech Career Move,Great Tech Career Move,0,"Career development/lateral opportunities significant
Compensation is great
Good, nice people
Remote work flexibility
Open-minded to change, new ideas
First to market advantage - company has been around a long time, customer loyalty","Commute
Office / culture a bit bland, old / old-fashioned
Some of the old guard work ethic / talent level not particularly inspiring","Continue being open minded to change, utilizing new, cutting edge software/ tools. Continue to try and think and act like a tech startup culturally to enhance employee satisfaction/ retention, along with long term new talent acquisition.",5.0,5.0,4.0,5.0,5.0,5.0
2019-01-23,,,Current Employee ,Amazing Workplace!,Amazing Workplace!,0,"Benefits (employee events, clubs, etc)
Support from management and coworkers
Work load is great, nothing that can't be handled in a timely manner
Hour paid lunch","Like any new job, you have to adjust and it takes some time. If more people were open to getting to know the new employees it would make things a lot better",,5.0,5.0,5.0,5.0,4.0,5.0
2019-01-23, Human Resources Director,"Port Washington, NY",Current Employee ,The best company I've worked for!,The best company I've worked for!,0,"Senior management truly cares about the Sandata employees and frames their actions in that manner. They are transparent about the highs and lows of the business, and they love to brag about extraordinary employees and their extraordinary efforts that make Sandata #1.","If there is a con, at Sandata the employees voices are heard, and typically things get rectified.",It's a wonderful culture. Let's keep it that way!,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-19,,,Former Employee ,Network Admin.,Network Admin.,0,"Great department, Great insurance, Supervisors that are easy to speak to, and amazing team.",Transportation without a car is problematic.,,5.0,,,,,
2018-11-21, Human Resources Administrator,"Port Washington, NY",Former Employee ,Excellent company!,Excellent company!,0,The people. The amount of care the HR department puts into everything they do.,"Can't think of any! Great team, great attitudes!",Keep listening to your people.,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-19,,,Current Employee ,Fantastic!,Fantastic!,0,"Sandata is a phenomenal place to work, from the people and culture to the day-to-day work that we do. A premier tech company inventing and implementing cutting edge healthcare solutions for over 40 years, Sandata is the perfect mix of an established, credible technology force with entrepreneurial spirit and passion.",No notable 'cons' for working at Sandata.,Keep investing in the company and people to keep this a top tech spot for new talent on Long Island!,5.0,5.0,5.0,5.0,5.0,5.0
2018-03-07,,"New York, NY",Current Employee ,solid workplace,solid workplace,0,"great benefits
solid leadership
great IT dept","long work hours
long commute
Not enough time off",None to think of,4.0,3.0,5.0,4.0,4.0,5.0
2018-02-28,,,Current Employee ,Working at Sandata,Working at Sandata,0,"I love working at Sandata. There is great work life balance, I get the opportunity to work on many different things and interact with many different departments, I enjoy the people I work with, my manager really lets me take the lead on various projects.","Sometimes I do think there can be disconnects between the departments, but I know the company is always working on ways to improve this",,5.0,5.0,5.0,5.0,5.0,5.0
2018-02-14, Senior Accountant,,Current Employee ,Best Place To Work Is Sandata Technologies,Best Place To Work Is Sandata Technologies,0,"Sandata is a Growing Innovative Company that Promotes Employee Growth and Forward Thinking. Executive Management is GENUINELY Open to New Ideas and Suggestions. Unlike other companies, Sandata values their employees and promote a ""Family Atmosphere."" While deadlines need to be met, Management always has the well-being of its employees at their forefront. The work is far from Mundane and quite honestly exceeds Challenging. Working for Sandata is not just a job; it is a Career wrapped around Stability within a Family Environment. Being part of the Sandata Family is a privilege. I wouldn’t want to work for any","From where I sit, there are no Cons working for Sandata - Only PROs",Keep Doing What You are Doing the Way You Are Doing It,5.0,5.0,5.0,5.0,5.0,5.0
2018-01-12,,"Port Washington, NY",Current Employee ,Nice Place to Work,Nice Place to Work,0,People are great; flexible hours (within reason) that helps me maintain a good work/life balance. Leadership seems to care about employee's well-being.,Commute for me is a bit far.,,5.0,5.0,4.0,5.0,4.0,5.0
2017-08-10,,,Current Employee ,Technical Support Specialist,Technical Support Specialist,0,For the most part this is a decent place to work. Salary and benefits are ok nothing out of the ordinary.,"The rules are for some not for all. Some employees can get away with everything because upper management allows it to happen. There's no real sense of direction from management and they will never back you up. What they say, the customer is always right, is very true here. I've been working here for over three years and there have been three massive layouts. No appreciation for what you do but if you are the ""favorite"" then you have nothing to worry about.",Be fair and professional. Treat your employees equally base on their job performance not on your personal feelings towards them.,3.0,2.0,2.0,2.0,2.0,1.0
2017-06-12,,"Port Washington, NY",Current Employee ,No Stability,No Stability,0,"long island area , free parking",No Stability - High turnover ratio,,2.0,2.0,3.0,2.0,3.0,2.0
2017-05-23, Devops,"Port Washington, NY",Former Employee ,Lots of promises no substance,Lots of promises no substance,0,"New technology on and great dev people. Everyone who is not a manager or director is great.
Everyone comes in after 9 am","Directors and VP's are full or themselves.
Expectations are set very high no one seems to be able to communicate internally
Questionable credentials on a few directors and VP's.
Everyone leaves after 7 pm",Needs total revamping of management. Everyone manages and no one knows what to do or is expected.,1.0,1.0,2.0,2.0,3.0,1.0
2017-04-03, Cash Applications Specialist,"Port Washington, NY",Former Employee ,Cash Application Specialist,Cash Application Specialist,0,"Flexible working hours, great co workers",None I can think of.,,5.0,5.0,5.0,3.0,3.0,4.0
2017-03-07,,,Current Employee ,Great company with continued growth,Great company with continued growth,0,"Sandata provides a great work environment! All departments work well with one another, and everyone has the same goal; to deliver innovative solutions that optimize the delivery of home care services. Upper management provides ongoing communications to the company keeping them informed on industry updates, company updates, and offers resources to help employees prosper in their current position.","In the past Sandata had a reputation of taking on too much all at once, which made it difficult to manage time and priorities, but that mindset has changed and now the company has a more focused approach and plan in place to help position themselves to be more effective.",,4.0,4.0,4.0,4.0,4.0,4.0
2017-01-19, Implementation Specialist,"New York, NY",Former Employee ,Director,Director,0,"Filling a real need in the home care industry. Bringing technology, accountability, and efficiency to a market that needs it badly. Well positioned, leading technology supplier for an up and coming part of the healthcare market.","Implementations are complex and challenging. The end result was gratifying, but introducing new technologies to companies that are not accustomed to using advanced technologies is hard work. The documented processes need improvement, as they are growing faster than their ability to document best practices",Streamline implementations by automation and better documentation of process.,4.0,3.0,5.0,4.0,4.0,4.0
2017-01-23,,,Current Employee ,Vice President,Vice President,0,Great team to work with and very committed shareholders in the company. Significant opportunity to help grow the suite of products and make a positive impact on large healthcare payors and providers.,"Management needs to listen more to their teams - many employees have deep experience, expertise and good insights. There is a a new formal process in place to improve employee engagement and collect feedback so I am optimistic.",,5.0,5.0,5.0,5.0,5.0,5.0
2016-12-28,,"Port Washington, NY",Former Employee ,A good place to work for some,A good place to work for some,0,"Generally good coworkers
Offers a lot of flexibility for employees
Historically has been an industry leader
Small company where everyone knows everyone.","Limited real growth
Too many people in management, not enough individual contributors under them
Position in the market place is being challenged by competitors
You'll make more somewhere else","Tough to say, management has been gutted and mostly replaced in the year and change that I've been away. Significant investments need to be made in the products and services to remain competitive in the market though.",3.0,4.0,3.0,2.0,3.0,3.0
2016-11-28, Computer Operator,"Port Washington, NY",Former Employee ,computer operator,computer operator,0,good working conditions for all,does not train you all the way,good,5.0,5.0,5.0,5.0,5.0,4.0
2016-11-16,,,Current Employee ,Very Happy Here,Very Happy Here,0,"Great team
Amazing Supervisor
Wonderful environment to grow and develop as a professional",None that I can see so far,,5.0,5.0,5.0,5.0,5.0,5.0
2016-11-28,,,Former Employee ,Assistant,Assistant,0,"co-workers are nice, can be lenient with time","Management isn't present, pay is below average, do not know how to budget",,2.0,4.0,1.0,1.0,1.0,
