date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-04,,"Lyndhurst, NJ",Current Employee ,Eh.. Ok I guess.,Eh.. Ok I guess.,0,"snacks, drinks, coffee, PTO, Working remotely/from home","Working from home and PTO depend heavily on which department you work in, so don't get too excited.

They made a game room and are making a quiet lounge area, so you can work even more hours and feel like you don't need to ever go home!

Upper management is clueless, out of touch. The CEO talks about her 'golfing handicap' as if people are really concerned about it too.. We're concerned about our health, finances, and families. Get it together people.","Pay attention to each department, you're gonna lose good people.. even though the company already has.",2.0,3.0,2.0,2.0,2.0,1.0
2019-03-07,,,Former Employee ,Awful culture and leadership,Awful culture and leadership,0,"If you think the food and perks are the best thing, it's a problem",CEO is a narcissist and misleading bureaucrat. Can't pick a strategy and stick with it. Not a tech company. Toxic culture because management is rarely in the HQ's and doesn't share information,,1.0,4.0,1.0,2.0,2.0,1.0
2019-01-28, Account Executive,"Lyndhurst, NJ",Former Employee ,Vitals,Vitals,0,"Flexible work/life balance, nice office","Changing company from media to SaaS, different leadership, poor communication",,4.0,5.0,4.0,3.0,4.0,4.0
2019-02-12,,,Former Employee ,"If you have ambition, Vital's isn't for you","If you have ambition, Vital's isn't for you",0,"Free snacks
Open PTO policy
Occasional free lunch","Upper management at this company is toxic and political. Nepotism is rampant at Vitals and the only people who are promoted are friends of the higher ups. Employees below upper management are not treated fairly or with respect. There is no flexible work-life balance and the open PTO policy only applies if you're manager ""likes"" you. No one is happy at Vitals and it's obvious on a day-to-day basis. Employees are no longer motivated and feel defeated.",Hire and promote employees who are fit to be leaders not just managers. Stop lying to employees about the lay offs that are happening and be truthful,1.0,1.0,1.0,1.0,2.0,1.0
2018-11-08, NONE,"Lyndhurst, NJ",Former Employee ,Middle mismanagement.,Middle mismanagement.,0,The company's senior leadership and HR genuinely try to make the people doing the work everyday happy and respond to feedback when it is unhindered. There is a genuine attempt to be lively and have a startup culture. The people are very friendly. Teams have full freedom to self govern.,"Teams have full freedom to self govern. The disconnect mentioned in other reviews is because since your relationship with your team is everything, the manager of your team has full authority over your satisfaction here, regardless of the direction of the company. If your manager isn't fond of you, good luck; if your manager is sexist, good luck; if your manager doesn't feel like you need the unlimited paid time off, flexible work schedule, whatever, because she is vindictive, temperamental, or spiteful because you stopped taking lunch together, got friendlier with other coworkers, or never went to the gym together... good luck. If you have an issue with that, you can see the door.","Honesty and transparency of management needs addressing. Information Doesn't leave the teams. Middle management is the issue at this company, 100%, when it has the freedom and empowerment from senior leadership to be it's strength. Facilitate better communication between the top and the bottom, the surveys are coached; People's team needs to be the channel. There are people who work from the office four days a week, three, or only two. There are people who work in peace, and there are people pestered and provoked. I'd bet senior leadership and HR couldn't identify whom, because information doesn't leave teams. Your performance isn't based on your performance, it's based on how your manager feels about you or is willing to state. People are being let go due to budget, but they and People's team are being told that there were performance concerns. The CEO is capable and the senior leadership have a goal, but the horsepower isn't reaching the tires.",2.0,3.0,4.0,3.0,3.0,4.0
2018-07-17,,"Lyndhurst, NJ",Former Employee ,Law Clerk,Law Clerk,0,Great environment. Very Collaborative.,"Pay was a little low, but I was just an intern.",,5.0,5.0,5.0,5.0,3.0,4.0
2018-01-16,,,Current Employee ,Bureaucratic startup,Bureaucratic startup,0,"So many reviews praise the snacks, work / life balance and unlimited vacation policy. That's really a ""pro"" at a start up? What about pride in the product / service?","Run like a large company, but repeatedly misses it's financial projections. CEO is pandering, disingenuous and inconsistent. Senior managers are usually not in the office and if they are, their doors are closed. Rewards ""yes men"" who don't rock the boat. Feels like an antiquated 1950's company with all sorts of soft incentives that miss the mark. Culture is weak. The proof is in the results.",,2.0,5.0,1.0,2.0,3.0,1.0
2017-12-31,,,Former Employee ,Glad I Left,Glad I Left,0,"There werent many at all.
Snacks (and not healthy ones) Time off. Most people nice in my location, not NY, or NJ.","No 401k match, health benefits high, coverage bad. Management top heavy, HR and CEO disconnected. No trust. Turned into political Game of Thrones.","Concentrate on the producers mid and low level. They are the ones in the trenches getting it done.

Let HR, CFO, CEO know that no one cares about snacks, and chair massages, cakes to celebrate and balloons. Waste of $.

Bonuses and raises, along with the co. making money is what makes employees happy.

And everyone should get stock.",1.0,3.0,2.0,2.0,2.0,2.0
2017-11-17, Software Engineer,,Current Employee ,Loving my time at Vitals.,Loving my time at Vitals.,0,"Laid back, helpful, friendly, work at home opportunities, learning opportunities. Great work life balances. Usually okay deadlines to meet.","Maybe not a con, but embracing new technologies and dropping technologies just as fast. Be ready for a learning curve.",Bring back cheaper insurance premiums.,5.0,5.0,5.0,5.0,4.0,4.0
2017-11-17, Software Engineer,"Tulsa, OK",Current Employee ,A great place to work!,A great place to work!,0,Employee-centric company. Flexible hours. Comfortable work environment. Excellent work-life balance. Great people to work with.,None that I can think of.,Keep up the good work!,5.0,5.0,5.0,5.0,5.0,5.0
2017-11-13, Software Engineer,"Lyndhurst, NJ",Current Employee ,Excellent culture,Excellent culture,0,"Vitals is committed to their employees. The engineers are well respected by the executive team. Teams are distributed and effective--wide array of languages and tooling.

Engineers can look forward to an extremely generous PTO policy. Nobody is micromanaging you at Vitals. There is freedom to explore new technology while expecting to uphold best practices during development.

The executive team is composed of veterans very adept at navigating the complexities of healthcare.",Complex codebase can make onboarding challenging for new engineers as well as difficult to untangle and improve.,Keep it up!,4.0,5.0,5.0,4.0,4.0,5.0
2017-11-06, Sales,"Lyndhurst, NJ",Current Employee ,Good Company,Good Company,0,Flexible hours and nice environment to work,No 401k match and not much in terms of benefits,,4.0,,,,,
2017-11-03,,,Former Employee ,A good group,A good group,0,"growing business, good team, great benefits, various locations","The various locations made collaboration harder at times, though they have travel between locations, company events, etc to try to make up for it.",,5.0,5.0,5.0,5.0,4.0,4.0
2017-09-22,,"Lyndhurst, NJ",Current Employee ,I hope they improve soon...,I hope they improve soon...,0,"Great work life balance, flexible hours, free snacks and drinks","No real processes, low morale",Stop pretending to not be aware of the problems going on with senior leadership and do something to fix it!,2.0,5.0,3.0,1.0,2.0,1.0
2017-08-16,,,Current Employee ,Working at Vitals,Working at Vitals,0,The company has a clear and compelling value proposition-to positively impact the cost of healthcare. There is real effort made to communicate how all employees contribute to the progress toward that vision. There is a lot of emphasis placed on recognizing individual contributions and their impact.,"Not a ""con"" per se, but a rapid growth environment is very different than what exists in more established companies, and in order to succeed you really need to be capable of finding the balance between ""just doing it"" vs waiting for direction.",,5.0,5.0,5.0,4.0,4.0,5.0
2017-09-01,,,Former Employee ,Very Good but also very hectic!,Very Good but also very hectic!,0,"Good pay, good people, and a fully stocked kitchen with plenty of snacks and drinks","Hectic work, every project is very last minute, most things are done rushed and need to be completed quickly.",,3.0,3.0,4.0,4.0,3.0,5.0
2017-08-13,,,Former Employee ,Middle management,Middle management,0,"Small group of people, free snacks and massage. Flexible work schedules in most departments. Good short term gig right out of college.","Management has no clue how to make it work. Incompetent and insecure people under the executive team are being rewarded while others have left or made to leave.

Every time they miss numbers, it is due to external factors. Their bonus figures are not earned because they keep missing targets. Do not believe the positive spin in management presentation to employees.

All incompetent people get salary their adjusted so they do not leave since they do not get bonus and they need them around for short term. Also a person with real talent would not join them considering what is going on at vitals. Check the profile of existing people on LinkedIn see their jobs before vitals and at vitals and the title progression.

During interview:

-Ask them why did they could not replace COO? The real story why they ended up making three people joint COOs after the candidate rejected the offer. Why that candidate rejected the offer?

-Ask them why none of the executives are in the office for weeks at a time? Why are they disengaged?

- Ask them when do they expect to turn profit? And how many times that target has been changed due to ""external factors"". Even this latest budget seemed do able earlier (at the minimum they thought they would get the low end), but now are they making numbers?

-Ask them about loans and investments in the company and cash situation.

Engineering team, product and few sales people are one of the best ones at vitals rest are bunch of incompetent people who would not find the same job outside vitals.

I would be surprised if they are around in a few years.",Do not make people leave good jobs to join vitals when there seems no long term direction.,1.0,3.0,2.0,1.0,1.0,1.0
2017-06-29, Release Manager,"Lyndhurst, NJ",Current Employee ,Vitals - a cool place to be,Vitals - a cool place to be,0,"Flexible organization still maintaining that ""start up"" feel",Rapid paced changing priorities,Implement and Enterprise wide project portfolio for better organizational visibility,5.0,3.0,4.0,4.0,4.0,4.0
2017-06-19, Director of IT and Security,,Current Employee ,Current Employee,Current Employee,0,"Innovative, fast paced company that gives employees a chance to work with new technologies. Vitals empowers employees to make a difference and encourages creativity and 'out of the box' thinking. If you're the type of individual that enjoys taking on challenges and wants to help in creating a culture collaboration and communication. Vitals is the place for you.",The challenges that Vitals face is no different than any organization growing at a rapid pace. Sometimes things and staff are taken for granted. Leaders need to know when to take the foot of the pedal and allow for one to take a breath. The management staff needs to demonstrate by example. There are still many entrenched silos that block collaboration and productivity.,Promoting internally for senior management positions will demonstrate confidence in current staff and maintain continuity within the company.,4.0,4.0,4.0,4.0,4.0,4.0
