date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-09-20, Human Resources Director,"Nashville, TN",Former Employee ,Human Resources Director,Human Resources Director,0,Total professionals. Everyone in this company were very professional and straight forward. HR Leadership was top-notch.,"They are growing through acquisition, so there is a bit of dysfunction that comes with that process. However it is no fault of anyone... Just the nature of their business model. That will all get sorted out in short order.",None. You guys are doing it correctly.,5.0,4.0,4.0,5.0,5.0,4.0
2018-11-26, Lab Assistant,,Current Employee ,Go somewhere else,Go somewhere else,0,"laid back management
cool people to work with","LAID BACK MANAGEMENT
impossible deadlines
impossible expectations",Shape up and actually listen to your employees. And stop playing favorites,1.0,2.0,1.0,1.0,1.0,1.0
2018-11-04, Specimen Accessioner,"Kyle, TX",Current Employee ,flunkie,flunkie,0,few. pay good if you worked overtime. a few good coworkers,everything else. no breaks. MANAGERS SUCK. Brown nosers Punished for others mistakes and written up. sent home without pay for those mistakes.,resign,1.0,1.0,1.0,1.0,2.0,1.0
2018-09-18, Medical Technologist,,Former Employee ,Management is in disarray,Management is in disarray,0,Pay is ok compared to other places,"Uncertain hours, long term lab techs engage in bullying",,1.0,1.0,1.0,2.0,3.0,2.0
2018-08-10,,,Current Employee ,Radiological Technologist,Radiological Technologist,0,Full time employment for recent graduates.,No opportunity for cross training into other modalities.,,3.0,3.0,3.0,2.0,3.0,3.0
2018-08-23, Customer Service Representative,"Tukwila, WA",Current Employee ,Customer Service,Customer Service,0,"Lots of overtime opportunity, you leave work at work.","Under new management, Trident USA. Horrible.",,2.0,5.0,1.0,1.0,2.0,1.0
2018-06-11, Mobile Phlebotomist,"Oakland, CA",Former Employee ,Overworked and Underpaid,Overworked and Underpaid,0,"A lot of hours if you want over time, a lot of structure that outlines what you are supposed to do at every step of the way.","They monitor your every move, they have a monitor on the company cars that watches your speed limit yet they get mad at you if you take too long to get somewhere. They have sent their employees to terrible nursing homes in the bad parts of Oakland where they have been robbed multiple times at gun point with little to no sympathy. The over sight and micro mangement at this place is enough to drive anyone insane. Pay is below market rate for phlebotomists.","Relax when it comes to timing, geriatric patients are very difficult sticks, especially overnight.",2.0,1.0,1.0,1.0,1.0,1.0
2018-05-16, Radiologic Technologist,"Denver, CO",Current Employee ,Company upgrading equipment rapidly,Company upgrading equipment rapidly,0,Company is rapidly upgrading vehicles and equipment in radiology. Independence in getting work done. Good portion of our day is outside either driving or processing images in our vans. Only work two holiday shifts a year. Only work one weekend day call a month (if part of the weekday call. Paid time off.,"Some of the equipment is not the best, however equipment is being replaced. Traveling in weather and traffic, I personally find these as minor issues. I find being outside and also driving therapeutic.",,5.0,4.0,4.0,4.0,4.0,4.0
2018-05-23,,,Former Employee ,No work life balance,No work life balance,0,Employee's make working here great,"Hours, Management, Pay and mandatory overtime",,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-29,,"Denver, CO",Former Employee ,Good company,Good company,0,"Great team, opportunities for advancement, understanding management","PTO is not very competitive, lack of communication between the executive level and middle management.",,4.0,,,,,
