date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2016-03-23, SAP MII Solution Architect,,Former Employee ,Great company to work with,Great company to work with,0,freedom of work and work culture,all is well.small to medium size company,,5.0,,,,,
2017-01-16, Senior SAP Consultant,"Edison, NJ",Former Employee ,Senior Consultant,Senior Consultant,0,"- Good work environment
- Well organized",No cons to report at all.,Good work,4.0,3.0,4.0,3.0,4.0,5.0
2016-04-23,,,Current Employee ,Terrible experience!,Terrible experience!,0,"It is a itty-bitty tiny home grown company... so you know everyone in the ""Company""","Offer letter promised after interview... Never came on time...
Expense reimbursement policy... Terrible is a subtle word for it! Basically you pay for the expenses with no expectation of return... Reimbursements come after 6 months!
No office location... Basically a home grown company",Employees careers are at stake! Please do not play with it!,1.0,2.0,1.0,1.0,1.0,1.0
2015-10-19,,,Former Employee ,SEAL,SEAL,0,Great place to work. Family environment. Nice benefits and people,growing pains include being unorganized in some aspects. Overall a great company.,,4.0,4.0,5.0,3.0,3.0,5.0
2015-07-24,,,Former Employee ,Terrible Travel Expenses Reimbursement Policy,Terrible Travel Expenses Reimbursement Policy,0,Great manager at Consulting Services.,Took 4 months to get my travel expenses reimbursed even though the project was customer funded.,Get your Finances in order.,2.0,1.0,1.0,1.0,1.0,1.0
2017-01-03,,Hyderabad (India),Former Employee ,good,good,0,good life work balance life style,no cons to tell nothing..,good no advices,4.0,3.0,5.0,4.0,4.0,4.0
2013-09-12, Senior SAP Consultant,,Current Employee ,M.Com with 5.5 year exp. as an SAP FICO Consultant,M.Com with 5.5 year exp. as an SAP FICO Consultant,0,seal is very good company,Nothing to say any thing about Seal,nothing to say anything to Manahement,5.0,5.0,5.0,5.0,5.0,5.0
2012-08-12,,,Former Employee ,Really nice place to work in,Really nice place to work in,0,Allows us to do our work in peace,A bit slow on settling claims sometimes,Pro activeness,4.0,3.0,,,,
2011-06-27,,Nairobi (Kenya),Current Employee ,Challenging and outside the box,Challenging and outside the box,0,"knowledge sharing,Sharing of tasks,Teamwork, support",first pay level is very low,better things to come,4.0,4.5,3.5,2.5,4.5,
2011-05-14,,,Current Employee ,it had be OK,it had be OK,0,Employee supportive and good market presence.,Not sure if you are on a project or not till the last movement,should be more tranparent and provide employee training,3.0,4.0,3.0,3.0,3.0,
