date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-29, IT Manager,,Current Employee ,Great place to work!,Great place to work!,0,Great office space. Chances to grow and learn.,Growing so fast much work to do!,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-16, Specimen Accessioner,"New York, NY",Current Employee ,Talented team with inspiring leadership who advocate for staff and provide a clear and efficient managerial structure.,Talented team with inspiring leadership who advocate for staff and provide a clear and efficient managerial structure.,0,Departmental management is truly open to new suggestions and feedback. Transition period and rapid growth offers many opportunities for this. Director and managers enjoy hearing ideas from staff and will give them the chance to implement when possible while coaching and sharing their experiences to let staff learn on own and share the credit when changes are successful. Chance to learn laboratory workflows from the ground up provides a career growth trajectory that is unique to most organizations and roles.,"The organization has grown very fast and the workload can be high but process improvements are happening fast and will truly help productivity. Best environment for those who enjoy challenges, changes, care about patient care and want to learn everyday and feel part of a team that relies on each other with accessible managerial support. Transparent metrics are needed and hopefully coming soon which will provide more clarity on how individuals can improve to make steps towards personal performance objectives.",Implement transparent metrics and provide incentives to those who are exceeding performance expectations.,5.0,5.0,5.0,5.0,5.0,4.0
2019-03-16, Laboratory Technologist,"New York, NY",Current Employee ,Unique chance to be on the cutting edge of new technologies and industry trends at every level,Unique chance to be on the cutting edge of new technologies and industry trends at every level,0,Great exposure to management and opportunity to be involved in new workflow designs and learn new technologies.,There’s plenty of work to do so best if that environment is stimulating to you. Not for those looking to cruise by.,Communication and consistent messaging. All policies should be clear and easy to find and apply equally across the board.,5.0,3.0,4.0,5.0,4.0,4.0
2019-03-13,,"New York, NY",Current Employee ,Good company with tons of potential.,Good company with tons of potential.,0,There is a lot to learn. The people are nice. Pay is decent. There is a frustrating transition period as we settle into being a private company but there is so much potential.,Health insurance is terrible. Not ideal for families or people with chronic health conditions.,Please negotiate a better health insurance plan for your hard workers.,4.0,3.0,3.0,3.0,2.0,3.0
2019-04-13,,,Former Employee ,"If you have other options, don't bother ...","If you have other options, don't bother ...",0,Can not think of any,"Top-down managerial culture, like feeling insignificant? join
Lack of coherent strategy
Incompetent leadership",,1.0,2.0,1.0,1.0,2.0,1.0
2019-03-06,,"New York, NY",Former Employee ,Be very careful before you join ...,Be very careful before you join ...,0,"- Ambitious goals
- A few bright people
- Some groups are working on very interesting scientific and/or technological problems.","- It's a startup that feels like a cross between a big corporation and an academic research center (Mt Sinai), it seems the worst of both halves was amplified ...
- Very top-down decision making, unless you are a c-level exec you will not be a part of the process, just go and do as you told.
- It's quite fractured, there are many different parts (think different labs) that operate independently, so make sure you are joining the part that is working on something interesting
- the quality of hires at the critical areas such as scientific computing/IT/DevOps has been just average or below, and that started from the top.
- Unless you are in Stamford the working conditions are atrocious",,2.0,3.0,1.0,2.0,3.0,1.0
2019-02-28, Director,"Stamford, CT",Current Employee ,Company is growing in the right direction,Company is growing in the right direction,0,They are going through a period of tremendous growth and it's exciting to be there from the beginning. The company is spending money to hire more people and expand the facilities to accommodate this growth. Amazing scientific innovation!,"Being a new company, and spinning out from a large non-profit, has a learning curve. Sometimes the growth and change is hard to keep up with.",,4.0,3.0,4.0,4.0,4.0,3.0
2019-02-25,,,Current Employee ,lab,lab,0,get exposure to more experience,"understaffed, limited space, relocation to Stamford is unclear",more communication to staff,3.0,3.0,3.0,3.0,3.0,3.0
2019-03-29,,,Former Employee ,WARNING: Do not work here!,WARNING: Do not work here!,0,"You can often get away with working remotely and they don't have a way to verify what have you been working on. Which really get abused by people here.
If you have good past experience then you can get a senior job here and just live an easy going life cause they make the lower paid employees do all the work.
Pro's may only exist if you were a former Dell or IBM employee.","If you are reading this before taking a job here or applying, please understand that you are working here only to learn things, forget the money part. You can learn by breaking things and there is no issues, there is no discipline, regulations or policy that exist.
You may be given a raise without any documentation or your consent to understand why were you under rated. Bonus is what you will be waiting for till the end of the year and realize that it's was a joke, then you'll keep waiting the next raise, that's where you realize you yourself have been taken as a joke here. There are no targets set by HR or your bosses. In short HR is handicapped.
COO is a big bully. The Lab is over crowded and there is not a seat for employees to sit. its more like traveling in a subway during peak hours.
If you visit the LinkedIn page you will see over 7000 followers but when they post something there is barely 15 likes, just about 0.2% which clearly says it's just fake followers as well! In fact any glassdoor review with more than three stars may also be fake most probably, if you are smart enough you can read and understand.
All the smart people have already been leaving the company in groups of 4 and 5 people at a time in the past 3-5 months. its too easy to find another job at a better salary with less stress if you look for it, I only know better after leaving.
Lack of structure and direction to the company is a big problem here.
Director titles are given to people who don't necessarily know ABC's of their field but are instead big talkers(there are some few really nice directors here) and a person who really knows and understands work will never given a title more than level one or two. That reminds me I forgot to mention in the pro's section, you have the freedom to write whatever title you want below your name in email signature and no one cares.

Please don't get too excited, be patient and look for a better place to work. And if you are really not that good and don't find a job anywhere at all then feel free to go here.","Where is the management? Get some management please.
Its high time to realize you are playing with people's life. A hardworking and genuine employees curse is enough take all your efforts to vain.",1.0,1.0,1.0,1.0,1.0,1.0
2019-03-22, Operations Department,,Current Employee ,Beware this company sucks the life out of yo,Beware this company sucks the life out of yo,0,Just broken promises about future employment,Working at this company makes you question your sanity. They keep piling more work on to the individuals that have been there for a while but turn around and hire new individuals at a higher rate and force you to train them. The racism that occurs in this company is disgusting and this company truly should be investigated for the unethical practices that they knowingly allow to take place.,Upper management is extremely sensitive and take offense to everything especially when they make wrong decisions and no one takes ownership for anything it more of the blame game than an actual business going. No diversity in upper management look at the directors and you won’t see one minority the just want you to feel appreciative for having a job and treat you like a puppet with broken promises. Please start adding some diverse employees to your company and allow them the opportunity to move up.,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-11, Supervisor,"New York, NY",Former Employee ,Avoid wasting life in Sema4,Avoid wasting life in Sema4,0,"No respect for employee at all. They treat you as slaver, but not co-worker, they even send people spying your daily activities, no rewards for your hard working, instead, the more you work, the more scold you got. Directors never take responsibilities, once you made some errors, you will the scapegoat.","Worst health insurance plan. Bad working experience, bigger pressure and low payment, more important, salary does not change for many years.",,1.0,,,,,
2019-03-09, Technologist,"New York, NY",Former Employee ,Molecular Technologist,Molecular Technologist,0,None. It was great with mount Sinai,"Racism, underpay, no growth, They will give promotion only if you are a family member. Directors will treat you well only if you belong to their cast.",Do one on one meeting personally. If you will tell to supervisor and managers to do it they will do favoritism.,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-08, Technologist,"New York, NY",Former Employee ,worst place to work as of 2019,worst place to work as of 2019,0,None. In the past it was great with mount sinai.,"where do I start? Since the new year this place went downhill fast. I got out of it quick. Terrible management to unprofessional employment changes. slow HR. Low pay and sometimes they mess up the paycheck with incorrect payment. if you lose track they will take your money from paycheck.

Directors and supervisor micromanaging. If you are belong to their cast you are good . Full of racism.

they Implement changes without prior notice . one week is salary next week is hourly . They can take your desk away and give it to the people they like. Poor communications.

Some assistant director will tell you to do something and they will say do not tell senior directors.

They will promise to give you a raise and then make you wait for a year or more. working there was like a dead end .

If your family member is working here then you will move up fast. Because they want you to stay there day and night and work.

This place is horrible and going downhill fast. I'm glad I got outta there!
I left this place for a lesser paying position but I am 100 times more happy where I am now.
worst place ever!!!

If I could i wouldn't even give them a single star. POS place.",sit down and talk to your employees one on one and take a walk to the lab and see how miserable employees are because of the assistant directors who are partial and over work certain employees. Unfair workplace.,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-28, Bioinformatician,,Former Employee ,The worst corporate experience of my career.,The worst corporate experience of my career.,0,"Flexibility to work from home. Many people shorten their workday by 2 hours and get home at 5 PM.

The ability to create your own policies as they do not exist.

Stock options, well don't hold your breath. Employees were told Jan. 2018, but never received stock options. One can only conclude that the top of the pyramid has all the stock options lining their pockets.

The company may get VC and expand, However an infusion of money will not change your comp package. Therefore, employees can only hope they sell and a professional management team clears house and gets rid of idea guys who talk all day.

You can feel positive knowing that your next career move is gaurenteed to be better for your career and family.

The ability to sit on your hands, avoid responsibility, ownership and work a normal day.

You can climb the corporate ladder by getting a PhD and you can feel good paying for the degree. You might even get a 3% raise by increasing your value.

Management training consists of studying terrible managers so that you understand what strategies do not work.

HR department works for the company and not the employee. If you send an inquiry you are not likely to get a response.

There is a marina out back where you can dock your boat. The inflation raise and 3% bonus should get you a blow up raft.

Consulting can give you a significant comp increase and you can choose to work from any location.","Management has no integrity.

Bully COO balanced with ""friendly"" VP cronies.

5 companies exist with no unified goal.

Comp is below market value. The bonus you expect for your family sacrifices is the sum total of the group bonus pool.

No stock options, so you are not going along for the ride.

Understaffed and you are likely to be overloaded and destined to fail without proper resources.","Stop building employee moral by announcing that you don't believe in inflation raises. Stating that employees should be happy to have a job is abrasive.

Develop integrity and stop lying to employees as a means of manipulation.

First fire HR and then fire yourself and initiate the start of a good corporate culture.",1.0,2.0,1.0,1.0,1.0,1.0
2019-01-26,,,Current Employee ,Avoid this company at all cost,Avoid this company at all cost,0,There is no Pros at all,"-Underpay
-Overwork
-HR overtime policy not transparent
-Decisions made by different upper managements have no consensus
-Operation run by clinical directors who has no substantial business understanding","-Be transparent with HR policy
-Clinical directors and operation should separate
-Make sure all involved management agree before making announcement
-Adjust pay and title according to the market",1.0,1.0,2.0,1.0,1.0,1.0
2018-12-05,,,Current Employee ,Genetic Counselors Beware,Genetic Counselors Beware,0,"Quality genetic testing, Investment in R&D, Salary, PTO, 401k matching","Significantly understaffed, Disorganized, Management is stretched thing, Focused on meeting metrics vs. quality patient interactions, Limited resources, Uncomfortable work environment",Please focus on your employees' satisfaction if you want anyone of quality to stay.,2.0,1.0,1.0,3.0,4.0,2.0
2018-10-26, Genetic Counselor,"New York, NY",Current Employee ,A great company,A great company,0,"Open communication and transparency, well-managing leadership, flexible and accommodating & understanding of personal needs","A bit understaffed, sometimes all the daily tasks cannot be completed in an 8-hour work day.",Open more positions to more evenly distribute tasks,5.0,4.0,5.0,4.0,5.0,4.0
2018-10-25,,"New York, NY",Current Employee ,Most rewarding position I have held,Most rewarding position I have held,0,"Smart and accomplished team members whom you can learn a lot from.
Continuously striving to remain on the cutting edge of the field of genetics.
Plenty of opportunity to grow and evolve your career.
Proof: I held 3 positions in the first 6.5 years of my career; I have remained at this job for 5.5 years.",Need to improve coordination of projects between different teams,,5.0,4.0,5.0,5.0,5.0,5.0
2018-10-25,,"Stamford, CT",Current Employee ,Fascinating work!,Fascinating work!,0,"Great benefits and fascinating Research! Never a dull day - fast paced, educational, respectful colleagues. I always look for a challenge and ways to professionally grow - afforded the opp here.",sometimes working with ambiguity is frustrating.,,5.0,3.0,4.0,4.0,4.0,3.0
2018-11-12,,,Current Employee ,Employee,Employee,0,Decent products /pipeline pay. Decent paid holidays,"Poor management... everyone is paranoid... and sexist
Understaffed in lab ... understaffed in accessions ... understaffed in genetic counseling ... overstaffed in ex IBM middle management ... zero transparency ... redo cyto lab ....",Reward your lab employees for their work !!! They are pooped on and will do a crappy job bc they of it. Publish data - Eradicate medgis- it is your excuse for everything - if an employee performed so poorly you would have fired it... do the same ... a commercial lab keeps commitments to the customers. hire people that have worked in the industry not friends. Certify every GC in all western states...,1.0,,,,,
2018-10-30,,,Current Employee ,Where good grads go to die,Where good grads go to die,0,The support network established by fellow lab members to weather the storm of upper management; good coworkers (in general) are why many people still remain despite the endless workload,"Management at Sema4 is really only interested in one thing - how many hours of unpaid overtime they can squeeze out of you. Work-life balance is non-existent for many lab techs, and it's painful to see once-happy people reduced to husks of their former selves. Even worse, your good work is rarely appreciated - it's only noticed if you make a mistake (which, given how overworked everyone is, will become more & more common).
Once you are placed in a group, you will most likely remain in that group until you leave. There are no opportunities to learn any new skills beyond what your daily job requires; they don't mind if you languish under the monotony of repeating the same tasks every day. Sema4 is a place with a highly-educated workforce, but you wouldn't know it based on how condescending higher-ups are; several supervisors are so poisonous, it boggles the mind as to how they are still employed. Some are sympathetic to the existential dread facing lab techs every day, but can do nothing to stop it. Transparency is nil, and the reality in the lab seems far divorced from the reality of the sales team. Sample volume has doubled over the last year, but the amount of techs hasn't changed - if we aren't all working 7 days a week in the next year, I'd be surprised (that's if we're all still working there next year; the company is bleeding lab techs).
Overall, there are not enough machines to handle the sample volume, there are not enough people, there is very little physical space for more machines or people. It's almost comical if it wasn't so tragic.","If you expect all lab techs to think of this job as a stepping stone, and neglect them over and over again, it's going to become a self-fulfilling prophecy.",1.0,1.0,1.0,2.0,3.0,2.0
