date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-10, Compliance Analyst,,Current Employee ,Sentry,Sentry,0,It is a good company,None it is a good company,No advice to management at Sentry,5.0,5.0,4.0,4.0,4.0,4.0
2019-04-01, Advanced Analytics Modeler,"Stevens Point, WI",Current Employee ,Great Company,Great Company,0,"Amazing 401K match, great PTO policy, good bonus program, excellent employee perks such as cafeteria, exercise facilities, pool, golf course, etc.",Health insurance is a little on the expensive side.,Continue to make this a great place to work.,5.0,5.0,5.0,4.0,4.0,5.0
2019-03-28, Claims Technician,"Scottsdale, AZ",Current Employee ,Part Time schedules for students,Part Time schedules for students,0,They offer decent pay for part-time work. Very appealing for students.,Very repetitive and you're expected to be an emotional punching bag for all customers. They can say anything they want and you're expected to have no feelings while people cuss you out back to back all day. No one is happy to be in a car accident so the calls are all pretty draining.,Realize workers are humans. Provide more chances for them to destress and take care of their mental health.,4.0,3.0,2.0,3.0,5.0,1.0
2019-03-12, Account Manager,,Former Employee ,Good company - a bit of a boys club,Good company - a bit of a boys club,0,Great individuals at home office to assist - training was solid.,"Bit of boys club, specifically in Sales. Insurance sales in general is that way.","With Sentry growing and marketing more, would be nice if they looked to diversify their sales account managers. Would bring fresh perspective to the industry.",4.0,4.0,3.0,3.0,4.0,3.0
2019-04-12,,,Current Employee ,Worst company.,Worst company.,0,Nothing Nothing Nothing Nothing Nothing,The worst HR organization a company can have.,,1.0,1.0,1.0,1.0,3.0,1.0
2019-02-24, Claims Adjuster,,Former Employee ,"Not the best, for sure.","Not the best, for sure.",0,I received a paycheck as expected.,"Training - non-existent.
Management - I don't even know what to say - it was bad. They were there to tell you what you did wrong and didn't acknowledge anything that you did above the expectations.",Learn how much it costs you in employee turnover and start implementing practices that let employees grow.,3.0,2.0,1.0,3.0,2.0,1.0
2019-01-29, Claims Representative,"Salem, OR",Former Employee ,Great company to work for. They focused on learning and development.,Great company to work for. They focused on learning and development.,0,Able to work around you life. Great work life home life balance. Bay far one of the best companies to work for.,"Salaries can be better
Health insurance can be better, hard to pay deductibles and co insurance if anything major happens",Offer better pay and better benefits,4.0,5.0,5.0,5.0,3.0,5.0
2019-01-25,,,Current Employee ,Dream World,Dream World,0,Lucky to still have pension plan,"Some are favored to get ahead, others are marked for failure...lots of favoritism.",,2.0,,,,,
2019-01-09, Director If IT,"Stevens Point, WI",Current Employee ,Great place to work,Great place to work,0,"Open, collaborative culture with positive peers. Modern campus. Good pay and benefits.",Nothing that I can think of.,,5.0,5.0,5.0,5.0,4.0,5.0
2018-12-21, Associate Software Developer,,Current Employee ,Great College Co-op Program,Great College Co-op Program,0,"They treat you like royalty. Nice flexibility with hours, real world projects, and great employees.","Not many cons. If I had to be picky, they could dedicate more time for training.",,5.0,5.0,5.0,5.0,5.0,5.0
