date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-30,,,Current Employee ,Awesome,Awesome,0,"Great experience, I really enjoyed going there everyday.","No cons, except hard for me to get there on commute",,5.0,,,,,
2018-12-07,,,Current Employee ,Above VIP,Above VIP,0,"Innovative, passionate, and fun place to work",Some mediocre employees at middle management,,5.0,5.0,5.0,4.0,4.0,5.0
2018-05-07,,"New York, NY",Former Employee ,Market intelligence,Market intelligence,0,"Great benefits and work life balance, fun atmosphere","Pay was below market, hard to advance, employees get content after a while","Raise salaries to be competitive with the market, be clearer on what is needed to advance",3.0,5.0,4.0,2.0,4.0,3.0
2017-11-30,,,Former Employee ,Education professional,Education professional,0,People are awesome. The work ambience is great.,Too much bureaucracy. Could be improved.,It would be great if the organization has a clearer structure.,4.0,4.0,5.0,3.0,3.0,4.0
2017-11-26, Project Manager,,Current Employee ,Manager,Manager,0,"Passionate employees driven by a worthwhile cause, generous PTO policy (plus holidays, week off between Christmas and New Year, summer Fridays, family leave, etc.), effort to improve diversity and transparency top-down, ability to wear multiple hats and drive projects due to limited resources for hiring staff (like any nonprofit), current CEO Jeffrey Dunn is approachable and both welcomes and values employee feedback, great staff outings, strength of brand.","Top-heavy organization with a lack of understanding by executive and senior leadership on how much of a burden is placed on lower level employees holding down multiple roles at once due to limited resources and constrained budgets. Significant gap in compensation between the highest and lower-level (levels 2-5) employees. Bonuses awarded only to levels 6+ (director level and higher) ; all employees regardless of level seem to receive an annual 3% merit/cost-of-living adjustment. Growth is stifled by senior executives, going 'above and beyond' ones role is not met with opportunities for promotion, which breeds a culture of apathy among those who have been there for many years and pushes talent out the door where they will be recognized. They are trying to diversify their staff, but there is still significant room for improvement, especially at the most senior level. Differences of opinion are not as welcomed as they would initially have you believe. Very meeting heavy, more often than not too many cooks in the kitchen, takes a long time for ideas and decisions to make their way through the proper channels.","HR should not rely solely on experience to be the determining factor of compensation. Salary should not only be commensurate with experience, but with ability, work ethic and prior performance. Senior executives should not stifle growth: employees who go above and beyond their roles, disrupt the status quo, take on challenges, and show passion should be rewarded and valued accordingly - there will continue to be a revolving door for talent if nothing changes. Senior executives should communicate with ""fresh minds"" (whether young professionals recently out of college or mid-level managers brought in externally) - just because something has been done one way doesn't mean it's the right way or the best way.",3.0,4.0,5.0,2.0,2.0,3.0
2017-11-18,,"New York, NY",Former Employee ,Poor infrastructure with no upper management support.,Poor infrastructure with no upper management support.,0,The people are great and you could build friendships easily.,"Poor management, technology is severely behind, no chance for promotion, low pay, long hours, disorganization between departments, heavily budget focused.",Invest in your employees and provide opportunities to grow and learn.,2.0,2.0,3.0,1.0,1.0,1.0
2017-09-23, Intern ,"New York, NY",Former Employee ,Intern,Intern,0,"Everyone is incredibly friendly, hard working, and dedicated to the mission. A truly wonderful and rewarding place to work.","It's a small company, so transitioning to a full-time position could be a challenge. as an intern",Perhaps more professional development opportunities,5.0,5.0,5.0,3.0,4.0,4.0
2017-08-27, Associate Producer,"New York, NY",Current Employee ,Associate Producer,Associate Producer,0,"Depending on what department you are in or who your supervisor is, there is typically opportunity to pitch and experiment with new topics and projects.",If you are a new employee it is very difficult to introduce new processes to folks that have been there for a long time. Many folks function using old management skills and their industry knowledge is outdated. Lots of new folks burn out quickly.,Invest in employees with an entrepreneurial spirit.,3.0,3.0,4.0,3.0,4.0,4.0
2017-08-06, Senior Producer,"New York, NY",Former Employee ,Former Employee,Former Employee,0,"Good company values, excellent benefits, great place to work.",Need of more communication and cooperation among units,,4.0,5.0,4.0,4.0,4.0,3.0
2017-08-07,,,Former Employee ,Senior Manager,Senior Manager,0,Great company to work for they really take care of their employees,"The distribution of ""wealth"" most of the lower level people are struggling financially.",,5.0,4.0,5.0,4.0,3.0,4.0
2017-05-11,,,Current Employee ,"Fun, relaxed place to work","Fun, relaxed place to work",0,Friendly environment full of passionate people.,Department seems unsure of the direction it wants to go.,,4.0,,,,,
2017-04-21, Vice President,"New York, NY",Current Employee ,VP,VP,0,It's history speaks for itself.,"But it's history is all-but-over with a TERRIBLE new president and his band of misfit ""friends"" he likes to call ""executives."" The alienation they have caused between any employee from the old successful regime and the new staffers is unbelievable. They have destroyed a beloved brand...and a wonderful, rewarding place to call ""work.""","Lose this regime, and fast! They fire anyone with a decent paycheck, and lump their responsibilities on others for a miniscule amount of money. Morale is horrendous. Get back to what we were...a GREAT place to work...with a GREAT mission. ""Nickelodeon Street"" is not what we want to be.",1.0,2.0,1.0,1.0,2.0,1.0
2017-01-31, Cretiv,"New York, NY",Current Employee ,Great Company!,Great Company!,0,"I feel badly for anyone who has had a poor experience working at Sesame Workshop. This place is filled with not only very smart people - but people who truly care about the cause and effects which cause them to do, what they do - so very well. I am very proud of the direction the company is going in.",the hours can be long.. and yes there are cliques here and there.,"Focus a bit more on the sesame lifers. I think they feel left out or intimidated by the new hires, younger crowds and change of process. Change can wither be as painful as ripping off a Band-Aid or flow easily like water...Also continue the great work that you all have been doing. I Like it!",5.0,3.0,4.0,3.0,3.0,4.0
2017-01-15,,"New York, NY",Former Employee ,Fairly good place to work!,Fairly good place to work!,0,"The first day I came to interview, even though I didn't know anyone, people smiled at me as they passed by.

-friendly coworkers, made some great friends
-benefits for long-term contractual workers
-banana basket, appeared randomly a few times a week","The company is big, so I think it depends on what department you're in.
-Work can be repetitive
-Wish there was more time for mentorship and growth",,4.0,5.0,4.0,3.0,3.0,4.0
2017-01-29,,"New York, NY",Current Employee ,Creative,Creative,0,Mission great talented creatives who strives for better products helping children around world through reading writing learning kindness charitable organization great leadership,Mac techs incompetent no follow through for users with partial software installs no knowledge of Mac basics no callbacks on support staff top heavy,Management provides no training to techs just punches in clock,1.0,1.0,5.0,1.0,5.0,1.0
2016-12-14,,"New York, NY",Former Employee ,"Great people, great work, but lack of interest in employees","Great people, great work, but lack of interest in employees",0,"Personnel, albeit clickish, are friendly for the most part. Depending on your work, you'll actually be adding value to the company.","For a non profit that tries to educate kids, they don't seem to care about educating their employees. There is a severe lack of interest in developing employees. This is a place where people's careers goes to die. It's great if you aren't career oriented or if you are looking for a paycheck. If you are hungry to learn and improve, look elsewhere.

Also, they seemingly don't care about contractors or temps. Quite a few coworkers who fell into this category are often left out of company events.","Start caring about your employees, not just full time. The hypocrisy is hilarious. How can you effectively educated kids when you don't want to invest in your employees?",2.0,5.0,1.0,1.0,1.0,2.0
2016-11-13,,"New York, NY",Former Employee ,"positive experience, friendly people","positive experience, friendly people",0,Positive and friendly atmosphere. Everyone is pleasant and willing to help out. I got to meet the guy who played big bird which was pretty cool.,Can't really think of any,,5.0,5.0,5.0,4.0,5.0,
