date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-22,,,Current Employee ,Good Opportunities for Career Advancements,Good Opportunities for Career Advancements,0,"1. company loves their employees and definitely takes everyone's thoughts and opinions into account and works toward the best possible employee satisfactions
2. great place to work
3. all employees are very helpful and very friendly
4. Management does a great job at informing all of the employees of what is going on with the company.",1. the area is not the best which has been taken into consideration by Management and we are moving locations soon to a location that is MUCH better,,5.0,4.0,5.0,5.0,5.0,5.0
2019-04-05, Lifecycle Marketing Manager,"San Francisco, CA",Current Employee ,Great place to grow professional skills,Great place to grow professional skills,0,"* Leader in the mobile eSports industry
* Pre-IPO startup with a culture that embraces novel ideas
* Rigorous testing culture to capture the very best of industry practices and standards
* Outrageous perks and life/work balance options to take advantage of
* Health and safety-focused teams and leadership
* Excellent leadership overall, with a flat structure that makes C-suite and company executives easy to reach and talk to
* Swift issue resolution processes (personal or professional)
* A kind and responsive staff with a willingness to help culture
* Honor as a core component to company culture, which makes it a great place for people who value doing the right thing, always
* Fun-loving and inspiring coworkers
* A culture that embraces out-of-the-box problem solving
* Growing company that still maintains a healthy company culture
* Access to fun industry events like GDC
* Endless opportunities to contribute to a high-visibility product
* Super-fun offsites, company picnics, and team building events
*100% investment in employee satisfaction with many surveys, polls, and outreach efforts to inspire and improve
*Feedback on ""bro culture"" concerns met with full seriousness and focused intent to improve
* Women in Tech group created to foster and empower womens' achievement s in the workplace","* Bro Culture still improving from top-to-bottom HR practices, ongoing conversations, and redesigned events
* The focus on trying to hire more women has created long-standing vacancies currently being filled by multiple employees doing their best
* Deliverable and results-driven culture makes it a demanding workplace for people used to putting in 3 hours of solid work, then reading Kotaku articles the rest of the day
* Gym rewards/stipend still in the works (but at least we know it's being addressed)
* 401K matching still in the works (but at least we know it's coming)","Your continual focus on improvement and market leadership is your greatest strengths. I'm so proud to be in this journey with you. Our goals and values are aligned, so thank you for being so transparent with them and for leading by demonstration.",5.0,5.0,4.0,5.0,5.0,5.0
2019-04-17, Software Engineer,"San Francisco, CA",Current Employee ,Good Career Growth Opportunity for Engineers,Good Career Growth Opportunity for Engineers,0,"Good co-op program that helps new engineers grow fast
Flexibility on the area people want to focus on
Respected role model for engineers",Bad office location (not the nicest neighborhood in San Francisco),,5.0,5.0,5.0,4.0,3.0,4.0
2019-04-19, Devops Engineer,"San Francisco, CA",Current Employee ,I've been working with Skillz for almost 2 years and it's been a lovely ride.,I've been working with Skillz for almost 2 years and it's been a lovely ride.,0,"1. Being an engineer who works with infrastructure I'm supposed to be on-call. No on-call is good on-call IMO, but at Skillz the frequency is so low compared with other places I've worked at. They have dedicated on-call for every individual teams. They have meetings every week and you can discuss and adjust thresholds reasonably.
 2. Allowing teams to decide on their next quarter goals and ambitions. This doesn't mean that management is not involved at all, personally I think management has 15% power and the teams have 85% power. This is not the best part, they only expect you to finish 60% of your goals.
 3. They listen to the feedback, one of the primary complaints from many employees was that the pay was not on par with other standard tech companies, they took the feedback and updated the salary.
 4. I like the way they setup goals for promotions. Once you finish your goals you are ready for the promotion. I just hope they won't remove this in the future.
 5. Every one in the management works their a** off. I've seen the management team working late so many times.
 6. Excellent communication between multiple departments: I don't know how long this will last. Skillz is growing at a solid pace, and it is not easy to keep communication between multiple teams the same forever.
 7. They go out of their way to keep an employee at the company.","1. I personally don't eat lunch at the office (I'm an extremely picky eater, I make my own food), I see that a lot of people like to have lunch at the office so, it'd be nice if they provided lunch everyday instead of providing lunch a few days a week.
  2. It would be nice if they could increase the amount tax deductible for traveling and parking. Caltrain is getting very expensive.
  3. More than one company off-site a year would be nice. This is only a nice to have.",,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-26,,,Current Employee ,Fast-growing company with ample room to grow,Fast-growing company with ample room to grow,0,"- Everyone is very intelligent leading to stimulating conversation/ideation no matter the topic
- As mentioned in the headline, the company is growing extremely fast. This leads to an overall positive and collaborative atmosphere every day as everyone wants to contribute to this meteoric growth
- Fast-paced learning environment; every day provides a new and interesting, yet manageable, challenge, leading to rapid personal and professional growth
- Management is very transparent about the state of the company
- Great work/life balance for all employees
- Free catered dinner Monday-Thursday
- Everyone can play Skillz games at their desk","- High employee turnover
- Not an ideal location
- Occasionally can be hard to push through new proposals as there is still a lot of executive oversight into most decision-making (which is not necessarily a bad thing as the C-suite level employees are all very intelligent and experienced, it just can make progress feel a little slower)","Keep doing what you're doing! The company has been attracting more and more upper/management level employees, making it clear how well the company is doing given how hard it is to pull away talent from other tech companies in SF.",4.0,5.0,5.0,5.0,3.0,5.0
2019-04-26, Product,"San Francisco, CA",Current Employee ,Good Opportunity and Still Growing,Good Opportunity and Still Growing,0,"• Great growth opportunities
• Competitive salary
• Very collaborative environment
• Ownership of work
• Early large impact on product rather than working on minor low impact items","• Much more training and guidance structure needed for new hires or associate/junior level employees.
• Can improve on efficiency and productivity on product process.
• Still growing and filling out the hierarchy so management is spread thin.","• Delegate more accountability to those in management positions to help increase internal operation performance from department to department.
• Better mentorship programs to help new employees become rock stars.
• Hiring!",4.0,4.0,4.0,4.0,4.0,3.0
2019-04-29,,,Current Employee ,A great place to learn and grow!,A great place to learn and grow!,0,"• Interesting - you get to do interesting work with smart people
• Impactful - even if you're in a junior position, the projects you touch are always important and you feel like you're really contributing in a meaningful way.
• Exciting - being a part of a company that is really taking off is an incredible place to be. That comes with its own challenges of being able to keep up with that pace (as you'll see in a lot of the other reviews) but all in all it's a good problem to have.
• Opportunities - there are so many opportunities to learn, grow and challenge yourself here. It's a great place to be if you're ready to take your career to the next level.
• Great people who care - people who work here care about the product, are driven to do their best and are kind and considerate. While the pace of the work doesn't always allow for a lot of ""down time""/hanging out during the day (again, see above: impactful, interesting exciting opportunities) whenever we do take breaks for our company offsite, quarterly company-wide games (and other celebrations!) you find yourself surrounded by people who genuinely care.","• It's been said before (but I'll say it again) the SF location is not a great neighborhood to work in and everyone is looking forward to moving our office headquarters to a better part of the city soon.
• The pace is not for everyone. While often exciting, it can also be tiring.
• As with many startups experiencing rapid growth, changing processes can be stressful. This is a place that requires you to be able to be adaptable to change and to maintain a positive can-do attitude. If you don't, the change can feel overwhelming. BUT if you have a ""glass half-full"" outlook, you'll learn A LOT!","• Give managers trainings and workshops so they know how to handle the incredible pace of growth we're experiencing.
• Find ways to create a better mentorship infrastructure.
• Find ways to create more ways for employees to recharge throughout the week to avoid burnout.",5.0,4.0,4.0,5.0,4.0,5.0
2019-04-26,,,Current Employee ,Building the Future of Digital Competition,Building the Future of Digital Competition,0,"+ An amazing opportunity to define an entire industry
+ Extremely smart and passionate teams
+ A fun culture that plays games and strives to make gaming better","- Location is rough, its like going on an urban safari (watch where you step!)
- Cash compensation is lower than most SF tech companies, however there are real equity opportunities and earning potential
- Extremely fast scaling causes churn and misdirection from time to time. There are learnings and lessons as we continue to grow from our startup roots","Keep looking towards the future, but remember how we've come this far. Continue to promote company values and lead through examples of them.",4.0,3.0,5.0,5.0,3.0,3.0
2019-04-18,,"San Francisco, CA",Current Employee ,"Savvy founders, smart people, and incredible growth","Savvy founders, smart people, and incredible growth",0,"Savvy founders:

This is not their first rodeo. The founders have been working together for 9 years and already have a very successful exit under their belts. They are very passionate about their business and believe in sustainable, measured growth, which is so refreshing. They are detail-oriented enough to be dangerous in any aspect of the company (incl. tech, business, ops, etc) while concurrently building and executing on a grand vision for the future of esports. They are truly remarkable founders.

Smart people:

There's analytics and then there's Skillz analytics. The emphasis on data at this company is astounding. Every decision made here is based on fact, after carefully examining relevant data and potential risks. I thought I was analytical before coming here, and have quickly learned that I have a lot to learn.

Incredible growth:

The growth of this place is amazing. Skillz was #1 on Inc's fastest growing private companies in 2017, and (remarkably) the hypergrowth has continued since! It has been a great learning experience to be a part of something that's growing so fast.

Other:
Fast-paced (no 2 days are the same), good snack selection, cool office (games everywhere), solid pay / benefits","The office is not located in the best part of town, but there are lots of great food spots within short walking distance which is a plus.

Days here can be packed and ever-changing; if you don't deal well with ambiguity or don't like fast-paced environments, you won't like Skillz. If you thrive in those environments, you will love it here.",,5.0,4.0,5.0,5.0,5.0,4.0
2019-04-13,,"San Francisco, CA",Current Employee ,Great company,Great company,0,Opportunity to make a large impact and influence the future direction of a unicorn company.,There are some long days here but the people make it worth it.,Keep experimenting and iterating quickly while learning from mistakes. Continue providing sufficient autonomy for teams to innovate.,5.0,5.0,5.0,5.0,5.0,5.0
