date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-23,,"Chicago, IL",Current Employee ,Started My Career,Started My Career,0,"The best part about Snapsheet is the people that work there, I can honestly say I have become friends, not just coworkers with so many people. It has nice perks (fun lunches, happy hours, game room). When I started it was unlimited PTO but as a company grows, they have to have some regulation on that but I still am allotted a healthy amount of days off. (This is something misconstrued in a lot of reviews, it’s not only CSO that doesn’t have unlimited PTO, the only whole department that has unlimited is tech) Every year I’ve worked here, I’ve never actually used all of my PTO days anyway. I work for a team that shows they care about me whether it’s my work or personal life. Working for Snapsheet allowed me to move from a black hole of a town to Chicago and I really appreciate that.",Lack of realization that certain teams need more people.,"Not for my team in particular, but rather the customer service realm, just listen to your employees. They’re good, intelligent people, treat them that way.",5.0,3.0,5.0,4.0,5.0,4.0
2019-04-12, Technical Lead,"Chicago, IL",Former Employee ,Great Place to Work,Great Place to Work,0,"The leaders will work with you if you show up ready to work each day. Put in your best effort and you can move up quickly. Those who think you’re just going to have some cake job working from home, you’re wrong.",I don’t really have anything substantial worth mentioning,Keep developing your processes. In the months leading up to my departure the company had done a great job with that. I have no doubt the company will continue to be successful. Thank you for the two great years of with you guys!,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-20, Customer Success Specialist,"Chicago, IL",Former Employee ,Snapsheet: A rollercoaster of emotions,Snapsheet: A rollercoaster of emotions,0,"Beautiful office, great location, happy hours, free lunches. There are nice people you can meet working there. The CEO is nice and very approachable. Management may give you the shifts you want but you to wait and be persistent.","When you start working at Snapsheet you are forced to work their horrible 10am-7pm shift. You are not given a choice when hired, if you want a job at Snapsheet you are reduced to working these grueling hours for over six months until they decide they can offer you a shift change. Six months isn't even a hard time frame of working the late shift, some employees are waiting up to a year for a shift change to be offered. At that point, employees have to request a shift change, but their managers will not respond right away with an answer.

The 10am-7pm shift made me feel awful and it messed with my lifestyle. When I wanted to work the earlier shift, it took management a month to tell me I couldn't because of the CSO team I was on. This took a toll on my mental health, I felt like Snapsheet did not care about the well-being of their employees. It was very insulting. I started to see it with how they treated everyone in CSO, not just me. It's upsetting that this company asks you to adapt to their ever-changing processes and business needs but they will not adapt to their own employees' needs.

Managers in CSO are all different. They do not seem to adhere to the same expectations, disciplinary actions, or management style. Basically, you have cool managers and strict managers.

Promotions seem to go to management favorites. You will see hard workers get passed up for promotions but instead see the person that doesn't know how to do anything get promoted because they know how to grovel to management. It's very sad and disappointing.

Snapsheet treats their CSO department, for lack of a better word, like ""bottom feeders."" We are not given unlimited PTO like the other departments. We have to log in when we use the bathroom, which is so demeaning and invasive. If we do request time off, it's such a racket with managers and department heads. They do not make it easy, which is very frustrating.

QA brings down morale and does not align with good accolades you get from your managers. QA is not consistent with their audits and they are very subjective with their feedback. They do not like getting feedback themselves about how they run their department.

The work is easy, outbound/inbound calls, sometimes customers and shops are rude but you get through it. It is still a customer service job. Once you get used to types of calls you are assigned to do, they change your workflow out of nowhere. QA would then will give you a bad audit that first week of your new workflow, there is no grace period to get used to your new assigned work. It was unfair and upsetting to see QA tear apart your calls.

They had a Saturday shift rotation which was infuriating. I don't care if get a random lieu day off during the week, I don't want to be downtown on a Saturday. I want two consecutive days off in row to mentally decompress from the grueling days of Snapsheet.

ALSO, they don't give you desk drawers. you have you things just under your desk with privacy or protection.","This company needs to promote and appreciate the hard workers in CSO, because they are in no position to lose any more of them.
Please listen to your employees and don't make them feel like just another number. We are hard working people, with degrees and education, do not make us feel less than.
Be more progressive and an example of a good company that makes their employees happy.",2.0,1.0,2.0,2.0,3.0,1.0
2019-03-26, Senior Software Engineer,"Chicago, IL",Current Employee ,Great place to develop technical skills,Great place to develop technical skills,0,"- Getting to work with a wide range of new technology
- Good level of autonomy
- Biweekly hack days
- Supportive management
- Happy hour every Friday","- Working in a startup-like environment can be stressful
- Company is growing faster than roles are being staffed",,5.0,4.0,4.0,5.0,5.0,5.0
2019-03-21, Estimator,"Houston, TX",Current Employee ,**Great Job! Beats the bodyshop/insurance anyday,**Great Job! Beats the bodyshop/insurance anyday,0,"-Working Remote
-LESS stress by far!!
-Flexible with time off /shift switching for personal appts/plans
-Good pay $$$
-Cross Training opportunities
-Gifts mailed to remote employees just because
-1 on 1 meetings w/mgmt to discuss progress",-Some of the depts are on different pages with minor protocols/processes. To be expected though... no company is perfect. Doesnt hinder work/productivity.,Keep it up! Thanks for the positive environment. Recent surveys sent out on how to improve def shows us you care.,4.0,5.0,5.0,4.0,5.0,4.0
2019-03-04,,"Chicago, IL",Current Employee ,"Great people, great place.","Great people, great place.",0,"- Everyone here is a problem solver. We are encouraged to build solutions and implement quickly.
- I always feel supported. Leadership, my manager, my team… I know they trust me and have my back.
- Fun perks: 4:30 HH every Friday, free lunches each month, snacks are always available, parties and celebrations are frequent as are impromptu events like a Mario Kart competition over lunch or a team potluck.
- Medical benefits are above average and the new parental leave is great.
- I love getting to be a part of what we are building here at Snapsheet. I love knowing that we are building the products that are truly changing an industry.
- I genuinely like the people here.
- I love the office space and the convenient location.","- More transparency throughout the organization.
- We need to talk more frequently about the vision for Snapsheet and our strategy for reaching our goals.
- We need to celebrate wins together. Signing a contract, launching a product -those are fantastic wins and we all want to celebrate our business growing.
- People are nice here. Sometimes this results in a lack of direct feedback.",Keep communicating! We are proud to work here and we want to know where the business is heading and how we fit in.,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-25,,,Current Employee ,Growing Company with Untapped Potential,Growing Company with Untapped Potential,0,"In my time at Snapsheet I have been lucky enough to continue to learn and be challenged on a daily basis. The atmosphere here is one of collaboration and curiosity. Having worked in the Chicago tech space for a few years, I can honestly say that my time at Snapsheet has exceeded my expectations. The company respects it's employees and values their lives outside of work.","Every new company has growing pains, but the mentality at Snapsheet is to ""fail fast"", recognize when something isn't working, reevaluate the situation, and acknowledge short comings in order to find a better solution quickly.",Continue to keep an open mind and to be approachable to your employees. Continue to encourage creative and innovative thinking. Continue to acknowledge your employees for the impact they have on the company. Never let yourselves get too far removed from the people at ground level who keep the gears turning.,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-04,,,Current Employee ,Snapsheet is changing the industry,Snapsheet is changing the industry,0,"Great office, Great team to work for who are trying their hardest to make the company better and change the insurance industry",The company is overall young and will sometimes trip up while trying to make things better.,,4.0,,,,,
2019-03-24, Customer Success Specialist,"Chicago, IL",Former Employee ,Okay,Okay,0,"*location
*benefits - medical, dental, vision
*snacks & drinks
*the people/ culture
*pay? Kinda

It is a pretty building, pretty office and the benefits are great. There’s snacks and drinks of all kinds. The people are fun. As my first job out of college, I gained customer service skills, soft skills and what I don’t want to do moving forward.","*no commuter freebies
*very young
*demanding with no rewards
*you have to know someone or stay every Friday and make friends with the managers to get promoted
*bilingual associates do not get paid more for additional work

I think less beer and more help for commuters should be implemented. The company is composed of mostly young people so there is pressure to drink and be part of the after work party culture. Top performers do not get rewarded, they get a “great job” but that means nothing; my hard work should be respected. Promotions are for the ones who do make friends with everyone, the ones who do stay every Friday to drink. Inbounders should be better taken care of. They handle the tough calls yet outbounders get the most rewards for leaving voicemails. Appreciate bilingual speakers, they take more calls, they make their own emails and texts that take time out of their day or create the same amount of resources for them as English speakers have readily available.","Try to be more professional. When raises were to be implemented the date kept being pushed back. Treat your top performers as TOP performers. Listen. Become more aware of inbound associates, truly. Get all the other departments on the same page. Estimators should know what the floor knows. Don’t demand an absurd amount of calls, to score high in QA we have to hit everything and it takes time.",2.0,3.0,2.0,2.0,3.0,2.0
2019-02-09, Tech Lead,,Current Employee ,Lucky to be working here!,Lucky to be working here!,0,"Snapsheet is an amazing company to work for - since I have started here I have developed life long friends, grown professionally and learned a ton about the auto insurance/tech industry. The office is incredible - we have unlimited snacks, a cereal bar, coffee and beverages, a game room, a NAP room, and a super fun happy hour every Friday at 4:30. To top it off we have great out of office events - our holiday party and summer picnic are an absolute blast!

Like any call center - the job can be redundant but we have such a comfortable space, very limited micro-management and there is a ton of room for promotion if you work hard and commit to the company. The call per hour expectation is not crazy either! The pay is great and the job is INCREDIBLY easy - plus we have AWESOME benefits.

As a Tech Lead I have experienced nothing but support and have been cheered on by my manager and peers. I have a great team of agents that I get to assist, grow with, and learn about on a daily basis. Teach Lead's work load is not big and you create the way your day looks - you create your own success!

AND - To reiterate - the people here are amazing. I have created friendships that I know will last a lifetime and have made connections with people who I would have never connected with, had it not been for this company. When you walk in the door the first person you see is our amazingly sweet receptionist who can bring a smile to anyone's face! If you happen to walk by our CEO expect to see him in a flannel, some duck boots and for him to have a friendly smile on his face. It's just simply an awesome place, filled with awesome people.

A job is what you make it and Snapsheet provides the opportunity for you to have nothing but a wonderful experience here - and I am witness to that!",As with any job there are cons. My biggest complaint is that the cereal bar doesn't have Cheerios.,,5.0,5.0,5.0,5.0,5.0,5.0
