date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-07, Lead,,Former Employee ,Great job,Great job,0,your schedule was always flexible,micro management was the most difficult,,5.0,,,,,
2019-04-23,,,Former Employee ,"Good leadership, strong vision and IT team, good products","Good leadership, strong vision and IT team, good products",0,"Lots of Type A former GE and UTC leadership and employees bring in a culture of high expectations and long hours. If you like working with people who deliver with what they promise, this is a good place for you.",Reorganization due to financial headwinds did not allow employees a chance to relocate or take alternate role within company.,Retain good employees that help improve your culture and goals. There have been too many good people lost in the 2018-2019 restructure.,4.0,3.0,4.0,4.0,5.0,4.0
2019-04-22, Factory Worker,"Providence, RI",Former Employee ,Great work environment,Great work environment,0,Good people and decent pay,Long hours and little breaks,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-11, Heavy Equipment Operator,"New Britain, CT",Current Employee ,Met a lot of kind and interesting people,Met a lot of kind and interesting people,0,"Easy job, convenient location, good hours and lots of overtime",Insurance is kind of expensive and doesn't cover much,Pay more attention to machine maintenance,4.0,4.0,4.0,4.0,4.0,3.0
2019-04-23,,,Former Employee ,Sales,Sales,0,Got some experience with SAP and Salesforce,"Driving is half the job, in 18 months I traveled over 40,000 miles to different Home Depot’s in the area. You work directly with Home Depot associates who don’t really care for what a vendor (which is what you are) has to say. Very competitive to move forward, especially in a city you would like to live in.
You are in a different Home Depot every day, on hands and knees and in overhead grabbing boxes and stocking shelves. For the first 9-10 months it seems ok but soon after it begins to just be repetitive.
Decent first job overall, but know that it most likely has a means to an end and is a stepping stone to another company.",Operations needs to be more transparent. Too much change in the positions day to day tasks lead to confusion of the overall goal.,3.0,2.0,2.0,3.0,3.0,3.0
2019-04-07, Engineer,"Charlotte, NC",Former Employee ,Great Company & Great People,Great Company & Great People,0,"Great products, innovative employees and aggressive leadership. Opportunities to work on a variety of projects across functions and business units.","Some HR functions are lacking (slow to fill vacancies, provide reviews) but nothing worse than a typical company.",,4.0,5.0,5.0,5.0,3.0,5.0
2019-04-17, Engineer,"Towson, MD",Former Employee ,Fun but bumpy ride,Fun but bumpy ride,0,Great product portfolio - very strong engineering teams across the board.,Big company with the stability of a little company. The good times come and go like the tides. The morale shifts with the prosperity of the company.,"Work to stabilize the impact of fiscal shifts on the employees - It became clear that we were not well suited to handle a single bad quarter financially, resulting in pressure, hiring freezes and layoffs .",3.0,1.0,2.0,4.0,3.0,3.0
2019-04-02, Account Manager,"Denver, CO",Current Employee ,Great company to work for.,Great company to work for.,0,Strong career development and support from upper management,There are no cons for Stanley Black and Decker,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-07,,,Former Employee ,Great opportunity to learn and gain valuable experience but not a long term career,Great opportunity to learn and gain valuable experience but not a long term career,0,Industry leader. Exposure to top retailers in world. Lots of intelligent people to learn from.,You’re just a number not a asset to the company. Consistent layoffs every year. Low employee moral. Most of leadership only concerned with numbers not their teams. Culture suffering as a result. Good employees voluntarily leaving.,Need to take people skills into account when promoting people to leadership positions.,3.0,2.0,2.0,3.0,4.0,2.0
2019-03-25, Financial Analyst,"Towson, MD",Former Employee ,Great company with a ton of look forward to.,Great company with a ton of look forward to.,0,"Excellent employee discounts
Good Health and retirement benefits
Very smart leadership team
Great brands
Overall MGMT is very good","Below average pay
Work life balance can be rough sometimes
Knee jerk reactions to the economy
Finance first organization with little consideration for loyalty",Consider reviewing how competitive employee compensation is. Don’t look at employees as just a number when times get rough.,4.0,3.0,3.0,5.0,3.0,5.0
2019-03-21, Customer Service Representative,"Baltimore, MD",Former Employee ,Being a CSR,Being a CSR,0,"Working for this high caliber company is exciting. Very good benefits pertaining the tools, also work with a lot of other companies to get discounts. Depending on a manager you can get close and get support.","You’ll often get forgotten, not much growth if at all, most of people are here for 5-6 years. After company joined people are saying it is getting worse.","Comparing to other local comapnies pay is lower, not expected from such a large company with people working for so long in this role. Would be nice to get growth opportunities or be considered forst since we know company so well and all the products.",4.0,4.0,4.0,1.0,3.0,4.0
2019-03-18, Sales Coordinator,,Former Employee ,Best part was being able to put SBD on resume,Best part was being able to put SBD on resume,0,"Sounds impressive to say you worked for Stanley Black & Decker
worked independently A LOT","You're going into Home Depots
Driving a lot -- drove over 24,000 miles in 12 months
They don't prepare you for what you're getting into, I was told it was a rotational development program when in reality I was just going into Home Depots and making sure displays for their power tools were set correctly.",,4.0,4.0,3.0,3.0,3.0,3.0
2019-03-20, Field Engineer,"Hartford, CT",Current Employee ,"Good for a Huge Conglomerate,","Good for a Huge Conglomerate,",0,"Good salary, interesting products, strong brands, intelligent finance group, Wide range of opportunites.","Large and inconsistent, no training, benefits are being squeezed recently (e.g. Stock purchase plan taken away, no cost of living increases). Top management can be cliquey","Try to implement a commercial strategy that looks beyond 12 months. Invest in training, people are your greatest asset and will stay and thrive.",4.0,3.0,2.0,4.0,4.0,3.0
2019-04-03, AP Manager,,Former Employee ,Shared Services,Shared Services,0,Potential for Advancement within shared services,Shared Service environment focused on headcount reduction,,3.0,,,,,
2019-03-15, Product Manager,,Former Employee ,Overall rewarding workplace,Overall rewarding workplace,0,"Good teamwork environment, strong investment in growing the business","In some key roles such as operations, technical experience/expertise is not a strong consideration on management hires. This can lead to a lack of manufacturing excellence to match a strong engineering team.",Look to hire in some outside manufacturing experts to compliments those in-house promotions where manufacturing experience is limited.,4.0,3.0,4.0,3.0,4.0,2.0
2019-04-19, Administrative Assistant,"New Britain, CT",Former Employee ,Unreasonable expectations,Unreasonable expectations,0,Cannot think of one Pro working for this Company.,"Extremely long hours, meetings started at 5 or 6 a.m. at least 3 days a week. Work load was unreasonable with expectations for immediate results. Poor communications. Too top heavy and no regard for personal life balance.",Stop being so self absorbed and consider and think about the fact that your employees have a life outside of work. Some employees are down right rude in front of co-workers - that should not be tolerated.,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-04, IT Director,,Former Employee ,Big company. Great benefits.,Big company. Great benefits.,0,Lots of opportunity. Can transfer to other business units.,Sometimes maybe too big? Still a god place to work,,5.0,4.0,5.0,5.0,5.0,4.0
2019-03-01, Operations Manager,"Hartford, CT",Former Employee ,Great Company to work for.,Great Company to work for.,0,"Good Salary, Benefits and progression","Layoffs, backswords thinking at times.",,5.0,3.0,3.0,4.0,4.0,4.0
2019-03-26, Product Engineer,"Southington, CT",Former Employee ,Learned where I didn't want to work.,Learned where I didn't want to work.,0,Made good friends there. Good benefits and discounts.,"Not too many good managers. Although my last manager(a brief experience) had the potential to be a great professional the environment and culture were not supportive for either of us.
Not a solid engineering experience especially if you are beginning your career.","Do your jobs and manage your teams and your people.
Treat them like they are worth something and treat them equally.",1.0,1.0,1.0,1.0,1.0,1.0
2019-02-28, Financial Analyst,"New Britain, CT",Current Employee ,Good for Stability,Good for Stability,0,"Great Benefits
Company has growth potential","Implicit Cut Throat Culture
Lack of support and training",,3.0,3.0,2.0,3.0,4.0,3.0
2019-02-27, BI Architect,"New Britain, CT",Current Employee ,Good Decision,Good Decision,0,"I have been working at Stanley Black and Decker post merger (Full Time). Merger & Acquisitions have resulted in multiple growth opportunities in BI space. Several new technologies have sprung in last 5 years giving ample scope for Data Analysts, Data Scientists.",IT Spending cuts each year is causing backlog of projects.,Suspend spending cuts until next 2 years.,3.0,3.0,3.0,3.0,3.0,3.0
2019-02-16, Installation Manager,,Former Employee ,Lots of layoffs,Lots of layoffs,0,Great benefits and okay salary.,A lot of restructuring and layoffs which they do not keep good loyal employees and managers,"If you must do layoffs, maybe consider cutting from the top and not at the field/branch level.",3.0,3.0,3.0,3.0,4.0,2.0
2019-02-04, Engineering Intern,"Towson, MD",Former Employee ,Good Company on Hard Times,Good Company on Hard Times,0,"Professional support
Guidance
Friendly
Training
Employee Discounts
Employee Resource Groups
On campus cafeteria with decent food and pricing","Lack of communication
Email tag
Traffic at entrance due to security measures
A lot of pointless meetings",Be transparent when it comes to hiring interns on full-time! I was told a position was being made for me and then SBD hired somebody else for the job. Had to find another job last minute.,4.0,4.0,5.0,3.0,5.0,3.0
2019-02-13,,"Towson, MD",Former Employee ,Great Tools - Poor Corporate Culture,Great Tools - Poor Corporate Culture,0,"Excellent discounts on the Stanley, Black and Decker products","The corporate culture is very siloed and very cut throat, rather than collaborative. This leads to a high level of turnover and cost cutting measures by the organization to pad their bottom line results in frequently not back-filling positions that become vacant. This causes additional strain on the remaining staffers and the negative cycle continues.

Projects are not completely thought out prior to engagement and the timelines are often not feasible or reasonable. Due to this, the management is in a constant state of covering themselves by throwing vendors or staff under the proverbial bus.","Set more attainable timelines, think through projects more effectively before starting and see if any of the other business units are already solving the same problem rather than reinventing the wheel and VALUE YOUR EMPLOYEES - they are not just seat fillers, they are people. And showing them that they are valued would result in far less turnover.",2.0,1.0,1.0,1.0,2.0,1.0
2019-02-14, Intern ,,Current Employee ,engineer intern,engineer intern,0,great team-working and friendly environment,"timings are bizarre, slow pace",,2.0,,,,,
2019-01-30,,"New York, NY",Current Employee ,Great Place to Work!,Great Place to Work!,0,"Great place to work, always innovating!",the company is growing too fast therefore the communication needs to keep pace,ensure that the company drives innovation at all levels & regions,4.0,4.0,5.0,5.0,4.0,4.0
