date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-30, Senior Applications Developer,"Seattle, WA",Current Employee ,Great place to work!,Great place to work!,0,"Starbucks has a really great culture .

Work life balance is good, they don't push to make work your main priority and stress you should have a healthy life outside the office.

Benefits are really awesome. Paternity leave is really generous, 401k is great, stock grants and discounted stock purchases, and a college fund through ASU for a bachelors degree are pretty nice perks.",Its a big company so things move slowly and there is still a fair mount of siloing between orgs.,,5.0,5.0,5.0,5.0,5.0,5.0
2014-07-22, Barista,,Former Employee ,Great company if you can handle it,Great company if you can handle it,0,"The benefits are out of sight. I was offered Starbucks stock after my first year, as well as 401k through Fidelity, and a superb Blue Cross Blue Shield health insurance plan. You can cover your whole family with that plan, and it can include domestic partners. I got a pound of free coffee every week and free coffee all day (although I think that was specific to my store, which bent the rules). There's also an Employee Assistance Hotline which you can call if you're having issues in your personal life. And HR is really responsive--they won't see you as a troublemaker if you're legitimately having an issue. They will handle it.

Also, sexual orientation and gender identity are included in their anti-discrimination policy. None of the gay or lesbian people on my staff got crap for it, even though about half the staff was quietly conservative Christian and Republican.

If you're a people person, you develop relationships with the regulars and it's fun to make their day. I felt it was pretty rewarding to make drinks. I loved the artistic side of it. And again, the free coffee...just awesome.

They're also usually pretty flexible about scheduling, so it's ideal for if you're working two jobs or are a student. I worked with people in their 50's who had their own careers, but worked part-time at Starbucks for the health insurance.

The vacation time system is also pretty sweet. I worked with a guy who was there for 10 years and took like a month vacation to his home country.

The staffs can be really tight...or they can be really vicious. But a spirit of teamwork is definitely encouraged. And exemplary work is recognized.

In an 8-hour shift you get three breaks: one 30-minute clock-out lunch, and two 10-minute on the clock breaks.

You'll also occasionally get those amazing customers and you live for seeing them. We had four customers who every year each put 100 bucks in our tip jar around Christmas. Sometimes those people can make your day with the things they say and do.","If you work at a store worth their salt they will work you to the bone. Especially in a large or high-volume store there is so much to do, so much to clean. A morning shift person will have the absolutely insanity of a morning rush, but an evening person should be expected to handle evening rushes with a limited staff as WELL as get the place spotless in what I believe is not a reasonable time. We could get the place clean by 10:45, all right--if we broke the health and corporate rules about when to tear things down. And of course if that was ever found out we were in deep. And if we went over 10:45 we were also in trouble. Management sometimes has some very unrealistic ideas about what the job actually entails and what rules and boundaries should go with that.

The pay in my state starts near minimum wage. The ceiling for a barista is $10/hr, which you hit when you've been there about five years. But tips help, and some high-volume affluent stores will have tips up to $4/hr.

There's also a tendency to have fanatical management. Other ""kindly"" corporations like Whole Foods have this too--the managers drink the Kool-Aid and worship the company. I once spoke with my manager because my schedule was being changed with less than 24 hours notice, and that was against state law. She got this crazed look in her eye and spat ""Starbucks law goes above state law!"" But that's only a tendency. There are some pretty cool managers out there. Mine was insane.

The customers are spoiled rotten so they also get kind of unreasonable about their Starbucks. They will stand there and demand that you make a drink five times because there's still foam on that latte and they said NO foam, not LIGHT foam. This is a business model of Starbucks': everyone is special, and we will bend the rules for everybody. And I've had people scream at me and call me a (b) and promise me that they would make me lose my job. I've also had stuff thrown at me. But, that's also just customer service.

These last few years Starbucks has been obsessed with selling, too. There's a lot of pressure on the staff to make sure people go home with $15 bags of coffee and sub-par espresso machines. It's hard to maintain the relationships they want us to maintain while trying to sell stuff.

Overall, if you can put up with the customers and the physical demand, and if benefits are more important than income, do it. It's rewarding in its own way. Wear insoles.","Drop the obsession with sales. You're damaging customer relationships and making yourself look like ""Just another corporation.""",4.0,4.0,3.0,5.0,5.0,2.0
2019-04-28, Barista,"Wyomissing, PA",Former Employee ,Starbucks Barista,Starbucks Barista,0,A solid work environment and pay,Sometimes it would get really busy and there were not enough employees.,,5.0,,,,,
2019-04-28,,,Former Employee ,Nice,Nice,0,Had some good benefits including free coffee,Stressful environment esp drive through,,4.0,3.0,3.0,3.0,,
2019-04-28, Shift Supervisor,,Current Employee ,A compant that cares,A compant that cares,0,"Fun work environment, free drinks on shift, discounts, stocks, college tuition program with ASU, free bean markout , flexible scheduling, free food on shift","Work environment can get stressful, constant changes with product, unfrequent minimal pay raises, low pay",,4.0,,,,,
2019-04-28, Shift Supervisor,"Buffalo, NY",Current Employee ,Great Benefits,Great Benefits,0,"Great Benefits
fast moving
always something to do
opportunity to make people smile","working with a diverse team can lead to interpersonal conflict.
on your feet all day
in house technology dated",,4.0,4.0,5.0,4.0,5.0,4.0
2019-04-28, Shift Supervisor,"Glen Ridge, NJ",Former Employee ,Mixed Feelings,Mixed Feelings,0,"Enjoyed my team and keeping the store at quality standards, coaching baristas, and helping them grow",Slow to react management; too lackadaisical,"When there are multiple serious complaints about illegal activity of your employees, investigate, and remove them. It’s very unpleasant and uncomfortable to work in such an environment knowing what the person does in free time is against company philosophy and standards",4.0,3.0,5.0,5.0,3.0,2.0
2019-04-22, Barista,"Denver, CO",Current Employee ,Good job but not a career,Good job but not a career,0,Starbucks is an amazing company that will allow you to grow in many different capacities.,"Too many external hires, not enough internal growth, huge push for numbers but has gone away from making meaningful connections. Stores can be cliquey and standards are not followed throughout all the stores.",Go back to missions and values. Start allowing meaningful connections rather than focusing on numbers and drive thru window times.,5.0,5.0,4.0,2.0,5.0,5.0
2019-04-26, Trainer,"San Francisco, CA",Current Employee ,Pretty Good,Pretty Good,0,"Good benefits
Nice co-workers
Fast paced
Flexible schedule
Easy to find hours","Low-medium pay
Customers can be very picky about coffee in the mornings
Fast paced
Lots of very young employees",,4.0,4.0,5.0,3.0,3.0,4.0
2019-04-25, Barista,,Current Employee ,Not a bad part time job during school,Not a bad part time job during school,0,Usually make pretty good tips,Long hours on your feet,,4.0,,,,,
