date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-08, Technical Support Specialist,"Detroit, MI",Current Employee ,Best company I've ever worked for!,Best company I've ever worked for!,0,Flexible and understanding! Highly motivated team! Potential to grow!,"The only downside, is that I can't tell people what we're working on most of the time. Though that is to be as expected with most any job when working on unreleased things.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-10,,,Former Employee ,Great People,Great People,0,"The people were awesome, met some of my best friends.","At the time, they lacked a company vision. From what I hear now, they're doing much better.",,4.0,5.0,4.0,5.0,5.0,4.0
2018-11-06, Partnerships Manager,"East Los Angeles, CA",Current Employee ,A Fun Family Feel,A Fun Family Feel,0,Everyone is very positive in attitude. If someone doesn't know the answer to help in one area we work together to find someone else in the company to help. It feels like a family and I love it. Best job I've ever had.,"I haven't had any bad experiences. It's literally fun reaching out to clients, helping them grow, seeing the satisfaction they get with the results we help with. I'm very blessed to be with this company and be led by this team.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-07,,"San Francisco, CA",Current Employee ,A great company to work for!,A great company to work for!,0,"- Very open and supportive environment
- Everyone is passionate about the company and and its mission
- Awesome benefits
- Dog friendly",Can't think of anything at the moment.,Thank you for always being so approachable and transparent. Continue to cultivate creative ideas and keep up the great work!,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-06, QA Engineer,"San Francisco, CA",Current Employee ,Experience so far,Experience so far,0,"100% trust and faith in decisions you make, highly motivating mentors, encouraging leadership, no micromanaging of any sort, and a team committed to helping you succeed. The benefits are a huge plus, and the office has a very ""personal desk"" feel to it. Some more experienced team members even host classes for different platforms/mediums from time to time to sharpen your understand of the platform and add another skill to your professional arsenal. There are dogs here. Good ol' doggos. Company is very diverse, positive, and have a good sense of humor/comedic timing.","Major projects and crunch time can make you step out of your comfort zone. The market space contains some pretty toxic competition you'll have to grin through. If you need your hand held, that doesn't happen here. You are 100% responsible for your personal and professional growth. Everyone has projects and tasks to complete, and while they can help you from time to time, during major pushes is not the time to try to learn the job you were hired to do. This can be a huge change for some. Travel from outside the city and even in the city can make for a headache of a commute.","Continue to walk this path, and continue to do so along side us. Keep setting goals ahead of ourselves that are outlandish so we can keep crashing through them. Do not hesitate to ask us how we are feeling or what our opinions on something are, we will be honest with you the same way you are honest with us. Get more doggos into the office!",5.0,5.0,5.0,5.0,5.0,5.0
2018-11-06,,,Current Employee ,"great company, even better people","great company, even better people",0,"- high IQ/EQ leaders and management
- dog friendly
- high growth opportunities
- transparent and honest culture","- founders sometimes make decisions without talking to the rest of the company and management
- the user demographic can be a challenging one to work with and try to grow a business",,5.0,5.0,5.0,5.0,5.0,5.0
2018-08-16, Software Engineer,"San Francisco, CA",Current Employee ,Awesome Company Building Innovative Products,Awesome Company Building Innovative Products,0,"- Everyone is passionate about the mission
- No politics or red tape
- Coworkers are great people I enjoy being around
- Fun products
- Good benefits and perks
- Collaboration across teams is incentivised","- Loud, impatient users who complain publicly and demand perfection
- Significant amounts of legacy code",,5.0,5.0,5.0,5.0,5.0,5.0
2018-06-18,,,Current Employee ,Streamlabs is an exceptional company to work for!,Streamlabs is an exceptional company to work for!,0,"- They listen to every bit of feedback given, good or bad, from both the employees and the community, and they learn from it and improve on it.

- Local and Remote Employment.

- The employees and management are your friends. Everyone enjoys each others company and are always there to talk when you need it.

- Very exciting job. You get to work with like-minded people, both employees and clients, and can be rewarding in every way.

- The company is constantly growing, releasing new products, new features, and new users. Every. Single. Day.",- A little bit unorganized from time to time and could be managed a bit better. There is always room for improvement somewhere!,,5.0,5.0,5.0,5.0,4.0,5.0
2018-06-12,,,Current Employee ,Exciting place to be as gaming and streaming continue to rise in popularity,Exciting place to be as gaming and streaming continue to rise in popularity,0,"-Senior management, CEO, and President are fantastic and stand behind the company values and customer needs
-All employees and CEO maintain an open line of communication at all times
-Very open minded team members, every idea is heard
-Product is popular and loved by many in the community
-As busy as a startup is, they respect employees' work-life balance

Perks: dog friendly, free snacks/catered lunch, gaming and company outings","-Located in San Francisco (however, very accessible from BART as it's located directly above the station)",,5.0,5.0,5.0,5.0,4.0,5.0
2018-06-04, Software Engineer,"Remote, OR",Current Employee ,Strong culture - Freedom to build cool things,Strong culture - Freedom to build cool things,0,Strong engineering and product culture. Very hardworking team members. Freedom to build high impact products. Little to no management overhead.,No one is looking over your shoulder and code reviews are rare. Little mentorship especially for remote employees.,Remain focused on making users happy. Stay lean and hungry.,5.0,5.0,5.0,4.0,5.0,5.0
2019-02-08, Software Engineer,"Vancouver, BC (Canada)",Current Employee ,The place to be if you want to combine a great job and a pleasant life,The place to be if you want to combine a great job and a pleasant life,0,Nice and caring people. A strong team building and an awesome culture,Some pressure at critical delivery periods,,5.0,5.0,5.0,5.0,5.0,
2018-11-06,,,Current Employee ,Great company for builders,Great company for builders,0,"Transparency, Autonomy, Smart People & Culture","Startup growing pains, flexibility leads to lack of structure",Stick to what you are doing,5.0,3.0,4.0,5.0,4.0,4.0
2018-11-06, Graphic Designer,"Vancouver, BC (Canada)",Current Employee ,Amazing company to work for,Amazing company to work for,0,"- Benefits provided are exceptional
- Managers don't ""watch over your shoulder""
- Often team get-togethers boost morale
- Dog friendly office","Revision feedback on certain products can be slow at times, but this is rare.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-02,,,Current Employee ,Great workplace,Great workplace,0,"A lot of trust and autonomy provided
Great transparency
Great leadership & people
Data and results driven - go over company numbers
Great benefits","Things could be a bit more codified, but then again, appreciate the flexibility","Keep being transparent with the team. We are seeing great growth with the company, let's always remember to strengthen our culture.",5.0,4.0,5.0,5.0,5.0,5.0
2018-06-15, Graphic Designer,"Vancouver, BC (Canada)",Current Employee ,Best job I've ever had!,Best job I've ever had!,0,"• Great office culture. Laid back and supportive.
• Amenities, fully stocked kitchen.
• Competitive Wages, opportunities for growth.",• Some toxic competition from rival companies.,,5.0,5.0,5.0,5.0,5.0,5.0
