date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-14, Software Engineer,"New York, NY",Current Employee ,The company is great for me for growing my career,The company is great for me for growing my career,0,The company has a budget for engineers' professional development so for example somebody can work on an open source project and get paid for it. So this was a huge deal for me.,I have face any cons yet.,,5.0,5.0,5.0,5.0,4.0,5.0
2018-07-03,,,Former Employee ,Good place to learn if you are a software engineer,Good place to learn if you are a software engineer,0,"- Most people are genuine, smart, and helpful.
- There is not a lot of pressure put on you by management to work overtime, good ""work-life balance.""
- There is a decent amount of transparency from leadership.
- If you are a software developer, there is a lot of room to learn and grow - Stride prepares you to be VERY marketable when you decide to look for a new job.","In order to attract talent and new business, Stride seeks to parallel product companies by boasting a strong culture, values, as well as a diverse and cohesive workforce. However, being a consultancy that sends its employees to client offices to work, Stride struggles to practice what they preach in regards to strong company culture.

Employees often identify more as an employee of the client than of Stride, or, conversely, Stride employees can feel isolated at a client since they aren't always able to fully participate in company culture and activities that the client offers.

For such a small, ""flat"" organization - it takes a long time for change to happen. This is because management is always focused on landing new clients and ensuring current clients are happy.
This makes getting a promotion, raise, or training very difficult at times as it is always de-prioritized in order to deal with client issues. Of course,this is not an easy issue to fix and has a lot to do with Stride's business model.

Stride is a difficult place to work if you are NOT a software developer as there is very little room to grow and there is little support for you. It is difficult for leadership to understand your value if you are not billing at a client and directly making Stride money. For this reason, employees who work at HQ are under pressure constantly to prove their worth. Because management is focused on clients, employees who work at HQ don't get the mentorship or support they need .","Leadership needs to better understand that proper training, salaries and other investments in their employees is key to growth and success long term. Stride will never please their clients if they fail to ensure their employees are equipped and properly motivated .",3.0,4.0,3.0,3.0,3.0,2.0
2018-02-23, Software Engineer,"New York, NY",Current Employee ,Awesome place to work!,Awesome place to work!,0,"- Incredibly inspiring CEO
- Lots of learning
- Awesome people
- Variety of projects
- Democratic decision making
- Zero tolerance harassment policy (safe space to work!)",I can't think of any.,Keep up the good work!,5.0,5.0,5.0,5.0,4.0,5.0
2018-02-23, Software Engineer,"New York, NY",Current Employee ,Great Place To Work and Learn,Great Place To Work and Learn,0,"* Exposure to different code bases, business problems, clients, and work environments.
* Supportive community of developers.
* Supportive and encouraging management.
* Learning.","There can be some uncertainty around assignments, but this seems par for the course of consulting. It's just something to be aware of in thinking about if its right for you. Stride does a lot of work, however, to reduce that uncertainty and make sure your consulting engagements are rewarding and appropriate, so that is appreciated.",,4.0,4.0,3.0,4.0,3.0,4.0
2018-01-28, Developer Consultant,"New York, NY",Current Employee ,Best consultancy in NYC,Best consultancy in NYC,0,"Great communicative company leadership that genuinely cares about its employees and understands that our success is their success.

Great pay, and leadership that trusts you to manage your own schedule.

Ever improving portfolio of great clients.

Lots of room for growth and career advancement.

Super interesting and emptheic co-workers with diverse skills and backgrounds.

All clients are in NYC and you don’t have to travel.",Health insurance options are not up to par with similar tech companies.,"Keep doing all the great things you’re doing including the increased emphasis on hiring senior talent. Consider investing in improving the company’s branding and marketing, and revamping our benefits particularly our health insurance options.",5.0,5.0,5.0,5.0,4.0,5.0
2018-01-23,,,Current Employee ,5 Stars for a Reason,5 Stars for a Reason,0,"Leadership that actually cares about the happiness and growth of it's employees. Every place I've ever worked has said it cares, but Stride really does. It has demonstrated this multiple times by sacrificing short term revenue for the long term happiness of an employee.","Our clients are all over the city so we don't see each other every day. The client teams are getting larger so you see more Striders everyday, but it's still not everyone.",Do everything you can to maintain this wonderful culture and hiring standards as we grow.,5.0,5.0,5.0,5.0,5.0,5.0
2018-01-22,,"New York, NY",Current Employee ,Challenging work and no travel,Challenging work and no travel,0,"The people. Striders are a fantastic group of folks. It's a unique blend of intelligence, diversity, thoughtfulness and fun! For the most part the clients are also great. I've learned a lot during my time at Stride as there is always a new challenge.
The work. Stride does technical consulting and development work that is core to its clients' businesses. Striders get to do this work without having to get on planes. This enables me to have a full life outside of work.",Not having the time to be involved in everything I'd like to be involved in. However I appreciate the ability to have work life balance and the freedom to decide.,Continue to be transparent and inclusive as we grow. I really enjoy being part of building this great company!,5.0,5.0,5.0,5.0,5.0,5.0
2017-04-06, Software Engineer,"New York, NY",Current Employee ,A truly unique place to work,A truly unique place to work,0,"Stride is, without a doubt, the most unique place I have ever worked. There are a lot of things that make Stride an amazing place to work but I will just touch on a couple of them.

The first thing that really strikes me about Stride is the support that you feel from the leadership team. I feel that leadership understands my personal goals and is dedicated to helping me achieve them. And the side-effect of an amazingly supportive leadership team is a culture of support that permeates through the whole Stride team.

Stride is the first company I have worked for where the core values actually mean something. The values don't merely exist as text on a page, they are substantive and no material decision is made without consulting our core values.

As an example, one of our core values is to learn from failure. Of course, in order to learn from failure, you first must fail. The leadership team actively encourages you to become better by stretching your skills (both as a consultant and as an engineer), even if that means failing along the way. Practically, this means there are few (if any) bounds to personal and professional development.

I could go on with reasons that Stride is a special places (including great benefits, flexibility, etc.) but I will leave it with the above.","Because we co-locate with clients, you don't get to spend as much time with fellow Striders as you might like.","Continue to be selective with hiring. Part of what makes Stride so unique is that team members of extremely skilled engineers, but they are also just awesome people.

Also, Stride has a very strong reputation continue to",5.0,5.0,5.0,5.0,5.0,5.0
2017-04-03,,,Current Employee ,Stride makes me feel like I truly belong,Stride makes me feel like I truly belong,0,"Stride's core values are real (not just on paper).

Caring and nurturing environment that is helping me learn and grow. As a female developer, I feel really comfortable at Stride and at my client. I used to have a fear of public speaking but now really enjoy leading client retrospectives and speaking at meetings.

Meetings are actually interesting and productive (I did not think it was possible but it is).

Professional development and content generation time.

Company is very transparent and my input is valued (even though I'm pretty junior).

Great work/life balance with fun monthly socials.

Really great people.","Challenging to get a job with little experience.

Only working with a few fellow Striders at a time on a client.","Try to figure out how to grow our teams at clients so we get to work with more Striders.

Keep evaluating our interview process to make sure we are not declining great candidates that don't have much experience but have lots of potential!",5.0,5.0,5.0,5.0,4.0,5.0
2017-04-02, Software Developer,,Current Employee ,A great place to work,A great place to work,0,"The ability to help shape the company.
The focus on values that are advocated for and defended strongly by top management
The buddy/mentor system that helps a create a sense of community among Striders who don't work together. The mentor also helps with advice on your career advancement.
A career roadmap so you know what you have to do to get promoted.","Having to keep track of time all the time. It's how you get paid as a consultant.
Since we spend 5 days at a client we sometimes don't have time to do Stride work within the 40 hour work week.",,5.0,4.0,5.0,4.0,4.0,5.0
