date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-26, Senior Director,"San Francisco, CA",Current Employee ,Exciting Time of Growth,Exciting Time of Growth,0,"> Exciting vision to help people fighting cancer while building the world's leading precision medicine data company

> New senior leadership that is dedicated to strategic growth and supporting engaged employees

> Innovative partnerships in the US and Asia with life science companies and health systems

> Really smart mission-driven people all over the company

> A spacious new headquarters in SF with lots of in-office perks like an outside deck, free lunch 3x week and lots of great snacks!

> Solid benefits, competitive pay","> Tackling a challenging problem like precision medicine isn't for everyone; requires flexibility to switch gears and re-prioritize as the market evolves

> The company is in a growth phase and performance expectations are very high; not a place to come and coast

> It's a start-up environment so things can change quickly",Continue to drive for increasing communication and collaboration across the company. You've done a great job bringing new thinking and leadership to Syapse and now is the time to make sure everybody is operating from the same playbook and recognized for doing so. Reward team players and make sure to recognize the pressure and hard work being done to deliver solutions to customers.,5.0,4.0,4.0,5.0,4.0,4.0
2019-03-14, Software Engineer,"San Francisco, CA",Former Employee ,Great location. Fighting cancer.,Great location. Fighting cancer.,0,"- Location
- Location
- Location
- Fighting cancer
- Team leads are generally nice","- Terrible work-life balance - 90 hour weeks and 2am phone calls are common
- High attrition of engineers means that most are unfamiliar with the code base
- Middle management is cold and distant; they act like they're above the engineers
- Upper management is given to flights of passion, with shouting, public shaming, and other leadership-by-fear tactics commonplace.
- PMO is significantly under-staffed, with sprint management falling to already overstressed team leads
- Unreliable cloud systems lead to wasted development and testing time - which, as an engineer, you're ultimately responsible for.","Mistakes in hiring happen, but when they happen in management they can turn into a disaster.",2.0,1.0,1.0,2.0,1.0,1.0
2019-01-29,,,Current Employee ,Incredible mission. Toxic workplace,Incredible mission. Toxic workplace,0,"• Syapse is headed in a great direction has a lot of positive momentum with recent deals
• The mission and values are cemented in the company and all the work we do is tied back to it
• We just moved into a new office and HR has been doing an incredible job transforming the workplace: more catered food, more social events, and more resources for self-development","• Leadership is full of folks who love to point fingers, put people on the spot, and play the blame game. Is it too hard to hire people that are nice?
• People generally don't smile. Like, ever
• Too many meetings. I've never worked at a company with this many meetings as an individual contributor
• Lack of structure around career growth and progression
• Not a true software company (please hire more competent leadership with software experience), no real users of the product, and no iterative development","I'm optimistic that things will get better at Syapse, but change needs to happen from the top down. When leadership is toxic, it spreads through the rest of the company. It sound silly, but please hire more empathetic and nicer people.",2.0,2.0,4.0,2.0,3.0,1.0
2019-01-28, Engineer,"San Francisco, CA",Former Employee ,"If you only want a paycheck, this is the place to coast 5/5","If you only want a paycheck, this is the place to coast 5/5",0,"> Above market pay
> LUNCH is free!
> Management is great. Multiple layers.
> Easy to refer your friends.
> After 2.5 years, you get 10% refresher over 4 years. Good way to earn more options.","> Some roles are really mundane such as the interop engineering role
> Too much nepotism. A lot of former Relay Health employees are invading the company and culture has been degrading
> Dominoes! People are constantly leaving. High attrition and management hasn't really helped with retention
> Not a lot of IC roles, too much management roles",,3.0,4.0,5.0,4.0,5.0,4.0
2019-02-15,,,Current Employee ,Worst management I saw after putting 20 years in the industry,Worst management I saw after putting 20 years in the industry,0,NONE.. you read it right 'ZERO'.,"- Team matters first nothing else, let there be no birdheads with manager in their titles running the show.
-Most people are previous collegues at a specific big company, I find no falut with referrals but Syapse's reality is that this is simply corporate nepotisim, idiots bring idiots along.
-Earlier Scrum meetings are run by tech savvy people who speak sense.
- Servant-Leader Scrum Masters are good in general but in the case of syapse this was the worst decision ever made.","+Keep your distance away from the development teams if the individual can't even pull the code from the code base and run it.
+ Interop team.. if you cant see the problem with them then God bless syapse.
+ Weed out ANY INDIVUDAL WHO CANT CODE form any sort of team meetings, WE HATE BY-STANDERS and STATUS COLLECTERS.",1.0,1.0,1.0,1.0,1.0,1.0
2018-12-04,,,Current Employee ,Company at a Crossroads,Company at a Crossroads,0,"- An exciting opportunity to be at the juncture of healthcare and technology
- Meaningful work with the potential to impact cancer care
- Bright, spacious office space in downtown San Francisco
- Talented co-workers anxious for better leadership and direction
- Cold brew and kombucha on tap","- Executive team is in over their heads (rumors are that the CEO is on his way out)
- Absence of leadership has led to numerous missed opportunities and a paralyzed workforce
- Many technical hurdles to overcome","- Admit that mistakes have been made and bring in seasoned leadership before its too late
- Treat people with respect
- Build loyalty with employees and customers through honest communications",3.0,3.0,1.0,3.0,3.0,1.0
2019-01-03,,,Current Employee ,Guaranteed to fail,Guaranteed to fail,0,flex time off & work from home days,"- product is awful, many complaints, barely used by our customers
- development is always rushed and bad decisions are willingly made just to make deadlines
- managers care more about hitting superficial scrum metrics as opposed to real value add
- inexperienced engineers in charge of large code bases
- out dated technologies
- pay bumps and bonuses have been delayed over and over again
- literally no midyear or yearend reviews for employees since managers have no idea what their engineers are doing
- all talk, lots of useless meetings, very few actual results, plenty of empty promises",,1.0,3.0,3.0,1.0,2.0,1.0
2018-08-02,,,Former Employee ,Sales,Sales,0,"Working at Syapse was an amazing experience, and an opportunity to take real action against a terrible disease with the support of some truly committed global health system partners.","Working through the typical uncertainty of a startup and solidifying product-market fit presented challenges, but was very rewarding.",Remain mission-focused and continue to measure and deliver customer success.,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-08,,"San Francisco, CA",Former Employee ,Toxic Environment,Toxic Environment,0,"- Free cardio delight foods
- Unlimited PTO","- Constant ridicule in front of other employees and intimidation behavior by managers who are unreasonable and fail to listen to employee’s reasons/decisions. This type of behavior is tolerated.
- Not a true tech company
- Very beaurucratic
- Reorg is their answer for more efficiency
- Lack of clear goals and transparency
- PM’s don’t layout clear plans on what needs to be delivered
- Lack of accountability by middle
management
- Micromanagement is the norm
- Inexperienced engineers with big egos
- Good smart people leaving because of bad management decisions
- No career growth for employees
- Problems are tackled reactively with finger pointing
- No team cohesiveness and dysfunctional
- Too many meetings occupy your day making it difficult to get actual work done.","- Create a vision and mission that aligns everyone in the company
- Drive away the aggressive micromanagers and people who only do lip service
- Look for more technical people that can lead and do actual work",1.0,1.0,1.0,1.0,1.0,1.0
2018-06-28,,,Current Employee ,Awesome company!,Awesome company!,0,"Strong leadership with focused teams rowing together in harmony to achieve goals for our customers and their patients.

Customer focused, value driven.

Best people - smart, talented, amazing with varied backgrounds. Equally important, they are also the nicest people on the planet. New people are welcomed and supported as they learn.

Syapse leadership values their people and work life balance and we treat our financial resources as we would our own, spending wisely.

Investments in technology to enable video conferencing from every conference room brings us together no matter where we are.

Great benefits and salary.

Waking up every day to play a part in ensuring precision medicine is as available to the patient in rural America as the patient at a premier cancer center...and now in South Korea as well!

Relatively flat organization with hands on leadership working shoulder to shoulder with us.

Leadership focused on doing the right things for the right reasons to advance progress towards our mission.","We do not use the Microsoft Office suite which is challenging, although there are some advantages to using Google Docs.

Lots of apps to get used to but made easier with a single sign-on dashboard. All good, just overwhelming in the first week.",,5.0,5.0,5.0,4.0,5.0,5.0
2018-04-04,,"San Francisco, CA",Current Employee ,Director,Director,0,"Promising company, very good work environment",Slow pace toward completing goals as market leader,,4.0,3.0,4.0,4.0,3.0,4.0
