date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-10-23,,"Arlington, VA",Current Employee ,"Great place to work, amazing culture, exciting direction and ability to make an impact.","Great place to work, amazing culture, exciting direction and ability to make an impact.",0,Exciting to work for a company that has the culture to push it in the right direction. This group cares about its employees and customers. They put those needs ahead of all else. The culture radiates throughout the organization.,Need to make sure the focus is placed on the strengths of the product and the culture of doing right by customers now and in the future.,Continue to do the right things for our customers. Continue to drive and innovative culture.,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-09,,,Current Employee ,Sponsorship-friendly employer,Sponsorship-friendly employer,0,there is a growth-path and career ladder for engineers who want to progress. Immigration sponsorship is also available and accessible.,"If you want premium processing on visa application, it is up to the employee to pay",,4.0,4.0,4.0,4.0,4.0,4.0
2019-04-03,,"Arlington, VA",Current Employee ,Dont Expect Much,Dont Expect Much,0,relaxed environment with casual atmosphere and free snacks,"low salaries, limited growth opportunities, any open management position they hire externally, lack of interest in employees",,2.0,3.0,2.0,2.0,1.0,2.0
2018-10-19,,"Arlington, VA",Current Employee ,Growing all over the world!,Growing all over the world!,0,"-Generous leave policies and flexibility
-Monthly All Hands with Execs and entire team to ask questions and learn about strategic direction of the company
-Amazing product that is the leader in its' space- the company is very well positioned
-Impressive international expansion
-Solid work/life balance
-Lots of access to Executives- the CEO, COO and entire Exec team is very approachable
-Company of problems solvers: we're willing to fail fast and no one throws anyone under the bus, we learn together from our mistakes
-Real sense of community- great tenure and alums come back regularly. People love to hang out at the office after work.","-Typical of a smallish company: not as much support or resources as you would find at a large company
-Would like more connection between international teams and offices","-Continue to invest in and build the sense of community. Events like Office Olympics, HHs and the annual 5K are great traditions.
-Continue to think about scaling globally- it's inevitable with all the success we are seeing. This means most investment, but it will be worth it to make sure we get things right the first time around.",5.0,5.0,5.0,5.0,5.0,5.0
2018-09-16,,,Former Employee ,Better off to not,Better off to not,0,"Work from home but even that is monitored unjustly. I work for a company now that doesn't pay someone $70,000 a year to look to see","Dying organization. Handshake is definitely the route here. This product is soon to be irrelevant

Low pay

Tries to instill fear",,1.0,3.0,1.0,1.0,1.0,
2018-07-10,,,Current Employee ,Simplicity Review !,Simplicity Review !,0,"Causal dress work environment!
Enjoy my the team i work with.
Like the flexible with work-life balance.",Communication across the team could be improved as well. Due to getting mixed coms on short-term goals.,Would give advice on more career opportunities for growth in career.,4.0,4.0,3.0,3.0,4.0,4.0
2018-03-26,,,Current Employee ,Great people and a great place to learn,Great people and a great place to learn,0,"Great people make Symplicity an incredible place to work. This has always been the case at Symplicity, but I think it is true now more than ever. People who join Symplicity quickly become close friends with their teammates and get strong support from experienced mentors.

Many developers and designers join Symplicity because you learn so much more about good engineering practices at a product company than you do at an agency or as a website developer. The size of the company is also ideal- everyone makes an impact and has the opportunity to be recognized. The company sponsors visas and projects do not require security clearances.

Work/life balance and job security are great. For a company that often feels like a startup, this is not a place that will grind you down and burn you out. There's a strong respect for personal/family time.",Communication between teams could be improved.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-03-23,,,Current Employee ,Growing Company with Great Culture,Growing Company with Great Culture,0,"* We work together as team to accomplish our goals; remote and in-office. Adore working with everyone here, and their positiveness
* Fun events in the office that our co-workers come up with
* Great location in Clarendon with options to get your errands done and eat; 2 blocks away from Clarendon metro
* Gym in building, Pete's coffee at the bottom of the building
* Option to work remote if needed
* International Expansion","It's been sad to see some people move on, but I think that's just a part of life. Nothing ever stays the same. No growth, no pain. Most come back and visit though.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-03-15,,"Arlington, VA",Current Employee ,Casual and Fun Environment,Casual and Fun Environment,0,"-The people are amazing. I've made most of my close friends while working here, and even after someone leaves, there's still a sense of family with them. It's not unusual to see ex-Sympers hanging out on a Friday night.

-I get to work on a variety of projects, which always keeps things interesting. It also allows for a continuous learning experience. I'm never bored and I truly love coming into work everyday.

-Although there have been some rough waters, as is always the case when a company goes through an acquisition, I feel the upper management is working on getting back to a sense of stability. The exec team is always available to talk, listen to feedback, and answer questions.

-Only a block from the metro in Clarendon, with lots of options for bars/restaurants. Office has a beautiful view of the National Mall and access to the rooftop.

-Casual atmosphere. Can't get much better than getting to wear t-shirts and jeans to work. People are always playing on the foosball and ping pong tables. Beer Friday starts about 4, where people who want to imbibe chip in a few bucks to buy beer/wine. They have also recently installed a kegerator.

-Recently the company has been increasing employee engagement by starting an employee ran social committee.","-Pay needs to be more competitive.

-Projects are often started without full understanding or proper scoping applied. This results in backtracking work and knee jerk decisions.

-As with most companies going through growth spurts, communication between departments could be better.

-The last couple years have seen a lot of attrition of some very strong employees.",Keep working on employee morale and happiness.,5.0,4.0,4.0,5.0,2.0,4.0
2018-02-26,,"Clarendon, VA",Current Employee ,Fantastic company to build your career and thrive.,Fantastic company to build your career and thrive.,0,"- The people. I've never worked at a company with employees who are so exceptionally talented, collaborative and passionate about the work we do than my colleagues here at Symplicity. Many employees on the product and client services side are actual industry-experts who came from higher ed, as well as most of the new VP team coming from many years of experience in higher ed tech--this has made it quite easy to build credibility and reputation in our markets.

- Growing company. Because of the state of the company (solid financials and a strong growth strategy), there are opportunities to grow with the company and build your career over time if you put in the hard work and dedication.

- Market opportunity and outlook. It's rare for a company to have multiple market-leading solutions in one product suite.

- Solid work-life balance . Work hard, play hard.

- Meaningful work. While our flagship product remains the market leader in the career services space, our full product suite in higher education serves other core areas of student services like disability services and accommodations and student conduct management.

- New HQ. The company HQ moved from Rosslyn to the heart of Clarendon last year. The new HQ is right off Clarendon metro and has amazing views of D.C., a rooftop, 24-7 gym and other perks!","- Many of the employees prior to acquisition were remote staff in client services--and while this can definitely be an advantage for providing in-region support for our thousands of clients all over the world, this makes it tough to engage the many employees who are remote as you would those at HQ. However, new leadership has been intentional about increasing opportunities to keep remote employees engaged--like our regular all-hands meetings and catered lunch Team Days for those in the DMV.",- Keep listening! The regular communication and positive changes are making a difference!,5.0,4.0,4.0,4.0,4.0,4.0
2018-03-01, Marketing Associate,,Current Employee ,Best Company I've Ever Worked For!,Best Company I've Ever Worked For!,0,"At Symplicity, it really feels like a family. From my first day, people have been really welcoming and eager to help. It's a relatively small company (200 or so employees) with many young employees and it still has a bit of a start-up feel so it's very more laid-back. If you are in the Arlington office, we tend to play music all day on the speakers, get free snacks, play ping pong, and do social activities on Fridays. The company is also very big on diversity as we've been expanding our business internationally and work with folks from all types of backgrounds - probably my favorite part about working here. There aren't that many layers of management and you get exposure to C-suite execs from day one. On my first day, the CEO proactively came over to my desk to introduce himself. You also get a lot more recognition for your work since everyone has a specific function in the team and we are very big about recognizing our achievements. The work/life balance is also a big plus!","Communication across team could be improved. There is often a discrepancy between the tech and sales side of the business, which can make sticking to deadlines and getting buy-in a bit challenging. Salary could also be more competitive for the DC area.","Create more opportunities for teams to communicate better with each other. I realize their is a love/hate relationship with email and meetings, but often it's better to ensure that employees are included in communications in order to do their jobs better.",5.0,5.0,5.0,4.0,4.0,5.0
2018-02-28,,,Current Employee ,Growing Business,Growing Business,0,"-International expansion and exposure
-Opportunity to impact the business and make a difference
-Access to top-line management and learning opportunities","-It's not a leave-at-5pm kind of company
-Growing pains typical of rapid expansion","Delegate more, the team is ready and willing to help!",4.0,4.0,4.0,4.0,3.0,4.0
2018-02-15,,"Arlington, VA",Current Employee ,Overall Overview,Overall Overview,0,"-Every product is a leader in it’s space.
-Your work here makes a difference. We are helping recent college graduates find jobs.
-Catered lunches, casual work environment","-Lots of change recently with new leadership, but our leadership team has a great track record and is taking us to new levels of success that we didn’t even know were possible
-Low structure means the environment is not for everyone","-Keep up the transparency and communication- it means a lot to us!
-Would love more Symplicity gear to sport team spirit
-Our fun events make a difference- don’t underestimate how important they are!",4.0,5.0,5.0,4.0,4.0,5.0
2018-02-08,,,Current Employee ,Good place to build your career,Good place to build your career,0,"Smart, talented, and motivated people. Very relatable and worthwhile company mission in helping university students prepare for their careers and secure jobs.",Nothing out of the ordinary for a company of this age.,,5.0,4.0,5.0,5.0,4.0,4.0
2018-03-20,,,Former Employee ,Slow and declining growth,Slow and declining growth,0,"- Co-workers are friendly and fun
- Free coffee, snacks and other perks
- Flexible work environment
- Flat structure","- Focused on sales and marketing
- Bad middle managers with not much industry experience
- Old tech stack and old processes
- Lower than industry average salaries
- No budget for engineering team
- No product innovation
- No opportunity for professional growth","Focus on improving product, process and employee happiness",1.0,4.0,2.0,2.0,1.0,1.0
