date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-01-19,,,Former Employee ,Account,Account,0,Great culture and people at Taylor,Advancement opportunities can be challenging,,5.0,2.0,4.0,3.0,2.0,4.0
2019-02-26, Purchasing Agent,,Current Employee ,Good company!,Good company!,0,"Small, lean leadership team . Opportunity to advance, fair compensation. Freedom to explore special projects independently.",Takes a while to understand the business if coming from a different industry. There are a lot of moving parts. Projections are largely self managed.,There is an opportunity to better encourage cooperation and collaboration between departments. Also an opportunity to better define the role and scope of departments as work ultimately falls to the individuals capable of doing it rather than holding individuals accountable to role responsibilities.,4.0,4.0,4.0,4.0,4.0,4.0
2019-03-07,,,Former Employee ,wish I could give a 'no star' rating,wish I could give a 'no star' rating,0,they overpay their employees so they wont leave,"Don't know where to begin, could write a book",,1.0,,,,,
2018-12-16,,"Kent, WA",Current Employee ,Manager,Manager,0,Some good people to work with,"Miscommunication, Disconnect, No accountability,
Accusatory Atmosphere, Lack of resources",Take/read leadership classes/books,1.0,1.0,1.0,2.0,2.0,1.0
2018-10-16,,,Former Employee ,VP,VP,0,Great company growing a lot through acquisitions. 7 day operation in most. Very fast paced,Orders very sporadic. Sometimes throws the day to day operations off -balance,Avoid small orders,4.0,2.0,3.0,5.0,5.0,3.0
2018-10-11,,"Chicago, IL",Current Employee ,Temporary staff,Temporary staff,0,Good staff welfare and opportunities for growth,It’s cold and dominated by Mexicans,Do something about the cold,4.0,,,,,
2018-08-27,,,Former Employee ,Good place to get experience,Good place to get experience,0,"Jobs are pretty easy to do, easy way to get work experience",Not much room to grow,,4.0,,,,,
2018-08-27, Production Worker,"Kent, WA",Former Employee ,Production worker,Production worker,0,"Manager, supervisor and leads are very nice. Co-workers are friendly.",I do not see because I am employment only.,I do not have.,1.0,5.0,5.0,5.0,5.0,5.0
2018-08-23, Food Service Inspector,"Salinas, CA",Former Employee ,Food Service Inspector,Food Service Inspector,0,"Great Benefits, Medical, Dental, Vision, 401 K, Union","Management lacks experience in dealing with employees, Management lacks people skills,
 No room for professional growth or advancement, not a good working environment, point system is the worst I've ever seen. Sick days are a joke. Not a welcoming environment. Stressful environment.",Please show people skills and develope some type of training system for your management team so they can learn how to treat their employees and maybe your company will retain it's employees.,1.0,2.0,,,,
2018-04-29,,,Current Employee ,Hard work but rewarding,Hard work but rewarding,0,"Freedom to be creative, strict food safety culture, good benefits, lot of work","Long hours, not easy to schedule time off",Keep it up,4.0,2.0,4.0,4.0,4.0,4.0
2018-05-16,,,Current Employee ,Not great...,Not great...,0,Free food at market place...,"Salary goes nowhere, no promotions. Place is disgusting.",,1.0,1.0,1.0,1.0,1.0,1.0
