date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2015-11-06,,,Former Employee ,Awesome Time!,Awesome Time!,0,Great guidance and leadership from the Founders.,None. Fun workplace with opportunities to learn and grow professionally.,,5.0,5.0,5.0,5.0,5.0,5.0
2016-07-18, Software Engineer,"Chicago, IL",Former Employee ,Horrible. Don't pay as per the contractual obligation,Horrible. Don't pay as per the contractual obligation,0,Not a good company to work with in Corp to Corp arrangement.,"Don't pay in corp to corp contractual obligations.
No reply to emails or phone calls.
Not trustworthy.",Be professional atleast.,1.0,1.0,1.0,1.0,1.0,1.0
2016-04-18, Senior Programmer/Contractor,"Sacramento, CA",Former Employee ,They Do Not Pay!!!!!!!!!,They Do Not Pay!!!!!!!!!,0,There is not one single pro going for this company. They should be investigated and shut down. Oh wait. They have a great business name.,"They avoid paying until the very last minute. And even after they agree to pay you, it's still like pulling teeth. I needed to use the client to pressure them to pay me. Won't answer phones or emails. Don't think they actually have a base in USA.",Weighing all my options. Law suit is definitely at the top of the list. Start paying your employees or you won't be around too much longer. Only gave them one star because I couldn't leave the review without a rating. They actually deserve none.,1.0,1.0,,,,
2016-03-01, Contractor,"Jersey City, NJ",Current Employee ,Company cannot meet its Account Payable and Contractual Obligations,Company cannot meet its Account Payable and Contractual Obligations,0,No pros can be found. None Whatsoever!!,"Have been sub-contracting with TRG Inc since late last year. Contract specified that payments were to be made in 45 days after month end but never have invoice payments been received on time. The accounts payable dept does not pick up the phone or answer any emails when asked about payments. Getting ready to take legal action against the company.
Beware when working with this company they treat people poorly!!",Get ready to be sued.,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-27,,,Former Employee ,good to start your career,good to start your career,0,"nice environment to work, cooperative managemnet","nothing as such, good to start",,5.0,4.0,3.0,3.0,4.0,4.0
2018-10-29,,,Former Employee ,TRG and Head-Field Solutions are the Fraud Company,TRG and Head-Field Solutions are the Fraud Company,0,"For them Who's Don't want Money, for them who want's to help them to Convert Black Money into White.","Head-Field, TRG, Prorise Solutions and are the Same Company. They Stared these companies only to Convert Black Money into White . They are they Partners of PVR Cinemas . So TRG is Closed during demonetization and they did not Pay Millions of the Dollars in USA and Millions in Indian Salary of Employees. And now it's a turn of Head field","We know that you are not going to pay us, But Believe me We'll not leave you because we worked hard for you . We was honest for you . But you did not Paid us Single penny . you dropped us when we was really need in money we suffered a lot . believe me God is watching everything, he'll defiantly give you reward for this",1.0,1.0,,,,
2017-12-19, IT Technical Recruiter,Noida (India),Former Employee ,Good Company to work,Good Company to work,0,"Environment Friendly, Corporate level structure, Salary on time, Full of resources, good meal and learning environment.",I don't see any thing bad or downside.,All the best,5.0,5.0,5.0,5.0,5.0,5.0
2017-11-15, Associate Manager,Noida (India),Former Employee ,Good Company to Grow,Good Company to Grow,0,"Team Mates, Flexible hours, Latest Technologies

I worked with TRG more than 1.6 years, I've been with then in their good and bad phases. My managers helped me every point of time, both personally and professionally. The CEO is very friendly and supportive. I am writing this review coz I got to know about the fake review/s by my name. There are people who know how to take advantage of each and every situation. … 
Show More",you may get more work load here... but for learning point of view its very good to work with this company.you can learn a lot from here.. very nice work culture... everyone is so helpful,"Please don't believe on fake reviews about the company. If the person is genuine, then he'll put the review by his name.You guys are doing great.

P.S. : Any other posted by name is fake and not relevant, Please ignore that.

Best :),
Ritesh Joshi",5.0,5.0,4.0,5.0,4.0,5.0
2017-10-29,,,Former Employee ,Worst Company forever,Worst Company forever,0,"No Pros in this company, even i can not recommend any professional to join this pathetic company, they don't have project, they hire you to take projects from client and if they are not succeed they will fire you immediately. Even they are not able to pay salary as well.","Every this is negative, they make clients fool, one of client is BridgePay from USA.
my full and final settlement still pending from there side. The infrastructure of company wondered you, no power UPS backups once electricity down.During rainfall water lodging in basement.","No advice, because i am wondering the existence of company.",1.0,1.0,1.0,1.0,1.0,1.0
2017-02-17, Android Developer,New Delhi (India),Former Employee ,Environment,Environment,0,It looks like good environment.,"i don't know , no any cons",,5.0,,,,,
