date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-05, Product Specialist,"Seattle, WA",Current Employee ,Best Place to Work in Seattle!,Best Place to Work in Seattle!,0,"- Inclusive, diverse culture.
- Emphasis on intentionality
- Work, life, balance is highly encouraged
- Amazing benefits and compensation
- Gym, full stocked kitchen, gorgeous views",Truly nothing negative to say. It's an amazing place to work.,NA,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-21,,,Current Employee ,Software developer,Software developer,0,"Diverse work place, lots of benefits and perks, stocked kitchen, gym available",Difficult to get ahold of coworkers at times,,5.0,5.0,5.0,4.0,4.0,5.0
2018-10-27,,"Seattle, WA",Current Employee ,Textio walks the talk,Textio walks the talk,0,"-Transparent, visionary, thoughtful co-founders.
-There is no bias for seniority here. Everyone is enabled and expected to lead in their areas of expertise on day one.
-When Textio says they hire people who have an opinion but low ego, they mean it. This is simultaneously the sharpest, highest performing group of people I've ever worked with, and the kindest, most generous group, who want to learn from others.
-You are enabled and expected to show up as yourself. No need to leave a part of who you are at the door.
-The product is remarkable, and just getting started.
-Traction with customers, and size and scope of customers is far superior than would be expected at this stage for a SaaS company.
-Plenty of free, healthy snacks and beverages.
-Nice office space in a new building. Commuter subsidy provided.
-Benefits are much better than average for a company of it's age and size.
-You are able to work on things that you're interested in and regularly gain exposure to other areas of the company outside your own.
-Flexible working environment and work/life balance.",Genuinely don't have any cons at this point.,Keep it up! Textio is just getting started!,5.0,5.0,5.0,5.0,5.0,5.0
2018-08-07, Software Engineer,"Seattle, WA",Current Employee ,I absolutely love working here!,I absolutely love working here!,0,"There are too many pros to count, but here are a few:
- Extremely passionate and helpful coworkers, who are always willing to help you when you're dealing with a tough problem
- Our product team have a very high bar for quality and user experience
- Great collaboration between product/design and engineering
- Great mentorship
- Your coworkers recognize and truly appreciate your contributions and accomplishments
- Kieran and Jensen (the founders) have a very inspiring vision for the future of augmented writing, and how we want to get there
- Good perks like a commute stipend, great benefits, unlimited vacation time, flexible hours, and snacks",The only thing I can really complain about is that we can't bring our dogs to work :(,Thank you for the opportunity to work here!,5.0,4.0,5.0,5.0,5.0,5.0
2018-07-18,,"Seattle, WA",Current Employee ,"Honestly, the best place I've ever worked by far.","Honestly, the best place I've ever worked by far.",0,"- Very inclusive and diverse environment
- Friendly employees
- Fun meetings
- Achievements and milestones are well celebrated
- All you can eat snacks and a cool flavored water machine
- Delicious coffee
- Location is easy to get to
- Travel stipend to cover a bus pass and/or parking
- Amazing office space and views of the city
- Work can be catered to your interests
- Lots of room for growth professionally
- Get to work directly with the founders of the company
- Rapidly growing due to success, but firmly holding onto the original core values and amazing culture that the company has","None really. Some guidelines are still being put into place with the company being relatively new still, but this isn't necessarily a bad thing. Having the flexibility to shape what it's like here is exciting!",Keep on being fantastic and making this a great place to work!,5.0,5.0,5.0,5.0,5.0,5.0
2018-06-29,,,Current Employee ,Manager,Manager,0,"Every day I work here, I feel so incredibly valued and respected. I truly enjoy coming into work to face hard problems/challenges since collaborating with every teammate here is so humbling. It's unbelievable, but everyone at Textio is effortlessly low ego while being brilliant and passionate about helping one another. Our Executive team is so transparent with everyone internally that it makes us understand how everyone plays a huge part in our vision and goals. I've learned so much being at Textio and feel I've grown exponentially as a person.","As a startup, things move fast and sometimes the change can be overwhelming when you're still laying down the tracks but the train is full speed. Honestly, our growth is amazing and it's again, helped me grow as a person.",Textio is so unique! I hope our culture remains to be like this even as we grow.,5.0,5.0,5.0,5.0,5.0,5.0
2018-06-29,,,Current Employee ,"Brilliant, kind team","Brilliant, kind team",0,"Textio has a wonderful team working on a wonderful product. :)

* The people are, universally, both kind and brilliant. There's a lot of interesting cross-pollination between teams (NLP engineers explaining interesting problems to frontend and vice versa, etc.), and a sense of mutual _respect_ between teams, too. No one team comes across as first-class citizens; everyone's in it together.
* The core product is remarkable, both quantifiably effective and delightful to use. And Textio is thinking beyond the original domain of job listings and working toward augmented writing as a platform.

It's also worth mentioning that the leadership is exceptional. Kieran and Jensen convey an inspiring sense of vision, and care about the team's wellbeing in a way that's immediately obvious.",I truly can't think of any!,"More of the same, you're great. :)",5.0,5.0,5.0,5.0,5.0,5.0
2018-06-29,,,Current Employee ,proud to work here,proud to work here,0,I love that our cofounders give inspiring and genuine talks at all-hands meetings. I love that folks here are quick to fix workflow inefficiencies. I love that we have a diverse team. I love that we have a beautiful office space.,Can't think of anything to share.,,5.0,5.0,5.0,5.0,,
2018-01-10, Senior Software Developer,"Seattle, WA",Current Employee ,"Incredible Team, Amazing Opportunity, Fantastic Job","Incredible Team, Amazing Opportunity, Fantastic Job",0,"- The founders are compassionate polymaths who understand deeply every aspect of the business, how to inspire, and how to lead

- In hiring, Textio really stresses that all candidates have a point of view and a low ego. We don't hire brilliant jerks. This universal attitude creates something magic: everyone is aligned to making the business great, there are lots of ideas, and people are quick to embrace a better idea, even if they came up with the one in place today

- There's a ""Learn it all"" culture instead of a ""Know it all"" culture - I've never felt more comfortable answering a question with ""I don't know... let's check that out!""

- The entire team is extremely competent at their jobs - everyone pulls their weight

- I legitimately feel like I'm friends with most of my teammates. We go to lunch together and have unofficial after hours outings often","- We are growing quickly and I anticipate some growing pains in our near future, but really that's more of an exciting challenge for me",We're approaching the 80-person threshold where communication is going to become paramount - keep your eyes on making sure everyone stays tuned in to our vision and goals! You're doing a great job so far!,5.0,5.0,5.0,5.0,5.0,5.0
2018-01-02,,,Current Employee ,The best place I've ever worked,The best place I've ever worked,0,"Interesting problems to solve, smart and kind coworkers, inspiring leadership who really care about their employees, and the opportunity to contribute to a new genre in tech: augmented writing.","There really aren't any. The people are amazing. The problems we tackle are difficult, but that's just another pro.","You are amazing, keep it up",5.0,5.0,5.0,5.0,5.0,5.0
