date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-25, Wellness Coordinator,,Current Employee ,Culture,Culture,0,There's plenty of opportunity to make money if you are passionate.,Coverage is hard to find,,5.0,2.0,5.0,5.0,4.0,4.0
2019-04-25, Wellness Coordinator,,Current Employee ,"Easy enough, but will become frustrating","Easy enough, but will become frustrating",0,"Pretty laid back, depending on your owner/management. I worked in a busy office so there wasn't a lot of time for down time although this didn't make the day go by quickly necessarily, patients were nice but I would usually see over 80 a day.","No lunch break, no benefits, no room for advancement or promotion in most cases, incentive to up-sell wasn't enough, patients love to not listen when you explain terms and conditions of membership.",Pay your loyal employees what they deserve. Working people to death without showing appreciation is the fastest way to lose good people. I worked with great chiropractors but they all felt under-valued which just makes in hard to go into work everyday.,3.0,3.0,3.0,2.0,2.0,2.0
2019-04-05, Chiropractor,,Current Employee ,Chiropractor,Chiropractor,0,Steady employment. Meet lots of contacts.,Not much room for promotion,,4.0,3.0,3.0,3.0,2.0,3.0
2019-04-26, Wellness Coordinator,,Former Employee ,Poor Management,Poor Management,0,You could receive free adjustments,Horrible wages and lack of patient care,,1.0,,,,,
2019-04-01, Doctor of Chiropractic,,Former Employee ,Good or Bad Depending On Clinic Owner,Good or Bad Depending On Clinic Owner,0,"Focus on patient care alone, delivering high quality adjustments to 50+ patients per day, seeing amazing results with evidence based Chiropractic care alone!","Feeling undervalued, unappreciated, overworked, underpaid, with no job security. Apparently, quality of care is a much lower priority than one's willingness to work as humanly possible for the least amount of pay.",Treat your Doctors with respect and appreciation by paying them a fair market rate salary with incentives and rewards for increased production. All of your income comes directly from the manual adjustments your hard working Doctors provide!,2.0,1.0,1.0,1.0,2.0,1.0
2019-03-06, Chiropractor,,Former Employee ,Not a bad thing to do for awhile,Not a bad thing to do for awhile,0,"Low stress, gives you exposure to a pretty high volume of patients (depending on location, these are franchises), improve on the speed of your treatment, company manages all the marketing, can be flexible if you work elsewhere.","Depends on your owner in many cases, 9 hour shifts with no designated breaks for lunch or anything else, pay is by the day rather by volume of patients seen while they push you to chase patient numbers anyways, low benefits for most positions, low pay for volume of patients you’ll see, limited growth potential, may get a complacent clinic owner calling the shots, negatively affected when patients don’t sign up for a plan (which is fairly common in other clinics, but seems contradictory to the walk in nature of this clinic model)","Pay doctors better, and per patient",2.0,3.0,2.0,3.0,2.0,1.0
2019-02-13,,,Current Employee ,Chiropractor not a salesman,Chiropractor not a salesman,0,Got experience and a salary instead of relying on insurance to pay you,Sell treatment plans and maintenance plan,,2.0,,,,,
2019-02-28, Chiropractor,"Irvine, CA",Current Employee ,Great model. Horrible place to work.,Great model. Horrible place to work.,0,Easy. All you do is adjust patients and perform periodic exams. Good for docs looking for more hands on experience or who just want to make a few extra bucks on the side.,"Company could care less about you. Basically their goal is to work you as hard as they can until you either injur yourself or quit at which point they’ll kick you out the door and bring in their next victim. They pay peanuts and the benefits are laughable. I’ve never seen a company care so little about any of their employees. It’s so bad the company is actually built around turnover because they know people won’t stay long term. Additionally, there is essentially zero room for advancement or any significant pay raises.",Show your employees some respect and pay them a respectable wage. Make it so they want to stay instead of using it as a stepping stone.,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-23, Wellness Coordinator,"San Clemente, CA",Former Employee ,No time for training!,No time for training!,0,"Free Chiropractic care, and awesome caring doctors! Some opportunity to get commissions","Some of the patients are rude, pay is not great, hard to earn enough commissions, always have to up sell the patients",Higher hourly pay would decrease turnover!,3.0,4.0,4.0,1.0,2.0,1.0
2019-01-05, Chiropractor,"Hoboken, NJ",Current Employee ,I am a Chiropractor,I am a Chiropractor,0,"Professionally run clinic, clean and very busy. The staff and the other Doc’s are great to work with. I’ve been with The Joint for a year and look forward expanding opportunities in the near future.",None that I have experienced.,Keep up the good work and the professional manner the clinic is run.,5.0,5.0,5.0,5.0,5.0,5.0
