date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2016-06-08, Manager,"Washington, DC",Former Employee ,Manager,Manager,0,"Great Place to jump start your career if you are young! Great mission, awesome co-workers, everyone is nice and a team player. If you do a good job you will be able to advance and they will appreciate your job and make sure you stay ! You get to do a lot of things and learn how to wear different hats. They like to promote people within the organization instead of hiring from the outside. Amazing work life balance which helps with the non-profit salary. New CEO is on his way in and will definitely improve the organization. It's an exciting time to join TWC,","Some of the upper level managers, directors, and VPs, have different visions and conflicting goals for the organization, thus creating a lack of direction sometimes. Some people in managerial or director positions don't have any management or HR training and don't know how to properly manage staff. If you were in academics you might get burned out quickly.",Keep hiring young smart and motivated people because you have a great team. Don't sacrifice the morale of the organization and employees just because a VP or director can supposedly get results. You will lose lower and mid level employees and those are who really drive the organization.,5.0,5.0,5.0,3.0,3.0,4.0
2019-03-24," Senior Manager, College and University Relations","Washington, DC",Current Employee ,Great People at TWC,Great People at TWC,0,Wonderful people work at TWC! Everyone at TWC is passionate about the work and works hard to make it happen for the students.,Long hours with a lot of juggling necessary as there are multiple projects constantly in progress.,,3.0,2.0,5.0,4.0,2.0,4.0
2019-01-15,,,Former Employee ,Growing and development opportunitt,Growing and development opportunitt,0,"As an alum mentor you work to help internationally students develop while in the process developing yourself and discovering new skills and talents.
Team and staff was very supportive and helpful. You can definitely count on them.","Having a demanding full time job limits the part time work done at TWC, leading to sleepless nights of administrative work and students emergencies. Prioratizing and scheduling before time is the key, as it is team work and not being ashamed of asking for help went needed. But all the hard work for a purpose is worth it.","None, just integrate more the alums that just like myself love to help and want to continue collaboration even after finishing their roles.",4.0,4.0,4.0,4.0,4.0,4.0
2018-05-25,,,Current Employee ,"Great work culture, poor salary","Great work culture, poor salary",0,"-Excellent benefits (health insurance has no deductible, stipend given for wmata, etc)
-Friendly work culture",-Organization has fairly high turnover due to mediocre salaries,,4.0,5.0,5.0,3.0,3.0,4.0
2017-08-29, Senior Coordinator,"Washington, DC",Current Employee ,Great people and culture,Great people and culture,0,"You work with great people from all backgrounds. If you take initiative, you can can take charge of your own projects. You have countless opportunities to make a really positive impact on the lives of college students. The networking opportunities are amazing! I really grew and enjoyed my time working at TWC.","Can be a high-stress job during parts of the year. Some colleagues are territorial over their contacts, projects, etc. Need an advanced degree to be promoted beyond senior coordinator. Work culture can vary department to department depending on your manager/director.",I wish there was more internal growth opportunities.,4.0,5.0,5.0,3.0,3.0,4.0
2016-05-26, Director,"Washington, DC",Former Employee ,A nonprofit with a great mission!,A nonprofit with a great mission!,0,"TWC is a great place to start a career, learn, and network all within a great city. TWC has an incredible mission that impacts students lives. If you are looking to work with students, but outside of a traditional college or classroom setting than TWC is the place for you. Working at TWC it helped me build a network and the skill set need to advance my career.",TWC has very defined positions making it a bit difficult to move up into leadership roles. TWC needs to do a better job providing professional development opportunities to its staff.,"Provide more professional development opportunities, be more innovative and do not be afraid to feed out the employees not performing.",4.0,4.0,4.0,3.0,4.0,4.0
2016-06-01,,"Washington, DC",Former Employee ,Run away as fast as you can,Run away as fast as you can,0,"Younger staff
Happy Hours
Friendly Coworkers
Health Insurance package was OK","Low Pay - Some of the positions are basically sales / business development but the pay does not reflect how much money the individual person brings into the organization
No room for growth
Lack of Innovation
Terrible Communication
Disorganized
Nonprofit organization that focuses on the development of college students but they have no interest in actually helping the students. It's more about how much money they can make off each student with the tuition and scholarship dollars. It is such a scam.","Advice to the new President: Fire every single person currently serving on the VP, Senior Director, and Managing Director. They are running the company into the ground. They lack vision and bring nothing to the table that is unique or remotely inspiring.",1.0,4.0,2.0,1.0,2.0,1.0
2016-05-24, Academic Program Advisor,,Current Employee ,Zero Star 'Education' Non-Profit: Here's A Hotdog!,Zero Star 'Education' Non-Profit: Here's A Hotdog!,0,"There's a small handful of dedicated and talented staff. The mission of the organization is fundamentally awful though and it becomes apparent with each passing academic semester. Eager students that want to advance their careers are actually referred to from some staff as ""butts in seats"" so trying to educate and help students gain valuable experience and have a ""transformative experience"" is in reality a scheme to … 
Show More","Inability to change and improve despite annual staff feedback. I have given up hope now, the same complaints made before I started here are still ongoing.

Top executive staff stuff their bank accounts and fund their vacations from exploited student money.

Current and outgoing CEO/Mitch McConnell turtle twin ran this organization into the ground and is having his vampire squid Goldman Sachs buddy replace him in the cushy $400,000+ gig. There was no transparency, internal discussion, or active search for candidate replacements internally or externally.

Lots of cronyism and nepotism (same family heading different departments despite lack of leadership and vision). No one dares speak out against it. If you happen to Google Search the Washington Center, a Washington Post article comes up outlining the practices and shady board dealings that summarize what this place is about.

Entry staff will be chewed up and worked to the bone and receive no benefits or livable income for the first part of their time at TWC. High turnover at every level besides senior directors and up. It was and still is a policy for some staff to worked 37.5 hours for the beginning of their time here so they don't qualify for benefits.

Lots of hypocrisy with reputation and relationships here. TWC does not consider cultivating a positive atmosphere a priority. The best thing to do is put on a blindfold and pretend to be friends with senior management and look for jobs elsewhere.","BBQs and baseball games every once in a while won't solve the main issues with this place. You've received negative feedback for five years and have done nothing but get greedier with the costs of programs and continued lack of support to the majority of staff. Middle to entry level staff are poorly paid and replaceable while deadweight remains in place.

""Sorry for the low pay, incompetent management, toxic noisy work environment, directionless leadership, and general feeling you are indebting an entire generation of kids to line your supervisor's pockets ... here's a hotdog!""

We might as well as just give the kids that come through TWC for an internship a hot dog, it is about as useful as the certificates and ""experience"" they receive.",1.0,1.0,1.0,1.0,1.0,1.0
2016-04-26, Junior Accountant,"Washington, DC",Former Employee ,Finance Dept,Finance Dept,0,Work life balance. For someone who was fresh out of college and new to D.C. it was good and fun working with many who were my age and in same situation,Low salary. Each department is only concerned with their own goals and own budget but do not fully focus on what is best for the company as a whole. There are those that want to see their programs succeed but at the cost of other's programs.,,2.0,5.0,3.0,1.0,1.0,2.0
2016-04-05,,"Washington, DC",Former Employee ,Stay Away,Stay Away,0,Great core staff that's about it,"Open office plan which makes it impossible to focus on work. A president who announced his retirement in 2 years 5 years ago, has checked out, is often gone and makes over $400,000 while core staff are cut and overworked. Most executive staff are passive aggressive or down right jerks. Too many of them praise the mission in public but can't seem to stand students. Lots of opportunity though because everyone who can is jumping ship. Too many great people feel trapped.",New president really needs to clean house and try to repair a lot of burned bridges.,1.0,1.0,1.0,1.0,2.0,1.0
