date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-08, Bay Host,,Current Employee ,Perfect job for college,Perfect job for college,0,"Flexible hours
Fun environment
Room for growth",Long shifts from 9-5 or 5-close,,5.0,5.0,5.0,5.0,5.0,4.0
2019-04-23, Caddy,"Mount Laurel, NJ",Current Employee ,Alright,Alright,0,"Good work environment
Managers are alright
Made lots of friends",Was originally a food runner for several months doing the bulk of the work during my shift since minors really just talk and play on their phones. Management finally bumped me up to caddy. Just reward hard work when needed,"Reward hard work
Treat everyone the same",4.0,3.0,4.0,3.0,3.0,2.0
2019-04-20, Hospitality Manager,"Orlando, FL",Current Employee ,High Energy Place to Work,High Energy Place to Work,0,"Constant fun, great group of people to work with, always a new challenge to keep you going, people are excited to be where you're at.",Lot's of work with popularity of venues.,,5.0,3.0,5.0,5.0,5.0,5.0
2019-04-20, Everything,"Orlando, FL",Former Employee ,oooo,oooo,0,"good, fast free food, nice people","far, short breaks. tiring, uniforms",hire non lazy people,4.0,4.0,4.0,4.0,4.0,4.0
2019-04-19, Bayhost,"Nashville, TN",Current Employee ,Bayhost,Bayhost,0,"Fun environment, room for growth, work with some great individuals, great benefits!",The hours are long and on your feet the whole time.,,4.0,3.0,4.0,5.0,5.0,
2019-04-17, Food Runner,,Former Employee ,Fantastic First Job,Fantastic First Job,0,"Among the many benefits that come with being a Topgolf associate are opportunities to develop lasting friendships with your fellow associates. Decent pay, free Topgolf, and a high-paced environment.",Working in the heat can be an issue at times for some people.,,5.0,5.0,5.0,4.0,4.0,3.0
2019-04-28, Bay Host Shift Lead,"Overland Park, KS",Former Employee ,Fun but Management is out of Touch,Fun but Management is out of Touch,0,"Discount
Fun environment
Good pay during busy season","-Management
-Pay decreases if you want to move up from shift lead.
- company culture not always followed","Don’t throw your associates under the bus. Listen to your shift leads.
Be there for people who are struggling outside of work.
When someone doesn’t show up for a shift or a few shifts in a row. Maybe call and make sure they are still alive.
Don’t say everyone’s a family and not follow through.
Don’t jump to conclusions.
Don’t think you know everything. Odds are there are people working for you with more experience. You could learn something.
Better resources for employees dealing with mental health/personal issues. They should feel safe enough to open up about it.",3.0,3.0,2.0,3.0,3.0,2.0
2019-04-11, Event Manager,"Charlotte, NC",Current Employee ,"You will love it, I promise","You will love it, I promise",0,"Great culture
Fast promotion rate
Great pay",The usual restaurant customer service issues,None,5.0,3.0,5.0,5.0,5.0,3.0
2019-04-11, Caddy,"Jacksonville, FL",Former Employee ,Interesting Job,Interesting Job,0,"Fun, Hotschedules, Long Shifts, Good Tips during holidays, Cool interview process",A lot of stairs (Pro:cardio),,4.0,4.0,4.0,4.0,4.0,4.0
2019-04-12, Bayhost,"San Antonio, TX",Current Employee ,Great Culture!,Great Culture!,0,"Culture, Money, Flexibility, Coworkers, It's fun","Hours, Unfair tipping sometimes, but it comes with any job with tips","Keep pushing the culture, and always touch base with your associates",4.0,4.0,5.0,3.0,2.0,5.0
2019-04-09, Grounds Keeper,"Simpsonville, SC",Former Employee ,Grounds Maintenance,Grounds Maintenance,0,Strong leadership allowing taking control of team in golf course and communicate well with others,"Hard to wake up in morning, could possibly be Irritated. I get bad migraines and have had 2 knee surgery",Communicating well with employees is important make your employees feel like your friends and form personal relationships,4.0,4.0,4.0,4.0,4.0,4.0
2019-04-09, Bay Host,"San Antonio, TX",Former Employee ,Solid place to work,Solid place to work,0,"Very friendly people.
Money can be good.
Free golf and half price food.",Managers sometimes play favorites. Can take awhile to earn good spots.,,4.0,3.0,5.0,5.0,4.0,3.0
2019-04-20, Bayhost,"Virginia Beach, VA",Former Employee ,Former Associate at the Virginia Beach Venue,Former Associate at the Virginia Beach Venue,0,"You can’t find better people to work along side and I say that with as much emphasis as I can
Good money
Sometimes the family meal is fantastic","Two of the top three managers are an absolute joke
Impossible to take your 30 minute mandated break most days
Even though they say you are family, they rarely show it","If you are going to say that Topgolf is a family space for your associates, treat them like we are actually family. Don’t just say it to make us feel good temporarily. Actually truly care about us over your numbers. Obviously Topgolf is a for-profit business, but when you can use that almost billion dollar company revenue to treat your associates to something extraordinary. Something that would make associates actually sincerely love everything about Topgolf would be to do outings with the general population of associates, not just the shift leads, managers, platinum hosts, and the like. Make us not hate who we work for before CaddyShack makes you start to sweat.",3.0,3.0,5.0,4.0,3.0,1.0
2019-04-15, Caddy,"Pharr, TX",Current Employee ,Room for Improvement,Room for Improvement,0,"Schedule flexibility, managers respond quick, free game play, half-off food and drinks","Not enough caddies will be scheduled on a popular night, those who are no call/no show are not properly replaced by someone else, little to no hours (full-time, but getting 7/8 hours in one week), below minimum wage pay, always running out of straws and kids cups/coffee cups/associate cups","Managers need more experience with associates, constantly butting heads. Associates are being denied the opportunity to move up/cross train to other positions. Our concerns need to be addressed throughout the venue",3.0,4.0,3.0,3.0,4.0,2.0
2019-04-02,,,Current Employee ,Great Company,Great Company,0,Excellent work environment! Everyone has personality.,Really late hours and the managers don't know how to cut people.,,5.0,,,,,
2019-04-14,,"Hillsboro, OR",Former Employee ,An absolute headache,An absolute headache,0,"The environment and associates are fun, good food","Managers are never around when you need them, extremely biased and play favorites if you don't meet their standards and drink the TG Koolaid. It feels like high school with the unnecessary drama",,2.0,1.0,4.0,2.0,1.0,1.0
2019-03-26,,,Current Employee ,Awesome,Awesome,0,"Flexible schedule, fun environment",Hard to move up in company,,5.0,,,,,
2019-03-24, Bayhost,,Former Employee ,Fun place,Fun place,0,"best job, great atmosphere, good money","it can be HOT, closing sidework can be tedious",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-22, Event Ambassador/Bayhost,"Alexandria, VA",Current Employee ,Great Culture to Work In,Great Culture to Work In,0,One team mentality makes your fellow associates more like family.,"Management and other associates can be a bit lazy, therefore making you do more work to pick up their slack.",,4.0,3.0,5.0,5.0,5.0,4.0
2019-03-21, Server/Bartender,"Allen, TX",Former Employee ,Great Company and Culture,Great Company and Culture,0,Fun culture with associates and management who genuinely care about the people that work there.,Business can be slow during bad weather days/months,Keep on keeping on.,5.0,5.0,5.0,4.0,5.0,4.0
2019-03-22, Bay Host,"Brooklyn Center, MN",Current Employee ,This is my Fun job,This is my Fun job,0,"Upbeat associates, Good Perks, Caring Culture, Promote from within, Hire on your personality","Low wages for non tipped associates
Late hours","Buy a silverware rolling machine, Be more recycle friendly, consult locals before opening a cold weather venue for all that could go wrong",5.0,3.0,5.0,4.0,3.0,4.0
2019-03-21, Server,"Gilbert, AZ",Former Employee ,Server,Server,0,"Great pay, good benefits, great people",Managers are extremely biased and aren’t the greatest,,4.0,3.0,3.0,5.0,4.0,2.0
2019-03-21, Bartender,"Chicago, IL",Former Employee ,"Great place to work, but cult-like","Great place to work, but cult-like",0,"Great benefits, great work environment",very poor management at my location,,4.0,4.0,4.0,5.0,5.0,4.0
2019-03-20,,,Current Employee ,Fun Place to Work,Fun Place to Work,0,"Great associates, fun environment, good perks","Sometimes, managers can be hard to find when needed",,4.0,4.0,5.0,4.0,4.0,4.0
2019-03-19, Golf Services,,Current Employee ,Good Environment and Culture,Good Environment and Culture,0,Great place to work part or full time. Staff is friendly and overall company culture is good.,Scheduling can be difficult at times to be consistent,,4.0,3.0,5.0,3.0,3.0,4.0
2019-03-18, Event Sales Administrative,"Tampa, FL",Former Employee ,Great Culture,Great Culture,0,great culture and perks,"poor leadership can stall development
becoming more and more corporate",,5.0,3.0,5.0,5.0,4.0,4.0
2019-03-17, Bayhost,"Orlando, FL",Current Employee ,Bayhost,Bayhost,0,"Met amazing people
Consistent money
Opportunities for growth
Flexible schedules","long hours,
guest can sit in your section for hours and are not required to order food/drinks",,4.0,5.0,5.0,4.0,4.0,4.0
2019-03-31, Lead Office Administrator,"Huntsville, AL",Current Employee ,Okay Job,Okay Job,0,"Great culture, fun environment, good opportunities",Low pay rates. Inconsistent changes.,,3.0,4.0,5.0,3.0,3.0,4.0
2019-03-29, Bayhost,,Current Employee ,Decent,Decent,0,"Easy job, fun atmosphere, cool benefits",Management is all over the place,,3.0,,,,,
2019-03-27, Caddie,"Columbus, OH",Former Employee ,Not too bad,Not too bad,0,Good environment and positive vibes,Terrible communication with hourly associates,Be more direct and effecient,3.0,,,,,
2019-03-11, Director,"Dallas, TX",Current Employee ,Best company I've ever worked for!,Best company I've ever worked for!,0,"Opportunities to truly make an impact
Phenomenal culture
Senior leadership embraces and models core values of Caring, Fun, One Team, Excellence and Edgy Spirit
Mega growth opportunities","It's a growing company so there is a lot of work to be done - you have to take ownership of your own work/life balance, but the company is supportive.",Communication is key. Topgolf does a great job of communicating with its Associates - keep it up!,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-08, Team Leader,"Overland Park, KS",Current Employee ,Best career choice I’ve ever made,Best career choice I’ve ever made,0,The culture and environment is amazing. You can branch out and learn a lot. You aren’t limited.,I personally love what I do on a daily basis. I don’t have anything poor to say!,"Keep striving, and never look back. Topgolf is going in a great direction.",5.0,5.0,5.0,5.0,5.0,5.0
2019-03-06, Golf Services,,Current Employee ,Trying to make money,Trying to make money,0,"The environment is very fun, amazing coworkers","Say goodbye to weekends, Crazy two face managent, horrible shifts",,4.0,2.0,3.0,4.0,3.0,3.0
