date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-11, Technical Account Manager,"Chicago, IL",Former Employee ,Good company to work for with good benefits.,Good company to work for with good benefits.,0,Good company to work for with good benefits.,Going through some pains as they still host a legacy platform while migrating to the new cloud based platform.,Don't get rid of your experienced people.,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-05, Infrastructure,"Chicago, IL",Former Employee ,Good to place to work but...,Good to place to work but...,0,"Flexible, Very smart people, lots of company provided food/drinks","If you work in infrastructure (or Networking/operations), stay away. The man running the show is a visionless man who's expectations are not realistic. He will make sure your life is hell...just stand by the revolving door and observe. This man's ideas of moving forward and progressing is circular.",Shutting your eyes won't make the problem go away.,2.0,4.0,4.0,2.0,3.0,1.0
2018-12-13, Office Manager/Facilities Coordinator,"New York, NY",Current Employee ,Works at Trading Technologies Full-time. Great work environment.,Works at Trading Technologies Full-time. Great work environment.,0,Awesome place to work. Every oriented and flexible. Great pay/bonus/benefits.,Seeing good working colleagues leave.,Always be sure to check up on your team.,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-14, Software Engineer,"Chicago, IL",Former Employee ,Flexible and Great Perks,Flexible and Great Perks,0,The tech perks are the best compared to all my previous companies and compared to my friend's companies. A lot of nice smart people. Decent office space and a pretty cool cafeteria.,"The leadership is pretty bad! They do not know how to utilize their employees, a lot of great people are leaving and they have a hard time filling positions. They are constantly rebuilding features because the people who take over do not understand the technology nor the product. So much wasted time and money on useless meetings and constant rebuilding of applications.","No advice reaches management, seriously! All I can say is good luck, you will need it.",4.0,4.0,2.0,4.0,4.0,1.0
2018-11-02,,,Current Employee ,Director,Director,0,"Best technology available in our space. Team Focused, hard working group of talented people. Great perks.",Days can be long at times....,,5.0,4.0,5.0,4.0,4.0,5.0
2018-07-18, Software Engineer,"Chicago, IL",Current Employee ,Best Place to work,Best Place to work,0,Free Beer at work,"Nothing, Nothing , Nothing Nothing and Nothing",,5.0,5.0,5.0,4.0,4.0,4.0
2018-03-17, Senior Software Engineer,"Chicago, IL",Former Employee ,Company was going down hill,Company was going down hill,0,"Office Location was great for commuters. Amenities in the office were good (snacks, drinks). Benefits were above average. Got to work with nice smart people.",Upper Management didn't seem to have clear direction of what they wanted. A lot of changes in leadership.,Make sure you do the business research and know what you want before starting to build solutions.,2.0,4.0,4.0,4.0,3.0,2.0
2017-11-28, Full Stack Software Engineer,"Chicago, IL",Current Employee ,Great company!,Great company!,0,"As a full stack software engineer. I have worked for Trading Technologies for one more year. The company has the wonderful work/life balance and my team does not have on call. The coworkers are friendly and knowledgable. The working is also interesting because I can use the most advanced technologies to work on the new project, like Angular 4 and ASP.NET Core. The company provides the breakfast and has the special breakfast and the fruit on Friday.",I hope the company can provide the fruit everyday. It is the only downside so far.,,5.0,5.0,5.0,5.0,5.0,5.0
2017-10-21, Software Engineer,"Chicago, IL",Current Employee ,Software Engineer,Software Engineer,0,"Excellent team of very intelligent, experienced engineers with diverse technical backgrounds. Continually focused on solving problems in the most efficient way and often going beyond. My team members are very helpful, professional and supportive of each other. The technical expectations and the business goals seem to be very well aligned. There are many developers here who have worked here for several years because they love what they're doing here and it's visible everyday.

Amazing health benefits, stock options, bonuses based on performance, 401K, very relaxed and cheerful culture. They provide an annual budget for electronics and gear, they also provide standing desks. They help you attend conferences by reimbursing your costs. They will also send you to school if it's justified. TT really cares about the happiness and well-being of every employee. They organize summer outings, parties, and fun events all year around to keep the morale up. They have a game room with video-games, pool-table, pinball, foosball etc.

They have a great kitchen with free bagels, pastries, fruits, beverages and beer on tap.","The salary is very low compared to most companies of this size. In fact there are many startups in Chicago that offer better salary.

The free snacks are great but they will probably make you obese and unhealthy if you're not careful.

The office space has a very sterile hospital-like feel. They're trying hard to make the space feel more habitable with the plants and green-colored walls and everything, but it is quite far from feeling like home. The ""art"" on the wall might make you want to stare at the concrete floor instead.",Please have more healthier snacks. You could offer more fruits which are way more cheaper and healthier than the bagged-snacks full of bad sugars and carcinogens.,5.0,4.0,5.0,5.0,4.0,4.0
2017-09-20,,"Chicago, IL",Former Employee ,company reeling on past reputation producing unreliable software.,company reeling on past reputation producing unreliable software.,0,Few good and knowledgeable folks that truly care about the company are manning their posts. Sadly this may not stick very long.,"CEO, CTO, CFO have good vision but the product and engineering heads, directors are nothing more than morons giving out crappy products with lots of issues. No coordination between different groups, they don't know what they want and how their end product is. Even the earlier stable product line is on the verge of a breakdown.
Promotions are based on personal relationship with boss' rather than skills and experience, a pure favoritism game. There are some experienced, skilled and knowledgeable employees who deserves to be managing their teams or products but they are side lined and assigned more work while folks who put up working face with no management skills are promoted to managers, specially women in testing team, guys in development and clueless product managers.
TT adapted a policy of stressing out employees in chicago to leave or laying off employees to hire cheap labor in India. Its time someone file a complaint with department of Labor and the company should be Audited.
For Marketing team, Stop those crappy and useless marketing posters. If interested, invest in something real creativity.","Cut the mid management crap, identify and promote the real talent, whatever is left of it. Unify your development, deployment and notify the firms and customers ahead of the impact not after the impact.",1.0,1.0,2.0,1.0,3.0,1.0
2017-08-02,,,Former Employee ,Good company and amazing people,Good company and amazing people,0,"The people are awesome. Although I a few years ago, there are several people that I still keep in touch with to this day and consider life long friends. When I was there you had a lot of freedom to do your job and challenge the status quo. A lot of the leaders were top notch and it seems like people get rewarded for the right reasons. The engineers were some of the best I have seen.","It sounds like this changed since I left, but there were a lot of re-orgs when I was there and ambiguity. When you work in a startup type of environment this is a given but at the time, this was my first corporate job and I was not mature enough to deal with it.

The industry is consolidating which leads to job dissatisfaction for many people.",,4.0,5.0,4.0,3.0,3.0,4.0
2017-08-01,,"Chicago, IL",Former Employee ,Decent place to work if you're prepared. Not perfect at all. .,Decent place to work if you're prepared. Not perfect at all. .,0,"Fast paced environment and you're always able to master something new about the software. Some staff is awesome and helpful, others are the exact opposite. Social young atmosphere.","Managers playfavorites and Managing Directors are not helpful or supportive. Some old management left on from the ""old TT days"" that are horrible. At least they were smart enough to get a new EVP, but some of the old culture still exists. Horrible arrogant manager who shouldn't have his position. Very sexist environment. HR is a joke- complaints go directly to managers you have issues with.","Make sure your managers support their teams or get rid of them. Nobody should be treated with disrespect at work- if you have an issue, speak up so it can be resolved. Get an HR team that takes matters seriously and treat your team with respect.",2.0,2.0,3.0,2.0,2.0,1.0
2017-06-15,,,Current Employee ,Great place to work,Great place to work,0,"great work/life balance, really great work culture",company is in the middle of a large internal restructure and migration of clients to a new software - this isn't 'bad' but as an employee it could be challenging to navigate,,5.0,5.0,5.0,5.0,4.0,5.0
2017-02-17, Senior Software Engineer,"Chicago, IL",Current Employee ,Awesome company to work with,Awesome company to work with,0,"Right above the train station.
Flexible working hour.
Technology driven.
Cool kitchen layout.
Less micro management.","Metropolitan syndrome: cold, self-centered people, including management team.
401 match only max 1.5% of salary.",,4.0,5.0,3.0,4.0,3.0,2.0
