date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-06-21, Receptionist,,Former Employee ,Best/Happiest work environment I've ever been in. They really care about you,Best/Happiest work environment I've ever been in. They really care about you,0,The benefits package was great for my family. I was pregnant and had a baby during my time at Transwest and the benefits provided through my employer were great and helped us out a lot. They were very flexible and understanding with me and made the work atmosphere very positive. I was compensated generously for the position I was in and the managers in all departments and locations were helpful and made you feel like you were family.,"There was trouble finding the perfect fit for a manager, but only because it was a new store and new location. There was an adjustment period as there is with any business.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-18, Sales,"Frederick, CO",Former Employee ,Watch your back.,Watch your back.,0,"Decent benefits. Decent pay, depending on the job.","This company is run with the “Good ol’ boy” mentality. If you aren’t “in” with the family, know someone in the family, have been there for 30 years or are a woman, good luck progressing. The sales environment is exhausting and you won’t get any positive feedback. Be prepared to deal with back-stabbing, being thrown under the bus and tons of disappointment. If you have a thick skin and aren’t expecting any type of advancement, you might be able to make it here. HR is pretty much useless and non-responsive.",Listen to your employees and don’t disregard their ambition.,2.0,1.0,1.0,1.0,2.0,1.0
2019-03-12,,"Brighton, CO",Former Employee ,Employee,Employee,0,Some managers are great and get the value of building a team and being good leaders.,Many people in place that should jump on board to the current century and how you run an organization. Run old school. Managers do not defend their employees.,"Reevaluate your pay structures and you will get better talent. Work on retention, and managers need to value their team they have. Work on training employees instead of letting them go so quickly. There needs to be more thought into Leadership training, Culture movement and listening to those trying to change the culture for the better or you will run into a lot of problems bringing in good talent. Get rid of the ridiculous assessments, they are a good tool to use when managing staff NOT using as a tool to hire a GOOD employee.",1.0,2.0,1.0,5.0,1.0,1.0
2018-12-13, Grunt,,Current Employee ,Disappointment and regret,Disappointment and regret,0,There is potential to be a major company that people can be proud to work for.,Management doesn’t listen to the people on the floor. Promoting people that don’t have experience or knowledge into leadership positions. Not having the ability to schedule or run a proper meeting.,Based on the previous ratings of the company pay attention. My best advice is run the company like a business not a family reunion or buddy system.,2.0,1.0,1.0,1.0,1.0,1.0
2018-07-27, Parts,"Denver, CO",Current Employee ,A family owned business that appears to run like a giant corporation,A family owned business that appears to run like a giant corporation,0,"They will pay you, it may be at poverty level but they will pay you.
There is a chance for long term employment if you're not a manager and have very thick skin... Or are an exceptional suck up.","Raises are often years apart, benefits are in decline. Old boy network that will leave you dumbfounded in 2018.","Training, not talking about training but train people. To George : egomaniac managers seem like a good idea but are caustic to morale and long term goals of the company.
To managers: people want to think that their company cares about them... Try",2.0,3.0,1.0,1.0,2.0,2.0
2018-05-19, Parts,"Brighton, CO",Current Employee ,Parts,Parts,0,Lots of hours with lots of idiots,Stupid customers and I’m talking the worst in the country,Stop worrying if someone’s shirt is untucked.,3.0,3.0,1.0,5.0,5.0,1.0
2017-12-03,,,Former Employee ,Review for Transwest Properties Inc,Review for Transwest Properties Inc,0,My coworkers were actually eat to get along.,"Poor management, hard to get supplies",,1.0,2.0,1.0,1.0,1.0,
2017-09-14, Analyst,"Denver, CO",Current Employee ,Ok,Ok,0,The company promotes from within and although it has grown to a large company it still has a small company feel.,"Don't recognize hard work, poor benefits relative to market, poor leadership",Change is ok,3.0,2.0,1.0,3.0,3.0,2.0
2017-08-11, Service Manager,"Denver, CO",Former Employee ,Very good company with growth on the horizon,Very good company with growth on the horizon,0,"Transwest pays better than most companies in the industry. The service director, Basil, has a strong understanding of the industry and is always willing to help if you need it. George, the owner, makes sound business decisions and will invest if it makes business sense.",Rent is excessive. It should be a percentage to sales from prior year. Rumors are excessive.,Ensure that you gather and understand all factors before making a decision.,5.0,4.0,4.0,5.0,5.0,5.0
2017-07-23, Service Manager,"Brighton, CO",Current Employee ,Great,Great,0,This company is Awesome. From the owners down to the front line employees. Very well organized Buisiness. Plenty of room for Advamcement. Would not work any where else.,No cons only good things at Transwest.,,5.0,5.0,5.0,5.0,5.0,5.0
