date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-08-24,,,Current Employee ,Great company to work for,Great company to work for,0,Great opportunities for growth and learning,Very aggressive growth mentality,,5.0,3.0,4.0,5.0,3.0,4.0
2019-03-21, Materials Coordinator,"Minnetonka, MN",Former Employee ,"Good Company, growing market leader","Good Company, growing market leader",0,Trimble is a good company to work for as a market leader in their industry as well as being vastly growing.,Still learning how to make the jump from a small company to a large corp.,,4.0,3.0,4.0,4.0,3.0,4.0
2019-03-18,,,Former Employee ,Behind the times,Behind the times,0,"Lots of pizza?
There are some great team members who really collaborate well together","Lack of resources to do your job
Middle managers are overwhelmed/insecure and don't know how to lead a team or stand up for their team.
Behind the curve on bringing new technology to market
Cliquey
Meetings are managers talking at you telling you how things are great or glossing over issues that will be fixed.....someday.....
Poor communication from middle managers overall, always in meetings, doors closed.
Silos between departments. Unwillingness between departments to help each other.
Lack of clear strategy from top down
Slow to evolve, not listening to the market","Hire more "" leaders"" for your teams, not managers. Set your customer facing teams up for success by soliciting feedback from those teams. Create surveys on your mid level managers performance to gauge their value to their team.",2.0,2.0,3.0,2.0,2.0,3.0
2019-03-03,,,Current Employee ,Good Company,Good Company,0,"Good Working environment
Lot of learning","HR Policies
Transparency issues
organisation structure
Not having scope to shapeup Career Path",,4.0,4.0,4.0,4.0,3.0,4.0
2019-02-11,,,Former Employee ,Old school culture but leader in the field,Old school culture but leader in the field,0,"Get to work on products that makes impact quickly given their sharehold in the market in this field.
Working with experienced team.
Company to retire from.","Old school culture ( may be not a Con), decent compensation pkg
No fancy perks",,4.0,,,,,
2019-03-03, Software Engineer,"Westminster, CO",Former Employee ,Virtual Site Solutions (VSS),Virtual Site Solutions (VSS),0,"-Interesting technology
-Work life balance (if you know how to set expectations with your manager)
-Competitive Benefits
-Overall Trimble seems like a good company to work for","“This is the worst place I’ve ever worked” was a common sentiment that I heard from many different members of the organization while working at VSS. The negative sentiments towards the organization were driven by a lack of basic business management best practices, such as creating a clear direction and regularly rewarding employees for meeting goals that moved in that direction. Overall work was driven by seemingly ad-hoc requests that lacked clarity and purpose rather than providing clear requirements that were written down in a project plan. Furthermore, there was a general lack of vision and strategy that was shared across the business and engineering teams. Software engineers spent a good deal of time working on tasks that they thought were in alignment with the business strategy only to be questioned as to why they had spent time working on that task and then disparaged for not getting any ""real"" work done. As you could imagine, a significant number of software engineers have quit out of frustration, many of them not even lasting a year in the organization.","Your employees are trying to work with you, not against you. Hold yourself personally accountable for the product situation rather than blaming current and former employees and build a collaborative environment by giving team leads the authority to carry out their responsibilities.",1.0,3.0,1.0,2.0,3.0,1.0
2019-01-25, Implementation Manager,,Former Employee ,Okay,Okay,0,Very good benefits and time off,low salary and low moral at the time,,2.0,5.0,2.0,3.0,2.0,2.0
2019-01-03,,,Current Employee ,Best place to start your career,Best place to start your career,0,Wide range of technologies and areas to learn and grow,I don’t see anything thats so critical,,4.0,,,,,
2019-01-02,,,Former Employee ,Product Marketing,Product Marketing,0,The speed of innovation is fast and the people are great to work with. Being a global company provided opportunities for many market segments to work with.,"Every division is different, but there was lack of transparency when prioritizing new work.",,4.0,,,,,
2018-12-18,,,Current Employee ,Product Manager,Product Manager,0,They have good benefits and are flexible,Lots of policy and corporate mentality,,4.0,3.0,3.0,2.0,4.0,2.0
2018-12-14,,,Former Employee ,Account Manager,Account Manager,0,Good company to work for,complicated to do business across divisions,,4.0,4.0,4.0,4.0,1.0,
2018-12-06,,,Current Employee ,Wonderful Place to Work,Wonderful Place to Work,0,Great environment to grow and learn with strong support systems,Can change often and quickly,,5.0,3.0,5.0,5.0,4.0,5.0
2018-11-27, Program Analyst,"Boulder, CO",Current Employee ,Program Analyst,Program Analyst,0,Opportunities to move within the company.,"Misguided leadership, disorganized , poor communication.",,3.0,3.0,3.0,3.0,2.0,2.0
2018-11-01,,"Dayton, OH",Current Employee ,Comfortable job,Comfortable job,0,"Hours, soak up that over time.","Long hours, and lack of caring from other employees","Do your job, without degrading the people that work there ""@ss"" off.",4.0,3.0,2.0,4.0,4.0,3.0
2018-12-07, Operations Manager,"Denver, CO",Former Employee ,Manager,Manager,0,Hard to think of other than company has nice benefits such as nice medical plan and 401k. Other division of GPS technology and software is cool.,No care for employees/ customers. Will diminish a rich company they acquired by poor management decisions and lack of care of what they actually did. This is the worst company I could think of working for if you have a backbone and morals. Too political and back stabbing in the upper management positions too,"Pay attention to what you acquired and how they got to where they got verses what your opinion is. Just because someone has an MBA does not mean they are GoD. Pick your Business Area Directors carefully. Also when you have a Senior cornerstone of an organisation reach out to the VP, at least acknowledge that you received the message, verses deciding to force people out the door.

When a company is thriving with growth(20+% annual) before it is acquired then when acquired its revenue drops but by more than half there is a problem at the top.",1.0,1.0,1.0,3.0,3.0,1.0
2018-10-23,,,Current Employee ,Marketing,Marketing,0,Global company with many possibilities,Missing alignment within the divisions,,4.0,4.0,3.0,4.0,3.0,2.0
2018-10-12,,,Current Employee ,"Challenging work, informal culture","Challenging work, informal culture",0,Informal nature of culture contributes to getting work done. Strong vision.,Gaining alignment on key issues can pose a challenge.,Move faster to make positive change and rid the workplace of known toxic personalities. Consider the impact on existing employees.,4.0,4.0,5.0,3.0,4.0,4.0
2018-10-01, Sales,"San Diego, CA",Current Employee ,Great place to work,Great place to work,0,"Freedom, no micro managing, happy environment.","No complaints thus far, nice place to work.",Keep doing what you are doing.,4.0,5.0,4.0,4.0,4.0,3.0
2018-09-24,,,Current Employee ,Great Company,Great Company,0,"Benefits, 401(k), ESPP and PTO packages are great!","Such a large company that unless you are front and center in an executive or managerial position, employees can get 'lost' in the corporate outline.",,4.0,4.0,5.0,5.0,,
2018-10-18, Production Operator,"Corvallis, OR",Current Employee ,OK just paying the billed job,OK just paying the billed job,0,paid the bills and nice coworkers,"temporary to laid off, lay offs can happen on holidays",,1.0,2.0,2.0,1.0,1.0,2.0
2018-09-26, Technical Project Engineer,"Minnetonka, MN",Former Employee ,Stay away,Stay away,0,Location Casual Work Environment co-workers,Poor Management Lack of leadership,Become leaders and not market followers,2.0,2.0,2.0,2.0,3.0,1.0
2018-10-06, Project Engineer,"Sunnyvale, CA",Former Employee ,Departments do not talk to each other. Upper management inaccessible.,Departments do not talk to each other. Upper management inaccessible.,0,Large projects to work on,Pay and benefits are not competitive. After an acquisition most likely the product will be shelved instead of being integrated. High turn over. Departments do not talk to each other. Upper management inaccessible. No strong company culture.,Be more accessible to employees and listen to their suggestions and recommendations. Promote from within.,1.0,1.0,1.0,1.0,1.0,2.0
2018-09-14,,,Current Employee ,.,.,0,"Great culture, extended vacation time.",No decent raise - or advancement opportunities,Get on the same page,3.0,5.0,5.0,1.0,3.0,5.0
2018-08-31, Order Fulfillment Specialist,"Westminster, CO",Former Employee ,Order Fulfillment,Order Fulfillment,0,Awesome place to work in terms of culture and benefits. Great people and perks. Very innovative company that does well for itself.,"They are great at growing culture, NOT great at growing their people. I made several attempts to secure an internship to gain experience (which is hard when you're in a customer service / entry level role), and applied for other positions and was always shot down or glass ceiling'd in my current role. It never felt like I had a chance to prove myself and rise up in my career. Also - they either do NOT compensate internal moves, or it's a very low wage increase!","Care more about the entry level folks. Some work very hard and deserve a shot at advancement opportunities. If they ask for an internship / pathway to success, take the time to mentor them and help them grow, or else they'll leave.",3.0,5.0,5.0,1.0,4.0,3.0
2018-09-04,,,Current Employee ,senior test engineer,senior test engineer,0,good benefits good work home life,internal politics plays significant part,listen to wishes of workers,3.0,3.0,3.0,3.0,4.0,3.0
2018-08-07,,,Former Employee ,Sr Global Commodity Manager,Sr Global Commodity Manager,0,"Diversified business sectors
Competitive salary and quarterly bonus","Traditional management style
Very frugal on business trips",,4.0,4.0,4.0,4.0,4.0,4.0
2018-07-28,,,Current Employee ,Good Company,Good Company,0,Good benefits and a global company.,"Some of the individual offices have to much of a ""separate company"" attitude.",Open up more internal movement.,4.0,5.0,4.0,3.0,5.0,3.0
2018-08-24,,"Sunnyvale, CA",Current Employee ,Avoid the finance side of things,Avoid the finance side of things,0,Nice new office buildings in Westminster,Just about everything else you can think of!,,1.0,3.0,2.0,1.0,1.0,1.0
2018-07-16,,,Current Employee ,Great company with positive outlook.,Great company with positive outlook.,0,"Great people to work with! You work hard, but also have some level of flexibility to manage work/home.",Decentralized organization makes getting things done efficiently difficult at times.,,4.0,4.0,4.0,,,
2018-07-14,,,Current Employee ,Sales,Sales,0,Great product and brand,Need additional resources to for delivery,None,5.0,5.0,5.0,4.0,4.0,4.0
2018-07-12,,,Current Employee ,Lots of Firefighting; Insufficient Focus on Quality,Lots of Firefighting; Insufficient Focus on Quality,0,"* Employees are knowledgeable.

* Hackathon: an opportunity each year to explore whatever topic a developer wants.

* There’s a team of volunteers who strive to make the organization a fun place to work by planning company-wide events.

* If you prefer to work solo, without strict software development processes, this may be the right place for you.","* There is a sink-or-swim vibe to the on-boarding process. New hires receive minimal training and are expected to figure out things on their own. “Asking too many questions” is viewed as lack of independence. Since it’s hard to know what constitutes “too many questions,” some employees are hesitant to speak up—even new hires, who really need to ask questions.

* Jamming out features seems to be more important than quality.

* There is lots of firefighting. As a result, production services are down many hours per year, and no one seems to care.

* Teamwork and collaboration is actively discouraged. It seems as if management views collaboration as something that interferes with productivity rather than enhancing it.

* This company is not the best fit for idea people/innovators. Managers often dismiss ideas presented by employees. Managers also routinely ignore or override the opinions of the team.","There needs to be more focus on delivering value to the customer. Also, managers need to empower employees/teams, giving them the authority to make decisions in their areas of responsibility.",2.0,3.0,2.0,2.0,1.0,2.0
2018-06-19,,,Current Employee ,Seniore Software Quality Engineer,Seniore Software Quality Engineer,0,Freedom to generate control processes from scratch.,"Limited support, limited enforcement opportunities for new processes.",,4.0,5.0,5.0,4.0,5.0,4.0
2018-06-13,,,Current Employee ,"Long hours, low pay","Long hours, low pay",0,The benefits are okay. okay,"Long hours, waiting until Friday at 4pm to find out if you have to work on Saturday or Sunday. No upper limit to how many hours they will work you in a day or a week. Antique equipment to work with, most everything is broken and you have to beg for supplies.",,2.0,1.0,4.0,,,
2018-06-03,,,Current Employee ,Exhausted,Exhausted,0,"Good pay
More than 40 hrs",Working 70+ hrs and barely any days off,"Slow down with the 12 hr shifts. Exhausting your workers is nothing to be proud of, especially when their health is involved.",3.0,1.0,3.0,3.0,1.0,3.0
