date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-25, Sales Training Manager,"Chicago, IL",Former Employee ,Sales manager,Sales manager,0,"culture, unlimited time off, atmosphere",benefits and no 401K match,,4.0,5.0,5.0,5.0,3.0,3.0
2019-04-17, Senior Stylist,"New York, NY",Current Employee ,Great Place to work,Great Place to work,0,"Great culture, excellent work/life balance, ability to build your own business and make as much money as you want",Not a ton of room for growth,,4.0,,,,,
2019-04-15, Stylist,"Dallas, TX",Former Employee ,"Fun Job, Low Pay","Fun Job, Low Pay",0,"flexible schedules, unlimited vacation, fun/young coworkers (for the most part)","stylists not valued, comp structures always changing so we wouldn't get commission, employee retention VERY low, pay was laughable,",,2.0,3.0,5.0,1.0,1.0,1.0
2019-03-21, National Stylist,"Chicago, IL",Former Employee ,"Great atmosphere, no such thing as work life balance","Great atmosphere, no such thing as work life balance",0,"Cool place to work, fun people, laid back environment","The constant need to work after hours, unrealistic quotas",,3.0,1.0,4.0,1.0,3.0,4.0
2019-04-03,,,Former Employee ,fine place to work,fine place to work,0,there are lots of friendly employees,boring work and harsh sales environment,,2.0,2.0,2.0,2.0,2.0,2.0
2019-04-18, Stylist,"Boston, MA",Former Employee ,Deceitful and Emotionally taxing,Deceitful and Emotionally taxing,0,Good people that they hire work there and a strong sense of team.,They are not honest with you from the date of hire. They pay very little compared to the numbers you will bring in with this position. The managers are so lackluster and manipulative. Honestly hated working here.,Stop being fake and don't take advantage of your employees.,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-26, Customer Experience Associate,"Chicago, IL",Former Employee ,I made the right decision to leave at the time,I made the right decision to leave at the time,0,"Unlimited vacation
Bar in office","Poor management
False Sense of Career Growth",,3.0,3.0,2.0,1.0,2.0,1.0
2019-02-22, Software Engineer,"Chicago, IL",Current Employee ,"Good Team, Leadership Struggles","Good Team, Leadership Struggles",0,"Great teammates, fun product to work on, fun working environment.","Bad managers, lack of managers, poor communication from leadership, leadership was also weirdly combative at times. First time I ever felt like politics had a large role in my day-to-day work. Extremely hesitant to promote anyone, while only giving raises with promotions.",Stop thinking your employees are out to get you. Trust the people you hire to do the jobs you hire them to do.,3.0,5.0,3.0,2.0,3.0,1.0
2019-02-21, Member Experience Associate,,Former Employee ,Cool but not the best workplace,Cool but not the best workplace,0,"Youthful environment, nice office, in-office bar","Often felt forgotten by management when issues arose. Didn't feel valued, often overworked. Everything felt clique-y.",,3.0,,,,,
2019-02-17, National Stylist,"Chicago, IL",Current Employee ,Great Experience!,Great Experience!,0,"Very flexible and accommodating management teams, you very much get out of the job what you put into it! You have the opportunity to move up if you put in the work.","'Unlimited vacation' is very hard to actually get approved, and even harder to use while balancing high sales goals","Build in a better way for employees to take time off, risk-free, to avoid burnout. Higher compensation or a commission based salary would be a much better motivation!",4.0,2.0,5.0,3.0,1.0,5.0
2019-02-20, National Stylist,,Former Employee ,Fun for a while,Fun for a while,0,"Young coworkers, relaxed atmosphere, cafe in building","Rotating schedule, too high workload to participate in extras",,3.0,2.0,5.0,3.0,3.0,5.0
2019-02-13,,"Chicago, IL",Current Employee ,Great Place to Work,Great Place to Work,0,"Interesting product and strong team mentality with everyone truly working towards the same goal. A lot of emphasis placed on humility and positivity, which is unique for a tech company. Trunk Club still feels like a startup in many ways (energy, autonomy, innovation - everyone's voice is heard), but without the risks that are often associated (backed by Nordstrom). Tons of growth potential for both employees and the company itself.

Trunk Club/Nordstrom discount
Unlimited PTO","Communication can always be better, but you can tell leadership is more aware of that now.","-Continue to put an emphasis on communication at all levels and across clubhouses
-Invest in management training. Promoting from within is great, but new managers need support to give their employees the best chance of success
-As the company continues to grow, consider reevaluating benefits to match the workforce",5.0,,,,,
2019-02-12, Stylist,"Chicago, IL",Former Employee ,"Fun company, tough work-life balance","Fun company, tough work-life balance",0,I really enjoyed my time at TC. I feel like I learned a lot (especially from the Custom Team) and had great managers that helped see my potential. I made some really wonderful friends here and the job was fun!,The sales goals were pretty tough for me to consistently hit and you had to put in a lot of hours. I know this has changed for the better which is great to hear!,401K matching would have been beneficial.,3.0,3.0,3.0,3.0,3.0,4.0
2019-02-08,,,Current Employee ,Sales driven environment,Sales driven environment,0,"work from home, sales bonus","a lot of change, little room to progress",,3.0,,,,,
2019-03-14, Customer Service Associate,"Chicago, IL",Former Employee ,Crumbling Company Culture,Crumbling Company Culture,0,"very few, but the associates that stick around are a pleasure to work with and sociable.","Low hourly pay, micromanaged work environment and attendance policy, high turnover. The struggling performance as a company often times causes drastic changes that don't take employees into consideration.",Address the micromanagement occurring and offer a competitive pay to keep hard working employees from leaving,1.0,3.0,1.0,2.0,1.0,1.0
2019-01-29, Operations Associate,"Chicago, IL",Former Employee ,Friendly Staff and Managers and Plenty of Work to Go Around,Friendly Staff and Managers and Plenty of Work to Go Around,0,"-Easy to get hours
-Flexible Schedules
-Transparent Management
-Friendly Co-workers
-Good Perks","-Some rules are strict for the warehouse floor
-Music",-Let the staff pick the music,4.0,5.0,4.0,4.0,3.0,4.0
2019-01-26, IT Analyst,"Chicago, IL",Current Employee ,Great place to jump start your career,Great place to jump start your career,0,"Great place to learn, Sweet rooftop",The vision of the company isn't very clear.,It'd be nice to have work from home days.,4.0,4.0,4.0,5.0,3.0,4.0
2019-01-24, Customer Service Representative,,Former Employee ,Great people to work with,Great people to work with,0,The Trunk Club was a great place to work at,Not paid during lunch break,,4.0,3.0,5.0,5.0,3.0,4.0
