date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-20,,,Current Employee ,Ultimate Care treats their employees with great respect,Ultimate Care treats their employees with great respect,0,"I been here almost 3 years and this is my 3rd agency I work for and the experience here has been different from the other agencies. Here at UC you have a voice, you just dnt come clock in, work then clock out. Here if you have an opinion or ideas relating your work directors and supervisors are always willing to listen.",Ultimate care spoils their employees!!!!!!,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-18,,,Current Employee ,Great Place To Work,Great Place To Work,0,"Great PTO, generous salaries, enjoyable work environment",No 401K and no other cons,,5.0,4.0,5.0,4.0,5.0,4.0
2019-03-15, Placement Coordinator,"Brooklyn, NY",Current Employee ,Living life to the Ultimate,Living life to the Ultimate,0,"If you have a passion to make a difference in home care, Ultimate Care is the place to go!!",Sometimes there’s no hot chocolate in the lunch room!,Please continue to support your employees as you are !!! Excellent supervisors,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-13, Payroll Supervisor,"Brooklyn, NY",Current Employee ,Ultimate Care review,Ultimate Care review,0,It's an excellent home care agency to work with. Excellent staff and excellent opportunities to grow.,There is cons to write down about UC.,,5.0,5.0,5.0,5.0,5.0,
2019-03-13, Cdpap Coordinator,"Brooklyn, NY",Current Employee ,Great Home Care Company to work for,Great Home Care Company to work for,0,"I've been working at Ultimate Care for over a year now, and my overall experience has been very pleasant. Everyone in the office is very supportive and understanding, they are always willing to help when needed. Everyone works as a part of a team and they truly make you feel like you're part of a family.",There are no cons to write about.,401k for employees?,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-12, Registered Nurse,"Brooklyn, NY",Current Employee ,One of the best Agencies in the Industry,One of the best Agencies in the Industry,0,The only agency that is going to be extra investing in their caregivers with extra benefits and extra clinical education,Most of the staff is so involved they work overtime naturally...,Continue doing a great job! You are the exception in the industry!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-12,,,Current Employee ,"Great place to work, very happy here","Great place to work, very happy here",0,"Great corporate culture, teamwork, employee voices are heard, opportunities for growth",long commute to the office,,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-12, Clinical Coordinator,"Brooklyn, NY",Current Employee ,Living life to the ultimate,Living life to the ultimate,0,"Great listeners
Always lending a helping hand",No Cons since I've started I enjoyed working here everyday.,,5.0,5.0,5.0,5.0,5.0,
2019-03-12, Vibe Manager,"Brooklyn, NY",Current Employee ,Living Life to the Ultimate!,Living Life to the Ultimate!,0,Great corporate culture. Paid vacations. Paid PTO. Paid holidays. Birthday parties. Amazing management. Staff is amazing. Company environment feels like a family. Promotions always happening.,The commute is very long.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-12, Customer Service Representative,"Brooklyn, NY",Current Employee ,Positive Environment !,Positive Environment !,0,Everyone in the office is super positive and friendly!,There are no cons here.,,5.0,5.0,5.0,,,
2019-03-12, Supervisor,"Brooklyn, NY",Current Employee ,Favorite Job Ever!,Favorite Job Ever!,0,"Management cares about work life balance
Great Salary
Ideas are taken into consideration
Positive Work Environment
Encourage Teamwork",I honestly do not have any issues,Continue to do what you are doing.,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-12, Clinical Compliance Coordinator,"Brooklyn, NY",Current Employee ,Best Job,Best Job,0,When I first started working here at Ultimate Care I thought I was going to feel alone because I was starting fresh and didn’t know anyone. Turns out it was the complete opposite the love and opportunities given to me here made me feel at home. Ive never encountered any inconveniences here and It will always be my go to place. I come here and I feel the love. Ultimate Care will grow to different places.,"People like to talk without knowing, but thats anywhere you go.",Keep up the good work!,5.0,5.0,5.0,5.0,,
2019-03-12, Supervisor,,Current Employee ,Great Company,Great Company,0,"Teamwork encouraged
Friendly environment
Receptive to ideas from all levels of staff
Upper/Senior Management are easily accessible at all times",Not much for cons; some healthy snacks for the employees would be nice/liven up the office/working-space.,,5.0,4.0,5.0,5.0,5.0,5.0
2019-03-19, Human Resources Coordinator,"Brooklyn, NY",Current Employee ,An environment im happy with,An environment im happy with,0,The room to grow in this agency is something other organizations must be observant for. You will meet some of the beat people to work with. I am happy to be part of the company.,I dont mind the travel but i wish the corporate office was closer,,4.0,3.0,5.0,5.0,3.0,5.0
2019-03-13,,,Former Employee ,Anonymous,Anonymous,0,"You get pizza, when you don’t stay in the office after hours trying to staff your cases or try to catch up with all your work that your supervisors is telling you to do.( that’s work for two people)",Your superiors talk to you like you don’t know what the hell you’re doing. They talk to you about being a team but they’re not doing it from self. You get writeups for doing something they told you to do,Step up your game before you lose all your office staff,1.0,1.0,3.0,2.0,3.0,1.0
2019-02-18, Coordinator,,Former Employee ,Horrible place to work for,Horrible place to work for,0,None at all. Unless endless stress and being treated like a piece of trash is a pro.,"From day one you are treated like a lowlife. They watch your every move and question everything. If you mention that something might be questionable with the DOH guidelines, you'll be told to shut up and not address it. You'll be fired when they decide that they can't stand you anymore. STAY AWAY!","Realize that employees are not your minions doing your bidding. Its a company where everyone is valuable. Stop calling it your ""Ultimate Family"" and only being favorable to the higher ups. Dont have shouting matches when an employee proves you wrong. Take a step back and look at the company and fix the issues.",1.0,1.0,1.0,1.0,1.0,1.0
2019-01-29, Coordinator,"Brooklyn, NY",Former Employee ,Work Here Only If You Need The Money,Work Here Only If You Need The Money,0,"Overtime,Pizza, Birthdays, BBQ, Get to leave early","Low pay, 30 min lunch, No paid Holidays, Insurance",That they need to stop firing people because a Supervisor don't like them. There is a lot of nepotism at this place. The musical chairs I to much.,2.0,2.0,1.0,4.0,4.0,2.0
