date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-22,,"Chantilly, VA",Current Employee ,Great Company to work for and grow with!,Great Company to work for and grow with!,0,"Excellent management, team oriented company!",I really cant think of any cons about this company!,,5.0,5.0,5.0,5.0,5.0,5.0
2018-01-09, Coordinator,"Chantilly, VA",Current Employee ,"Driven, ethical, and friendly","Driven, ethical, and friendly",0,The Venesco team is a pleasure to work with.,"No cons, but Venesco is not for people who want to coast.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-01-07, Science and Technology Intelligence Analyst,"Frederick, MD",Current Employee ,Friendly Management,Friendly Management,0,I've talked to my management on the phone many times and met the contract's POC once in person and they are always a pleasure to talk to. The company is full of very motivated and friendly people.,The cons are the same for most contracting companies. You don't always know your management that well and you don't have many opportunities to get to know the other employees.,Some other companies meet with new employees in person before they start working at the customer's location. I would love this opportunity to know more about the company I'm working for before I start working for the customer.,3.0,,,,,
2017-10-01, Research Associate,"San Antonio, TX",Former Employee ,Research Associate,Research Associate,0,Venesco is an ethical company with integrity.,I did not experience in problems with Venesco.,Keep emphasizing the welfare of your employees.,4.0,4.0,4.0,4.0,4.0,4.0
2017-08-01, Athletic Trainer,,Former Employee ,Great Experience,Great Experience,0,"Although it is rapidly expanding, Venesco cares about each individual employee. Excellent benefits and a great work/life balance. Would 100 % work for this company again.",None presently at this time.,,5.0,5.0,5.0,5.0,5.0,5.0
2017-07-26, Proposal Coordinator,"Chantilly, VA",Former Employee ,Small Company with Big Expectations,Small Company with Big Expectations,0,Good starting salary; friendly coworkers,Excessive workload for corporate staff; lack of team environment,Grow your corporate staff - you need more than one-man departments to achieve the goals you're setting,2.0,1.0,1.0,1.0,2.0,1.0
2017-06-27,,"Oklahoma City, OK",Current Employee ,Great Opportunities,Great Opportunities,0,"No micromanagement, independent projects with long term application, work on projects that will actually make a difference in the world, management willing to work with you to tackle problems",I have not encountered any negatives.,,5.0,5.0,5.0,5.0,4.0,5.0
2017-06-27, Trainer,,Current Employee ,Fantastic Small Business!,Fantastic Small Business!,0,"Venesco is a small business but operates like a seasoned large business. They are motivated and perform way beyond expectations. They treat their employees with commensurate professionalism, engaging respect, and foster personal / professional growth. Venesco, hands down, is going places. Right to the top!",No cons other than dealing with customer site issues from time to time. Venesco is always quick to resolve and to help me at anytime!,"Keep up the great work. My assigned PM, who is also the VP of the company, is extremely responsive and quick to deal with any issues that may arise. No problem is too big for him to solve.",5.0,5.0,5.0,5.0,4.0,5.0
2017-07-20,,"San Diego, CA",Former Employee ,Horrible Leadership and Structure,Horrible Leadership and Structure,0,"None. Stay far away and look somewhere else. As another has stated, ""worst professional experience ever"" is certainly true, and I completely agree with the honest negative review that was provided...it was perfectly stated.","Horrible, from SD leadership to government client which trickles down to the overall effectiveness and efficiency of the team. Avoid if all possible.",Value your employees,1.0,,,,,
2016-05-13, Health Promotion,"San Diego, CA",Current Employee ,Great Company- Innovative Management Team,Great Company- Innovative Management Team,0,"I love working for Venesco. Senior leadership is focused on growth & employee engagement. My local management is a true champion for our program and for every employee on the team. She is always seeking out opportunities to develop our skills and support us in any way possible. With her leadership, we have been able to produce, innovative, and much needed products to support health promotion efforts on the local command that we work with. Our team has been given the opportunity to bring the military's health promotion efforts to the 21st century to match leaders in the healthcare industry and we are producing fantastic work! Its truly exciting to be working for Venesco on this project and to have the opportunity to support the military in this way. I have worked in several different professional fields and work teams and I enjoy this team the most, I attribute this to management's ability to hire professionals with diverse backgrounds, dynamic personalities and the ability perform at a high level despite any challenges that may come our way.","Government inefficiency can slow projects at times. Unfortunately, many government workers have limited or no experience working in the civilian sector and lack perspective when presenting new ideas or ways to challenging the status quo to make products or systems for efficient & effective. Technology within the government systems can also limit innovation ability.","DISREGARD THE NEGATIVE REVIEW LISTED ABOUT VENESCO. That was from a disgruntled employee who did not understand a modern, tele-commute work environment, how to work within a team of smart-creatives and the value to being part of a team, where each individual brings a unique skill-set to the table in the workplace. As for the comments about a team member having no experience in Health Promotion or with the military, that is false. I believe that comment was made in regard to me. Yes, I do hold a degree in Finance, but I also went back to school for Exercise Sciences & Nutrition. I also came to Venesco with 5 years of Health Promotion & Health Education experience in the San Diego market. I also spend several years in a past role working with the military. I happen to teach yoga and live a healthy, active lifestyle, so I think I am EXACTLY the person who should be a health promotion specialist. I took years to change my career toward my passion of health & wellness, garner the necessary experience to be in the role, and I am loving the work that I am now doing to educate the military community about health & wellness.

Continue to hire great leaders, like you have in San Diego, and know that they will continue to make you proud with the exceptional work that they deliver for the government clients.",5.0,5.0,5.0,4.0,5.0,5.0
