date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-01,,"Houston, TX",Current Employee ,Mechanical Engineering Intern,Mechanical Engineering Intern,0,Great co workers to work with,I found no cons at site,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-23, Lab Tech,,Former Employee ,Great Company,Great Company,0,Employee friendly. Good pay,No cons in my point of view,,4.0,3.0,4.0,4.0,4.0,4.0
2019-04-17, Laboratory Technician,"Port Arthur, TX",Current Employee ,Great place to work,Great place to work,0,Great hours and great employees,"Poor management, and loads of samples",,4.0,5.0,5.0,5.0,5.0,5.0
2019-04-13, Engineer,,Current Employee ,Good place to work,Good place to work,0,"The pay is pretty good
Love the work","Not opportunities for advancement
Poor communication",Communicate better,4.0,4.0,3.0,4.0,4.0,3.0
2019-04-14, Environmental Services,"Los Angeles, CA",Former Employee ,Say what you mean and mean what you say.,Say what you mean and mean what you say.,0,Working in the Environmental Services division for nearly 20 years I always had a sense of being apart of something big and contributing to society.,"Around 2013 there was a visible shift. Enter the good old boys club. Being a female in middle management it became obvious that diversity was lip service. Upper management entirely comprised of white men. An after taste of agenda started to become apparent in the newly promoted upper management. By 2016 the HR team had evolved into bullies. They created distrust between employees and employers, the are viewed as political players as they add no value to the bottom line. Management often gives everyone the same rewards, regardless of contribution or experience. Telling top performers that it wouldn’t be fair to others will do little to inspire additional commitment. Productivity is also hurt by poor information technology, employees have to navigate different systems and locations to find what they need.","An organization’s mission statement should be a part of everything it does, from the work to the company culture to how the organization engages employees with that mission. Alignment must be clear, at every level, so that the company is living up to its own core values. While the company evolves to survive, HR is decades behind. HR should be developing a work environment and culture that enables people to thrive. Treat people like individuals. Reward those who deserve to be rewarded and be prepared to tell others why they are not receiving the same treatment. Start replacing your below average employees with positive productive employees and you will see performance improvements all around the organization.",3.0,4.0,2.0,3.0,4.0,1.0
2019-04-11, Corporate,"Boston, MA",Current Employee ,Boston HQ is toxic,Boston HQ is toxic,0,Office space is modern. Pay is decent.,Lower level employees are not treated with respect. Upper and middle management make their own rules and spend lavishly on themselves for retreats and off site meetings. There is little to no emphasis on corporate philanthropy or community service. Don't expect management to spend time or energy on training or seminars for lower level employees. They'd rather hire from the outside than train and promote internal staff.,Invest in employees instead of just hiring more to fill gaps caused by high turnover and neglect.,2.0,2.0,1.0,1.0,3.0,1.0
2019-03-16, Operator,"Port Arthur, TX",Current Employee ,Great Place,Great Place,0,Great Benefits and great people to work with.,"Mismanagement seems to plague this place, but hopefully is changing soon",Listen to employees working under you.,4.0,2.0,3.0,4.0,4.0,1.0
2019-03-21,,,Current Employee ,Environmental specialist,Environmental specialist,0,Plenty of overtime and ability to learn much about industry for future career opportunities elsewhere,Must rely on overtime for decent paycheck,,3.0,2.0,3.0,3.0,2.0,3.0
2019-03-20, Senior Laboratory Technician,"Wyandotte, MI",Current Employee ,work,work,0,Good benefits to start job.,No room for advancement at current site,,3.0,3.0,2.0,4.0,3.0,2.0
2019-03-20, Director,"Boston, MA",Former Employee ,Could be a good company but corporate leadership is inbred,Could be a good company but corporate leadership is inbred,0,Great people at the operating and technical levels. The water and environmental services business units are competent and well managed.,The energy business unit is entirely district energy focused and have no views on how to grow. The leadership in that group is simply inbred and a good number of them need to be replaced with new people who have broader views on the industries that they could grow in. Too much effort is spent on spinning a marketing story and not enough on actual resources to develop and deliver services. They could be great if they actually believed and delivered on what they print in there own brochures.,It is time to let some district energy people go and focus on growth by people with newer and fresher perspectives District energy is a fading business unit. Time to embrace that and move on.,2.0,4.0,2.0,3.0,4.0,2.0
2019-03-31, Business Development,,Former Employee ,Not a good company for BD staff,Not a good company for BD staff,0,Great place to work.....if you're an engineer or operator.,"No respect for BD staff! The company has no plan for success, no proper marketing plan (ie path to market, product differentiators, ideal customer profile, etc.).",Stop promoting people to management that don’t know how to manage.,1.0,2.0,1.0,1.0,3.0,1.0
2019-03-14, Material Handler,"Sauget, IL",Former Employee ,Garbage place to work,Garbage place to work,0,There aren’t any. Place sucks,"Schedule, Supervisors are terrible, rules don’t apply to all employees. Favoritism going on at the place",You all should be fired,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-07,,"Woodridge, IL",Former Employee ,An awful place to work,An awful place to work,0,There are zero pros to working for this crappy company.,"There are far too many to list but I will add a few major ones. Lower level employees are treated poorly and talked down to by upper management, Customer Service is extremely understaffed and is unable to handle the large volume of orders, emails and calls coming in which often leads to more calls from angry customers, in the time I've worked for the company I have not heard one employee have anything positive to say about management or the company as whole and it's definitely micromanagement at it's finest. I definitely regret that I didn't read any of the employee reviews before I accepted the position.",I don't even know where to start.,1.0,1.0,1.0,1.0,3.0,1.0
