date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-12-16, Registered Nurse,"Arlington, VA",Former Employee ,Amazing place to work,Amazing place to work,0,"Benefits, managers, staff, friendly faces",Cant think of anything negative for this hospital,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-09," Registered Nurse, BSN",,Current Employee ,"Magnet, but Other Area Hospitals Pay Better","Magnet, but Other Area Hospitals Pay Better",0,"Magnet recognized, much of the staff is very friendly","Nurses are paid better at area hospitals
ER nurses have too many on call hours",,4.0,3.0,4.0,3.0,3.0,4.0
2019-04-14, Biomedical Engineer,"Arlington, VA",Current Employee ,Good Entry Level position,Good Entry Level position,0,"- Opportunity for multi-vendor and multi-specialty equipment experience
- Good benefits: health, PTO, work/life balance
- Flexibility to self manage
- Patient care and safety driven environment","- Pay is not competitive
- Lack of proactive approach to professional development
- Work politics and lack of willingness for conflict resolution with personnel","- Be more accessible to employees and invest effort in developing relationship with subordinates, no matter how small.
- Proactive approach to professional development for technical positions
-Competitive compensation with NOVA & DC cost of living",3.0,4.0,3.0,3.0,3.0,2.0
2019-04-08," Registered Nurse, BSN","Arlington, VA",Current Employee ,Great for new grads,Great for new grads,0,"Good benefits, great 401k matching, strong nursing community.","No night shift support, pays less than other hospitals in the area.",,3.0,3.0,5.0,5.0,4.0,5.0
2019-04-25, Case Manager,,Former Employee ,Look elsewhere,Look elsewhere,0,Hospitalists are supportive of Case management and great to work with.,"Work life balance is exceptionally poor. 10 hour days are a regular expectation. Position is salaried with near 0 hour flexibility to leave early to make up even 30 minutes.
Utilization review- you will be asked to approve base on md preference IP for cases that are clearly OBS on Medicare criteria.
Management can be unprofessional with interactions with staff.
There had been massive turnover in the department in the past year- more than 60%- not one thing has changed and HR has done 0 investigation or exit interviews.
You will work weekends and holidays for nothing alongside staff that are making time and a half.
Staffing assignments are not equal and punish the stronger Staff.
Feedback is listened to, but rarely any action.
Extended time off is difficult to get- you may are likely to end up with partial approval of your vacation with the expectation you work the Monday’s or Fridays.
The morale in the hospital is horrible. Most staff is very unhappy. Most units have an average experience of under 1 year.","Act on feedback
HR needs to actually care and investigate and care why soo many staff have left.",1.0,1.0,1.0,2.0,3.0,2.0
2019-04-20, Case Management,,Former Employee ,Beware of case management administration,Beware of case management administration,0,The hospital is well respected in the community. The medical care good. Salary and benefits good.,Case management leadership has no respect for staff. Overworked staff with chronic department shortages due to militaristic approach of leadership. Expect a minimum of 9~10 hour days. Inflexibility of department to allow time off as inadequate staffing. Suggestions for departmental improvement falls on deaf ears. Staff assignments not equally distributed.,Open your eyes how can there be so much staff turnover. Has anyone been interested enough to do exit interviews? You might learn a great deal if the reason for staff leaving is not totally being fed to you by the department head.,1.0,1.0,3.0,1.0,3.0,1.0
2019-03-22, Technical Support Specialist,"Arlington, VA",Former Employee ,Great co workers.. bad management,Great co workers.. bad management,0,Friendly environment and good some great people to work with,Management doesn’t appreciate hard work,Recognize employees,2.0,2.0,3.0,3.0,3.0,1.0
2019-04-12, Management,,Former Employee ,Management,Management,0,"Leaving my position, best thing ever!","Executive management, the turnover rate.","Executive management expects staff to treat patients good, when they in turn, treat staff horribly. This place can't keep staff. Director's do NOTHING, they play both sides of the fence. This place has a new CFO who is making good changes, however, they still have more executives to prune...if you blink, you're called down to HR, sad but true...",1.0,2.0,1.0,3.0,3.0,1.0
2019-02-11,,,Current Employee ,treats employees well,treats employees well,0,"coworkers, benefits, easy to commute","poor salary, not competitive to other local hospitals",,4.0,3.0,4.0,3.0,3.0,3.0
2018-10-28, Registered Nurse,"Arlington, VA",Current Employee ,RN,RN,0,"Best places for RN’s focuses on professional growth, nursing staff has support with career management team. They promote from within. And that makes the hospital the best to work in the area.",Pay could be better. Insurance is expensive. Work load can be heavy. Stocks in old way of doing things. Short staff. Need to invest more on teaching staff.,"Teaching and in service should be implemented, coming from other sister hospital, feel as if some of the staff are unsure of the protocols.",5.0,4.0,4.0,5.0,4.0,4.0
2018-10-29,,,Former Employee ,Nice place to learn,Nice place to learn,0,Good place to start your career.,Management is not equally fair to its employees.,,3.0,,,,,
