date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-05,,,Current Employee ,Supportive Environment and Great Coworkers,Supportive Environment and Great Coworkers,0,"Coworkers are friendly.
Opportunities for Learning.
Teambuilding environment",Internal organization systems are confusing and need cleaning out and reorganization.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-30, Something Involving Data,"Austin, TX",Current Employee ,An opportunity of a lifetime,An opportunity of a lifetime,0,"Incredibly opportunity to learn cross-cultural communications and international colleagues
Amazing experience and opportunity to learn and grow with the needs of the organization
Great support network in Austin with an even better office culture
Good work-life balance with a nice gaming atmosphere and tasty snacks","Let's be honest, every company has its issues, coupled with gaming and some immaturity of the org, its demos of colleagues, and cultural issues you get a mix of what I can describe to be a place where things are awesome until they aren't, and no clear indication of why and changing just as fast to being awesome again.
As a con, its a dysfunctional family, But its a family I'm really happy to call myself apart of, maybe I'm crazy...","Clear communication, transparency, and push for cooperation and collaboration.",4.0,4.0,3.0,5.0,3.0,3.0
2018-12-09,,"Emeryville, CA",Former Employee ,Creative Marketing Services,Creative Marketing Services,0,"1. Good benefits & Perks
2 .Get Game Gold Account for free","1. Poor Management
2. lack of skilled man power
3. A lot of translation problem when your dealing with HQ people.",,3.0,3.0,3.0,4.0,5.0,1.0
2018-10-31, Artist,"Chicago, IL",Former Employee ,Horrible Studio - All you will do is work on a World of Tanks - Airplane - Ships,Horrible Studio - All you will do is work on a World of Tanks - Airplane - Ships,0,"Its a job with benefits
Chicago is a nice city. winters are brutal.","Engineers gets treated like royalty where artist are simply VERY disposable.
Horrible studio culture.
All you will be working is on World of Tanks games...
Nothing creative in that studio.
Career growth is impossible, you are pigeon hole
Folks will take credit of your hard work","A fish rots from the head down.
Be nicer to your artists.",1.0,1.0,1.0,1.0,1.0,1.0
2018-09-21,,"Seattle, WA",Former Employee ,You can do better elsewhere,You can do better elsewhere,0,An amazing team of experienced professionals at Wargaming Seattle built a truly fun game through Alpha.,Complete incompetent mismanagement at the company leadership level in East Europe. And in fighting from his subordinates create a culture of uncertainty in the future of Wargaming as a viable employer.,,1.0,,,,,
2018-06-18,,,Current Employee ,Great game dev company,Great game dev company,0,"Great coworkers, multiplayer games, no overtime, good mangement.",Outdated tech. Poor snacks. Office in downtown chicago.,,5.0,5.0,5.0,3.0,3.0,5.0
2018-07-07, Producer,"Seattle, WA",Current Employee ,Rotten at the Top,Rotten at the Top,0,The office I worked at was full of talented people and a wonderful place to work.,"The leadership out of Eastern Europe is indecisive, illogical, and probably corrupt. They’re closing offices left and right. They have multiple studios working on similar projects to create internal strife and competition. They’re wasting millions of dollars creating infighting and no new games to show for it. What a demoralizing and ridiculous way to run a company. And they lie to employees constantly... about raises, bonuses, the state of projects. If you work at Wargaming you will have the rug pulled out from under you on at least a yearly basis. Their promises are hollow.",Victor Kislyi and his yes men need to go.,1.0,4.0,2.0,3.0,3.0,1.0
2018-05-06,,,Former Employee ,No Tanks...,No Tanks...,0,Sometimes some interesting work/opportunities. Flex-time.,"Horrid management, bullying, harassment, toxic work environment, no direction and non-collaborative teams. Turnover rate was high. Good talent leaving. Old game is still the flagship title. No room to grow. Non-competitive salary. Constantly changing internal systems since company isn't doing well in Asia.","Even when multiple people had the courage to come forward and say something about the toxic environment, all management had to say was you're on your own.

Prioritize and empower your people and get your priorities straight! People can't work in this terrible environment, and people have left in droves because you stood by and did nothing.

To anybody considering working here, don't. This place currently has no future, and is a very unhappy place to work. But it takes management to prioritize that and hold people accountable who are making it a bad place to work.",1.0,3.0,1.0,1.0,1.0,1.0
2018-03-31, Senior Artist,"Redmond, WA",Former Employee ,Bloated Middle Management,Bloated Middle Management,0,Excellent benefits and well managed and genuinely caring HR Dept,"The entire art team is a prime example of bloated middle management. The status quo and constant fear of losing their jobs builds a rigid wall between departments. Morale was always an issue. Every week was a company wide email announcing ""so and so has moved on, blah blah"".

One of the most ridiculous and uncomfortable things was a company wide sprint completion meetings which ended in a ""we will CRUSH them!"" chant which was darn right bizarre and ironically was more apt in describing company morale more than anything else.",Give up your petty squabbles and precious influence and push your Art Leads to lead by example and inspire rather than be bureaucratic gatekeepers of the status quo. Holding artists back because of strict job descriptions is ridiculous. Be flexible to recognize strengths and move team members based on potential and not a strict square peg you put them in.,2.0,4.0,2.0,2.0,4.0,1.0
2018-03-31,,"Emeryville, CA",Former Employee ,America Woes,America Woes,0,"• Salaried benefits good (401k, plenty of insurance etc.); traditional PTO scheme and not ""unlimited PTO""
    • You'll never stop getting free hoodies.","WG's Emeryville office has closed and American operations will now be based in Chicago and Austin. Some details here may not reflect the current situation, but many aren't isolated to one place anyway.

    • WGA is powerless in a way that could only come from Eastern Europe. For example: products/projects we were alerted about and pushed to produce for much too late, then sometimes would fizzle out months later; the overseas offices talking with American companies (I.e., movie studios) for promotions while WGA remains a lapdog; held back from entire products (Warships Blitz); Europe/Russia-specific fan events with big news that WGA only gets to hear about and maybe report on...and so much more! The office was also frequently at odds with the Chicago development studio, which often pushed to shepherd promoting their own game despite common sense, but now they get to live their fantasy, so kudos.

    • On that note, every interaction with overseas is coated in the old Soviet mentality of meeting quota, period. When other reviews mention poor company culture, this is the real reason why. There is no such thing as slowing down, just an unending routine of putting out patches every month with the same old song and dance. No one will hear that maybe there doesn't *need* to be a patch every month, or that they could get all offices on the same page before springing another new campaign (or entire product) on us. ""Growing pains"" does not explain this away; this is a cultural mountain that will not move until trust and autonomy are established. And Wargaming has been more than big enough, for enough years, to facilitate both of those by now.

    • So much sideways movement it's like a line dance. Managers slide from product to product, most stuck being assistant producers while only external hires get to be seniors; ""coordinators"" become ""specialists"" and the title is the only change. Even interns couldn't find a way back in!

    • Creative initiatives meant to lift everyone up inevitably die in the water, partly because they're from an outdated playbook. There were several attempts at regular livestreams and podcasts, the former always ""launching"" before petering out after a month. Meanwhile WGA rides the coattails of a small number of devoted yet volatile fans that can produce without restraints. To be fair that's not all WGA's fault: the competition keeps growing and the days of World of Tanks getting above the fold on Twitch are long gone.

    • Execs never chime in, which is ironic for Kislyi considering his rambling press interviews. So unless you have an office with a closing door, there's no credible idea how the company is actually doing. You'll only see an email from Kislyi if there's a new exec hired or leaving, and he's visited the office (as in came to say hi to everyone) maybe twice in 4 years. Even if things are steady and there's little to talk about, there's still no talking.

    • The news in December 2017 that WGA's Emeryville office was closing and moving to Chicago was met with few people deciding to transfer. The company's hasty response was to only send admin of the console product to Chicago, and redirect publishing of all other products to the Austin office, but without the Chicago relocation benefits and now having to reapply for your job (probably a cinch, but still a chore). A clear message about how much they really care about their American operations.

Do not look to Wargaming for excitement or growth in the game business. There's so little to do with so little market penetration outside Europe that WGA might as well go back to being an office of four. But WG continues to make money all over, so of course management can continue going through the motions. It's great as a stopgap job for managers from dead studios, or a way for local gamers to earn a few bucks toiling in customer support, but that results in yet another corporate case of everyone else stuck in the middle.",See if Riot's hiring.,1.0,4.0,1.0,1.0,3.0,2.0
2018-03-13,,,Former Employee ,The Berlin Wall Still Stands,The Berlin Wall Still Stands,0,"* Able to move up the ladder if you're good
* Good benefits
* Local office is good","* Company as a global entity has a fairly toxic environment (a very ""us vs them"" mentality)
* Below industry-standard wages
* Lots of poor decisions and waste from the top",Treat your employees right - globally.,3.0,3.0,4.0,4.0,2.0,2.0
