date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-15, APRN,"Wesley Chapel, FL",Current Employee ,Love my job,Love my job,0,Great people and fun atmosphere. Learned a ton!,Heavy workload Patients not always available to see,Provide more staff,5.0,5.0,5.0,5.0,5.0,4.0
2019-04-23, Mental Health Clinician,,Current Employee ,"Fair job, not a forever career","Fair job, not a forever career",0,"Offer CEU credits/training, free CPR training, solid salary","Don't focus on client care, poor benefits",,2.0,1.0,1.0,4.0,3.0,1.0
2019-04-19, CMT,"Louisville, KY",Former Employee ,"Pays well, very shady management","Pays well, very shady management",0,"Good pay, easy workloads","Shady stuff goes on, management show favoritism",,3.0,2.0,2.0,3.0,2.0,2.0
2019-04-06, Clinical Coordinator,"Philadelphia, PA",Current Employee ,Great working environment,Great working environment,0,"Great working environment, corporate seems to actually care about their employees and made the change over from our old company to new one a smooth one. Good amount of vacation time, paid holidays, and great communication!",Medical benefits aren’t the best,Offer better benefits to employees,4.0,4.0,5.0,4.0,3.0,4.0
2019-04-01, Licensed Practical Nurse,,Former Employee ,Very unorganized especially during the training period,Very unorganized especially during the training period,0,Good benefits but pay could be bettet,Not enough training or support from management,Visit your sites,3.0,2.0,2.0,3.0,3.0,2.0
2019-03-15, Registered Nurse,"Green Bay, WI",Current Employee ,I love my job!,I love my job!,0,"Fail proof protocols, great management support, flexibility, room for growth, small company feel","Short staffing, growing too quickly, some regions seem to be more important than others",Every area is equally important,4.0,5.0,5.0,4.0,4.0,5.0
2019-03-27, Nurse,,Current Employee ,Can be challenging at times,Can be challenging at times,0,You'll be able to take care of a wide variety of patients,Leadership at times can be severely lacking.,,3.0,2.0,4.0,3.0,4.0,1.0
2019-03-25,,"Nashville, TN",Current Employee ,Major rebrand from Correct Care Solutions. This company is cheap.,Major rebrand from Correct Care Solutions. This company is cheap.,0,Nice people to work with. You can get free leftovers from lunch meetings. Used to be a great work environment but I have sensed a change in that as they have grown.,"Different treatment for different departments. They are so cheap, they rarely close the office for holidays and offer only 3 “floating holidays” instead, they never close during major storms and bad weather- not once since I have been here. They never give yearly bonuses- at least not to non-management corporate employees. They don’t match 401k- but will make a contribution which they decide at the end of the year. They offer very minimal pay increases- I think less than 1%.",Perhaps stop cutting corners to save a few dollars.,2.0,3.0,2.0,3.0,2.0,4.0
2019-03-23, Registered Nurse,"Belton, TX",Current Employee ,Needs better management,Needs better management,0,"12 hour shifts, Don't get called off for low census, Autonomy.","Minimal raises (last one was $0.03 for the year), then hiring new staff at higher starting pay. No weekend differential but tell you there is in the interview, no room to grow within job site, Notifying management of a potential violations are ignored until last minute and they expect the floor workers to fix it, and pretend they were never told. Lots of turnover, can't call out sick unless you want guilt trips and told to come anyway ""or else"", then get yelled at for showing up. Hire staff full-time and then tell them they don't have enough hours to give them. Management picks and chooses who deserves ""parties"" for work anniversaries but several employees have been here close to 15 years and never got recognized.","Be consistent with rewards and punishments. Honor and express gratitude for those who go above and beyond. Be clear at hiring about pay, insurance, days/hours available to work. Give the new employees the training they deserve, not a quick 3 day training and expect them to ""figure it out"".",2.0,4.0,2.0,2.0,3.0,1.0
2019-03-07, Security Officer/Lock and Key Officer,"Pembroke Pines, FL",Current Employee ,Great Job,Great Job,0,Great working environment and Flexibility in Schedule,Low pay needs to improve for the job that is required,Great ability to advance,5.0,3.0,3.0,4.0,3.0,3.0
