date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-09, Sales,"Chicago, IL",Current Employee ,Amazing opportunity,Amazing opportunity,0,Growth within the company is encouraged,"None at all , great job",Keep doing what you’re doing!,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-16, Web Event Services Supervisor,"Portland, OR",Current Employee ,Upward Movement at West,Upward Movement at West,0,"West allows for upward momentum for employees that apply themselves and are clear about their goals. In the 3.5 years that I have been here, I have had 2 major promotions and now make $10 more per hour than I did when I started. West appreciates smart, hard-working individuals and both of my promotions were given to me over people with more seniority who lacked the same drive. Despite that, I have only worked more than 45 hrs/week on a couple of occasions in 3 years. Overtime is not an expectation for success.

I have also been given opportunities to explore different interests and areas within the company so that I don't get bored and I continue growing and learning.

My immediate team and management here in Portland are very friendly and down-to-earth. They are very understanding of life events and do their best to help their employees in and outside their work.

We get a fair amount of PTO. Benefits are decent, if not spectacular.","West gets bogged down by bureaucracy. Once you get outside of my section of the company, it gets much more difficult to make changes, even if they seem obvious and have been ""in the works"" for years.

West is a large company and it is not uncommon to feel that you are just one cog in a machine.

Upper management has a tendency to make changes to benefits or programs and spin them to appear like positive changes, but which actually harm employees. The company has made 3 major acquisitions/mergers in the 3 years that I've been here (along with many small changes) and this has resulted in promises and policies made by the company not being honored down the line because the management team or our priorities have changed.

They do seem like they are doing better lately, but take everything you hear from the top levels of management with a grain of salt.

Also, sometimes work can be uneven. Overwhelming one week and very slow the next. Luckily, Christmastime and summer are the slowest seasons for my team.","Work for better communication and connection between different levels of the company and work to make the changes that matter to your employees, rather than just the ones that matter to the company's bottom line. Different sections of the company feel very disconnected and yet they are affected by changes within the global company with little warning and no say.",4.0,5.0,4.0,5.0,4.0,3.0
2019-04-23, Inbound Sales Representative,"San Antonio, TX",Former Employee ,Okay,Okay,0,Lower management was great. Incentives if you do well.,"Trainer was ineffective- spent too much time on personal anecdotes that were irrelevant. Company also was too quick to bend to their client without realizing how their business/front line reps would be affected. Communication from top to bottom was poor, resulting in violations in policy.",,3.0,3.0,4.0,3.0,3.0,4.0
2019-04-22, X,,Current Employee ,Take it or leave it,Take it or leave it,0,"Flexibility of remote work, minimal travel","Unclear direction of organization, silo'd workforce","Communication needs improved for an all remote staff, too many people in sales that don't know how to sell, get rid of old school staff that don't want to grow.",2.0,5.0,2.0,2.0,3.0,2.0
2019-04-04, IT Engineer,"Omaha, NE",Former Employee ,Great place to work,Great place to work,0,"Great environment , people and work environment",Can get stressful during system issues,Keep doing what you are doing - great!,5.0,4.0,5.0,3.0,,
2019-04-02, Unix/Linux Systems Administrator,,Former Employee ,Good Place,Good Place,0,"Good place to work. Nice co-workers, always available to help.",Not sure what track they are taking.,"More training, give time for employee's to catch up.",4.0,4.0,4.0,3.0,3.0,3.0
2019-04-02, Client Operations Supervisor,"Appleton, WI",Current Employee ,Promotions From Within,Promotions From Within,0,West is very good at promoting from within.,Not really any cons. I've been with West for 4 years and they treat us employees pretty good.,I have a wonderful Director who has an open door policy and she always takes time out to talk to you no matter how busy she is.,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-16, Webcast Specialist,"New York, NY",Current Employee ,Emerging Company,Emerging Company,0,"- Great Team and Senior Leadership Support
- Transparent Communication
- Forward Thinking Company with opportunity to grow
-Flexible working environment i.e. working remotely","- Opportunity for more benefits and attractive retention packages.
- Lack of career milestones structure and grow
- Limited Community Service initiatives",Continue on the path you are going. You are making great improves through headwinds.,3.0,5.0,5.0,3.0,3.0,4.0
2019-03-28, Senior Human Resources Specialist,"Omaha, NE",Current Employee ,Excellent Company,Excellent Company,0,Opportunity to advance and succeed with excellent benefits. West has a great leadership team and provides employees who want to excel the opportunity to do so and be heard.,As with many corporations it can sometimes be difficult to implement change immediately.,,5.0,5.0,5.0,5.0,4.0,4.0
2019-04-12,,,Former Employee ,Good stepping stone in a career,Good stepping stone in a career,0,"Dec net benefits
Plenty of work
Decent pay

Plenty of work here and pretty decent on the salary and benefits. though medical is expensive. Can get good experience and knowledge from other employees. Can make a good milestone on a resume","Medical coverage expensive
Longevity is highly doubtful
Organizational structure always changing

Constantly changing: organization, management structure, departments, etc.","Executive management needs to stop releasing all their talented, tenured employees who have extensive client knowledge.",3.0,4.0,2.0,2.0,3.0,2.0
