date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-07-31, Customer Service Manager,"Dallas, TX",Current Employee ,Cashier,Cashier,0,I work because I love my job,Takes much of your time,Keep up your good doings,5.0,3.0,3.0,3.0,3.0,3.0
2019-04-09, IT Project Manager,,Current Employee ,Great company to work for,Great company to work for,0,They really invest in employee development,Getting through compliance and regulatory loopholes within the company itself is not easy,,4.0,4.0,4.0,3.0,4.0,3.0
2019-03-28, Tech Support Representative,"Chandler, AZ",Former Employee ,TECH SUPPORT,TECH SUPPORT,0,"Good company to work for, pay was good.","nothing, only thing is you have to work late.",Keep doing what you doing.,4.0,,,,,
2019-04-08,,"San Francisco, CA",Former Employee ,"Interesting Opportunities, Lack of Executive & Management Focus & Alignment to Execute","Interesting Opportunities, Lack of Executive & Management Focus & Alignment to Execute",0,"- Awesome, smart people to work with (usually)
- Deepdive into FinTech & Payments (great place to learn)
- Cool projects & opportunities
- Office & Fringe Benefits (Office Snacks, Happy Hours, Commuter & HSA Seed, Student Loan Repayment Assistance, etc)
- SF Office has a solid culture of getting things done and pushing to provide customer value
- Generous serverance package & PTO policy
- Reasonable Work/Life Balance
- Reasonable compensation, but not thorough market pricing censusing for Bay Area","- Executive power grabs & lack of focus (i.e. teams will work on the same things)
- Loudest person/team usually wins resources
- No equity packages to all employees
- SF office culture undulated with org changes; lots of org changes (and then power grabs)
- Culture of 'lifers' in some areas, as well as occasional information/talent hoarding
- Few Company Holidays
- Underwhelming Talent Development Processes
- Missed opportunities to do really cool work; market is quite niche, but cross-selling opportunities are high (but not prioritized)","- Focus on ways to provide tangible value to customers, and do not stray from the path until you deliver and learn
- Elevate talent and focus on ownership over blame; incentivize action and decisiveness
- Use customer lifecycle management processes for employees (retain top talent)",3.0,4.0,3.0,3.0,4.0,2.0
2019-04-26, Sales,,Current Employee ,Leadership Struggling,Leadership Struggling,0,"Flexibility, industry, base pay, is there anything else.","Senior management has no clear vision for future. Every 6 months strategy changes and they wonder why the sales team is unable to adjust to their ever changing expectations. The WU product line up has fallen behind the competition. We currently offer lower commissions to prospective agents and decent exchange rates with an annoying approach to compliance that will close new agents faster than they can begin to transact. New senior management feels that the best approach to sales is an antiquated car salesman approach from the 50’s. This new leadership has no clue how to run the US Market. Micromanagement has become the norm. While sales processes and activations are a struggle and out of the sales teams hands as the enrollment process is handled by a team in costs rica that is always understaffed thanks to the WUWay. Yet when there is a delay in the sales process you know who they are yelling at. This position in years past was an amazing opportunity, but the micromanagement has become a joke.",Develop a five year plan and stick to it! If you want to focus on profitability than do that don’t change every year in July to volume unless that is what you are going to focus in on. Find what you are doing well and make it better. Quit destroying what makes the company such a powerhouse into something it’s not.,1.0,3.0,1.0,1.0,2.0,1.0
2019-04-25,,,Current Employee ,Toxic work environment,Toxic work environment,0,Well known brand with international exposure,"Terrible work-life balance, toxic work environment, and below market pay.",,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-22, Senior Manager,,Former Employee ,Compliance leadership needs to change,Compliance leadership needs to change,0,"flexible environment for some, business serves a sector that needs serving, benefits and pay is fair","management needs to support employees, promotions are made by who you know, do more with less, reward for good work is more work","focus on becoming an employer of choice, change the culture to one of supporting employees, the reward for good work should never be more work, it should be more challenging work.",2.0,3.0,1.0,2.0,4.0,2.0
2019-03-27, Account Executive,"Montvale, NJ",Former Employee ,Never give this company your all They will never give you theirs.,Never give this company your all They will never give you theirs.,0,Work life balance hours are very flexible,Deceptive and dis honest managers,Close up shop,1.0,5.0,1.0,1.0,2.0,1.0
2019-02-15, Analyst,"Englewood, CO",Former Employee ,Compliance dept is not employee friendly!,Compliance dept is not employee friendly!,0,"Flexible work schedule, generous time off, and decent pay",Employees are not valued. Supervisors and Managers have no experience dealing with people. Turn over rate is very high. Employees are just a number in this micromanaged Compliance department.,Stop wasting money on WU WAY...micromanement is not the way to motivate employees to help WU succeed.,2.0,3.0,1.0,1.0,4.0,1.0
2019-02-18, Global Operations Manager,"Denver, CO",Current Employee ,Global Operations Manager,Global Operations Manager,0,"Good Pay, Always different,","Yearly Layoffs, Disorganized Management,",Work Harder to retain Talent versus not working with HR.,3.0,2.0,4.0,3.0,4.0,4.0
2019-02-22, Senior Analyst,"Denver, CO",Former Employee ,Clique Compliance Department,Clique Compliance Department,0,"Flexible work schedule, generous time off, managers that never talk to you","From the director to the managers, once you start your first day you'll notice that there is a clique environment and if you don't fit in right away, good luck for the rest of your tenure. There are so many managers in Compliance there is a lot of meetings with no production as everyone has a differing opinion. Looking at prior reviews you can tell that there is culture at the WU Compliance department that is not healthy and therefore they have a hard time finding and retaining talent. Hear often times that they give new employees higher salaries than loyal employees that have stayed and been promoted with the company. Definitely not a company to work for!",,1.0,1.0,1.0,1.0,3.0,1.0
2019-01-23,,,Former Employee ,Sr accountant,Sr accountant,0,"Flexibility, friendly, decent benefits, great culture","Difficult to grow professionally, opportunities given without opening up to the team",Help your employees grow professionally by providinf opportunities and mentoring,4.0,,,,,
2019-01-17, Director,,Former Employee ,Not always secure place to work,Not always secure place to work,0,"Great location, managers are typically flexible with work/life balance, salaries are descent and competitive, good camaraderie among employees.","Company motto is ""cut, cut cut"", rather than working smart.

The company goes through a company wide lay off every year - at least for the past several years it has been this way. This impacts morale and employees are always whispering around the water cooler about when the next lay off is (a hostile atmosphere) The company wants to change for the better but struggles with it.

VP level and above is very much a good old boys network. Instead of hiring competent leaders, they place someone from their inner circle in the role.",,2.0,,,,,
2019-01-04,,"Miami, FL",Former Employee ,Miami Office,Miami Office,0,It is a great place to work for experience and corporate culture. Has a diverse office staff and friendly environment Training never stops and always in the loop of all things in the company. Lots of benefits and perks.,One person with some power was toxic to the office. If you have to deal with that person than you will be fine.,Please get rid of the person that is toxic to the office if you wish to keep better employees and a healthier mental environment for everyone.,4.0,3.0,3.0,2.0,5.0,3.0
2018-12-22, Compliance Manager,,Current Employee ,Great place to work,Great place to work,0,The company is always looking to improve.,Employees are second to company efficiency.,,4.0,,,,,
2018-12-08, Specialist,"Denver, CO",Current Employee ,Good place to work,Good place to work,0,Very strong org on employee Recognition programs .,Cons really depend on which area you are and might be hard to pin point in general.,,5.0,5.0,5.0,4.0,5.0,4.0
2018-12-07,,,Former Employee ,Intern,Intern,0,"Good working environment, all employees have worked for a long time and happy about their job. Good work and life balance","Not very dynamic vibe, kind of old school",,4.0,5.0,5.0,,,
2018-12-13,,,Current Employee ,Good company to work for,Good company to work for,0,Good benefits and work environment,No cons that I can think of,,3.0,3.0,3.0,2.0,3.0,2.0
2019-01-02,,,Former Employee ,Poor management,Poor management,0,You can do as you please,"Poor management
No company morale
Poor work environment with no resolutions",Hire people that know what they are doing. Gain structure,1.0,5.0,1.0,1.0,2.0,1.0
2018-12-07,,,Current Employee ,Good Heritage... Future Unknown,Good Heritage... Future Unknown,0,[Business Solutions division] Well-intentioned people for the most part. Great brand. Big plans.,[Business Solutions division] Senior executives tend to micro-manage the organization. Challenged to execute ambitious plans. Inappropriate revenue pressure to the field.,"[Business Solutions division] Appreciate the vision for growth but it's equally important to be able to execute as a TEAM. Trust your people, especially the new ones brought in to deliver change.",2.0,4.0,1.0,3.0,3.0,1.0
2018-11-25, Administrative,"Englewood, CO",Current Employee ,Outdated culture,Outdated culture,0,"Decent benefits, global, been around for 160 years","extremely hierarchical, weak managers, very political","Embrace younger generations, focus on customers - internal and external, kill bureaucracy and extreme matrix.",3.0,1.0,2.0,3.0,3.0,2.0
2018-12-18, Senior Product Manager,"Denver, CO",Current Employee ,Product Management,Product Management,0,"Nice new office
The employees care (most of them)","1. Management is terrible!
2. Breaking company up to be sold in pieces.
3. Don't care are about the employees.
4. Do not do promotions anymore.
5. Pay is average.
6. Business is dying a slow death.","1. Tell the truth to the employees, everyone talks and knows the secretes.
2. Stop doing creative math.
3. Get a new CEO, under Hikmet the business has not grown its been flat or negative!",1.0,1.0,1.0,1.0,1.0,1.0
2018-11-02, Middle Management,,Former Employee ,New Leadership - Lack of Knowledge,New Leadership - Lack of Knowledge,0,No Pros after change in Management,"Lack of Knowledge , Strategy , Discipline & Moral

Resources are being judged and offered promotions in one direction

On the other side, an entire set of incompetent so called leaders was brought on board.

Onsite complements offshore and vice versa on the stupidity.",Please retain the 2 or 3 left over key leaders to sustain for at least couple of years. The new leadership neither have tech skills nor management appetite to scale.,2.0,5.0,2.0,2.0,3.0,1.0
2018-10-25,,,Current Employee ,stay away,stay away,0,good team workers in the team.,bad management and managers all over.,,3.0,,,,,
2018-11-20, Sales,,Former Employee ,Western Union USED to be a great company,Western Union USED to be a great company,0,Not many anymore.,"Western Union management needs to go back to truly servicing the customer. There are too many exec's that just talk, none mean what they say. It really isn't about the customer, lately it seems it's about telling the employees and customers one thing and doing something completely different. This company is now a glorified compliance company. It's not about increasing revenue, it's about compliance. Everything everyone does stems from compliance. When the government says jump, WU says how high? and then takes it a step further and jumps to the moon. Distancing themselves from any competitor. Then telling everyone they are the best in compliance. Western Union has the mentality they are still the number #1 money transfer company out there and sadly they aren't even top 10 anymore. There is so much competition for ""moving money"" out there and Western Union doesn't even realize.",Be the leader in money transfer you once were. It's ok to buy companies that are doing it better than you. Get the stock price moving. It's been stagnant way too long!,1.0,1.0,1.0,1.0,2.0,1.0
2018-10-17, Project M,"New York, NY",Current Employee ,Project Manager,Project Manager,0,Flexible work life and vacation. Somewhat decent salary but yearly increases are minimal.,"No growth for tenured employees. You can be in the same position for 10 years without any natural progression in your career path. The only way to move up is to apply to a position once it becomes available. Those positions mostly are people management positions and the company seems to hire those without any proper people management skills.

Management will also let their talented individuals leave the company without trying to keep them. Everyone seems replaceable.

The New York office is also segregated from the rest of the company. There's minimal HR presence and no culture to be had. That office has become a very sad place to work on a daily basis. Senior Management are either fully remote or hide out in their offices.

No product innovation. The current product and project management team keep recycling the same product based on a reactions in the industry. These teams need a major overhaul with talented individuals keen on developing the best software and experience possible. 1999 called, they want their website back.","Develop and invest in your talent. People want to grow and also be recognized for their achievements. Little recognition is given for small wins and the focus is always on big wins which credit is always given to the same individuals. This leads to low morale throughout the team that isn't privileged enough to work on those projects.

I would also revisit Senior management titles. The organization is too top heavy, with those managers not adding any value.",2.0,3.0,4.0,1.0,3.0,1.0
2018-10-16,,"Denver, CO",Current Employee ,So much room for improvement,So much room for improvement,0,"Benefits, the people, new office.
Onboarding is terrible.
Some leaders really are embracing the change for the better (maybe 15% in Denver)","The leadership (Director and Above) have been there for so long and talk about change but won't embrace it. There are constant layoffs making for a hostile environment.
HR does not support the employee,","Work on your HR department, they aren't there for the people. Pay attention to red flags such as large exodus of departments.",2.0,2.0,2.0,2.0,2.0,1.0
2018-11-12, Sales,"New York, NY",Current Employee ,Most unorganized organization I have ever worked for. No one cares not even the CEO.,Most unorganized organization I have ever worked for. No one cares not even the CEO.,0,Benefits that’s about it I’m not kidding,"Unorganized company ,unprofessional overseas employees, management doesn’t care about employees. No one has a clue to what is going on. Everyone is on a different page day in and day out. Pay cuts! Too much red tape. Everything is a process and takes tooo darn long. God forbid you need a customer issue resolved.",Get organized!,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-22,,,Former Employee ,Marketing manager,Marketing manager,0,"Friendly work enviroment, some trainings",No long term vision,,2.0,3.0,2.0,3.0,3.0,2.0
2018-10-15,,"Denver, CO",Former Employee ,Analyst/Sr. Analyst/Lead Analyst (compliance),Analyst/Sr. Analyst/Lead Analyst (compliance),0,"Interesting work, decent benefits, some really good people.","If you want to get ahead, it is rarely based on how you do your job, it's who you are friends with. The boys club network is very alive at WU, at least in compliance. Is every department in compliance like that? No, in some of them it only matters if you are willing to work tons of extra hours for no extra pay, and kiss up to certain people.
I did work with some great people here. I also worked in a position that I loved, and was very good at - only to have to leave that department and position because I was told I would never get promoted, because the Director's buddy was going to get it instead (and that my experience didn't matter). And, mine is not the first or last story to have that ending.
Finally, just know that as a compliance employee, you will be treated as a minion/peasant by the CEO and his people. After all, they all went to a brand new glitzy building, and stuck compliance a mile away in an old building that has seen better days.
Salary and bonus %'s will vary by who you know and, depending on the department in compliance, what your gender is.
And yes, the CCO is aware of all of this and chooses to not do anything about it.","Act like you care about your employees. Telling your compliance department that you are moving to a new building, but not taking them along, is just crappy. Also, start enforcing an atmosphere of work by merit, stop letting the boys clubs run things. There is a reason you have a constant turnover.
For the CCO: if you are going to have a forum promoting women, of which you are one, and all of the women attending are saying the same thing about their male bosses, Do Something About It.
Oh, and stop forcing the CEO's political opinions on the so called non-profit Foundation and the company employees.",2.0,3.0,1.0,3.0,2.0,1.0
2018-10-08, Senior Engineer Tester,"Englewood, CO",Current Employee ,Sr. Engineer Tester,Sr. Engineer Tester,0,"Very good working environment, would recommend it",None that i can think of,,5.0,4.0,5.0,5.0,4.0,4.0
2018-09-27,,,Current Employee ,"Lots of Good Things, Yet Lots of Opportunity to Improve","Lots of Good Things, Yet Lots of Opportunity to Improve",0,"The company does amazing things around the world. Their Compliance organization is best in class. There are lots of smart, kind, funny, hard-working people.",There are dozens of processes across the company in various functions that are archaic and create issues in working cross functionally.,"Consider looking at internal processes infrastructure in key functions everyone works with, like HR, Legal, Procurement, etc. There are lots of opportunities for improvement.",4.0,5.0,4.0,5.0,5.0,4.0
2018-09-25, Director Global Settlement Solutioning/Payment Operations,"Danville, CA",Current Employee ,Director Settlement / Payment Operations,Director Settlement / Payment Operations,0,"Global, fast moving, Good all round package, Open culture",Many projects competing for time and resources. More standardization needed.,Reward top contributors to prevent departures.,4.0,,,,,
2018-09-13, Internal Audit Intern,"Denver, CO",Current Employee ,Internal Audit Intern,Internal Audit Intern,0,Wonderful working culture with wide exposure to various departments in Western Union.,Uncertain if suggested recommendations to choke points are acted upon by the end user.,,4.0,4.0,5.0,4.0,4.0,4.0
2018-08-21,,,Former Employee ,"Lot of potential but, a cultural suicide.","Lot of potential but, a cultural suicide.",0,"The potential to learn cross-functionally is immense. Being a 165+ year old heritage, there is a huge ladder to be climbed but, it's one of those opportunities that comes rarely which helps in understanding the complete landscape of the Digital world starting from customer facing applications to the new-generation back end and the heartbeat core of the company.","- Always stressful, political nightmare, bureaucracy of the highest level, culturally going downhill and really fast.
- There are practically no work hours, 24*7 with the same old work, same features being re-written in different technologies for job security, improper prioritization, PMs just focus on deliverables that will accrue them bonuses at the end of the fiscal year. There is no focus on customer experience, no innovation.",Fix the direction where the company wants to head and hire people who are culturally tolerant in such a vast organization whose one of the pillars is cross-cultural heritage. Do not let you best people go. Fix the culture going downhill and uproot the discrimination that is setting in.,2.0,1.0,1.0,3.0,3.0,2.0
2018-08-22, Applications Architect,"Denver, CO",Former Employee ,"Great, till you get laid off","Great, till you get laid off",0,"Big company, big challenges, very nice culture","Lay offs as a budgeting tool, a little archaic.",,2.0,4.0,4.0,2.0,3.0,1.0
2018-08-12,,,Former Employee ,IT SUCKED. every manager treated me like crap!!,IT SUCKED. every manager treated me like crap!!,0,The free food. And that’s it.,Everything else. Being stuck in back drive thru is so bad.,,3.0,,,,,
2018-08-04,,,Current Employee ,Decent place to work,Decent place to work,0,"Flexible schedule
Great team environment",Limited on promoting from within your own team,,3.0,1.0,4.0,4.0,3.0,3.0
2018-08-20, Manager,"Englewood, CO",Former Employee ,Poor Management,Poor Management,0,"-Work life balance is good for now although it is known that leadership in Real Estate/Finance org are old school and not supportive of work life balance. Leaders focused on optics and expect employees at their desk all day , but do not understand (or care) that business needs require meetings away from the desk or calls that are outside of core work hours.
-Company donates money to many charitable causes
-Ability to work with people from across the globe","VP and EVP levels do not understand the bunsiness units they lead. Very out of touch with the actual work that their teams peform. There is a new lean or operational efficiency initiative on a monthly basis that eventually fizzles out because VPs do not have the understanding of the work, leadership skills, or vision to impact change.
VP that instituted practices that were huge roadblocks and antithesis to the WU Way lean principles. Many women in the department felt marginalized due to it being a good old boys club. The environemnt was toxic and diversity was not celebrated. WU C-Suite leaders toute their commitment to diversity, but many departments are all white male dominated and create a work culture that does not promote female or minority advancement or engagement. My department did not have any female leaders and only one minority.","Look at your leaders in departments that have significant turnover. They are driving down engagement, morale, and effectiveness. Rather than practicing true WU Way pribciples, they are simply checking the boxes and fail to inspire.",1.0,3.0,2.0,3.0,4.0,1.0
2018-07-20, IT Manager,"Denver, CO",Former Employee ,IT Manager,IT Manager,0,"Flexibility, Location, Some benefits, some co-workers","No vertical growth, Bureaucracy, Digital keeps hiring folks from Symantec who use WU as platform for next step and leave soon, replacements are again from Symantec. Yapping and Stoning all the way. Retail and Digital business operations have a Steel wall between them with no process common.
- Consistent performers have no way of growth vertically. They are the ""churners"". Always end up showcasing their performance again and again to changing upper management.
- Looks like salaries may have improved looking at other reviews, but in my case, they were way below market standard.
-Some of the middle management directors just need to go, especially in Digital.
-The amount of effort and money being put in ""oomph"" factor technologies in Digital could be well used if you get your ducks in row, do some analysis and stick to an Enterprise Layer of technologies, modern or traditional. It's a mix of multi million dollar non-sense right now.","To CEO: I believe you have your mind in right direction, execution is lacking heavily on lower levels. Keep fighting or joining the Crypto world but this is a dying business model what exists today.

To CIO: Well, welcome to the mess and bureaucracy galore. Get things done in right way or well, join/open some start up as others did.

To CFO: Good luck bringing out numbers out of the black hole.",3.0,1.0,4.0,1.0,3.0,2.0
2018-07-11,,,Former Employee ,Great company,Great company,0,"Management was great, lots of company perks.",Pay not always based on performance.,Hold all employees to the same standard.,4.0,5.0,5.0,3.0,5.0,5.0
2018-06-21,,,Former Employee ,Good,Good,0,Good environment people care about doing the right thing.,Shutting down in huge debt and major competition,,4.0,,,,,
2018-06-17,,"Omaha, NE",Current Employee ,Flexible and growing,Flexible and growing,0,"- Extremely flexible as long as you are getting your work done you are free to set your own hours
- Good bonus structure
- Ability to work remotely",- Not as many opportunities for remote employees,,4.0,5.0,3.0,3.0,4.0,4.0
2018-06-04, Director,"Englewood, CO",Current Employee ,Great Company,Great Company,0,"Good company, purpose driven. Really enjoy the work!",None. Great company and really like working there.,,5.0,3.0,5.0,5.0,5.0,5.0
2018-06-01,,,Current Employee ,Digital leads the company,Digital leads the company,0,Interesting work if you work in Digital as it leads the future of the company,Company can be very bureaucratic for a relatively small size global workforce,,4.0,3.0,4.0,3.0,4.0,3.0
2018-05-27,,,Current Employee ,"Manager, IT Delivery","Manager, IT Delivery",0,Good benefits good benefits good benefits good benefits,"Self service for booking tickets, etc",,5.0,3.0,3.0,3.0,3.0,2.0
2018-05-22,,,Current Employee ,Great Place to work,Great Place to work,0,Healthy work environment and located at a place where commute is not an issue at all,Some time work pressure is really high and should work late nights,it would be better if they arrange Social gathering with families at least twice a year,4.0,3.0,3.0,3.0,3.0,3.0
2018-05-28,,"Englewood, CO",Former Employee ,Not recommended,Not recommended,0,Pay is within the industry standards,HR is not supportive or organized,,2.0,,,,,
2018-05-18, Project Maanager,"Denver, CO",Current Employee ,Compliance,Compliance,0,Global peers experience is very engaging.,"mid level managers are incompetent, but, in control.",don't just downsize.,2.0,2.0,4.0,2.0,2.0,2.0
