date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-12, Senior Manager,"Irving, TX",Current Employee ,Great place to work,More than 10 years,0,Great opportunities and a big supporter of diversity in the workplace,Workload can be heavy and schedule demanding,,5.0,5.0,5.0,5.0,5.0,5.0
2015-09-21, Infrastructure Manager,"West Lafayette, IN",Current Employee ,Alot of Jobs One Home,More than a year,0,"There are a lot of pros working for Accenutre. They have great career opportunities, a never ending supply of interesting work, competitive compensation, wonderful benefits, great people, wonderful training programs, a tremendous number of brilliant professionals in their fields ready to help, and great core values.",This is not an opportunity for those that do not want to work. At Accenture everyone has a load of work to do and often times under very tight customer time lines. It is a challenge that I enjoy but many might find it stressful.,Keep up the great work. Accenture is on a path to not only financial success but also to cultural success which is a much hard thing to achieve.,5.0,4.0,5.0,5.0,5.0,5.0
2019-04-14, IT Senior Manager,"San Francisco, CA",Current Employee ,Solid place to gain experience with a variety of clients,More than 10 years,0,Solid place to gain experience with a variety of clients,"Typical roles require travel Mon - Thu each week, but this is the tradeoff for gaining experience with a broad range of clients.",,4.0,3.0,5.0,4.0,4.0,4.0
2019-04-13, Technology Consulting Senior Analyst,"Sacramento, CA",Former Employee ,"Great People and Energy, Lots of Corporate Tape",More than 3 years,0,"Great people, great energy, great place to work.",There is a lot of restriction and precise regulation of salary and promotion.,,4.0,4.0,5.0,5.0,4.0,5.0
2019-04-12, Consultant,"Boston, MA",Former Employee ,Great experience to help me set my standards and my work versus personal boundaries,More than a year,0,You learn from great people and they have amazing resources at their finger tips.,"Long hours, lots of travel, and a lack of respect for family life.",,4.0,,,,,
2019-04-09, Associate Manager,"Pittsburgh, PA",Current Employee ,Great firm to start your IT journey!!,More than 10 years,0,Great work life balance. Great clients to work with. 6% 401 match. Can purchase Accenture shares at 15% discounted price. Good health/dental insurance plan to choose from,Somewhere down the line you will find dirty internal politics which you may not be adjust with,,5.0,4.0,5.0,5.0,3.0,2.0
2019-04-09, Senior Analyst,"Chicago, IL",Current Employee ,Good place to work with flexibility,More than a year,0,Many different options for growth or movement,Long hours without regard for work/life balance (could change based on project),,5.0,3.0,5.0,5.0,5.0,4.0
2019-04-09, Digital Marketing Consultant,"Dallas, TX",Current Employee ,Great for long-term career growth,More than 5 years,0,"Learn alongside some of the best in the industry, gain client-facing experience, and extreme flexibility","Long hours, unpredictable travel schedule",,5.0,3.0,5.0,5.0,4.0,5.0
2019-03-20, Team Lead,"Dallas, TX",Current Employee ,Great Place to work with,More than 8 years,0,"Much Perks compared to other competitors.
Lots and Lots of training programs for the new Techs
Process oriented",Some typical Indian Managers spoil the Accenture way of working but introducing the same old fashioned style of professionalism. You get really irritated if you are with Accenture from day 1 of your career and someone just treats you like a school principal.,Please recruit Managers who really know what Accenture way is all about .,5.0,4.0,5.0,4.0,4.0,3.0
2019-04-05, Client Financial Management Analyst,"New York, NY",Current Employee ,Great company to start your career at,More than a year,0,"Brand name company, good benefits, culture, and flexibility",Lower pay compared to other companies,"It's a large company, continue maintaining a positive culture among individual groups",4.0,5.0,5.0,5.0,4.0,3.0
