date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-08, Software Engineer,"Seattle, WA",Current Employee ,Great place to work,Less than a year,0,"Experienced management and engineering team, good for junior engineers to learn and grow.

Company encourages you to learn and grow by providing learning funds and online courses

No drama from what I've experienced",Not much to complain. No free lunch?,,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-05, Sales,"Lehi, UT",Current Employee ,Best boss ever,Less than a year,0,Jake Reni is the best leader I've ever worked with. It's fun to come to work every day when you work for someone like him.,There are no negatives so far,Keep hiring great leaders!,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-03, Renewal Coordinator,"Denver, CO",Current Employee ,Love it!,Less than a year,0,"Great work environment, good people and supportive community.",Nothing major comes to mind.,,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-12,,"Seattle, WA",Current Employee ,Employment review,More than a year,0,Great work life balance at Adobe,Benefits are not great at Adobe.,,2.0,4.0,2.0,1.0,1.0,1.0
2019-04-11, Lead Product Manager,"San Francisco, CA",Former Employee ,Top down management that worked based on fear with no vision and bad technology,More than 3 years,0,"-Food is good
- Gym is good
-Life balance can be good and flexible especially for managers. I have seen people take 2 months off a year","- 10% of the people do 90% of the work
- A lot of people have been there over 20 years and are stuck in their ways. They have no idea what is happening outside of Adobe and are building things with no vision.
- Teams are built without being staffed properly. Too many stakeholders get involved which make every extremely slow
- People are extremely fake. They are going to be nice to you and then talk behind your back. Alliances are everything.
- Management work based on fear. Unless you follow your manager blindly you can't get anywhere. They want change but they don't really want it.
- Creativity and ideas are not welcomed unless it is aligned with what leadership wants.
- Lots of people are there for a paycheck. Lack of talent
- Extremely slow paced environment
- The tech stack is surprisingly bad. It is not a tech company, it is a marketing one.
- Product managers don't have sprint teams, they are consultants for the most part.
- Most PMs don't use their own products and build without a vision or innovation
-Growth is impossible as they are already so many managers and people get promoted on time spent on the Company vs impact.",Bring talent in if you are only willing to accept their feedback. Don't retaliate against the once who do.,2.0,5.0,2.0,3.0,4.0,1.0
2019-04-06, Senior Computer Scientist,"San Jose, CA",Current Employee ,Good work life balance and work,More than 10 years,0,Good work life balance and work,"Refreshers given only to 20-30% people. Teams keep changing, so chances of getting refreshers even if you are a good performer is low.",Value loyalty.,3.0,5.0,4.0,4.0,1.0,4.0
2019-03-21, Senior Solutions Consultant,"San Jose, CA",Current Employee ,Great company to work for!,More than 5 years,0,"Great opportunities, reasonable management, decent work/life balance.",Stodgy support for some products. Not enough customer focus on product management in my area.,,5.0,4.0,5.0,5.0,5.0,3.0
2019-03-20, Customer Success Manager,"Lehi, UT",Current Employee ,Great place to work here in Utah,More than 5 years,0,"Great compensation, great benefits, awesome location, great building, etc. All good things.","Big company, so sometimes things move slowly.",,5.0,5.0,4.0,5.0,5.0,4.0
2019-03-13, Solutions Consultant,"New York, NY",Current Employee ,Great Place to work,,0,"Successful company with solid management. Room to move around. Culture is good, although a lot of people work from home, so the offices aren't always full.","Lot's of reorgs and management changes. Acquisition of many companies has created uncertainty around strategy. Integrations are complex, which can lead to confusion internally and externally.","Keep doing what you're doing but try to solidify the organization, so there isn't so much change all the time.",5.0,5.0,5.0,4.0,5.0,5.0
2019-03-13, ENT BDR,"Denver, CO",Current Employee ,"Great company, i love working here",,0,"I love Adobe. Great benefits, great people",I cannot think of a single con,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-27, Program Manager,"San Francisco, CA",Current Employee ,Solid Employee-Centric Company,More than a year,0,"Pretty solid benefits, company is financially very successful and seems to be on the cutting edge of both creative and digital marketing fields","Not a ton of opportunity for upward mobility, pay for San Francisco is a bit below market compared to peers",,4.0,5.0,4.0,2.0,3.0,4.0
2019-03-21, Senior Program Manager,"San Jose, CA",Former Employee ,Heading in the right direction,Less than a year,0,"Flexibility, good technologies to work with, opportunities, M&A activity, good benefits, entire week of July 4th & Xmas week is paid time off.","IT immaturity, lack of follow-thru by certain groups, inflated titles & roles compared to experience",,4.0,4.0,4.0,4.0,4.0,3.0
2019-03-15, Sales,"San Francisco, CA",Current Employee ,Great Benefits,More than a year,0,Benefits package is great at Adobe,Constant change because of the industry we're in,,4.0,5.0,5.0,3.0,5.0,3.0
2019-02-23,,"San Francisco, CA",Current Employee ,"Amazing benefits, great SOMA location, slow moving but stable company",More than a year,0,"- Good salary and stock compensation
- Stable and secure job atmosphere
- Very talented people to learn from
- Great benefits (health, legal, vacation, life insurance, commuting...)
- SF location makes it easy to commute
- Successful company with considerable means to support ambitious projects","- Growth (both in terms of salaries and title) is slow and unclear
- People are usually very career-driven so it's not friendliest group of people at first","Make sure that people's career path is clearer: Let them know if they can grow (both in terms of salary and stock, and in terms of title and responsibilities); and let them know exactly what they'd need to do to get there.",5.0,5.0,5.0,4.0,5.0,5.0
