date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-20,,,Former Employee ,Great place to work,,0,"Mission oriented team, fun colleagues and great perks.",I can’t think of any.,,5.0,4.0,4.0,4.0,4.0,4.0
2019-03-07,,,Current Employee ,Strong growth,,0,Exciting growth and learning environment,Priorities shift often and there is not enough accountability,,5.0,,,,,
2019-02-13,,"San Francisco, CA",Current Employee ,Excellent Place,,0,"Smart, passionate and caring teams. Talented and mission-driven","Growth stage issues, concern for long term success","Keep true to mission, vision and values company was founded on.",5.0,4.0,5.0,5.0,5.0,5.0
2019-02-07, Senior Client Success Associate,"San Francisco, CA",Current Employee ,"Amazing Culture, Folks, and Mission!",,0,Everyone is passionate about the mission and excited to go to work!,No 401K match - yet! There are GREAT benefits outside of this!,,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-05, Project Manager,"San Francisco, CA",Former Employee ,"High growth company, great place to build a career, has its aches and pains as it has grown.",More than a year,0,The company has experienced a lot of growth which has allowed for getting to work on very interesting projects with many users.,"Typical high growth start-up with a lot of first-time managers. With much success also comes politics for individuals to navigate. The company has had a hard time living its core values internally, externally, though, I believe the product continues to deliver on the company's values.",Clean house on the politics with a different system.,4.0,5.0,4.0,5.0,3.0,3.0
2018-12-19, Analyst,"San Francisco, CA",Current Employee ,"Ambitious company, challenging problems, great culture",Less than a year,0,"- Ambitious company goals, strong growth trajectory;
- Challenging problems;
- Smart and eager to help colleagues;
- Culture of transparency and mutual respect;
- Good work/life balance","- Pains of a growing company: teams and people are moving around the company;
- Sometimes supporting processes are not established which slows down execution",Adjust recruiting process to favor candidates that are genuinely interested in fintech and solving problems we are working on now and will be working in the near future - these people will stay with us for a long time and will love their work.,5.0,5.0,5.0,5.0,5.0,4.0
2018-12-19, Sales,"San Francisco, CA",Current Employee ,Great environment for a seasoned startup professional,Less than a year,0,"Affirm offers a very mature environment - not to be confused with staunchy or boring, but one that is fun for the right reasons (challenging, collaborative, and clean).

The team is incredibly smart, willing to challenge each other in the pursuit of doing things better (and more importantly for the right reasons).

The leadership team is honest and transparent, willing to answer tough questions in front of the whole company, available to offer support, keeps Affirm's values at the forefront of each decision and conversation.

The benefits are bonkers! Free quarterly books, daily lunches and dinners, stipends for everyday (and monthly) expenses, truly flexible vacation time, some of SF's best coffee options, and monthly company-wide outings/events that are actually fun :) You truly feel invested in as an employee at Affirm.","The company is growing at a rate that causes consistent change and communication challenges regularly. This isn't unique to Affirm, just to the time we're in as a company. If you can't handle consistent change, not the place for you.

Our mission runs deep within each team player (which I guess is a pro) but it's not an easy mission and our product is not simple at all. We're transforming an incredibly old industry that touches the personal lives of millions of people and has skeptics in every corner. We have to have hard conversations both internally and externally and it takes a long time to truly understand all of the ins and outs of our business model. Any position you take with Affirm will offer unexpected challenges, which may sound cliche but is truer than most companies I've supported. This isn't so much a con as a be aware that although we've worked hard to make Affirm look simple to consumers, the secret sauce is not.

Sometimes it feels like there are too many cooks in the kitchen for simple decisions. Because of the nature of our product, each project and decision can involve 2 - 6 different teams and multiple people per team. You must be able to navigate internal dynamics, needs, wants, personalities, and do so patiently. This can certainly be frustrating but it's a part of the culture and is something we're optimizing on a regular basis.",Keep the transparency alive. Keep investing in your employees. Be aware of the operational communication breakdowns and provide guidance to managers and team members on ways to improve.,5.0,4.0,5.0,5.0,5.0,5.0
2018-12-12,,,Current Employee ,Not very exciting product,,0,"- great office with a good view
- benefits are generous (unlimited vacation, good healthcare, above average food)
- good culture in certain team
- decent work life balance","- don't patronize your employees, we're not doing 'God's work'
- product not very exciting, and personally don't think it lives up to company value & mission
- onboarding/training program is pretty bad and unstructured - more learning-by-doing","Stop talking to your employees as if we are saving the world, be more transparent as we all know we need to generate profit for the company",2.0,4.0,3.0,3.0,5.0,4.0
2018-11-30, Senior Business Leader,"San Francisco, CA",Current Employee ,Mission Driven Company,More than 3 years,0,"Strong vision and mission and Max (CEO and Founder) leads with his heart. Very smart team that values creativity, intellectual curiosity and action!",Not everyone can to keep up with the changes or adapt to the needs of a high growth company. This is also a complex business and those who haven't been able to grasp all of the interlocking parts have struggled.,,5.0,4.0,5.0,5.0,5.0,5.0
2018-12-11,,,Former Employee ,Very boring work and filled with new grads....,,0,"Good and healthy lunch and dinner
smart and helpful colleagues
company is growing and good time to join
Weekly events and lot of activities
decent benefits","Beware of jacked up stock prices, overvalued company...assume 50% of shares offered to you as the true value. Company might not go public until next 4 or 5 years. Look into revenue and valuation ratio to understand it better. Company does good job of hiding financials from employees

Most of the engineers are either new grads or less than 2 years work exp, which is not bad but it creates very jovial and immature environment. There is no good leadership to guide these folks. Because of this, the entire tech stack is a mess and lot of quick fix is done instead of solving the entire problem which increases the tech debt. You can hear people shouting and clapping all the time. Not for serious workers. Lot of people have left in the last 12 months.

Finally, not a deal breaker for many,
Beware of huge interest rates of average 20% APR, and I once saw a 4000$ loan with 2000$ interest over 36 months...It feels like we are fooling poor people..when i joined, i thought we were going to take away people from credit card scam but it seems like we are making them fall into affirm loan ...the whole loan stuff is bad

Overall, good place for new grads and people with less than 2 years exp as they can learn and do lot of stuff on their own. Experienced people might not like it here.","Improve the management team and stop making people with 2 years exp as managers. Also be very honest and share company financials with employees. Else, you will create lot of unhappy people in the end.",2.0,5.0,3.0,4.0,3.0,2.0
