date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-13, Software Engineer,"San Francisco, CA",Current Employee ,"Great perks, pay, and people",More than a year,0,"Most people are extremely nice and driven at Airbnb.

You can really find whatever you are looking for in a team.

The tech stack is a priority for the company, which makes the company a great place to work as an engineer. We have tech talks at the office, open source projects, stipends to attend conferences, etc. We encourage novel/optimal technical solutions even when the project may take more time, and we (at least recently) are trying to build with the long term in mind.","Office politics can be frustrating
Designers have too much power and many don't know how to build UX or be on top of projects
The quality of engineers is highly variable","1. Let go of more engineers who aren't meeting expectations - they are difficult to work with and continuing to play nice is a lose-lose situation for both parties involved. It hurts our brand, wastes money, and lowers the quality of our product. I think we also need to revisit our interview process to make it more fair and filter out more low quality engineers.
2. Being kind (""Be a host"", etc.) does not need to translate into padding every piece of feedback with niceties. I would prefer if the office culture tended more towards radical candor and less towards ""fake nice""",5.0,4.0,3.0,5.0,5.0,3.0
2019-02-26, Trainer,"San Francisco, CA",Current Employee ,Amazing,More than 3 years,0,Work enviroment Money Job duties Facilities,Nothing bad to say about the company,none,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-23, Operations,"Portland, OR",Current Employee ,Middle management is destroying a good thing,More than 3 years,0,"Coworkers are great.
Good food program.
Nice offices.","Middle management is largely promoted from ops with little to no training.
Poorly equipped and regular blockers.
Poor organization management.
Lots of blocks for growth.
Regular reorganization that accomplishes little and the lower level employees have to deal with ever changing landscape.
Headquarters engineers make a lot of money but operational people are often paid under market rates.
No pay transparency and poor management creates confusion.","Stop reorganizing.
Really train management.
A",2.0,3.0,2.0,1.0,2.0,2.0
2018-11-18,,"San Francisco, CA",Current Employee ,Working here over a year...,More than a year,0,"- Compensation: pays more than any other tech company (Google, FB, etc) PLUS new cash bonus PLUS can choose to take your equity refreshers (no cliff) in cash. They also bump everyone to above midpoint of the range, which is really kind and close any gaps for pay equity.

- Business is doing really well: we're profitable, have money to invest in employees + new ventures, never worried about money. Not even having a round of funding for this far out is amazing.

- Great benefits. Free airbnb credits (never expire), lots of PTO and time off, easy parking lot next to the building (they reimburse the price), free lyft credits, top notch food program, etc.

- Management is honest about their pitfalls and is honest about fixing it. I appreciate this because they could sweep it under the rug.

- We're heavily invested in our infrastructure as a 2019 focus. Even hired a CTO who has decades of infrastructure heavy lifting under his belt. Sweet!

- People are really kind and helpful. Fairly rare. There are always going to be politics because people befriend eachother, but honestly you can set up a meeting with a director and they will help you resolve easily. As long as you speak out, people will listen.","Typical growing pains for our size, honestly. For a long time, Airbnb was flat and you could grow your career quickly since the company was small. Now they're trying to add ways to grow your career and make it defined and achievable since there's not low hanging fruit from a flat org, which is good. There's also increased attrition for people who have been here 5-7+ years, but honestly I think fresh people who are excited and new have been better for my team personally. Many managers are also junior, but we've started to hire senior managers - my manager's manager has been doing a great job shaping and changing, which I appreciate.","Get more senior managers rather than junior, it's been helping out. Check their participation rates and hapiness of their reports before hiring them though. Be more stringent on 1st time managers because it's dangerous. Can we have more conference rooms? :)",5.0,5.0,5.0,3.0,5.0,5.0
2019-01-09, Premium Support Team Customer Experience Agent,"Portland, OR",Former Employee ,"Great company, Customer Support role has changed over the years.",More than 3 years,0,"-One of the best companies that I have ever worked for regarding their mission and desire to provide the best customer support while embracing ingenuity
-You will work with some of the nicest people in the industry who are truly exceptional
-Great benefits including free lunch and snacks, quarterly travel coupons
-The CEO truly cares about what the company is doing and it's mission; he holds regular Q+As with employees and makes a visible effort to connect.","-Pay is not that great, I started out at $18/hour and after 3 years at the company, I was only making $20.65 after being promoted
- Little room for growth in role and lack of transparency with how employees receive raises. My lead could not or would not provide me with a direct answer or explanation as to why I was making significantly less than other employees at same SL.
- Metrics can be unreasonable at times due to the nature of the work. You are expected to close X cases a day and maintain a certain NPS, along with other metrics, although you are usually handling mishandled, escalated cases from external support teams that can take days to close. You never know what kind of call/ticket you will get, if it will be a case that takes days to resolve, or if it will be a simple account questions. You are also expected to answer questions with little resources for you and silo-ed departments, with the company motto being 'build the plane as it takes off'.
-Along with having to be compliant with 'call controls' just trying to stay afloat making your 14 cases, you will get pinged throughout the day asking if you can take over other mis-escalated cases. Even if you are overwhelmed with casework and know you don't have the bandwith to take these on, you will quickly lose favor with upper management if you don't.
-Casework can be very stressful, and while the company does it's best with trying to offset this with a fantastic food program and seminars, it emotionally drains you. CX work is more of a mediation role.
-Within the 3 years that I was there, it increasingly became more like a call center, with more micromanaging of your time within the call controls, breaks, etc. Ultimately, this work environment along with poor compensation and lack of upward mobility left me no choice but to accept another offer at a different company, which was one of the hardest and most bittersweet decisions that I ever have made career wise.","Be more transparent with pay structures, realize that the nature of the casework is ambiguous and micromanage less. The company is growing exponentially but that doesn't mean that customer support has to turn in to just another call center.",3.0,3.0,5.0,2.0,3.0,2.0
2018-11-20, Administrative Assistant,"Los Angeles, CA",Former Employee ,A good place to start,Less than a year,0,"good salary, good communication,friendly management,good oportunity, great value proposition","sometimes can be stressful,time differences with other offices, most are young colleagues,",,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-30,,"San Francisco, CA",Current Employee ,Account Representative,More than a year,0,"Food, Insurance, relaxing atmosphere, people",Pay is much lower than the average,Start thinking about your employees more- direct management,4.0,5.0,5.0,4.0,3.0,3.0
2018-10-28, Security Program Manager,"San Francisco, CA",Current Employee ,Phone Interview,Less than a year,0,"Good Business Model, Attractive business outcomes",Business Model needs to be extended,,4.0,4.0,4.0,4.0,4.0,4.0
2018-10-02, Software Engineer,"San Francisco, CA",Current Employee ,Software Engineer,More than 3 years,0,"beautiful office, good pay, technical projects","engineering culture gotten worse, inexperienced and bad managers, lots of politics",,4.0,4.0,3.0,4.0,4.0,3.0
2018-10-25, Security Analyst,"San Francisco, CA",Current Employee ,Security Analyst,Less than a year,0,Fulfilling work. Consistent hours. Decent starting pay for San Francisco. Free food. Good referance on the resume for later work.,"Commuting can be terrible. Parking is a problem for a company that owns so many buildings, it seems like they could aquire the local lots. Hopefully aquisition of the latest building will reduce the problem with the lot on the roof.",Keep up the good work. Listen to your mid level managers.,4.0,3.0,4.0,4.0,4.0,4.0
