date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019.1.7, Pallet Land Scanning,"Linden, NJ",Current Employee ,Amazon Associate,More than 8 years,0,Friendly Environment. Time goes by quick due to the high volume of work.,Peak season gets very hected. Plus work long hours.,,5,5,5,5,5,5
2016.1.10,,"Seattle, WA",Current Employee ,You Get What You Put In,,0,"Really smart people, a lot of opportunity for growth, always encouraged to be innovative, think big, and create something new. Competitive salary and benefits with other major tech companies. 100% self motivating work environment. No dress code and 4 legged friends are welcome.","You have to be self motivated. NO ONE will hold your hand and tell you that you're doing a great job. If you need constant affirmations from management, this company isn't for you.",More on-boarding training before new employees are thrown in the fire. The first couple of weeks can be very confusing on where to find the information you need that pertains to your job.,5,4,5,5,5,5
2018.2.23, Software Development Manager,"Phoenix, AZ",Current Employee ,An Amazing Place to Work,Less than a year,0,"I've been at Amazon for a month now, and I've seen none of the horror stories being communicated to the public, although Amazon is a large enough company that I'm sure there are good pockets and bad pockets. Everyone here is really smart, and wants to succeed both personally, and as a company. People collaborate and help each other, focus on data, and truly focus on the customer. Every company I've ever worked for talks about how important the customer is, but on day 2, they're forgotten. Amazon seems to genuinely focus on what's best for the customer, and it's awesome to be in meetings where people actually bring that up, and make decisions focused on long-term customer satisfaction.

The opportunities to learn here are literally unlimited, and the opportunity to take on new responsibility is as well. I honestly believe you can be as awesome as you want here.","No cons, so far - seriously. Like I said, I'm sure Amazon has some bad pockets in it here and there, but this is an amazing job, an amazing opportunity, and the biggest thing I have to complain about is that it's a little chilly in our building. I can live with that.

Does Amazon demand high quality, measurable results? Yes! Is it hard work? Yes! Is it rewarding? Yes! So I'm not calling that a 'con'. Work/life balance seems comparable to other places I've worked - not worse.",,5,4,5,5,5,5
2016.2.20, Senior Engineering Manager,"Seattle, WA",Current Employee ,"Exciting Work, Abusive Culture",More than 8 years,0,"Jeff Bezos and his ""S-Team"" are brilliant and continue to make great decisions for long-term growth.

You work with smart people, you work on exciting projects, you are pushed to your limits...which can be rewarding when you accomplish great things. The diversity of the potential work and innovation can be very alluring. I've often called Amazon my ""Sexy Mistress...she's emotionally abusive, but she's so sexy that I go back for more punishment.""","The management process is abusive, and I'm currently a manager. I've seen too much ""behind the wall"" and hate how our individual performers can be treated. You are forced to ride people and stack rank employees...I've been forced to give good employees bad overall ratings because of politics and stack ranking.","Don't pretend that the recent NY Times article was all about ""isolated incidents"". The culture IS abusive and it WILL backfire once stock value starts to drop. I'm an 8 year veteran and I no longer recommend former peers to interview with Amazon.",3,3,3,3,4,4
2013.12.17, Software Development Manager,"Seattle, WA",Current Employee ,"Can be amazing for some people, horrible for others",More than 3 years,0,"Amazon is doing lot's of cool stuff...but lots of boring stuff too. There are really well run teams...and very badly run teams. The experience for software managers and engineers is all over the board, from really run low operational load teams to teams where people burn out after a year.

 - Amazon is built, quite deliberately, to be Darwinian. You can generally expect that anyone who's been here for more than 2 years is competent and motivated or they wouldn't have survived. You can count on them as long as your priorities are aligned. There aren't many slackers here, and they don't survive long.
  - We work on so much stuff that there's always an opportunity to find amazing cool stuff to work on (note that it's an 'opportunity', one that you have to pursue)
  - A chance to make a huge difference
  - A place where you can learn a lot about all kinds of things, both technical and about yourself
  - Amazon encourages high mobility - even your manager can't prevent you from moving to another team within 6 weeks (normally, more than a few months under unusual conditions).
  - Your friends and family have actually heard of the place you work and have at least a vague notion of what Amazon does without you having to explain","- You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.
- Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five years ago will get you canned today. It's a kind of crucible that'll help you develop a harder edge, if you can survive, that can serve you well in your career and in life, but it's often not a pleasant experience.

I wouldn't recommend it as a place to work for just anyone.","Stack ranking is a horrible practice since it's rife with favoritism. It's also not Amazonian in that it's not data based (arbitrarily designating a certain percentage of employees that must be put on performance management isn't a data driven criterion) and it's not frugal (effectively forcing an individual out of the company in one division who would make the grade in another is either retaining someone who doesn't meet the bar or a waste of talent). The goal is to force managers to actually make the hard decisions about how their team members compare with each other (not everyone can be exceptional), but it has more defects than virtues. Replace it with a common comparison of each person against the bar for their position, based on data. The percentages that are assigned to each performance category will turn out how they turn out, but there will be an evaluation mechanism that's fair and frugal.",4,3,3,5,5,4
2017.3.23,,"Seattle, WA",Former Employee ,We are now in a world where we are condescended to by our inferiors,More than 5 years,0,This company gets A list performance from C list employees. The culture is quick and hard charging. You are always working in relevant and meaningful projects.,"Maybe because the company recruits C listers who have neither merit (intelligence, strategic vision) nor pedigree (academic or professional accomplishments), most of those who become successful do so in treacherous, low cunning ways.

Imagine the Lannisters in Game of Thrones attacking the Starks in Game of Thrones; or Rawls and Burrell attacking McNulty and Daniels in The Wire; or Barrow and O'Brien attacking Mr Bates in Downton Abbey. This is every day leadership behavior at Amazon. The culture at Amazon is so infested with these middling talent weasels who have juked the stats and schemed their way to positions of power that new employees coming in actually start thinking that this behavior is normal and expected if you want to ""manage people.""

The work itself was stimulating and fulfilling, but the sneering condescension of the d bags that cheated and skated their way through high school and party colleges, then just converted their winky nod nod good 'ol boy shenanigans into a ""ask no questions, have no introspection"" company culture have made manifest some of the worst criticisms of capitalism. Any left leaning political aspirant would look at this business organism and immediately have content to lash out against the corruption that can come in free enterprise where hard work is not rewarded, and the connected, incestuous, privileged class lounge their way to wealth while treating their employees and customers like some kind of filth their shoe picked up on the street.","Bezos you bought the Washington Post and hired Jay Carney to be your PR head. There is nothing I can write here that you would deign listen to, because you are a hack. You must be mad that Expedia beat you to the punch and hired Chelsea Clinton to serve on their board of directors.

For those grasping Weasels that have squirmed and back stabbed your way to success, you know who you are. You won't care what is written here because ""You got yours, Eff them.""

For those truly diligent and hard working employees that don't want to believe the story from NY times that called Amazon a ""Snake Pit"" because you don't want to think you actually are involved in such a dystopian landscape of anti-business ethics: ""Always yell with the crowd. It is the only means to be safe.""",4,2,2,1,5,1
2017.5.15, Tier I Warehouse Associate,"Carlisle, PA",Former Employee ,"Warehouse associate, full time for over two years",More than a year,0,"Great starting pay and the ability to get raises very quickly. Full training in all areas are offered and if your willing to work hard and sweat everyday for 10 hours a day, 4 days a week, then this is the job for you. The 4 day weeks go by quick, it can be exhausting so proper rest and a healthy lifestyle will help you stay strong within this company. Beat benefits as well once you are a hired on as a full time employee.","After 3 years of working with the company you ""cap out"" at $15.75, meaning you can no longer make any more money than that as a tier 1 associate. Your expected to want to move up in the company and that is the only way to make a better hourly wage, by advancing into management and operations management positions if there are any openings.",,4,2,3,4,4,5
2019.3.14, Senior Manager,"Seattle, WA",Current Employee ,Very High Standards,More than 3 years,0,"The innovation and the ability to work with highly talented and bright individuals with varying background. Amazon is not a company made up of like-minded individuals and the diversity of professionals occupations, experiences, cultures and backgrounds makes for a dynamic and fascinating workforce.","The company_ iniatives and focus changes rapidly and constantly, which makes gaining traction difficult. In addition, the organization is less favorable to women, particularly the AMZL, LMT and AGL organizations.","AMZL, LMT and AGL should reassess several of its Directors and clean house by ridding the organizations of the Directors that are abusive to employees and creating great churn in the organizations. Amazon is losing a lot of talented and valuable employees because of bad management abilities of several Directors.",5,4,5,5,5,3
2019.3.22, Stower,"Tampa, FL",Former Employee ,Great job,Less than a year,0,Hard work your will be active.... great mangers who know how keep you motivated. Great team build meetings!,The Attends policy is extremely hard to get over!!!,,5,3,3,5,5,4
2019.3.23, Sortation Associate,"Swedesboro, NJ",Current Employee ,Sortation Associate for 6 months,Less than a year,0,"- Good pay at $15/hour
- (Personally) Quick hiring process. Applied on Friday, started work a week and a half later.
- Good, efficient, and respectful operations managers at my location.
- Shifts last only 4 hours at a sort center, so if you have any other jobs it can be accommodating.
- The few times I had to talk to HR, they were very responsive and orderly.
- Benefits including vision and I believe dental some time after becoming a blue badge (permanent associate)
-","- 15 minute breaks for a 4 hour shift.
- Workload can vary depending on the day.
- Hours can be very inconsistent. Some days you work the full 4 hours, others you flex down and get 3 hours.
- Intensive work, you will be moving around a lot and using your entire body the whole shift.
- Warehouse I worked at did not have enough parking on site, so we had to park down the street and take a shuttle.",,4,5,4,4,3,5
2019.3.5, Program Manager,"Seattle, WA",Current Employee ,"Amazon is what you make it, and AWS is even better to work for!",More than 5 years,0,"I love the freedom to be myself at work, to be friendly and socialize with coworkers, to bring my dog with me and see how excited he gets to see all my coworkers. I love the level of intelligence and attention to detail my coworkers have, they really encourage me to grow and expand my skill set. I love the diversity of our hires. I work with people of all ethnicities from the entire globe and it makes work so much more interesting and rich. I love how laid back Amazonians are. There usually isn't a ton of ego or competitiveness between teams, people are very cooperative and open. I love that Amazon encourages our employees to volunteer and contribute to our community, even if the media would have you believe otherwise. I love that I get to work from home in order to maintain my work life balance. I love the protection and support I feel from HR. I love traveling and meeting new people all over the world. I love working for Amazon Web Services.","You get a lot of flack from the public working for Amazon. There are a lot of assumptions and misconceptions about our work environment or what our company values are. If you're brave enough to set an example and speak out about what working for Amazon is truly like, it is definitely worth it.","Continue to prioritize work life balance and maintaining long term employees. Be mindful of stress levels and employees that tend to over-extend themselves. Continue to make diverse hires and support people of all genders, ethnicities, and sexual orientations. Always remember we are people first and employees second.",5,4,4,5,4,4
2019.3.25, Customer Service Representative,,Former Employee ,Great position,More than a year,0,I love working with Amazon from home. Very flexible,There was no problems working at Amazon,,5,5,4,4,4,
2019.3.25, Solutions Architect,"Seattle, WA",Current Employee ,Great place - If you are in the right team,More than 5 years,0,There are a number of teams with builder mentality and continuously try to innovate and build new things. Its a fast paced environment. You will find extremely smart colleagues and the bar is high. You may be a top tier in your current company but top tier performance has a different meaning over here.,Promotion process is very different compared to rest of the industry. Get in the right level if not it will take couple of years to get to the next level,,5,4,5,5,4,4
2019.3.25, Senior Technical Program Manager,"Seattle, WA",Current Employee ,"Amazon is all about Work hard, have fun and make history",More than a year,0,"Innovation
Still an engineering company
Smart workforce","Its a big ship (lots of opportunity), but you can get lost.
Culture doesn't support inclusiveness, you have to be self motivated
Be ready to push back. Whoever pushes back harder wins.
Team culture and leadership style varies significantly; from cut throat to setup for success.",Keep the engineering and experimental vibe alive. Keep it flat.,4,3,3,4,3,3
2019.3.25, Human Resources Assistant,,Current Employee ,Great Place to Work,More than a year,0,"Awesome Benefits
Flexible Hours
Competitive Compensation
Inclusive Culture
Career Growth Opportunities","Department Silos
Bureaucracy
Some Growth Opportunities require relocation
Difficult and Lengthy Hiring Process","Please be more open to allowing people to do their roles remotely. By requiring employees to relocate for a role, you deprive them of growth opportunities and you deprive the company of amazing talent. If you employees cannot grow within the company, they are forced to look outside of it. Let's not only Hire and Develop the Best, but retain them as well.",4,5,5,3,5,4
2019.3.24, Transportation Manager,"Joliet, IL",Current Employee ,You have to be extremely clever to be able to keep this job without having a strong work ethic.,More than 3 years,0,"The benefits are amazing. Forget the paycheck, if you have full time availability the benefits alone are worth it.",Sometimes you work hard just to get paid as much as someone who slacks off and never gets caught.,Consistency is key. Employees become complacent when they think their impact isn't valued.,5,2,4,5,5,3
2019.3.23, Associate,"Spartanburg, SC",Former Employee ,Good for your first warehouse job,More than a year,0,"Flexible time off, friendly managers, simple work",Managers are all over the place,Get the managers on one accord,4,4,5,1,3,4
2019.3.24, Warehouse Associate,"Phoenix, AZ",Current Employee ,"Easy Job, Lots of Red Tape To Move Up",More than a year,0,As long as you can produce and hit your daily rate your fine.,You will be on your feet for 10 hours a day.,Offer more opportunities to move up in the company.,4,2,3,3,5,3
2019.3.24, Program Analyst,,Current Employee ,Corporate,More than a year,0,Great opportunities to jump in and make a difference in áreas that interest you. You get to work with overachievers who are intelligent and very motivated to make a difference.,"This Company, like any other corporation, will take anything you give it. Understanding your boundaries and how much work you are willing to give are key to staying sane while working here. This Company is full of workaholics, and it is exhausting to keep up if you are interested in seeing your family and friends.","Understand that working long hours only decreases an individual's productivity over time and leads to low morale. Take a hint and make substantial investment in diversity - some changes have been made which is great, but there is still a lot of room for growth.",4,2,3,5,5,3
2019.3.21, Software Engineer II,"Seattle, WA",Current Employee ,Ok,More than a year,0,"Good salary comp
Good engineers
High potential imact","Terrible 401k plan as compared to other large tech companies
We have like 5 holidays per year.
OK health plan",Redo the terrible 401k plan.,4,5,4,4,3,4
2019.3.22, Account Manager,"Seattle, WA",Current Employee ,Loving it so far,Less than a year,0,"Surrounded by brilliant people
Opportunities to impact the profitability of a large company
Fun culture
Amazing pay","Could be more in office perks
Can get lost in the mix if you aren_ able to speak up for yourself",Help new hires get and stay on a career path,5,3,3,5,4,4
2019.3.15, Engineer,"Seattle, WA",Current Employee ,Here you can do anything and everything,More than 3 years,0,#NAME?,"Benefits are not the most amazing, nothing that jumps out and makes you say oh wow that nice

Potential to work yourself to the bone, there is always more work to be done at amazon, slow down and know your limits and take vacations and you_l be fine","Encourage out of the office activities, get people out and moving around out side of their cubicles,",5,5,5,5,5,5
2019.3.19, Senior Technical Program Manager,"Pittsburgh, PA",Current Employee ,Excited about the opportunities,Less than a year,0,"One thing to call out is that as Amazon is a large company, your experiences will vary based on your team. I have largely only had positive experiences and am very happy I made the transition to work at Amazon. Some of the pros I've experiences:
- I am constantly challenged by incredibly smart and hard-working individuals, the culture embraces learning new things and stretching yourself
- I've been given significant responsibility and the ability to make meaningful impact almost immediately
- Compared to more traditional companies, there is no red tape. If you have a good idea, just make it happen. Individuals at all levels are empowered to do what they think is best. You don't have to have 5 managers approve something for you to get your work done.
- Work-life balance is incredibly important. Almost everyone on my team has kids and they all value your evenings and weekend time. Members of my team have gotten dinged for working on the weekend. And it's very understandable if you need to work from home (even suddenly if something comes up with your kids)","- There isn't much sharing across teams in the company. I find out about what other teams are doing in the public news.
- While benefits are very good compared to most companies, we're behind other tech companies. Having some support for childcare would be appreciated and make a difference.","Try to keep the culture consistently focused on the Leadership Principles, it's a great place to work.",5,5,5,5,4,5
