date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-15, Mid Market Account Executive,"San Francisco, CA",Current Employee ,Such a breath of fresh air,Less than a year,0,"-Unified and welcoming culture, always have team building events going on and not cliquey at all!
- Executive coaching offered to employees 6x/ year is awesome, love that they invest in not only executives but ALL employees
- Breakfast/lunch/ dinner and all gourmet cooked by in-house Asana employees (not catered) is AMAZING, always something new, all of it cooked fresh and feels super healthy.
- Management that is very much open to feedback and suggestions to make us all more effective.
- Dog friendly offices I thought would be so distracting but they're actually so great and well-behaved and its nice to see a cute friendly face throughout the day
- A sales team thats not only hitting but exceeding their quotas!! And leaders that want to keep that up.","- You just have to be flexible and a self starter, no one's going to hold your hand or micromanage you, so its on you to get work done...which I actually love but some people could see as a con.
- It's a start up, so new product releases, new processes, trial and error and again just the ability to adapt to that if you're not used to it already could be seen as a challenge.","Keep doing what you're doing! Continue to trust your employees, appreciate feedback, diversify your workforce and hold us accountable. You're doing great and we all feel it!",5.0,5.0,5.0,5.0,4.0,5.0
2019-01-16,,"San Francisco, CA",Former Employee ,"Extremely fresh managers and low compensation, but good mission and people",More than a year,0,"• The mission is legit and most people do care about helping other teams thrive/succeed by using the product.
• Higher management is full of smart & experienced people. Lots to learn from if you try hard enough to learn from it.
• Software is internally used to manage your daily workload (and it works!)
• Your teammates are generally fun
• Lots of opportunities to grow your skill-set if you're in Ops","• People managers are generally inexperienced and given way too much trust
• ""Transparency"" existed for a minute and then was wiped out of the organization
• Overly serious about itself and how playful it is, but never really feels adult
• Conscious Leadership Group never stops feels like a Corporate Philosophy
• Compensation is way below market and receiving positive adjustments to that in a way that feels ""timely"" is almost impossible
• HR/People Ops problems rarely get fixed and are swept deep under the rug
• You will work more hours a day than you'd probably expect, partly because there some how aren't enough people to do the work and the work will still be expected of you.","Focus on fixing problems that your employees bring up every review cycle. Start by fixing the compensation problem, the management problem, and the ops/business headcount problem.",3.0,2.0,4.0,3.0,2.0,4.0
2018-12-27,,,Former Employee ,Very Satisfied With My Time At Asana,,0,"Almost everyone seemed genuinely happy at the company. People worked, took time to relax both at work and at home. Company parties were great.","Because so few people leave, many of my professional connections are still at Asana instead of spread out throughout the Silicon Valley like if I had worked at Google for example.",,5.0,5.0,5.0,4.0,4.0,5.0
2018-12-03, Program Manager,"San Francisco, CA",Current Employee ,Excellent opportunities for growth and mindful management,More than a year,0,"No micro-management and an abundant amount of opportunity for those willing to go the extra mile. Leadership will listen (even if it takes a while to get time on their calendar) and treats employee ideas with thoughtful consideration and reflection. The ability to create your own path is available for anyone that's ambitious and driven.

Culture is good, food is the unimaginably delicious, and your co-workers are happy and positive. Great vibes when entering the building.","Thoughtfulness can breed slow decision making at times, you need to have strong conviction in order to weather the storm at times. The engineering-focused systems that were set in place during the early years of the company can be difficult for business teams to gel with. Cross-functional processes and teams can be bottle-necked by one employee or key decision maker, hopefully, this will be fixed with more hiring and scaling of internal teams. Product team can portray a superiority complex at times, but when you understand that it's in the companies best interest to make sure the engineers are happy that's ok.",Continue to attack the market and make Asana the brand and product it has the potential to be. Reward your high performing employees with equity and compensation. Create additional channels for getting new projects/programs approved aside from the COO or CEO signing off.,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-05,,,Former Employee ,Fantastic Company,,0,"One of the most thoughtful, intentional groups of people you'll find anywhere. Dustin Moskovitz is the best CEO in Silicon Valley – smart, dedicated, and also (shockingly) humble.",The reflective/mindful culture can sometimes be a drag on quick action.,,5.0,,,,,
2018-10-31,,"San Francisco, CA",Current Employee ,Fantastic onboarding & highly scalable culture,Less than a year,0,"Never before have I witnessed a company whose culture is so well thought out and intentioned, and the company and its people truly stick to it and embody it every day. I realized in my first week with facilities and culinary alone —&nbsp;this company has things down, and it's because of how much they care about the environment that it's creating for its employees. The offices are SO clean, the facilities program is top notch - you don't see office managers running around scrambling because we're out of snacks again - it's a well oiled machine. And the culinary program is incredible. Extremely healthy and delicious meals served 3x a day, and snacks and every kind of tea served all day and literally everything is made in-house. The culinary team isn't just an extension, they are a part of the team and the company and they have a super important purpose of fueling, energizing, and delighting employees so they can be as productive as possible.

So those are some perks. The onboarding here is really amazing. It's very comprehensive - you'll get intros and overviews to things in the company you didn't even realize it would be helpful to know about, and it exposes you 360-degrees to the whole company by introducing you to people on different teams and learning from them. I've never felt more genuinely welcomed, and they really make you feel that they care about you being set up for success. The great thing is that all of this rings true even after the onboarding ""honeymoon phase"" so to speak, and that's just the way people are at Asana. Friendly, welcoming, inclusive, and collaborative.","Asana has a very unique culture and it takes longer than you'd expect to get fully immersed and onboarded. They use their product internally exclusively, meaning you're living and breathing the mission of the company, but that's typically very foreign to a lot of people coming from traditional tech workplaces relying on email and google docs. If you want a run of the mill type of company, this isn't the place for you, but if you give it a little time and believe in yourself, it will be well worth it.","The business is making tremendous gains in the market and Asana has just won awards and industry recognition across every category, from the business to the product to the culture - so keep up the great vision and strategy work that is driving our momentum!",5.0,5.0,5.0,5.0,5.0,5.0
2018-11-01,,"San Francisco, CA",Current Employee ,Great place to work for and grow your career,More than a year,0,"Amazing culture: very collaborative and great mentorship; some of the most friendly and talented people I've ever met; even junior people have the opportunities to take on important responsibilities and grow fast.
Great mission to work for.
Great business growth in the recent years.
Awesome perks (healthy culinary program, on-site yoga, all kinds of employee resource groups, etc.)",The company is still relatively small and there are still many processes being built out.,Pay more attention to why the eng hiring has been challenging.,5.0,5.0,5.0,5.0,4.0,5.0
2018-11-13,,,Former Employee ,great,,0,"free food, perks, awesome free stuff",no housing stipend for internship,,4.0,,,,,
2018-10-30, Marketing Manager,"San Francisco, CA",Current Employee ,5 weeks in and absolutely blown away,Less than a year,0,"-Some of the most friendly people I have ever met
-Incredibly talented individuals that work very strongly as a team
-Innovative ideas and company
-Amazingly strong leadership & founders with a clear vision and strategic direction
-BENEFITS (financial, work life balance, culinary)","none, and to be quite honest, no one who works here has any cons about being here either",Keep up the amazing work. This is truly a one of a kind place to be. Keep growing the company and the size because this is an amazing place to work!!!,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-11,,,Current Employee ,Great Company to work for,,0,"- There is a lot of opportunity to grow within this company.
- You have a voice in the decisions which are made.
- Awesome perks
- A great management team
- Encouraged to try new things and carry on your own initiatives
- Company is growing fast and doing well!",- There may be times where the direction of your work may be unclear. This is because there are still many processes being built out.,,5.0,5.0,4.0,5.0,4.0,4.0
