date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-19, Tlc Operator,"Smyrna, TN",Current Employee ,Good place to work,Less than a year,0,They have many activities or groups you can participate in,You get paid biweekly instead of weekly,,5.0,5.0,5.0,5.0,4.0,4.0
2019-04-08, Technical Consultant,"Philadelphia, PA",Current Employee ,Great company,More than a year,0,"Real opportunity for career advancement
Management actually listens to employees",You have to start from the bottom,Continue to grow and develop employees,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-07, Coach,,Current Employee ,Supervisor tech support,More than 3 years,0,"Benefits, environment, volunteer opportunities, and training",Pay scale for coaches is less than the experts,,4.0,3.0,4.0,4.0,4.0,4.0
2019-04-06, Technical Support,"Orlando, FL",Current Employee ,This is no job. Its a career!,Less than a year,0,Shifts. Pay. Location. People. Overall experience.,I have no cons. This place is awesome!,Keep doing what your doing because its working great!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-31, Principal Software Engineer,"Nashville, TN",Current Employee ,Nashville Principle Software Engineer/Architect,More than 10 years,0,"Great opportunities to introduce new technologies to the company
Lots of training opportunities and I can attend at least one major conference per year which has been very beneficial
Opportunities to code in multiple languages
Challenging business problems to solve which often need solutions leveraging newer industry technologies
Flexible work schedule
Talented coworkers
Work is in Nashville which is big pro for me
Company has to support locations across the globe, and I have enjoyed working with people of other nations
Solutions needed for multiple platforms and cloud providers
Company has opportunities in a lot of areas
Good pay and stock options, but not very clear on when stocks are granted.","Promotion frequency for engineering vs management tracks seems far too slanted towards the management side
Merit pay increases seem to be below industry average
Asurion is a very fast paced environment at times which is not for everyone, and can be difficult to get a good work/life balance. However a good balance is achievable and carries a lot of weight as to why I’ve stayed with the company over the years. That balance took me some years to figure out, and I’m ok with working at odd hours and spending time working on weekends when needed. A lot of stressful years were put in before I reached a balance so I need state that for clarification. Also my first few years with the company the growth rate was really straining the employees. Employees are far less strained overall these days, but the pressure and flux can be overwhelming for some.","Improve merit pay increases. Bonuses are generally very good, but merit pay has been has been questionable over my time with the company. When management changes for a developer or engineer then any progress towards a promotion resets which can result in a bit of a recurring cycle. I’ve seen this scenario occur with a good number of coworkers, and with merit pay increases not having a lot of momentum. I’ve seen employees leave over this problem because they get to point where they can get a much better salary elsewhere. This has been most notable with junior engineers and developers, but an evident issue at all levels it seems",4.0,4.0,4.0,5.0,4.0,4.0
2019-04-05, Operations Supervisor,"Las Vegas, NV",Current Employee ,Great company,More than a year,0,The pay is really good for a call center environment,They expect a lot from supervisors,,4.0,2.0,4.0,3.0,4.0,4.0
2019-04-04, Premier Support Technician,,Current Employee ,Good pay,Less than a year,0,Great people and fun place,Not a lot to complain about,Some more training in tools,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-04, Tech Support Specialist,"Houston, TX",Current Employee ,Interview and Orientation Process,Less than a year,0,"The pay is great...i was directly hired as an Asurion employee, the benefits are a big plus. Great commute and excellent parking. The company has a great atmosphere and was really through and informative during the hiring process. Im really excited about about my new career and i honestly think this will be the place i retire from.",No cons available right now,No advice to management. Only beginning to train.,5.0,4.0,5.0,4.0,5.0,4.0
2019-04-03, SQA III,"Sterling, VA",Current Employee ,F2F,,0,"Really Cool team members
Good working environment","No cons so far, I really liked the company and team",,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-03, Quality Engineer ,"Remote, OR",Current Employee ,Great experience,Less than a year,0,Everyone I interviewed with seemed to really enjoy the work they do and the environment!,I really did not have a bad experience at all. The interview process was a bit lengthy but overall no cons!,,5.0,5.0,5.0,4.0,4.0,5.0
2019-04-03, Human Resources Business Partner,"Phoenix, AZ",Former Employee ,Fantastic Company to Have a Career With!,Less than a year,0,"I wasn't able to stay at this company long due to personal reasons, but while I was there I couldn't have had a better experience. I would highly recommend this company, and specifically for someone in HR trying to grow their career and get fast paced hands-on experience working with senior leaders, managers, and employees.

1. Management and Employees that really value HR
2. Support from Senior Leadership
3. Autonomy to act independently
4. A peer group that is always willing to help
5. You will be set up for success in this role
6. Cool Technology and Company SWAG
7. A company that lives out its values
8. HQ in Nashville
9. Great On-boarding
10. Room for advancement and growth
11. Work Life Balance - Unlimited PTO","Not many cons. I would say it is a fast paced organization that will require you to think on your feet so if that isn't for you, then this may not be the right role. Make sure you also understand the culture and challenges of a large call center as you will be dealing with a large population of call center employees.",Keep doing what you're doing!,5.0,5.0,5.0,5.0,5.0,5.0
