date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-03,,,Current Employee ,Amazing Company,Less than a year,0,Really have it together especially the recruiting & people teams on getting employees onboard and set up properly.,Can't say anything bad at this time.,,5.0,5.0,5.0,5.0,4.0,4.0
2019-04-02, Senior Recruiter,"Mountain View, CA",Current Employee ,Great Place to Work!,More than a year,0,"Lots of flexibility, ownership and autonomy. Great working relationships - Atlassian employs some of the smartest, most empathetic people I've ever worked with. I have grown more here than the rest of my career combined, and have more trust and autonomy to get things done than I ever have before.",There are constant changes and the burnout can be high because of hyper growth - all companies in this stage go through growing pains.,"Keep it up, and make sure to be supportive during this high burnout time!",5.0,5.0,5.0,5.0,5.0,5.0
2019-03-25, Senior Technical Account Manager,"Austin, TX",Current Employee ,Growing company with great culture,More than 5 years,0,Real chance to make a difference for our clients. You can build the future you want.,Maybe more parking for staff in building.,Keep on building the company and invest in modernizing the products.,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-08,,,Current Employee ,Good company to start off!,,0,Great company to work for,No drawbacks really - Work life balance is excellent,,4.0,4.0,4.0,5.0,4.0,3.0
2019-03-15, Senior Technical Writer,"San Francisco, CA",Current Employee ,Great company to work for,More than 3 years,0,"Great values, good facilities, and good work culture.","Inconsistent management styles, nepotism, and navel-gazing.",,5.0,5.0,5.0,4.0,5.0,4.0
2019-03-14, Program Manager,"Austin, TX",Current Employee ,I love my job and this company!,More than a year,0,Fantastic place to work. Stellar leaders,Changes quickly and can be overwhelming to those who have to react to changes rather than leading the change.,,5.0,4.0,5.0,5.0,5.0,5.0
2019-02-28, Strategic Partnerships,"San Francisco, CA",Current Employee ,"Great people, products and culture",Less than a year,0,Really amazing culture where people genuinely help each other and believe in what the company is building. Lots of autonomy but support when you need it. Flexible working.,"Changing priorities can mean some pivoting, but it's exciting and well thought out.",,5.0,5.0,5.0,4.0,4.0,5.0
2019-02-26, Software Developer,"San Francisco, CA",Former Employee ,"Great company, challenging work, growing fast",More than 8 years,0,"Friendly people
Interesting work
Decent total compensation
Improving diversity","Fast growth = many new players, learning curves, productivity distractions
Dynamic and adaptive to change = interrupts, re-planning, lost momentum
Complete visiblity into a Jira pipeline of work can be overwhelming when it's not curated well","Provide more collaborative ""Servant leadership"" in the first level management team",5.0,4.0,5.0,5.0,5.0,5.0
2019-03-06,,,Current Employee ,Good first job,More than a year,0,"Good benefits/perks, work, people are generally nice",Compensation and perks can be better especially in the Bay Area to keep up with other competitive employers.,,3.0,,,,,
2019-02-15, Support Engineer,"Austin, TX",Current Employee ,Unicorn Job right here,Less than a year,0,"Where do I start? Catered lunches, breakfasts, team game lunches, free health care (family too!), commuter & wellness fund, over the top parties & holiday events, great pay, work-life balance, etc.",Expensive parking (if you drive).,Keep it up! Everything is awesome.,5.0,5.0,5.0,5.0,5.0,5.0
