date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-27, Facilities Coordinator,,Current Employee ,Great Place to Work,More than 3 years,0,"We're given a lot of freedom and our feedback is listened to. I've made fairly large decisions based on my research and experience. My managers have always trusted my decisions and supported any changes I've proposed. We get to participate in quarterly calls with the CEO staff as well as a call with our specific department heads. I feel connected, trusted, and valued.

The pay, bonus, and vacation benefits are great and the medical benefits are amazing.",My only complaints are site specific and not at all complaints I have with Autodesk.,None,5.0,5.0,5.0,4.0,5.0,5.0
2019-04-13, Intern,"San Francisco, CA",Former Employee ,great experince,Less than a year,0,Awesome working environment and learned from great people.,Not many except for the fact that i was the only data scientist intern on the team surrounded by software engineers so collaboration wasn't as what i expected.,,4.0,4.0,4.0,5.0,5.0,4.0
2019-04-10, Senior Manager,"San Francisco, CA",Current Employee ,"Great Company, Amazing Vision, Struggles with Organizational Development",More than 10 years,0,"This company is full of passionate, smart people. We continue to expand the solutions we offer to a wide variety of industries. We do good in the world, in addition to doing well for investors.",Experienced individual contributors and middle managers need more visibility and guidance about career advancement. We lose too many good people and hire too many senior roles from the outside instead of cultivating talent.,Increase the velocity in the positive changes being made in HR management to improve transparency of policies and individual development.,4.0,5.0,5.0,3.0,4.0,4.0
2019-03-31, Software Development Manager,"San Francisco, CA",Current Employee ,"Great people, great work, less fun",More than 3 years,0,"People are smart, educated, driven, and techincal challenges are awesome and fun ... office is awesome too","there is not much culture except that everyone is nice, respectful, ... but company activities are not a priority here .. if you want fun and engaging this is not really the place","We are not just robots ... forget about work sometimes, take off and have everyone grab drinks, or have some fun at least teice a month .. it doesn’t cost much and goes a long way",4.0,5.0,3.0,5.0,5.0,5.0
2019-03-24, Customer Service and Technical Support Representative,"Boston, MA",Current Employee ,Great if you are Relative,More than 3 years,0,Great culture. Very professional. Benefits are amongst the best you can get.,Hard work does not necessarily equate to job security. Relavice is an overwhelmong factor that has adverse affects on moral and consistant organizational goals and direction.,Change is good! But change every 6 to 12 months is not efficient and makes working there unsettling for employees.,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-11, Digital Marketing Manager,"San Francisco, CA",Current Employee ,Solid company to work for. Love my team and work.,Less than a year,0,"I really love working with my peers and manager. I think that I am making meaningful and sustainable impacts to Autodesk as the company continues to pursue its digital programs.

Benefits, healthcare and 401k matching are all great. Employee stock purchase plan is pretty sweet! Flexible work from home PLUS lots of snacks and meals in the office. Autodesk has a lot of bakers and these peeps love bringing treats to the office.","Legacy systems make me sad! And slow down work. But we are improving that.

My onboarding could have gone a lot smoother. Instructions unclear and I ended up (as well as my cohorts) having only 2 days to review everything.",,3.0,4.0,4.0,4.0,4.0,4.0
2019-04-05, Principal Software Engineer,"Boston, MA",Current Employee ,Historically has been a great company,More than 8 years,0,"Great benefits, Great products, Cool buildings","Overmanaged, tech folks are fewer and fewer.","Let smart people innovate, don't over-metric/survey everything to death, get back to the garage level innovation.",3.0,5.0,4.0,3.0,3.0,
2019-03-12, Senior User Experience Architect,"San Francisco, CA",Current Employee ,Fantastic place to design,More than 5 years,0,"Interesting, deeply complex work at a company with a mission to make a positive impact in the world. Once you start here, it is hard to leave to go somewhere with a less interesting mission. Talented, passionate co-workers. Lately, an emphasis on transparency has helped employees feel aligned and engaged in what it will take to achieve the mission.","If you are a woman with technical skills, you will be seriously outnumbered in almost every situation, especially the higher up you go in the company. The company has a ways to go to feel truly inclusive.",,5.0,5.0,4.0,5.0,4.0,5.0
2019-03-03, Marketing Manager,"Boston, MA",Current Employee ,They will have to fire me to get me to leave,More than 5 years,0,"Great work-life balance. Sabbatical every four years in the US. Rewarding company that makes an impact on the world. HR is making big changes towards some of the more complained about aspects. Everything is very thought through. Salaries are competitive but not crazy; if you factor in 'total compensation' like bonuses, stock options, sabbatical, and other benefits, its above par.",Global hours. Some complain about limited upward mobility. Positions and promotions are often driven by business needs vs. performance. Knowing this you have to keep an eye open for opportunities and pursuit them when they present themselves. Lots of re-orgs; can get political.,,5.0,5.0,5.0,4.0,5.0,5.0
2019-03-04,,"San Francisco, CA",Current Employee ,"It's up to you, if you're driven, smart and humble - work here",More than 5 years,0,"Creative, Humble, Passionate and all-around decent people who do great work without ego. If you're hungry and eager to make a difference, read reviews, informationally meet with employees, understand the gaps and opportunities and come on board to make a difference. We need fresh perspectives with who can influence with an edge. In other words, ADSK employees smell BS from a mile away, but we also smell integrity, humility, passion, and intelligence just as quickly.

Unlimited Vacation in the US
6-week sabbatical every 4 years in the US
Decent health benefits
Catching up to Bay Area expectations",Lack of Prioritization. No clear path as to how one can or when should challenge the status quo. Comp.,Senior VP's need to be more visible to the whole organization and model the behaviors they expect from their teams and employees.,5.0,5.0,4.0,4.0,4.0,4.0
