date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2016-12-02,,,Current Employee ,Strategic and Growing... Things Get Done Here,,0,"A rapidly growing business working as a strong cohesive team.
Decisions are made quickly and efficiently.
A balanced focus on business results and people.
Opportunities to learn, grow, and work on a diverse set of applications.
Nearly everyone has the opportunity to work directly with the customer","Growing fast and acquisitions means processes are constantly being adjusted and refined to accommodate new business needs
Working efficiently means you may never get everything done on your todo list, so you have to focus on high impact objectives","The focused investment and growth trajectory are outstanding. You have built an outstanding team with the talent, vision, and ambition to achieve great things!",5.0,5.0,5.0,5.0,5.0,5.0
2019-01-22, Senior Engineer,,Former Employee ,Not the worst but there is much better,More than a year,0,"Most of the engineers are knowledgeable and well motivated
Good variety of projects to work on
Flexible time
Zero micro-management","No career growth as an engineer
Low salary
Shortsighted management
Processes are confused and sub optimal
Some low performing employees are kept in place just because they are family",Change job,3.0,5.0,2.0,2.0,2.0,1.0
2018-09-26,,,Current Employee ,System engineer,,0,"Friendly work environment with balanced working load.
Opportunities to learn, grow, and work on a diverse set of applications.",Growing fast and processes are constantly being adjusted,,4.0,5.0,5.0,4.0,5.0,4.0
2018-01-15,,,Current Employee ,"Some good, some bad",More than 5 years,0,"Huge diversity of projects...you will never become bored being stuck in the same old job doing the same thing over and over. Front-line employees are a great team of people to work with. Business model in flux, which creates opportunities for enterprising individuals.",Unfocused growth. Business plan is primarily just to make more money. Senior management have little technical background and little understanding of the core business. Pay raises typically below COL. Stingy profit sharing. Few people who have been at company longer than 10 years.,Senior management needs to determine what its core business is again and refocus the company on it.,4.0,4.0,4.0,2.0,3.0,3.0
2017-08-20,,,Former Employee ,Interesting place,,0,Great people-good collaboration among peers. Friendly atmosphere.,Confusing place to work. I did not see any possibilities for growth and development. It's like someone already posted- a good place for transitioning between jobs.,Invest in employees who want to advance and continue to perform well. There are a lot of great employees there that are gems in the rough if given the opportunity. Unfortunately those employees move on eventually...,3.0,5.0,3.0,1.0,2.0,3.0
2017-01-04,,,Former Employee ,Test Engineer,,0,"Good work environment, many opportunities to learn and talented colleagues.","Income is not as high as other tech companies, difficult for people to move to upper ranks, employee is not able to innovate or work on personal goals if that doesn't immediately align to corporate vision.",Management need to put an effort to decentralize the projects and knowledge as people work in silog rather than working in a team oriented fashion,3.0,4.0,4.0,3.0,2.0,2.0
2016-11-30,,"San Rafael, CA",Current Employee ,Great company,More than 8 years,0,Averna growth is providing interesting opportunities. Great people with good work/life balance. Work environnement is nice.,"Internal processes and tools are evolving to support the growth, This are changes that can be seen as exciting opportunities or challenges. your choice.",continue to control growth speed,5.0,5.0,5.0,5.0,5.0,5.0
2016-10-10, Anonymous,"San Francisco, CA",Current Employee ,Exciting place to work !,More than 5 years,0,"Lot's of opportunities to work on large scale projects
Possibility to travel and work with colleagues in Europe and in US
Management is dynamic, people-centric and clearly looking to grow the company
With all the acquisitions the company is doing, it will give me a lot of opportunities to meet with new colleagues from different countries and cultures ...
Really the place to be if you want an active and motivating worklife.",We are learning to work on projects with colleagues from other offices ... it puts a lot of pressure on how communications are happening ... We need better videoconferencing tools.,Just continue to fuel the growth ... but make sure we all understand the bigger plan ...,4.0,4.0,4.0,5.0,4.0,4.0
2016-10-06,,,Former Employee ,"No, no, no",,0,"Other than receiving a paycheck for my time, there's nothing positive about working here.","- Care more about the sale than the client or product quality
- As mentioned by another reviewer, it's a culture of ""yes men"" and submission
- Politics governs ALL
- Most people are generally unhappy to work there. A lot of turnover in the recent year
- There's a sense if you're not French Canadian, then you're an outsider
- Poor benefits package",You act like a large company when you're really a small firm. Don't force bureaucracy on your employees and customers. Stop overworking your top performers and pay them what they're worth.,1.0,1.0,1.0,1.0,1.0,1.0
2016-03-03,,,Current Employee ,Pleasant work environment: good people and interesting work,Less than a year,0,Great environment that offers varied and Interesting work assignments. Relaxed atmosphere. Supportive management that is genuinely values work/life balance. Co-workers are collaborative and helpful.,Good healthcare benefits but short and long term disability isn't subsidized.,,5.0,5.0,5.0,5.0,4.0,5.0
