date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-24, Operations Manager,Mexico City (Mexico),Current Employee ,Great company - opportunities to grow,More than a year,0,"Opportunity to grow
Young management
small teams, lot of learning","sometimes they hire not the best people, but at the end they fix it.","CS and the rest of company should be one, not separated",5.0,5.0,5.0,5.0,4.0,5.0
2019-03-11, CS Team Lead,Prague (Czech Republic),Current Employee ,Great employer with empowering culture,Less than a year,0,"- Personal and professional growth
- Great leadership style
- Strong company values and culture
- Mission you can easily get behind
- Flat structure
- Everyone is heard and valued, anyone can contribute to decisions being made and anyone can challenge anyone (with good reason)
-High level of responsibility on all positions",I can't think of any,"Please keep the company going in this direction, maybe consider adding some family-friendly perks and invest more in growing more female leaders",5.0,4.0,5.0,5.0,4.0,5.0
2019-03-25, Operations Manager,,Former Employee ,Cool prospect and company but very bad management of people,,0,"The industry and the problem they are solving is very interesting and the markets are challenging.

The tools used are good and modern and the equipment is new and good

Cool office and company events

You have awesome young people around you","The company has values but they are actually not followed, especially by top-level management. It's more talk than anything else.

The salary is not good compared to other IT companies. You can be in charge of a lot of things and still earn less than in a non-managerial role somewhere else.

Don't expect to be only doing your own job and that your responsibilities are not going to be changed (increased). Don't expect your salary to reflect the change in responsibilities.

You will get used to people being let go randomly on a day-to-day basis

Depending on your department, you don't have much career opportunities","Be more transparent and honest in what you do

Treat people better and with more respect

Less start-up BS and focus more on reality",2.0,1.0,1.0,2.0,2.0,1.0
2019-02-21, Operations Manager,,Former Employee ,Operations Manager,More than a year,0,Flexibility on schedule. Goal oriented management. Huge international exposure and on-hands immediate impact.,"Too distant from the matrix (Estonia), business decisions are taken locally with autonomy, but support on product or brand is not priority.",Build up the intangible assets.,5.0,4.0,4.0,5.0,1.0,4.0
2019-03-07,,,Current Employee ,Great place to work but lack of career growth,,0,"Work benefits, great local teams, overall start up culture",Lack of communication between execs and local teams and no room for career growth,,3.0,5.0,3.0,2.0,4.0,2.0
2019-02-14,,Tallinn (Estonia),Current Employee ,Coolest startup in Estonia,More than a year,0,"Good pay.
Amazing benefits.
Cool people.
Challenging Tasks.
Impactful work.",Growing Corporate BS. But this seems to be normal in all successful startups.,Keep doing what you're doing.,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-29, Operations,,Former Employee ,Nice atmosphere,More than a year,0,"Best team ever, nice perks, good environment to thrive",Same as in any startup,,5.0,3.0,5.0,4.0,4.0,4.0
2019-03-05, Customer Support Specialist,Mexico City (Mexico),Former Employee ,Extremply poor people and communication management,Less than a year,0,"Gym
Medical insurance
Getting to know some kind and interesting people","Communication is shady and dishonest.
You will be treated good at first but the sense that you are dispposable will be obvious pretty quickly.
They have a very superficial philosophy and a poor idea about how to make people bound with each other or feel part of the company, even more if you are a CS...
You will probably buy the honeybadger philosophy the first weeks but will be soon enough disguted with their loosy Winnie the Pooh version of things.
This is a big company: yes
a start-up: kind of
a non-corporate entreprise: no way! The pyramidal-corporate system is present at every level and at all times.","Stop treating people like they don't have feelings or a brain or like they are stupid enough to not realize your internal procedures, it would feel better to be stabed on the front and not on the back and preferably not over Slack.
Maybe you should start coding you own employees :)",1.0,2.0,1.0,1.0,2.0,1.0
2019-01-14,,Warsaw (Poland),Current Employee ,Extraordinary company and atmosphere!,,0,"This is really the best job you could imagine, everything is great: the team, atmosphere, office, culture, management, salary, flexibility and so on. Best place to grow personally and professionally in a totally chill environment, I have learnt so much yet had the most fun ever. People really care and support each other. And it's so fascinating to be part of this company during the incredibly successful growth and expansion we have been having!",I cannot think of anything,,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-03,,,Current Employee ,Hard work with many perks,Less than a year,0,"- Good salary
- Possibility to work remotely or take a personal day off
- Very informal attitude in the company, talking to the ceo directly is okay
- Many corporate benefits, like health fund, snacks and fruit in the office, winter and summer days abroad","- The startup scene is hectic and no-one has any answers, you will have to make things up as you go
- The company has grown superfast from 100 to 700 people and is struggling to manage its new identity and new lines of communication within the organisation
- People here work A LOT. Think staying in the office until 22 PM or working during Christmas, if needed",,5.0,4.0,5.0,5.0,5.0,4.0
