date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-10-30,,,Current Employee ,A company with Integrity,,0,"great working environment
teamwork and collaboration are valued- you won't be thrown to the wolves or feel like you're on your own
executive team are always available
good product
high profile clients

Would recommend to anyone to come work here!","There are growing pains like any company this size, the product is constantly evolving and licensing is changing and it can get confusing to sell and keep track of.

Since the company is small internal growth can be challenging- but if you are proactive management will work with you on a career path.",Keep doing what you're doing. This is one of the best companies to work at. The proof is in the pudding most employees have been here a long time!,5.0,5.0,5.0,3.0,4.0,5.0
2017-11-13,,,Former Employee ,sales,,0,great people and fun vision.,It can get myopic when viewing market.,,3.0,4.0,4.0,3.0,3.0,2.0
2017-06-20,,,Current Employee ,Committed Balance,,0,"Career-defining roles, favorable market position, expanding team, passionate people, innovation-driven culture, methodical & thought-out business strategies, and trustworthy management.",Constant feedback loops/cycles can easily get lost with minimum structure in place which makes it difficult to have high standards of quality.,,5.0,4.0,3.0,5.0,3.0,4.0
2017-06-02,,,Current Employee ,People make the place,,0,"- Rare hybrid of startup/corporate culture
- Fantastic people
- Company has an incredible future","- Product is less than cutting-edge
- Company feels slow to adopt innovation (ironic)",,5.0,5.0,5.0,4.0,4.0,5.0
2016-11-25,,"San Francisco, CA",Current Employee ,"Impact to the world, but hard work.",More than 3 years,0,"The mission of the company has a significant impact on the world.
The top 5 quality people I've ever worked with exist within Brightidea.
People care about quality and each other.","With big impact, the problems we are solving are hard, and requires effort to continuously produce quality output. If you aren't up for challenge nor hard work, wouldn't recommend.",Tell the world about the mission and impact to the world the company has. People that share mission will be drawn to company.,5.0,3.0,5.0,5.0,4.0,4.0
2016-08-22, Sales At Home,"Minneapolis, MN",Current Employee ,Sales at home,More than 10 years,0,"Working at home allows me to work my own hours so I'm able to work coast to coast instead of being locked into office hours. I have a complete home office and a quiet place to work,so i'm all ready to go. Being able to research for new clients at any time of day. However when you combine both you have the best of both worlds.","Not seeing the others you work with, there's a certain kind of energy you pull from that kind surrounding. I believe its more profitable to work alone because you won't get distracted.","I have never worked with management this is a difficult question to answer. The best advice I can give is to not micromanage, so you can read people true potential.",5.0,5.0,5.0,5.0,5.0,5.0
2016-05-17,,,Former Employee ,Sales,Less than a year,0,"Great people, atmosphere, focused goals, excellent management.",small company so some limitations but does not detract from the product and support to clients.,,5.0,4.0,5.0,3.0,3.0,4.0
2016-01-04,,,Former Employee ,So Many Better Options Out There.,More than 3 years,0,"Interesting space (innovation management).
A handful of quality people.
Decent product.","Floundering company.
Co-founders micromanage everything (hence, floundering company).
Company unable to grow.
No employee empowerment.
CEO rules by fear and intimidation.
Analysis paralysis.
Underfunded and unappreciated Marketing.
Constant company strategy shifts - never time to see what works.
Unprofessional, frat-like ""HR-free"" work environment.
Lousy pay and benefits.",None - they don't listen to advice.,2.0,3.0,1.0,1.0,1.0,2.0
2015-02-12,,"San Francisco, CA",Current Employee ,"Has been a great experience so far, and looking forward to more.",More than 3 years,0,"* My manager is a rockstar
* Lots to learn and a lot is expected of you
* Every single employee dishes out A+ work, very inspiring to see everyone in action
* Work hard Party hard, the SF office vibe is great
* Benefits, equity, bonuses, etc
* Food and booze
* Lots of other things","* I am sure there must be some, but honestly I cannot think of any as of now",We can find better people to outsource work to,5.0,5.0,5.0,5.0,4.0,5.0
2015-02-10, Innovation Consultant,"New York, NY",Current Employee ,Inspiring Work and Culture,More than 3 years,0,The best thing about working for Brightidea is that the work itself is meaning. You actually feel that you are a part of helping the world innovative better and faster. Everyone in the company is really drive and talented around the company's mission.,"The other side of the coin when to do big things, is it takes a lot of effort and something the hours at work at long.",Continue to try to help everyone have a good work / life balance,5.0,3.0,5.0,5.0,4.0,4.0
2015-02-05, Senior Account Manager,"San Francisco, CA",Current Employee ,Great company leading a new emerging market,More than a year,0,"The company prides itself on being agile and able to pivot and make necessary changes quickly and efficiently. All levels of management are aligned with the overall business objectives and therefore there is no second guessing what Brightidea is striving to achieve. As an employee, you have easy and direct access to everyone in the company from the CEO on down to discuss and develop what you are working on. The vibe in the San Francisco office is pretty casual and communal; everyone is pretty friendly, works well together and knows how to have some fun.","Each department sits together, works well cross-functionally and is extremely driven; it just takes a little extra effort to know what’s going on with one team if you sit three blocks down, but that’s why we have team meetings every month.",": I think that Brightidea continues to position itself ahead of the market. In the years to come, it will be important that we continue to deliver a best in class solution. One team lunch a week to give teams that don’t usually work closely together get the opportunity to interact more.",5.0,5.0,4.0,4.0,4.0,5.0
2014-11-14,,,Former Employee ,Leadership Vacuum,,0,"Genuinely nice people; interesting product category (helping large companies innovate and compete with more nimble start-ups); cool, fun offices; fully stocked kitchens.","Vacuum at the top. CEO is also Acting VP Product and Acting VP of Marketing. Obviously, one person cannot do all three jobs well. COO is a micro-managing control freak. That management style was necessary when the company was small. He has failed to scale with the business, which is now almost 50 people.","Bring in a strong CEO and let Matt be VP Product, which is his first love. Let Vin be CFO, where he can do spreadsheets all day and not manage people.",3.0,5.0,4.0,3.0,2.0,2.0
2014-03-01, Software Engineer,"San Francisco, CA",Former Employee ,Waste of time,More than a year,0,"Fast paced and never a dull moment, You are never lacking anything to do.",Unfortunately that boils down to the CEO making hasty half baked ideas into software requests that never seem to get finished. BUT DO IT NOW! The codebase is a nightmare mix of code technologies that I am actually amazed is somehow running (most of the time).,"Stop farming out the important parts of your code to India to work on, it's horrible to work on.",1.0,3.0,3.0,2.0,3.0,1.0
2013-12-23, Software Engineer,"San Francisco, CA",Current Employee ,A company full of rockstars with something new and exciting around every corner.,More than a year,0,"It's been an amazing ride so far. I am surrounded by a team of talented hard-working people. I learn new things frequently, and i'm constantly challenged to solve new interesting problems. I have been able to grow a lot while working here, both as a developer, and in my own career. I'm pushed to do great things. The location is fantastic. The opportunities have been so far above and beyond my own expectations. The future consistently looks very bright. And it's by far the best job I've ever had.","There really aren't any. We work hard, it's definitely not a place for the lazy, but it's refreshing being part of a team where everyone works hard and cares about the product.",,5.0,4.0,5.0,5.0,5.0,5.0
2013-12-18,,"San Francisco, CA",Current Employee ,Directionless and lazy. Lackluster product built on 12 year old spaghetti code.,,0,A few nice people and the location was nice,My manager runs around like a coked up ferret micromanaging the smallest part of my day. The work involves nothing but plugging holes in ancient legacy code.,You aren't a startup anymore and you have a working product...How about spending some time making it run on technology from this decade and stop slapping on new half-ass features.,1.0,3.0,1.0,2.0,4.0,1.0
2013-03-14,,,Former Employee ,Great place to be,,0,"- Friendly staff
- Great community
- Work environment is very laxed but productive.",- None at the moment.,,4.0,,,,,
2012-09-10,,,Current Employee ,"Brightidea is a dynamic, passionate company filled with top notch players redefining the way companies innovate.",,0,"Collaborative, friendly work environment with flexibility and stability.",Must be willing to do quality A+ work above all else.,,5.0,5.0,5.0,5.0,5.0,5.0
