date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-20, Lead Data Engineer,"Milpitas, CA",Current Employee ,"Excellent company to work for, great environment!",,0,"Great place to work !
Great environment and work culture",No cons as of now,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-12, Senior Systems Analyst,"Santa Clara, CA",Former Employee ,"Great people, business, values and mission",More than a year,0,Great people and one of the best companies,Career paths are non-existent at Chegg,Create more internal mobility and career paths,4.0,5.0,5.0,2.0,5.0,4.0
2019-03-25,,"Santa Clara, CA",Current Employee ,Could be worse,More than 3 years,0,Great place to retire with great work life balance,"Change the future of education, but unfortunately its by helping students get answers on their homework, quizzes, take home exams
Lots of politics, infighting
Outdated systems that don't work",,1.0,4.0,1.0,1.0,4.0,1.0
2019-02-27,,"Santa Clara, CA",Former Employee ,The hot potato of politics,More than 3 years,0,Chegg makes great business decisions. If you're lucky enough not to be involved in shared services I'd imagine you'll have a good experience.,"Be prepared to be a ""yes man"" and work as directed. Politics are rampent.
 Ownership and accoutability are scarce!",Treat people not as resources to be used but as individuals to mentor.,2.0,2.0,2.0,1.0,5.0,1.0
2019-02-27, Tutor,,Current Employee ,Online Tutor,,0,Good hourly pay for online tutoring,"Have to be fast at accepting a lesson, some students give bad reviews for no reason, can spend hours looking at the opportunities and not get any lessons.",,3.0,,,,,
2019-01-22, Tutor,,Current Employee ,Good way to earn some extra money,,0,"You can set your own hours and during peak times, pay may go up to $45 an hour.",Sometimes it is hard to connect with students. There should be a better interface.,,4.0,,,,,
2019-01-22, Tutor,,Former Employee ,good.,,0,Rewarding helping others understand material they may struggle with,really have to wait for exam season to get a lot of people,,4.0,,,,,
2018-12-10,,,Current Employee ,Easy work,,0,"Love the convenience, I can work as much or as little as I want",Must have some degree or educational experience to teach others,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-19,,"Santa Clara, CA",Current Employee ,Not that great,More than 5 years,0,"Office perks, Good infrastructure, HR Policies","Office Politics in few departments, Lack of career opportunity",,3.0,2.0,5.0,3.0,4.0,3.0
2018-11-13,,,Former Employee ,Intern,,0,"great work environment, great team",loved every minute of it,,5.0,5.0,5.0,4.0,5.0,5.0
2018-10-10,,"Portland, OR",Current Employee ,Truly Lit,More than 3 years,0,"Great people in all departments, bonkers pay, excellent benefits, fantastic mission... did I mention great people?

Also, upper management *actually* knows what they're doing. I can count on one finger on one hand the number of companies I've worked for where that has been the case.","They have yet to issue us company Lamborghinis, despite that being the norm for 0.00% of companies. Let's start a trend.",Keep at it! Don't buckle under external pressures if you can help it.,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-24, Subject Matter Expert,"Santa Clara, CA",Former Employee ,Subject Matter Expert,Less than a year,0,Work at your own time. Pay is proportional to the questions solved.,Timeline difference. Most questions are posted at mid-night (IST). Incorrect solutions can lead to abrupt termination.,,4.0,5.0,3.0,2.0,3.0,3.0
2018-10-20,,"Santa Clara, CA",Current Employee ,Chegg is doing well but not doing good,More than a year,0,"Company is growing and the biggest business is doing very well
Good work life balance","Main product helps students cheat
Great at PR but senior management is not committed to stated values
Outdated tech stack and huge tech debt",,1.0,5.0,1.0,3.0,5.0,1.0
2018-09-07, Stock Plan Administrator,"Santa Clara, CA",Current Employee ,Great place to work!,More than 3 years,0,"Talented and knowledgeable coworkers, great mission and vision, awesome benefits, fun workplace environment, and great worklife balance.",I cannot think of a substantive con.,"Keep on executing on the mission of saving students time and money, enabling them to focus on learning.",5.0,5.0,5.0,4.0,4.0,5.0
2018-09-04,,,Current Employee ,Love the daily challenge,,0,"Lots of support, great environment, the stock!, benefits, trying to solve hard problems","sometimes under resourced, some teams are overworked",,5.0,5.0,5.0,4.0,5.0,4.0
2018-08-07,,"Santa Clara, CA",Former Employee ,Amazing place to work!,,0,"The culture at Chegg was better than I ever could have expected. Everyone was positive, intelligent, driven, and passionate. It was clear that the employees truly wanted to save students money, help them get through college, and prepare them for the workforce.",Can't think of any cons!,Keep doing what you're doing and keep hiring inspired people to get it done!,5.0,5.0,5.0,4.0,5.0,5.0
