date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-26,,,Current Employee ,Great,,0,"Loved it, great community to work in.","None, it was all good.",,5.0,,,,,
2019-02-19, PM Lead,"San Francisco, CA",Current Employee ,"The best edtech company, hands down",More than 3 years,0,"+ Education is an amazing space to work in, you feel good about everything you work on
+ Massive scale of impact - over 10% of US K12 students use Clever every day (and growing)
+ Very thoughtful and intentional culture - everything from the culture tenants to seating arrangements to the order of entrees in the lunch line is thoughtfully done to do best by employees
+ Everyone who's here is here to help improve education, and show it by being super collaborative and putting aside ego for the greater good.","- Education isn't a hyper-growth industry, and although Clever is one of the most successful edtech companies ever, it's not doubling in size every 6 months like a scooter rental company. That means you're less likely to skyrocket in title, and you'll spend more time developing expertise in your current role.",,5.0,5.0,5.0,3.0,5.0,4.0
2019-02-19, Engineer,"San Francisco, CA",Current Employee ,One of the best company cultures and professional development experiences,More than a year,0,"the 3 founders haven't sold out
foster a great work environment, lots of company events
social outreach programs and positive impact in our community
fantastic perks and benefits
plenty of opportunities to grow at a ed-tech company
open PTO
A-grade hiring
safe rides program
management cares about personal development","8th and mission in sf isn't a great block, safety is a concern, but Clever covers that with their safe rides program and a secure building.","I've worked at a couple start-ups in the Bay Area, and Clever is definitely one of the more fun and organized ones out there. As an engineer, documentation and collaboration is key, and Clever does this well. There is a real sense of togetherness, respect and gratitude around Clever. Keep up the good work!",5.0,5.0,5.0,4.0,5.0,5.0
2019-02-25,,"San Francisco, CA",Current Employee ,"Mission driven, people focused, fun and innovative!",More than 3 years,0,"+ Typical start-up perks -- catered lunch every day, unlimited snacks, open floor plan
+ Good benefits including a professional development budget, unlimited Amazon learning credits, health & wellness activities, unlimited PTO, and much more
+ Culture and community is a very important element of Clever's foundation

Everyone here is united around a mission of improving the K-12 education experience; but more importantly, I love coming to work every day knowing that I am surrounded by people who support my growth and care about me personally.","- No 401k employee match
- Neighborhood is not the best
- Room for growth in terms of promotional movement within the company
- Very young company, (we're making strides in hiring more experienced leaders)",I'd like to see more women and people of color in the executive positions.,5.0,5.0,5.0,4.0,4.0,4.0
2019-02-27, Customer Solutions Specialist,"San Francisco, CA",Current Employee ,Great company with even better people,More than a year,0,"Clever is very intentional about helping employees to grow. I've learned a lot in my position and have been provided with many opportunities to take on projects that interest me. The managers of the Customer Solutions team have worked to build out ""career pathways"" that help people on our team to grow vertically within the team by spearheading new and interesting projects or to grow laterally by eventually moving other teams.

The best part about Clever is the people! Everyone is incredibly nice and there's a good culture built around inclusion. People at Clever genuinely care about the mission and helping to improve the education space.

Also—free lunch every day :)",Back to school season is a very busy time that requires a lot of time and dedication for about 9 weeks of the year.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-26,,"San Francisco, CA",Current Employee ,Great culture and mission,More than a year,0,"+ Helping bring technology to classroom learning is very fulfilling
+ Working with smart people who are passionate about what they do and want to make things better each day
+ Camp Clever - three days of professional learning and team bonding in a beautiful outdoor environment
+ Free lunches, lots of celebrations and recognition of accomplishments
+ Beautiful office environment
+ Unlimited vacation time",- Not that flexible on remote working,,5.0,5.0,5.0,4.0,5.0,5.0
2019-02-19,,"San Francisco, CA",Current Employee ,Best place I've ever worked,More than a year,0,"-strongest culture of any organization I have worked for. Clever has a culture of learning, innovation, and social connection to education and our mission.
-excellent strategic vision as a company - I feel very confident in Clever's future
-benefit of working for a company that is in more than 60% of schools gives me the ability to get a macro-level view of education at scale in the US
-great executive team and leadership - they balance rigor for standards & care for employees extremely well. They are great role models
-excellent work-life balance","-like many fast-paced start-ups in the Bay, we could benefit from improving our retention levels of younger employees, and should continue to build strong career pathways in all departments","-Keep up the transparency, rigor, and investment in your people! These efforts have really paid off and made Clever an incredible place to work.",5.0,5.0,5.0,4.0,4.0,5.0
2019-02-19, Customer Success Manager,,Current Employee ,Working to change education in an engaging/fun work environment,More than a year,0,"-Startup environment - opportunity wherever you seek it to gain new skills and find new ways to add value
-Flat org structure with abundant opportunities to take ownership in your role and solve interesting problems
-Leadership listens openly to feedback has taken substantive measures to create structures for career growth/support
-Working on a product that improves the way public schools operate
-Transparent organization that works to keep employees in the loop on strategic decisions
-Founders and leadership embody the org's cultural tenants
-Friendly work environment - weekly happy hour and team members frequently socialize outside of work
-Product teams work closely with customer facing teams to improve product and services","-Some lack of structure in workflows due to pace of work and high level of cross-team collaboration
- Some lack of experience due to high growth and young teams (but also means lots of opportunity)","Continue to foster a collaborative environment that values doing the extra credit, asking good tough questions, and keep recognizing valuable work and contributions from individuals regardless of rank.",5.0,5.0,5.0,5.0,4.0,5.0
2019-02-19, Customer Solutions Representative,"San Francisco, CA",Current Employee ,A Great Place for the Mission Oriented,Less than a year,0,"The people and culture are absolutely fantastic. It's a treat to come to work every day to be surrounded by such smart people. Senior management strongly believes in transparency, which makes expectation setting so much easier. I and others on my team have also been given numerous opportunities to explore other parts of the company which has been super exciting. Overall, it's by far the best place I've worked.","Sometimes things feel a little bit clicky, but as more time has passed in my role, those walls start to come down. 401k doesn't have matching (which is understandable for a start-up). Movement between different level is confusing and I honestly couldn't tell you what I need to do to get a promotion.",Make paths promotions more clear to ICs and keep up the great work!,5.0,5.0,5.0,4.0,5.0,5.0
2019-02-19, Account Executive,"San Francisco, CA",Current Employee ,Really amazing place to work,More than a year,0,"-The company is solving really hard problems in K12 EdTech, and it's really exciting to be part of the movement
-Incredible coworkers with the largest hearts. Everyone brings their full selves to work which means we work hard and are also all friends
-It's easy to speak directly with any of our executives through slack, coffee chats...etc.
-Clever loves humor - nothing gets the office going like the latest custom gif. The silliness makes the workplace really fun","-Like other startups, we could always use for headcount/resources",,5.0,5.0,5.0,5.0,5.0,5.0
