date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-09, Security Manager,"San Francisco, CA",Current Employee ,Awesome place to work and great company culture,Less than a year,0,Cloudflare hires intelligent employees who are nice and enjoy their work. It's a great place to work because everyone is invested in the mission to help create a better internet and is willing to help out with problems across the company.,Would be nice to have a 401k match.,"You can tell Cloudflare management takes pride in building out and hiring great teams which is something I value. Overall, they are very receptive to feedback.",5.0,4.0,5.0,5.0,4.0,5.0
2019-04-02, Solutions Engineer,"San Francisco, CA",Current Employee ,"Fast paced, challenging and exciting",More than 3 years,0,Lots of opportunities to make your own journey and a lot to learn. The company is very fast paced and I haven't been bored once since I joined. All colleagues are very smart and driven. Internet security & performance is also a very important and interesting topic.,The company is growing fast and not everything is perfect.,Keep the culture the same for as long as possible.,5.0,3.0,5.0,5.0,3.0,4.0
2019-03-27,,"San Francisco, CA",Current Employee ,Great Time to Join,,0,"If you like being part of building things from scratch, taking ownership of projects yourself, helping build structure and sustainability for the long-term, this is a great place to work.
If you want to be challenged to learn about how the Internet really works, at one of the few places where everyone really needs to learn how the internet works, this is the place to be.
If you like working with people who really care, and are building an enduring company, but are not ruthless or arrogant, you will fit in here.","If you like a lot of structure and a defined focus, you will be made to feel uncomfortable. We are building out structure and accountability, policies and processes, etc., but we are not entirely there yet. We need people who want to help build those controls but don't need them.",Keep pushing responsibility down to teams and trusting the people you hire!,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-20,,"San Francisco, CA",Current Employee ,Delighted to be Here,Less than a year,0,"While going through the recruitment process, I was concerned by a few of the postings I read on Glassdoor, specifically about the CEO, and how he engages with employees. I reached out to a good friend who works at Cloudflare, and they took the time to go through the negative reviews and share their perspective with me. That conversation helped alleviate some concerns, still, I feared that after joining things might take a turn for the worse.

My concerns went away my first week during orientation. Upon hearing the CEO speak to our onboarding cohort it became evident he's a passionate, intelligent, caring, and thoughtful leader. Throughout the week it also became clear that Cloudflare is full of equally passionate, intelligent, caring, and thoughtful individuals.

Every day I come into the office, excited for the work I'm doing, and for the people I have the privilege of doing it with. I have regular experiences (daily) which validate my decision to work here. Cloudflare is AMAZING and the people who work here are genuinely good human beings — intelligent, capable, and inspiring — and a delight to work with. I couldn't be happier!","Like many fast growing companies we have our growing pains. I don't know that I've got enough information to diagnose what the biggest challenges are. Still, in the conversations I've had it's clear that people are engaged, interested in understanding where we can improve, and will to expend the energy to make things even better (and they're already pretty awesome).",Keep up the great work. I'm excited to be on this journey with you!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-05, Sales,"San Francisco, CA",Current Employee ,Love it,Less than a year,0,"Great Company culture, nice office, great people to work with, very good product.","Can't think about one right now. There is definitely a lot to learn once you are in, but I would put this as a positive aspect.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-01,,,Current Employee ,Incredible Gem of a Company,More than a year,0,"- Insanely talented team members in all departments
- Hyper focus on maintaining strong culture and work life balance
- Fascinating and challenging technical problems
- Building a better Internet is not just a slogan it’s in the company’s DNA. You can see it happening everyday with all the features / products being worked on.",None I can think of,Keep up the great work,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-09, Engineer,"San Francisco, CA",Current Employee ,Good place to start a career,More than a year,0,"- Company does well
- Good place to start your engineering career (but not in other roles)
- Women rule, but bias for others
- Good technology","- Political, toxic culture
- CEO rules by intimidation and COO is weak
- Low pay, weak benefits, meaningless equity",Change them,2.0,2.0,1.0,3.0,1.0,1.0
2019-02-12,,"San Francisco, CA",Current Employee ,Wonderful People with an Extraordinary product,More than 3 years,0,"The people are truly amazing and inte.lligent. Everyone works extremely hard on the daily basis, If you like hard work you will love being on the team",Lunch is only one day a week,Continue to hire smart hardworking people,4.0,4.0,4.0,3.0,5.0,4.0
2019-01-31, Solutions Engineer,,Current Employee ,Rocket Ship,Less than a year,0,"-Autonomy is encouraged.
-Team is some of the most friendly technical people I've ever met.
-The product is good; it's easy to implement and practically a requirement for the modern web.
-New feature adds are rolling out to cover complaints.
-Culture is about improving as individuals and as a company; good team structure without any corporate kool-aid or forced ideals.
-Unlimited PTO with management who actively tries to avoid burning people out.","Employees are chained to a metaphorical rocket ship. Profit growth is happening fast, new features and stats are rolled out practically by the day, and it can be difficult to keep a handle on everything that's happening. New hires on customer-facing teams are often thrown into the fray and have to learn by doing, which can lead to some bad experiences.

QA also needs some work. Engineering change pushes and mistakes create some serious pain for customers, which roll down to the teams supporting them.","-Make sure all teams have access to abundant training.
-Keep updating the documentation every time something new happens and ensure it's widely shared.
-Remember to recognize when employees are working hard for a customer.",4.0,5.0,5.0,5.0,5.0,5.0
2018-12-15,,,Current Employee ,"A challenging job, but an extraordinary place to work",More than a year,0,"Colleagues are incredibly generous with their time and the product itself is a thing of beauty. Truly mission-oriented. While you'll never hear it described as a ""social enterprise"", CF dedicates a ton of pro-bono resources to protecting democratic elections, user privacy and free speech around the world.",Management operations could be improved. But Managers themselves are universally-liked. No clear path for career advancement,Customer-facing and product need better alignment. Promotions and/or job title changes need improvement to prevent attrition,5.0,5.0,5.0,4.0,4.0,5.0
