date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-10-16,,,Current Employee ,Data Analyst,,0,"many opportunities to learn, organized, friendly environment","fast-paced, many procedures to learn",,5.0,,,,,
2019-03-26, Technical Support Representative,"Portland, OR",Current Employee ,"Oracle and PostgreSQL, Linux",Less than a year,0,"Data Analysis, Problem-solving, high-level SQL Queries, Report generation, work at home.","Odd shift hours, Poor KB discipline",Develop an on-boarding and training plan.,3.0,3.0,3.0,3.0,3.0,3.0
2019-03-11, Software Engineer,,Current Employee ,great place to work,More than a year,0,"it has a great balance for work and life, no push to work. enjoy your life","benefit is not the best, bonus is not the regular meal",provide more bonus for the employees to get work done better,4.0,4.0,4.0,3.0,2.0,4.0
2019-04-10,,,Former Employee ,Unsalvageable Company,,0,Some of the smartest and brightest talent out there,A company not worthy of the talent that has decided to stick around while they shuffle business models and rotate CEOs like a bad card game. Then you come to the realization no one on the decision level has a clue and the level of dysfunction is beyond repair.,,1.0,3.0,1.0,1.0,2.0,1.0
2019-04-08, Data Analyst,"Reston, VA",Current Employee ,Worst company dont come,Less than a year,0,unlimited PTO. just a bunch of time to kill,Very poor pay and slow growth. Far below industry average. They want great people to do great job but with low pay. How's that possible???,"Put more focus on getting talented people because talented people won't come for such low pay. Some people just too relaxing, dont even know why we need them.",1.0,3.0,2.0,1.0,1.0,1.0
2019-03-01,,"Reston, VA",Current Employee ,Take what you can then LEAVE,More than 3 years,0,"Flexible time off
good benefits","Morale is extremely low as much as they like to pretend that is isn't. The managers are awful, executive leaders are even worse. Promotions are not given because of performance but because of politics. They will take as much as they can from you and then lay you off. Unless it's the yearly lay off HR is non-existent.",Really take a look at the teams and cut off the people who are]making this an awful place to work. Start with your bitter management groups. Stop letting go of the passionate employees just to save a buck. Invest in your employees!!,2.0,3.0,1.0,1.0,2.0,1.0
2019-02-19, Software Development Engineer,"Reston, VA",Former Employee ,Dysfunction Ruined Team,More than a year,0,The pay is fair and you’ll have opportunity to learn big data technologies and move up the corporate latter. Office locations are excellent. Working remotely is friendly. You can even travel abroad and work remotely from a foreign office. Smart individuals work there. You’ll probably make a few new long term friends.,"The leadership at the Vice President level is so beyond awful that it trickles down to all teams. They make bad decision like putting lazy people who EVERYONE complained about into manager positions, then make excuses for that choice (e.g. didn’t hear enough complaints or didn’t know how good other employees were yet, etc)! Unbelievable! Different teams refuse to cooperate. It is strange but true. Who is the leader in charge of a project, the ultimate decision maker? No one knows. The team I was on again had someone EVERYONE complained about and he is now the only local person left on the team. He is by far the worst member of the team and should have been fired during the initial probationary period. But that is comScore, good get fed up and leave and the stupid get to eat up salary until the next layoff. The management, lack of processes and automation, and cross team dysfunction have led to a scenario where if you work 10 hours or 1000 hours you get the same amount of work done. The problems are severe, the worst I have ever or probably will ever see in terms of productivity. Getting things done is insanely difficult at comScore.","You need some new leadership with absolute authority. They must be good leaders. If you keep the same lying, game playing, inept ones in place, then expect to continue your frustrations with the product delivery, quality and costs forever.",2.0,4.0,2.0,4.0,4.0,1.0
2019-02-10, Data Analyst,"Reston, VA",Current Employee ,Nice place to start your career,More than a year,0,Good incentives. Overall nice place to work for.,Health insurance policies need improvement,,3.0,3.0,4.0,3.0,3.0,3.0
2019-02-09,,,Former Employee ,Great place to start!,,0,Lots of young professionals,Can be chaotic and unstructured at times due to all the moving parts and lack of integration,,4.0,4.0,4.0,4.0,,
2019-01-31,,"New York, NY",Current Employee ,Everything is at manager discretion so you may luck put if you have a good one.,Less than a year,0,Most days you can be done by 5 pm. Don’t really have a lot of other positive things to say tbh.,Some managers have NO managerial skills. They are so condescending and treat everyone below them like they’re idiots. There’s also a huge age gap between the managers and everyone else. There’s a VERY high turnover rate because people keep quitting due to this managerial style but they do nothing to fix it.,Provide managerial training to anyone who other employees report to. Instead of all perks and benefits being at manager discretion make a company wide policy that everyone follows. So ALL teams can work from home and have flex hours instead of just some.,2.0,3.0,1.0,2.0,3.0,1.0
2019-01-16,,,Current Employee ,"Lots of potential, now growing again",More than 3 years,0,"*Ripe for growth
*Flex time off
*Many locations
*Medical benefits are great
*Better leadership than before","*Sometimes one size fits all is not the way, but they are learning
*401k is poor
*Employee Purchase Plan does not exist
*Need to work on better prioritizing",Listen to your employees and your line managers. They are what makes the success of the business.,4.0,2.0,3.0,5.0,3.0,3.0
2019-01-09,,,Former Employee ,coordinator,,0,"good company
pay adequate, nice work location",changing industry / dying industry,,4.0,5.0,5.0,3.0,3.0,3.0
2019-01-02, Software Engineer,"Portland, OR",Former Employee ,Boring Corporate Blah,Less than a year,0,"* Easy access on transit.
* Some of the people were cool.","* Excessive focus on hour tracking, even for salaried employees - including software engineers.
  - There were debates about how to log hours for lunch and holidays in JIRA. Wat.
  - Despite direct managers pushing to keep this extensive hour tracking updated, it was pretty clear it wasn't actually being *used* for anything.

* Silly, useless management decisions.
  - They removed all internal office window blinds in the interest of 'transparency'. Seriously.
  - Continuing decrease in quality and quantity of perks like snacks and drinks.

* History of quasi-criminal shenanigans at higher levels of management that is still impacting the company.

* Weird addition of offshore employees to teams whose managers did not understand why they were getting them.
  - Most of the offshore employees didn't work out, but sucked large amounts of training time down.
  - Caused morale problems and general confusion, especially over job security.

* Decrepit Perl codebase full of broken custom implementations of now-standard Perl modules, meaning there's little to nothing in the way of documentation.
  - Few best practices are followed.
  - They were literally anti-comment for years- you can go for dozens of modules without finding a *single* line of commented code.
  - No one knows what large portions of the codebase are even for anymore.

* Deep, in-grained acceptance of awful, long, and delicate manual procedures for doing all sorts of common tasks; half of the work being done at any given time was manual 'busy-work'.

* No understanding of continuous deployment/integration despite claims to the contrary; going from code to actual deployment has to go through several other teams for manual sign-off or handling by each and the process takes days to weeks.

* First 'all-hands' involved a handful of people cramming into a small glass-walled conference room, while 90% of employees stood outside and tried to watch and listen to what was going on from outside.

* You're ultimately working to help advertisers - you're not exactly making the world a better place. It's hard to wake up in the morning just to make sure your code produces the right numbers for some marketing drone's spreadsheet.","You will simply not be able to attract engineers from places like the big tech companies in the current environment.

Drop the bureaucracy, move to continuous integration, stop accepting so many manual processes, and slow down to consider how decisions will impact the work environment of your employees before you implement them.",2.0,3.0,2.0,2.0,2.0,1.0
2019-01-08,,,Current Employee ,Great place to work,,0,Good time off and great place to learn,Nothing I can think of,,4.0,,,,,
2019-02-04,,"New York, NY",Former Employee ,"Great potential, little traction",More than a year,0,Great team of people to work with across the business.,Insecurity; company restructured multiple times,,1.0,3.0,2.0,1.0,3.0,1.0
2019-01-04,,,Former Employee ,Financial and orginization struggles continue,,0,"Lots of international people, decent compensation.",Financial scandal and related merger continue to plague organization.,Listen to employees and be honest with us.,1.0,3.0,1.0,1.0,4.0,1.0
2018-11-17, Senior Open Source Engineer,"Chicago, IL",Former Employee ,Good place to mature as a devops engineer and get exposed to big data,More than a year,0,"* Challenging problems
* Opportunity to learn configuration management and CI
* Smart people
* Great office
* Flexible Time Off
* If you love programming, you'll like it here","* Work/life balance could be better (when I was there anyway)
* Stress",Make your technology department feel valued. Call them out when addressing the company.,4.0,3.0,3.0,3.0,3.0,1.0
2018-10-29,,,Current Employee ,Okay experience,,0,"Friendly atmosphere.
People are willing to collaborate and/or teach","FTO only in name
Depending on team management, flexibility of work from home varies",,3.0,3.0,2.0,2.0,3.0,2.0
2018-11-19, Ano,"Reston, VA",Former Employee ,Don't even bother considering,Less than a year,0,"OK place if you are in your early 20s and right out of college, with no experience. You get to work on projects for name brands. Add them to the resume over a year or two, and MOVE ON. Never look back.","- No leadership / vision and transparency of firm's direction is lacking.
- Mid-managers are baby-sitters and only QA client deliverables (joke!). They need to know where you come/go, when you come/go, what you do, and copied on EVERY email that is sent from your outbox.
- These are yes-men. Say yes to everything the client says. Take directions in a 30-minute call, and get working. There is no strategic thought, and questions / closer collaboration with clients is highly discouraged.
- They downplay unfavorable results to please the clients.
- No autonomy, or opportunity to apply your own process. They have set up a protocol of how work should be done, and you just fall in line.
- There is no visibility into business impact of your work. Just ""good job"" emails from the clients are circulated as kudos for the teams.
- No work-life balance. Their locations and commutes are especially challenging for individuals with families.
- No opportunity to learn anything new or professional grown, unless being a
- Team members are big-time back-stabbers, and happily pin the blame on their colleagues.
- Benefits are mediocre. Health coverage is not fully-covered and 401K matching & vesting schedule is just ridiculous!
- Lay-offs every few months. Job stability is a major issue.
I'm out of there, and would NEVER EVER look back at the horrible time I had here.","Pack up, and come up with a new business model.",1.0,1.0,1.0,1.0,1.0,1.0
2018-10-23,,,Current Employee ,good place,,0,Love my job love the people and love the atmosphere.,The benefits at comScore could be better,,4.0,5.0,5.0,5.0,3.0,4.0
2018-09-27,,"Portland, OR",Current Employee ,Good company with a bright future,More than 10 years,0,"benefits, office place perks, friendly people, bright future","departments often don't know what other departments are doing or who is responsible for what, career opportunities aren't communicated very well internally",,3.0,4.0,3.0,3.0,4.0,3.0
2018-10-24,,,Former Employee ,Proceed with Caution,,0,"Free snacks, good location, and big company benefits.",Game of Thrones atmosphere where each regime brings in their own teams to run the show regardless of actual aptitude. Failure to deliver products to the marketplace and a lack of strategic direction as it relates to the measurement business.,,1.0,2.0,1.0,2.0,2.0,1.0
2018-09-20,,,Former Employee ,Intern Review,,0,"The people are intelligent, outgoing, and willing to help. Leadership has a clear focus and managers truly do care about how their employees are progressing. There is constant change and innovation, and great perks.",There's a large learning curve when learning about all the kinds of data comScore deals with and the types of products it promotes,"The new CEO and leadership team are swiftly steering the ship in the right direction, and comScore is only looking up. Keep it going@",4.0,5.0,4.0,4.0,4.0,5.0
2018-10-03,,,Former Employee ,Analyst,,0,"good starter job, people are great","Not much room to move up, a lot of turn over",,2.0,,,,,
2018-08-28, Data Analyst,"New York, NY",Former Employee ,Great Experience,,0,"Great Team
Very supporting
Unlimited Days off
Potential to Learn so much
Excellent Upper management","None I can think of, People are purposely writing hateful reviews. Only thing would maybe be that there’s no Promotion Structure.",Keep it up!,5.0,5.0,5.0,3.0,3.0,5.0
2018-08-15,,"Reston, VA",Former Employee ,Senior web developer,More than 3 years,0,"snacks, flexible time, working from home.",lack of a real career plan,,3.0,4.0,3.0,2.0,3.0,3.0
2018-08-11,,"Portland, OR",Current Employee ,New management driving the company forward,Less than a year,0,"Company is coming off of some rough patches, as do most tech companies at one time or another. This company has done well to restructure. New vision and initiatives set forth by new CEO has morale tangibly higher.","State of unrest is common amongst teams, but such is the case with any tech company continuing to try to innovate and stay profitable in the current digital landscape. Upside to this is that it keeps people accountable for their work.","Continue to drive teams/products forward. Remember the past, but don't dwell on it.",4.0,3.0,4.0,4.0,3.0,4.0
2018-08-01,,,Current Employee ,software engineer,More than 3 years,0,"1. I am working in the data engineer team. Learn a lot of big data/hadoop skills
2. free snack, free fruit,
3. unlimited PTO, flexible time.","1. not stable
2. low compensation (for me,1/4 lower than others in this area)
3. Can't keep update to date for a lot of technology in time, or take long time to update.(infrastructure team)
4. focus a lot on superficial thing.","I think technology team should focus more on technology on how to get stable product, stable scalable process instead of management tricks.",3.0,5.0,3.0,3.0,2.0,2.0
2018-07-11, Client Insights Analyst,"Reston, VA",Current Employee ,Client Insights Analyst,More than a year,0,"Remote capabilities, Flexible time off","company culture issues, job security, Christmas party is luncheon in Reston",stop being so cheap and invest in your employees,3.0,3.0,1.0,2.0,2.0,1.0
2018-07-01,,,Current Employee ,Data Analyst,,0,"flexibility, working environment, growth, respect","401k not so good, pay not so competitive",,5.0,5.0,5.0,4.0,4.0,4.0
2018-06-26,,,Current Employee ,Great,,0,Very nice people to work with.,Nothing that I noticed wrong.,,5.0,,,,,
2018-06-18, Software Engineer,"Reston, VA",Current Employee ,Great place to start a career,More than 3 years,0,"Cutting edge technology application, good insurance and good engineering peers to work with","Lower wages compared to market, too many re-orgs in the company and unstable upper level management",The company needs to be engineering driven and analytics/product goals need to be realistic.,3.0,4.0,3.0,4.0,3.0,2.0
2018-06-25," Senior Administrative Assistant,","Sherman Oaks, CA",Former Employee ,Positive Experience,More than 5 years,0,Was able to take on different roles/titles that provided a learning experience and additional knowledge in the Entertainment industry. Worked with wonderful staff and made great long lasting relationships.,Limitations in the administrative position to grow and have opportunity for training in other departments so that there may be a chance for career growth and also there was no bonus incentive in the administrative title role.,,4.0,4.0,3.0,3.0,4.0,3.0
2018-06-20,,,Current Employee ,People make up for the turmoil,More than 5 years,0,comScore offers a massive product sweet which means the opportunities for learning and internal team transfers are abundant. Through all of the turmoil within the company it's amazing that they have kept so many skilled and kind/passionate people. I show up every day for the incredible coworkers and the breadth of clients we support.,"Lot's of turnover, non-competitive compensation, low morale amongst employees, layoffs on average every 2 years. This was all before the new CEO and things seem to be taking a turn for the better",,3.0,5.0,2.0,3.0,2.0,3.0
2018-06-24,,,Current Employee ,Analyst,,0,"Health benefits, salary, and good coworkers",Poor management and communication within and between departments,Improve communication,2.0,1.0,2.0,2.0,2.0,1.0
2018-06-02, Senior Data Analyst,"Reston, VA",Current Employee ,General review,More than a year,0,"Flexible Time Off, Casual culture","Poor management, Politics, Too tall vertical heirarchy",,2.0,4.0,3.0,3.0,2.0,1.0
2018-04-23,,,Former Employee ,Great company,Less than a year,0,Laid back. Performance based,A lot to learn if not from the industry.,,4.0,4.0,3.0,4.0,4.0,3.0
2018-04-05,,,Current Employee ,Great Company Lots of Potential,,0,"The two best reasons to work at comScore are the amazing products you get to work with to help redefine/define an entire industry and the number of brilliant people that work there.

This is a great company with a strong future.",The career advancement opportunities aren't always well defined or advertised might be the biggest reason. And all of the reviews that talk about disorganization and mismanagement are just the same things that any other company experiences.,Keep doing what you're doing and this company will continue to grow to be amazing!,4.0,2.0,4.0,3.0,5.0,4.0
2018-05-15,,,Former Employee ,Stay away,More than 5 years,0,"Free snacks.
Good health insurance.
Get to work with smart talented people (before they leave).","Management have inflated egos and refuse to cooperate with each other.
Rude, passive aggressive coworkers from other offices.
Room for growth or career advancement severely lacking.",Maybe you should provide golden parachutes (like the ones upper management receives) to employees during the next round of layoffs.,1.0,2.0,1.0,1.0,2.0,1.0
2018-03-21, Survey Manager,"Chicago, IL",Former Employee ,Great overall company but poor individual management,More than a year,0,"- Fast paced environment with a lot young smart, entrepreneurial, creative individuals who get things done in NO time;
- Established, well-oiled processes within departments and throughout the company;
- Salary, benefits, and bonuses are competitive (for Chicago region); multiple opportunities to volunteer (e.g., fundraising events, TutorMate program, etc.);
- Great IT , HR and other support staff; great onboarding and training;
- Supportive co-workers;
- Centralized access to internal information (e.g., portal), where things are easily found;
- Opportunity to work from home 1-2 days a week. However, it depends on the department and team leader;
- Location (downtown Chicago, Willis Tower)
- Free snacks :)","- High pressure environment, low work/life balance especially for employees with families;
- Certain team leaders (managers/ directors) have VERY POOR people’s skills and no tolerance for mistakes; resulting in hostile, humiliating team environment;
- High turnover
- Purely utilitarian approach to employees from certain team leaders, with no room for mentoring; development and growth.",,4.0,2.0,5.0,3.0,5.0,1.0
2018-04-24,,"Reston, VA",Current Employee ,"There's hope, but not much.",More than 5 years,0,"Good time off policy, good health insurance.","No one trusted the previous management when Gian and then Bill were running the company. They referred to layoffs as trimming the branches and even promised no layoffs last year, but they happened anyway. There was no focus on employees as people. There's a new CEO now, so hopefully things will change for the better. It's just a shame all those people had to lose their jobs last year and that the company lost so many others who jumped ship. The company has a huge hill to climb and will probably be struggling for years to come after the loss of so many smart people.","Don't mess this up. You probably will, but try not to.",1.0,3.0,2.0,1.0,1.0,1.0
2018-03-22,,"Reston, VA",Former Employee ,Bad Bad Bad,Less than a year,0,"- free snacks
- cool office
- good pay",don't know whats going on here but started working there last fall and 4 months later got laid off with zero warning.,be transparent with your employees. the all hands meetings should've talked more about the actual state of the company instead of sugar coating and saying things were fine.,2.0,4.0,1.0,4.0,,
2018-03-27,,,Former Employee ,Executive Vice President,,0,"Great co-workers, excited customers, innovative products. People love their jobs and have fun working together and learning new things. Fast paced environment.",Management turmoil. The senior management team has gone through a lot of ups and downs and changes. Communication to the company employees is poor and priorities change quickly and sometimes without notice.,"Communicate better to your loyal employees and hire managers who really believe in inspiring their employees and making the most out of their careers and opportunities. If you treat your employees right, they will treat you right.",2.0,3.0,2.0,2.0,3.0,1.0
