date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-08,,"Durham, NC",Current Employee ,Credible is Winning,More than a year,0,"The environment, company, people, food, events",There are none for the company,Thank you for being awesome!,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-05,,,Former Employee ,Good,,0,Good to employees . Free meals on Thursdays.,There is nothing I can say negative. Good people.,,5.0,,,,,
2019-02-03, Client Success Specialist,"Durham, NC",Current Employee ,Response to previous review !,Less than a year,0,"Catered lunch
Great people
Awesome office parties
Recognition for hard workers
Value their employees
Room for advancement","*Response to a previous review*
Favoritism- There is absolutely no favoritism! If you actually come to work and on time and excel past the expectations of your regular daily duties you will get recognized. People are so used to things just being handed to them instead of actually working for it. Welp news flash at Credible you have to work for it. I personally work out of the Durham Office and I LOVE going to work.",,5.0,5.0,5.0,5.0,4.0,4.0
2018-08-30,,,Current Employee ,Review,,0,"Free catered lunch
Free snacks
Close to bart
Some great people","Favoritism
Division
No room for advancement
Under paid
Ackward interaction with other departments",Be more professional. Recognize those who do the hard work as the face of the company aka customer service. Take complaints serious.,3.0,3.0,1.0,1.0,1.0,1.0
2018-06-05, Quality Assurance Engineer,"San Francisco, CA",Current Employee ,Quality Assurance Engineer,,0,"- Helpful and amazing co-workers.
- Flexible work schedule
- Get to work on individual modules",- Need to have more salary bonus,,5.0,4.0,5.0,5.0,4.0,5.0
2018-05-29,,,Current Employee ,Where You'll Want to work,,0,"Credible is a transparent organization that's rich in culture, built on data that established an environment conducive to thriving skillsets.",Occasionally not as agile as they should be,,5.0,5.0,5.0,5.0,5.0,5.0
2018-05-25, Finance Operations Manager,"San Francisco, CA",Current Employee ,Love this Awesome Company,More than a year,0,"Great CEO, and caring management team.
Catered Lunches on Wed, Catered Breakfast Fridays with lots of great food & snacks everyday.
Company has monthly town halls for updates and fun events.
Employees are positive and very engaging.
It's never boring and everyone truly is part of this inCredible family.",There's just not enough hours in the day to get everything done.,"Keep up the great employee engagement, looking forward to future growth!",5.0,5.0,5.0,5.0,5.0,5.0
2018-05-24,,"San Francisco, CA",Current Employee ,Fantastic fast-growing company,More than a year,0,"- Opportunity for career growth
- A great mission that you believe in
- Supportive management team
- Nice perks and good food",- Always a lot to do (also a plus!),- Keep providing opportunities for people,5.0,5.0,5.0,5.0,5.0,5.0
2018-05-21,,,Current Employee ,Great place to work,,0,"High quality action-oriented team; streamlined decision making, high trust and empowerment granted to employees",Benefits are a bit below market,,4.0,4.0,4.0,4.0,3.0,4.0
2018-05-13, Customer Service Representative,"San Francisco, CA",Current Employee ,INcredible place to work,More than a year,0,"I’ve have been working here almost two years, I think we are finally getting the right people to make the company a better place to work and to offer more. The HR and office team is amazing we are adding so much more benefits and doing more team gatherings to get to know people in other departments. It’s becoming a lot more fun to work there! I really enjoy the people that is by far the best part of this job. Everyone is very kind willing to help, always brings homemade food for everyone.

You have the opportunity to shadow other departments to gain skills or learn more.

We have happy hours on Fridays and themed office get togethers. Holiday party is awesome.

They company really values employees opinions and makes positive changes based on feedback.

It’s a pretty laid back company. You get free lunch on Wednesday. If you work hard you can be promoted/ create your own position. Most of the departments are recognized for their hard work.

Commuter benefits are good.","Has its typical growing pains, lots of changes all the time. So you must be ready and able to adapt. Not really a con if you can handle start ups.

I do believe customer service should be recognized way more. They aren’t able to participate in company activities. Those that work hard in that field aren’t promoted properly or it takes years even though you’ve been putting in the work.

Medical / dental benefits could be a lot better.","Keep working in the direction we are going! Doing a great job.

Work on promoting / recognizing customer service employees. Make better efforts for them to be apart of office events.",4.0,5.0,4.0,4.0,3.0,4.0
