date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-10,,"San Diego, CA",Current Employee ,Amazing and innovative startup company!,Less than a year,0,"Honestly by far the best company I've ever worked for and I can't see myself working anywhere else. The company has a great collaborative atmosphere, awesome perks and benefits that you can't get in most companies.",Not a Con but we are a rapidly growing company and sometimes there are no processes in place but that's only because Curology is a startup company and we are literally improving processes as we go!,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-10,,"San Diego, CA",Current Employee ,The best decision I've made!,,0,"I see myself at Curology long-term! I feel like my work is valued and I have a personal opportunity to grow my skills, experience and leadership at this organization. Our company culture is awesome and teamwork is really emphasized! I love our team events!","Not a con, but this is a newer company so you need to be ready for change! Always in the right direction, though!",,5.0,5.0,5.0,4.0,5.0,4.0
2019-04-02,,,Current Employee ,Great place to work!,Less than a year,0,"Company makes an effort to show they care. Great benefits offered, flexibility and catered lunch daily.",Company is still relatively new.,,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-01,,,Current Employee ,One of the best companies I’ve ever worked for!,Less than a year,0,"Flexibility, lunch every day, team events, good pay, benefits, and a team that genuinely cares about you! What more could you ask for?","Need to have good time management, but that’s a given when you’re able to flex your own schedule.",Keep being the best and most supportive!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-22,,"San Diego, CA",Current Employee ,Amazing organization!,,0,"Innovative environment where you can thrive, learn and be creative",They are doing everything right! You need to be open to an evolving environment but they only get better!,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-19,,"San Francisco, CA",Current Employee ,Amazing Company and Opportunity!,More than a year,0,"Curology is such a great company to work for. I am so glad I made the move to come to this company. You have a ton of ownership over your work, so through that you learn a lot more than you normally would at a different company.

Aside from that, I love all my coworkers, and the culture is open/friendly/collaborative. You have the flexibility to work from home when you need to, but I find myself coming to work anyway just to see everyone!",We are growing very quickly so it can be tough to plan around that.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-27, Nurse Practitioner,"San Diego, CA",Current Employee ,Best NP Job Ever!!,More than 3 years,0,"Tremendous work-life balance due to nature of the job being telemedicine, and overall company values that support this balance! We have a catered lunch everyday, and a kind and caring culture to boot! There are fun company events every quarter, supportive management, and opportunities for growth. LOVE MY JOB!","As a start-up, there is a lot of work to be done ... weekends and holidays can be a part of it, but the overall flexible schedule greatly compensates.",,5.0,5.0,5.0,4.0,4.0,5.0
2019-02-14,,,Current Employee ,"Great place, Great culture",,0,"seriously great company culture
laid back environment
smart people that work hard
as of 2019 we have 401K :)
so many little perks like free lunch and happy hour","not sure if this is a con or a concern, we are growing so fast and I just hope that we maintain the environment that we have because its such a great place to be!!!",,5.0,5.0,5.0,5.0,4.0,5.0
2019-02-09, Physician Assistant,"San Diego, CA",Current Employee ,Best place to work... EVER!,,0,Great management. Wonderful work atmosphere. Welcome to new ideas and perspectives. Amazing medical and other benefits. Lunch everyday. It feels like you are working to build something! I absolutely love it here!,"None, this company is built on a foundation of amazing people!",Keep it up!,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-05, Nurse Practitioner,"La Jolla, CA",Current Employee ,Best job ever!,Less than a year,0,"Where to begin? Amazing management, visionary leadership, enthusiastic and hardworking coworkers, happy patients (!), best EMR/EHR in existence, and an incredibly supportive environment. If you are looking for a positive work culture and have an interest in dermatology and telemedicine, this is the place to be!",You become the annoying person at the party who won't stop talking about how great your job is :),Keep doing what you're doing!,5.0,5.0,5.0,5.0,5.0,5.0
