date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-08-13,,,Former Employee ,Store leader,,0,"Company culture
Management based on human
Future perspective
Diversity of jobs","Salary
Necessity to have the capacity to make the difference between personnal and professional life","High level of quality: feed back, monitoring to succeed, consideration, regular developing interviews...",5.0,3.0,5.0,5.0,3.0,5.0
2018-09-26,,,Former Employee ,Good place to work,,0,Friendly people to work with,Can Improve their salary structure.,N/A,4.0,2.0,4.0,4.0,2.0,4.0
2018-07-16,,,Former Employee ,IT support engineer,,0,"Colleague are nice to work with, young, energetic, willing to help others. You have big opportunity to lead something",The process is not very clear sometimes,To be more experienced would be better. Mgrs are too young,3.0,3.0,4.0,4.0,3.0,3.0
2018-07-02,,"San Francisco, CA",Former Employee ,"Unconcerned with realities of customer expectations, retail, and employment norms in the US.",Less than a year,0,Some limited flexibility in setting own schedule. Employee discount makes the already great deals incredible.,"Upper management is more concerned with self advancement than performing their roles adequately or even competently. Complete lack of team spirit among management with several of the members hustling to simply make themselves look good.

English skills among upper management are middling to poor for a team spearheading a retail expansion to the US. This led to significant lost time due to inability to communicate clearly, and a feeling of inferiority American employees, as conversations among non native English speakers invariably defaulted to French or Spanish.

Constant introduction of new top priorities created lack of focus and progress for the entire organization.

All decision making is at the whim of the CEO who provides no context to his outlandish demands, nor will he speak with anyone but a handful of the expatriate management team. This is completely at odds with their often stated ideal of a ""flat"" organization, where everyone is supposed to feel empowered to take the actions they feel will make a difference.","Immediately stop pouring all resources into garnering social media engagement, and focus instead on fixing the systemic problems at the core of the business.

Specifically:
Insist all upper management is trained in effective people management skills.

Demand all tech and web integrations meet some standard of justification before implementing. Simply thinking a feature is cool is not reason enough.

Hire experts in inventory & warehouse management, and pick/pack operations to ensure you are able to actually ship the items you take orders for.

Trust your American employees judgement, and allow them to do the jobs they were hired for as they see fit. Constant micromanagement of them smacks of arrogance and ignorance.",1.0,1.0,2.0,2.0,2.0,1.0
2018-03-12,,,Former Employee ,Product Specialist,,0,"1. Flexible schedule
2. large room to develop
3. Lots of opportunities","1. Low wages
2. The manager is not sympathetic
3. Sometimes, have to work to 12 am",,3.0,2.0,4.0,4.0,3.0,4.0
2017-12-05,,,Former Employee ,Perfect place for students,,0,"-flexible schedule
-possibility to promote
- good pay for sales associates","- if they promote you, they will send you to another store",,4.0,3.0,4.0,4.0,4.0,3.0
2017-10-18,,,Former Employee ,Hostile Work Environment,,0,"There are no deadlines to reach, as the operations of company is extremely slow in growth. Lacks overall organization, therefore you don't have to really do any work most of the days.","Uptight, incompetent and narcissistic people are sent from HQ to open in new countries. With zero knowledge of the local market, while conducts zero marketing research. Controls heavily local talent, so they can remain in executive positions while being incompetent.",,1.0,1.0,1.0,1.0,1.0,1.0
2017-08-25,,,Former Employee ,Good company for young people to work,,0,"life & work balance, a lot to learn, being encouraged to take initiative",below average salary,too frequently human change in the upper level management,4.0,5.0,5.0,5.0,3.0,3.0
2017-01-27,,,Former Employee ,Sales consultant,,0,"Well paid, Good environment, good formation","Mangement, product, logistic, cash and guards",,5.0,,,,,
2016-08-04,,,Former Employee ,Dept Manager,,0,"Young team, good communication atmosphere, basic retail knowledge","Low salary, intense working work, customer complaint",None,3.0,3.0,3.0,3.0,3.0,3.0
