date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-15,,"San Francisco, CA",Current Employee ,Very good place to work,Very good place to work,0,"overall great people, friendly and intellectual. mostly low drama. allows me to flex as needed and 9/80 schedule. working on product that will be live for many years in 1B+ devices is satisfying.",parts of strategy can be mysterious or indecisive at times. sometimes feels that the BGs behave like they are separate companies.,,5.0,5.0,5.0,4.0,4.0,4.0
2019-04-02, Senior Software Engineer,"San Francisco, CA",Former Employee ,Good place to work,Good place to work,0,"Top of the line headquarters and audio lab.
Every other Friday off. (work 9 days out of 10)","Old technology, not cloud or AWS.",,4.0,5.0,4.0,4.0,3.0,3.0
2019-03-27,,"San Francisco, CA",Former Employee ,Accounting/Finance,Accounting/Finance,0,"Office (theater, gym, cheap food)","Culture of shaming team members in public, no room for growth, frequent reorganization and layoffs (friends there were laid off without notice or severance). I was misled about role in interview and while the req was open, seems like certain groups under the CFO org bear all the weight while others are coasting by doing nothing. Happy to be on the other side, felt like I wasn’t valued and was a scape goat for a manager trying to cover up their own incompetences.",,1.0,5.0,1.0,1.0,3.0,2.0
2019-01-28,,"San Francisco, CA",Current Employee ,"Great Company, Great Culture","Great Company, Great Culture",0,"- Work life balance; having every other Friday off is an amazing perk! While an email might come through here or there, in my experience, you really get a 3-day weekend every other week!
- The San Francisco office is bright, full of artwork, and offers free snacks and refreshments in kitchens throughout the building. It creates an engaging environment to work in. Also, there are screenings of new movies in the attached movie theater, which is a great experience!
- The culture is hard-working and very collaborative; people here are willing to go out of their way to help.
- Technology-wise, I have had no complaints and feel well set up to do my job.","- There can be a lot of meetings needed to move certain things forward. On the flip side, the processes feel thorough, and the right groups are usually involved in making decisions.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-11,,"San Francisco, CA",Former Employee ,Dumping ground. Too many entrenched unemployable losers in tech career purgatory parked here,Dumping ground. Too many entrenched unemployable losers in tech career purgatory parked here,0,Saves all the bad apples that can not land jobs elsewhere. Like a bad govt agency they are stuck here forever.,"2 camps that hold everything back. One are the long-time, entrenched legacy employees who are stuck in their old ways. Other group is the overqualified guys with PhDs and such who can barely communicate and hold the low level grunt jobs since Dolby was the only company to sponsor their work visas. 2 groups of bitter, disgruntled workers who rather not be here.",Clean house PLEASE,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-11,,"San Francisco, CA",Former Employee ,Hires worst of the worst,Hires worst of the worst,0,9/80 schedule but it won't be pleasant experience,"Engineering talent is severely lacking. HR/recruiting flat out stinks. Don't let thetechnology fool you, they're mainly recycling the work of pass smarter engineers and living off their creations. Many of them and HR are flat out useless AND not particularly ""nice"" people you'd want to be stuck in the office with 9/80 ...as if you job applicants don't already notice.",,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-11, Executive Assistant,"San Francisco, CA",Former Employee ,Enjoyed my time but lots of bureaucracy,Enjoyed my time but lots of bureaucracy,0,"I worked at Dolby for 7 years

~Great benefits, 9/80 plan is incredible. Every other Friday off
~Casual company culture, not a total grind like other big firms. I enjoyed having a great work life balance.","~Seemingly consistent re-orgs and small rounds of layoffs.
~Slow moving. Slow to make decisions.
~Little to no growth opportunities
~Lack of diversity","Keep the 9/80, It's the primary reason why you have talented people stick around. Need more diversity and women in upper management",4.0,4.0,4.0,3.0,4.0,2.0
2019-02-22, Marketing,"San Francisco, CA",Current Employee ,MARKETING HOT MESS,MARKETING HOT MESS,0,"stock options, every other friday off",PR team fluffing Glassdoor reviews-unethical! Mktg Dept. is constant reorg. Every 2 years mktg reorgs. 3 CMOs in 7 years. Industrial Designers head up Graphic Design Dept. CEO is clueless about Mktg.,"Calm Down the constant merry go round in Mktg. Hire qualified mktg people with actual experience in the jobs they are doing,",1.0,3.0,1.0,1.0,3.0,1.0
2018-11-20, Software Development Engineer,"San Francisco, CA",Current Employee ,Great company to work at - especially if you're in to audio!,Great company to work at - especially if you're in to audio!,0,"- Great benefits, 9/80 plan is incredible. Every other Friday off
- Great employee discounts on audio gear, if you're in to that sort of thing
- Being surrounded by great audio engineers, and people who are generally very passionate about music/audio/sound
- Great location, close to bart/muni so easy commute in the city
- Gym on site, and in my experience managers who are flexible in when you can go down there!
- Casual company culture, not a total grind like other big firms. I enjoy having a great work life balance and not spending all my waking hours working! Startup life is NOT for me, and I'm ok with that
- Awesome HQ building full of audio toys/studios/cool rooms","- Some general bureaucracy, seems like there are some things that no one has a particular handle on, it kind of falls between groups
- Seemingly consistent re-orgs and small rounds of layoffs. Nothing that's impacted me, but definitely concerning when they happen. Seems like it happens once a year or so
- Until recently, I felt they didn't pay market rate salary, until I got a big raise. You should negotiate and know your worth! The 9/80 schedule kind of offsets this, as what's the price of essentially an extra 5 weeks vacation? (26 Fridays off a year)
- Lack of good talent development program. I think Dolby could be doing a better job of getting young engineers in the door. Often it is through a post-graduation internship program, which is a mixed bag due to the fact that it's kind of a leap of faith for the employee. I've put many students from the school I went to up for entry level positions and they were passed up (although maybe I'm just a bad recommender :) )","- Keep the 9/80, I feel it's a massive reason why you have talented people stick around for 10 years+ in a super competitive tech landscape. I think in fairness, you should roll it out to other areas other than San Francisco, I'd be upset working in one of those other locations without 9/80. I've heard rumblings management wants to get rid of it, but hopefully it's just a ghost story to keep us in line.
- Continue investing in awesome technology, that's what's put Dolby ahead in the past and I think it's a recipe for success in the future!",5.0,5.0,5.0,5.0,3.0,3.0
2018-11-28, Staff Engineer,"San Francisco, CA",Current Employee ,Hard Working Environment,Hard Working Environment,0,"Every other Friday off, discounts in consumer electronics, free movies.",Extreme amount of work but not enough engineers. Very high expectations,,3.0,4.0,3.0,3.0,3.0,3.0
