date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-12-17,,"Chicago, IL",Current Employee ,I love coming to work,Less than a year,0,"-Fast paced environment with solid leadership that is open to listening to ideas no matter your level in the company
-True collaborative environment
-Senior leadership is incredibly welcoming and made me feel apart of the team from day 1
- Co-workers are eager to answer questions and help you in any way they can
-Fun perks and an understanding of work-life balance
-Although it's a growing company, there is a lot of importance placed on staying true to the mission, values, and culture","- No 401K matching, but other than that I haven't found any",This is the best company culture I've ever been apart of. Keep doing what you're doing by trusting your employees and investing in us - can't wait to see what the future holds.,5.0,5.0,5.0,4.0,4.0,5.0
2018-11-27,,"San Francisco, CA",Current Employee ,"Couldn't be happier, Found my place",More than a year,0,"surrounded by smart, driven people who are passionate about their jobs
free lunch
Work from home Wednesdays
travel quarterly for team offsite","Not AS flexible on working from home, but we do work from home once a week. So give and take. each of our teams seem to work in silos, so would be great to make sure everyone is connected and on the same page so we can grow together.","Hire more senior folks who have ""been there and done that"" so teams have strong, strategic guidance and can be better overall",5.0,3.0,5.0,4.0,4.0,3.0
2018-12-07,,,Current Employee ,Unicorn,,0,Great people. Solid team. Cares about employees. Work from home Wednesdays for the entire company. Commute stipends. New 10k Fertility and Adoption benefits. Growing client base with deep pockets. Fun Offsites throughout the US to connect with remote employees.,None that I can think of.,"As we scale, keep hiring strong leaders and trust them to do the work.",5.0,5.0,5.0,5.0,5.0,5.0
2018-11-07,,"San Francisco, CA",Current Employee ,You'll never stop learning,More than 3 years,0,"- the incredible amount of trust given to us by the CEO
- working in a real industry with real problems (and real opportunities)
- working with some of the nicest, smartest people I've ever met","- too many company off-sites, difficult for those of us with families","- keep trusting the people you've hired to do their job
- give new employees a chance to thrive and shine",5.0,5.0,5.0,5.0,5.0,5.0
2018-10-23,,,Former Employee ,"Great people, decent culture, struggling leadership",,0,"- Overall a fun place to work. Great people who are competent, know how to get things done, and know the importance of having a good time.
- An individual's success/enjoyment may depend on their team's style. The overall culture is appealing. But, if you're interviewing, try to understand how your team approaches its process and internal management. What are the expectations? How will they support your growth?
- The perks are legitimate, but anyone can find something they don't care for or wish could be better. We all have our share of suggestions. Many of them seem to be taken into consideration. Some are not.
- A very promising business model, and the company proves its value quarter after quarter.","- Number one is lack of trained management/leadership. High-growth company hadn't figured out the gravity of training leaders well.
- Related, no clear path for growth/advancement.
- Also related, though the culture is positively tangible, it can seem like numbers/success come before people. Sometimes perks act like a pacifier, but developing employees takes dedicated, hard work.
- Secondly, expectations for individuals are unclear.

All of this revolves around a lack of self-awareness among management. It's one thing to put your head down and get the work done. Having fun here and there is great. But when leadership doesn't learn how to truly put people first, employees burn out.","- Focus on developing good managers, who can then develop good employees.
- Don't overly rely on perks or ""culture."" Rather, treat employees like career-minded adults.",3.0,4.0,3.0,1.0,3.0,2.0
2018-10-24,,,Current Employee ,"Fun place to work with a great mission, but leadership needs help",Less than a year,0,"- Amazing mission that employees are proud to support
- Fun culture and great, hard-working people","- Lack of self-awareness and general awareness among management and the illusion of room for growth isn't fair to dedicated employees who take the time to provide feedback that is seemingly never considered.

- Employees can go years without a promotion or a change in title and expectations are unclear.","Instead of rushing to hire new managers who have no context of the company or past projects, look inward and lean on the experience and loyalty of capable veteran employees who are looking for growth.",3.0,5.0,5.0,2.0,4.0,3.0
2018-10-01, Software Engineer,"Whitefield, NH",Current Employee ,Once in a lifetime company,More than 3 years,0,"The leadership is second to none, and everything follows from leadership. I've been in the industry for 15+ years and I've never seen such genuine, smart, capable, successful and humble senior management. Their effect on the rest of the company is tangible (or should I say ""Tangney-ible""; yes, that just happened). No task or person is too small, it's very rare and refreshing.
Other than that, it's just a joy to get up and be able to work here every day. My tasks are meaningful, we have all the tools we need to get things done efficiently, and there's no time wasted in meetings or otherwise.
The only downside is that it will be hard to top this. Even if someone offered me a stupid amount of money, I'd probably pass. You can't buy being happy at your job, and feeling like you're part of a big family that all truly care about one another.","Absolutely none. At this company, we don't wait to solve problems, we bring them up as they happen, and deal with them.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-07-27, Software Engineer,,Current Employee ,A true pearl in a sea of Startups,More than a year,0,"Doximity has truly perfected the semi-remote office environment. I am one of many employees (from around the world) that works remotely, and I must say, this has been one of the most pleasant experiences; and it may just be a testament to the quality of people that work here, but my working hours (and well-being) are sincerely respected by every single person. There are four off-sites a year where everyone gets together to relax and reflect on our accomplishments and establish goals; and these are a real treat after months of remote work where you don't get face-time with the team.

From an engineering point of view, there is never a dull moment. At this point, the entire process is a well-oiled machine. Teams are broken into small groups of no more than 10, work is broken up reasonably (yet still challenging) into quarters, and the technology stack continues to grow in some bleeding-edge stuff. There is a yearly stipend to learn new things and attend conferences to keep your brain juices flowing. The best thing I find about working here is the personal consideration of my growth. If I want to lead a team, kick off new tech, better our process, or just take it easy for a bit, my voice is heard and offered the opportunity.

Financially, salary is competitive, the medical benefits are impressive, yearly bonus, potential spot-bonuses from co-workers, and a stake in an incredible company with some nice legs.","At times, goals can be set at a pretty high bar that can lead to some stressful end-of-quarter rushes.",Continue hiring great people and supporting a remote-working mentality. Consider exploring more open-source contributions.,5.0,5.0,5.0,5.0,5.0,5.0
2018-07-02,,,Current Employee ,Great environment to move fast and grow,,0,"* Lots of opportunities to learn and grow.
* Chance to build software to improve quality of care.
* Ability to make a difference and drive improvement with original ideas.
* Very little red-tape, which allows for solutions to make their way out the door and into the hands of users quickly.
* Motivated and caring team.","* Benefits & pay could be better, like matching 401k","It is important we all recognize our own shortcomings and allow qualified and experienced people address specific company needs. There is no shortage of talent and commitment, almost everywhere you look.",5.0,3.0,5.0,5.0,3.0,5.0
2018-05-01, Software Engineer,"San Francisco, CA",Current Employee ,Software Engineer,More than a year,0,"Great teamwork, through code review process, growth opportunities, rapid growth, friendly environment, great female leaders",limited sick leave. I wish I can say more about it ..,,5.0,5.0,5.0,5.0,4.0,5.0
