date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-10, Design Program Manager,"San Francisco, CA",Current Employee ,Change the way the world works.,Less than a year,0,"Ambitious mission
Complex problem space
Kindhearted, collaborative culture
Transparent leaders
Low ego
Diverse teams
Diverse customers","Consensus driven
Changing product landscape",,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-15,,,Current Employee ,Large Company with large company strengths and weaknesses,,0,"Great benefits
Tuck Shop food is really good. The Wellness Benefit is large and you can use it on a very wide variety of equipment and services. Company matches donations up to a certain amount.

Work Environment
Newish building with many different work areas. Day to day functions are well organized so that you have relatively little administrative unpleasantness. An awesome Dropstop on every floor takes care of IT needs promptly.

Pockets of Engineering Excellence
Some parts of the engineering organization are strong: Magic Pocket, sync, and machine learning stand out. Hack Week lives on.

HelloSign Acquisition
The company may have realized that it is organizationally/culturally not equipped to grow organically and now seems willing to acquire for growth.","Weak Strategic Thinking
""Evolving"" strategy as each year's strategy proved to not work. Each year's strategy is based on models of the industry where either the model is unconvincing or it is not at all clear why Dropbox's approach is the winning one.

Passive Aggressive Culture
People are always friendly face to face but beneath the veneer there is a lot of jockeying for power. Power distribution is evident when prizes projects get done by in power teams even though the area is theoretically another team's area of responsibility. People assign overflow tasks to other people even though they are responsible for it. People initially promise to do work and then shirk it without repercussions.

Politics
Ultimately unsuccessful projects were created and pushed out the door to get people promoted. Many people jump on board early on and generate immediately ridiculous shoddy user research to back up the work. Shallow technology is hyped as awesome and weak initial indicators are seen as good. Many of the promoted people still remain or get promoted even further up to do more damage.

Promotions are based on getting backing from managers and hopping on board initiatives that staff engineers or managers push. Each new set of staff engineers or managers disparages the work of the previous set and advocates for their own work. No one is willing to push back against what they say.

Levels are uneven with some staff or senior engineers/QA who are anything but that. Long time mediocre people are accumulating. Some title inflation for new hires.

The attempt to make the culture more innovative is not working because the people who enforce and benefit from the culture are all still in positions of power.",Keep on acquiring companies.,3.0,4.0,2.0,1.0,4.0,2.0
2019-03-06, Growth Manager,"San Francisco, CA",Current Employee ,Losing their way and not scaling well,More than a year,0,"-Food

-Work/life balance

-Benefits
-There are a lot of chances for ownership and a ton of work still to be done.

-The people are great. Dropbox is incredible at finding a diverse range of high quality people.

-Diversity.

-The company culture is very inclusive.

-Still has the feel of a much smaller company.","-People are churning out very fast in the past 9-12mo.

-Busy work is rewarded. A lot of people put out a ton of ""work"", but very little has impact. The volume of work is often used by people to vouch for promotion, bonuses, or transfer to higher roles in other teams.

-Reorgs. The company has had 6 internal re-orgs on teams I have been on since I joined. Imagine working on a project for 6 months, getting everything in line and then leadership decides to do something completely different. This makes it super hard for many people to actually accomplish something start to finish.

-A lot of teams are made up mostly by people who come in through the Dropbox Rotation Program out of school. I find that these teams are highly tribal, not open to criticism, and often do not do very high quality work but know how to play the system very well.

-Peer review process is hit or miss and a lot is open to what feedback your managers choose to include. Moreover if you move to another team you can often be ""re-leveled"" and miss out on promotions or career path opportunities.

-Due to there being so much work to be in certain divisions, a lot of time is wasted on things that have minor impact. On one hand employees milk this because it makes them look like they do a ton of informative work, but on the other hand if you look at things from the big picture we learn slowly and can't scale ideas well.","-Stop reorganizing divisions every few months.

-Invest more in data quality and analytics..

-Stop letting relatively inexperienced or junior staff interview technical candidates with more experience. You miss out on so many amazing candidates because the interviewer is simply not on the candidate's skill or communication level.

-Tuck Shop is cool, but you should trend towards serving healthier options. It becomes patronizing after the initial awe wears off.",2.0,5.0,3.0,3.0,3.0,1.0
2019-02-23, Software Engineer,"San Francisco, CA",Current Employee ,Great Working Environment,Less than a year,0,"People are nice and willing to help each other.
Lots of learning opportunities and able to make a real impact.
Great benefit and perks.","Some legacy code, but it is quite common for all company.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-19, Software Engineer,"San Francisco, CA",Current Employee ,Nothing to complain,More than a year,0,Great culture. Tons of opportunities to learn and grow.,Grow pain. Very heavy context switching.,,5.0,4.0,5.0,5.0,5.0,4.0
2019-01-29, Engineering Manager,"San Francisco, CA",Former Employee ,Amazing place to work,More than 3 years,0,"Smart people, great perks, mission driven, interesting engineering problems.",No real cons that I can think of other than they're in a very competitive space.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-19, Human Resources,"San Francisco, CA",Current Employee ,Great work-life balance,Less than a year,0,"Great culture. Leadership truly cares about employees
Great comp, benefits, and perks (amazing food)
Work-life balance. Work can be challenging at times, but not at the cost of personal life
Great future outlook and amazing, smart coworkers","Startup growing pain
Need to formalize processes and promote consistency
Need to be able to make decisions fast",,5.0,5.0,5.0,4.0,5.0,5.0
2019-01-01, Line Cook,"San Francisco, CA",Current Employee ,line cook at tuck shop,,0,the food is good and healthy,this is a good company to work for but the chef managers can be malicious and abusives creating a toxic work environment.,pay attention to the employees no matter whats their position in a big company like this one because everyone is important.,2.0,2.0,2.0,2.0,3.0,2.0
2018-12-14,,,Former Employee ,solid place to work,,0,"Tons of perks, and many smart people to work with.","If you don't use the product, it's hard to identify with as much as consumer software.",,5.0,,,,,
2018-12-06,,"Austin, TX",Current Employee ,I Love Dropbox!,More than a year,0,"Our mission and product strive to create a more enlightened way of working and that is evident in all that we do. The people that work here at Dropbox are INCREDIBLE. Everyone is intelligent and willing to share their wisdom as well as receive tips and tricks from others. This is truly a collaborative environment where I learn something new everyday. The sky is the limit, you can pitch any idea or project to management to try out and they will work with you to perfect a pitch and get things done.
Company culture and fun are next level! I bring friends to visit and they are always blown away by our events.
Work life balance is a top priority.
Inclusivity is top notch.
We are a large name in tech, but with a smaller work force which creates a lot of opportunity for individuals/teams to make large impacts.","Not so much a con as it is a warning - Dropbox is a work environment that is ever changing and evolving. If you are someone that needs structure, strict rules, or a step by step guide to you job, this probably isn't the place for you.","Continue evolving, admitting mistakes and making changes, and keep up the great work!",5.0,5.0,5.0,5.0,5.0,5.0
