date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-02,,"San Francisco, CA",Current Employee ,"Great team, good work/life balance",More than a year,0,"- Great team: nice people to work with, they are strong contributors and care for each other.
- Good work/life balance and unlimited PTO: there are times when the team has to put some extra hours but most of the time we're flexible and we encourage each other to take time off then we need.
- Beautiful SF office!
- Extremely interesting industry
- The company is maturing and transitioning from the typical startup to a more structured org
- The team is growing fast","- Highly regulated market with regulations that change very quickly: the direction could change rapidly and it's harder to have long term plans. This could be a bit frustrating for some people, very exciting for others.",,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-01,,,Current Employee ,Amazing team and exciting/rewarding work!,More than a year,0,"- Fast-paced environment with tons of interesting problems to solve!
- I find myself surrounded by an amazing, passionate group of people who really care about each other and the work we do.
- It’s an extremely exciting time in the cannabis industry and as a leader in the space, every person on the team has the opportunity to make a massive impact.
- Lots of autonomy - a very rewarding experience for self-motivated folks looking to stretch themselves forward in their career.","- Not really a negative, but given the nature of the industry, things can be a bit chaotic at times. People who are excited by that challenge will thrive in this environment.
- Split offices have led to a bit of split culture. Need to spend more time focused on uniting the two offices.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-26, Senior Software Engineer,"San Francisco, CA",Current Employee ,Volatile but rewarding environment,More than a year,0,"Unusually high degree of autonomy.
I've worked here for two years and the thing I love most is the ability to push initiatives and have a direct hand in how the company operates. Company culture is quite unlike any place I've worked previously. There's a lot of camaraderie and in-jokes among the engineering team, without going so far that people seem unprofessional or immature.

Work life balance is quite decent. There's crunches at times, but we don't glorify them. On call support works on rotation, and has improved dramatically in my time here (rather low stress these days).

Career growth opportunities feel pretty exceptional here if you're able to take a lot of ownership. I've felt fortunate to find a place I can focus more on the work than playing politics and fighting for raises. Engineering managers do a decent enough job of being advocates, and not micro-managing.

Overall I believe this place does well at rewarding people who communicate clearly, directly, and in good faith. I'd say it especially favors people who are willing to do more than simply execute on tech specs and are willing to get their hands dirty with the ""glue work"" as it were.

Overall, in engineering at least, I'm pretty happy this place hasn't become a stereotypical tech bro playground, as may be often assumed by outsiders.","Volatile industry creates thrash in priorities.
Understaffed leads to a lot of thrash in priorities.
Uncertainty leads to a bit of ""shooting from the hip"" from management at times (which is what on the same token, creates the opportunity for autonomy to thrive) but still, creates thrash.

Most top level priorities have been too product focused for a while, and engineering hasn't had the proper chance to really address issues with legacy systems.
Tech debt persists despite relatively small initiatives to alleviate it.",Work on defining career development paths better. Some people thrive in a more open ended environment while some need a more concrete path of expectations defined.,4.0,4.0,4.0,5.0,4.0,4.0
2019-03-27,,,Current Employee ,Great people & interesting challenges,,0,"- The nature of the industry means that Eaze tends to attract risk-takers, innovators and people who are genuinely passionate about cannabis (rather than the type who are simply looking for a big exit)

- I've been at a number of companies that advertised a ""fun"" culture, Eaze is the only one that lives up to that promise (especially within Product & Engineering)

- Managers and leadership that are compassionate, care about employees' well-being and willing to work with you when personal needs come up

- Amazing new SF office

- Fantastic work-life balance: there are crunch periods like any other start-up, but efforts are recognized and breaks are encouraged.

- Lots of opportunities to grow, challenge yourself, and figure out new solutions to problems you've never seen before.

- You get to work in cannabis!","- Regulations and restrictions on cannabis can be frustrating to deal with, especially as regulators can change things without much warning.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-26, Product Manager,"San Francisco, CA",Current Employee ,Interesting problems,Less than a year,0,"* The employees are the nicest I've ever worked with
* Lots of autonomy
* Tons of challenging problems to solve
* Lots that's left to build and create (you're not just maintaining an already working system)
* Great work/life balance
* Beautiful office and views","* Lots of technical debt due to how the site was originally created, which slows down development
* Lack of brand direction and marketing leader
* Needs work on diversity of employees (although people are aware, care, and trying to change that)",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-26, Internal Communications Manager,"San Francisco, CA",Current Employee ,"Enjoying the Moment, Every Day",Less than a year,0,"People really live the values. The perks are awesome (like many startups in the area) but you really feel a sense of contributing to the mission as an individual on a greater team. People are super passionate and go the extra mile to get things done. And everyone is overall just really cool. Also, the offices are DOPE.","Not really a con, but if you aren't prepared to put in a lot of hours and energy, you won't succeed. Work/life balance can be tough if you don't plan ahead and set everyone else up for success.",Keep showing your employees how much they matter. It means a lot when they are working so hard!,5.0,3.0,5.0,5.0,5.0,5.0
2019-03-14,,"San Francisco, CA",Current Employee ,The most fun I have ever had at work!,More than a year,0,"You really feel as if you're on a rocketship, ready to define and takeover a new industry. Leadership is solid, hailing from top companies in technology. People are both driven & passionate, while also knowing how to have a good time. The engineering culture is hilarious, with new memes, stickers of coworkers faces, and air horns that play at 4:20 every day.",It's a wild ride! The MJ industry is turbulent so you need to be ready for unforeseen obstacles.,Continue to keep a high bar for new talent! It seems like managers at times don't realize how attractive this company and industry is.,5.0,4.0,5.0,4.0,5.0,5.0
2019-03-12, Delivery Driver,"Santa Monica, CA",Current Employee ,Best Job I ever had,Less than a year,0,"Lindsay , Ayla , and Michelle are the best managers/supervisors I ever had. They all so understanding and helpful for everything.",No cons learning environment makes this job wonderful place to grow.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-05, Driver/Depot Assistant,,Former Employee ,Dig into the details of how Eaze doesn't work and you won't take the job,More than a year,0,You work in weed. Fair discount of low shelf products.,"Staff at the 'software startup' are not capable of managing a secure platform, nor serve their dispensary partners. Company is hands off in it's handling of drivers, much like Uber was for many years. Although some of what they have built is impressive, their execution is lacking. No true oversight of dispensary partners leads to a wild west mentality of management.",Go back to the drawing board. You have to take more responsibility for poor management of your service. Treating drivers as just replaceable blips on a screen is not ethical. Your agreements with dispensaries doesn't allow any of them to gain any kind of traction as their profit is extremely small. Employees pay the true price.,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-19,,,Former Employee ,Political Nightmare,,0,The location of the LA office is awesome and there are always snacks on deck. Generally everyone smokes and is younger so the energy is cool.,"Oh boy... where do I start. This is a clear cut boys club. There are upper management that bring in their buddies to take on roles that they are not qualified for. It can be very frustrating as an outsider because they will always choose loyalty to friends over good business decisions. The place is poorly managed as high ups are rarely in the office and are looking to bask in the fame and hype of the industry than actually do some work. The environment is toxic for everyone not in the club because they all are competing to get in. Whether that be by sucking up or throwing people under the bus. Don’t bother trying to give input or anything because they won’t listen. Instead, they will just take your idea and give it their friend to execute.",Start fresh. From the top down...,2.0,1.0,1.0,1.0,2.0,1.0
2019-02-04, Driver,"San Francisco, CA",Former Employee ,Cheap & Unorganized,More than a year,0,"The other drivers and people who work in the warehouse are very nice and hard working. Security are really nice and they make a point to remember all of us, which is a lot of people to see every day!

A good starting job to learn how to come to work for a shift. I’d suggest this job to someone in college or HS graduate.","Customers are high or entitled. Company insists they can’t add tips to the payment section showing us they aren’t prioritizing our income. Company wouldn’t even add a tip reminder to their website after customer purchases. Barely anyone remembers to tip in cash, and even if they like you they don’t carry cash.

Management is sketch, every problem is replied with a “we’re working on it!” When it finally happens it’s a lazy version. Drivers asked for better bathroom situation. Management said we got porcelain toilets that ended up still being porta potties. Management said they were increasing our pay but only by $1 morning shifts and $2 evening shifts. During holiday season, management didn’t even pay 1.5 like other retail stores. They tried offering $20 which is only a 1.25 increase, and only for evening shifts. Not for morning shifts.","-Learn professionalism you are in charge of people in a company.
-Implement tipping on the website, I know you have smart developers it can’t be that hard.
-The new SF location is an absolute joke, what made you think having the pick up spot the same lane as taking a left to the freeway was a good idea? Old location was way better for drivers.
- Don’t call competition to make the most deliveries a “bonus” or “Christmas bonus”. No one should have to race to get paid decently.",2.0,3.0,3.0,1.0,2.0,1.0
2019-02-21, Delivery Specialist,"Oakland, CA",Former Employee ,Worst company ever,More than 3 years,0,The only pro is the flexiblty,"The pay sucks, the product is over priced and is trash, y'all treat the drivers like crap when it's the drivers that keep company running. There's no growth within the company",Just shut down !!!!!!!!!!,1.0,5.0,1.0,1.0,1.0,1.0
2019-01-24,,,Current Employee ,Unfortunate,More than a year,0,"-Parties with sponsored booze
-Working for a company with a (hopefully) bright future
-Fully stocked snacks kitchen with food and booze.","-Pay is VERY minimum compared to what other companies are paying for the same title/position
-VERY full of nepotism. Management brings in friends from past companies even if the person is not qualified or knowledgable in the cannabis industry.
-We have to pay for parking, which is $30 a day, essentially we are working 1 hour a day to pay for parking, to come to work.
-Little availability for upward movement. Because of said nepotism, there is not much room for career advancement.
-Director travels 80% of the time. Said they had open door policy, then experienced retaliation when was told of issues that needed to be improved. Not much of a safe, open-communication type environment - when you are afraid to tell the truth for fear of being retaliated against.
-Team members have had to quit because management refused to either give pay increase or bring on full time. Other team members are on brink of having to get second job to supplement income. Shame- when this company if fully funded - why be so cheap with quality talent?
-Management is micro-managing control freak, which makes team feel suppressed and anxious. Multiple team members have gone to upper management to attempt to remedy but nothing has been corrected.
-Have seen in the past, multiple team members let go for personal issues - not much professionalism in upper management.","-Pay your employees fairly
-Stop with the nepotism - hire qualified management
-Listen to your employees when they have a concern and do not retaliate against them for being honest.
-Jim has amazing vision, I hope he puts the right people in place to execute.
-SO much potential - will be sad to see it go to waste over lack of qualified management.
-Crowd source why so many people quit, or become unhappy over time.",1.0,3.0,1.0,1.0,2.0,1.0
2019-01-02,,"San Diego, CA",Current Employee ,Eaze San Diego,,0,"Friendly co-workers
Work/Life balance.","Immature staff.
Not friendly.
Will TRY and make you feel isolated and intimidate you. Not sure if anyone else is going through this or has gone through this. For what reason with me? I am not sure. I definitely don't let shenanigans like this get to me, but I am more curious as to why treat an employee this way? What is this? High school? Lol.
Will talk about you, while laughing, and making eye contacts towards you.
So currently a bad experience for me. Not worth going through this for a paycheck. It's unnecessary.",Communicate with staff on how to be more professional.,1.0,5.0,1.0,1.0,3.0,
2018-11-20,,,Former Employee ,Dont work here,,0,cool people. good snacks. decent office locaiton,They make you park on the street,,2.0,1.0,1.0,1.0,1.0,1.0
2018-10-23,,"San Francisco, CA",Current Employee ,Fired Up!,Less than a year,0,"I'm super excited about the future ahead for Eaze. With the upcoming November voting cycle, we are likely going to see a number of new states open to the idea of recreational cannabis delivery. Most are starting to allow adult/medical use and the future looks very bright. The team here is constantly on the pulse of news events and we all share internal developments as transparency is one of the values we hold dear. This is a hard industry in general because the constantly changing regulatory environment and federal ""grey areas"" but this team is a great group of problem solvers trying to do the right thing for the entire industry. I feel like I'm making a huge difference in the world even on tough days because we work together to get it done. It will be great to look back years from now and know I had a hand in creating this.","This place moves fast and you have to take lots of ownership on your own work. Don't expect to get a playbook handed to you, it's up to you to tackle the challenges ahead. Very rewarding work but not for the anyone looking for an easy job.",Keep hiring great people so we can take this industry over. Also love hearing from friends and family about seeing all the billboards.,5.0,4.0,5.0,5.0,5.0,3.0
2018-10-12, Customer Service Specialist,"San Diego, CA",Current Employee ,A Startup with a Heart,Less than a year,0,"There is a strong sense of shared mission among all the areas of this company. Culture is congenial, open, and full of energy. Creative thinking is welcomed and management goes a long way to make everyone feel like they have something to bring to the table. Every shift I worked I felt like I was part of something bigger.",Nothing that other startups don't suffer: Things change very quickly so you have to keep up and keep the whining to a minimum.,Place more resources into engineering so that some crucial usability issues can be addressed more quickly.,5.0,5.0,5.0,2.0,2.0,5.0
2018-11-17, Software Engineer,"San Francisco, CA",Former Employee ,Software Engineering,More than a year,0,"Free meals, good location, nothing else","CEO, High Turnover, Poor leadership across the board, awful working environment. Not recommended","To the board, change CEO and leadership team",1.0,1.0,1.0,1.0,2.0,1.0
2018-11-07,,"San Francisco, CA",Current Employee ,"Coworkers are great, management is lacking.",More than a year,0,"- Growing industry, lots of exciting challenges
- Some really fun people work there","- There isn't much autonomy in work, you are delegated a task and given a timeline.
- There is no push back for work assigned and it feels like managers only manage up.
- Some of the management is inexperienced in the area which they lead, it can be frustrating because management is often prescriptive of solutions despite being hands off.
- Management will make decisions regarding employees without seeking feedback from peers or speaking to the employee.","- Talk to your employees, figure out why they are unhappy.
- It's an open office, everyone hears what you say.
- Stop the nepotism.",1.0,1.0,1.0,1.0,3.0,1.0
2018-09-05, Former Employee,,Former Employee ,Management is Awful,Less than a year,0,The culture of the Los Angeles office is terrific. Everyone is very self-disciplined with strong work ethic. The company as a whole is a fantastic start-up with plenty of opportunity to grow.,"-The office politics of the company are embarrassingly immature.
-They are ""open by default"", but have zero transparency with their employees & tend to hide things from them.
-Every role is micro-managed to an unnecessary degree & multiple people have left due to the person in charge being so difficult to work with.
-Executive management is inexperienced & doesn't know how to effectively manage a team.
-The positive reviews on this company were 100% written by the executive management team.",Do an audit of who you are putting in charge to run the ship. Clean house & put people who are actually excited about the cannabis industry & have good intentions.,2.0,1.0,2.0,2.0,2.0,1.0
2018-07-06,,,Former Employee ,Messy startup,,0,"-Execs and onboarding teams will ""inspire"" you with propaganda on leading California's new marijuana industry
-Cool people
-Free snacks","-They're all about transparency, but business-decisions and strategies that change the day-to-day for entire teams are still made with zero transparency and with very little time for teams to prepare. When it comes to projects and such, valuing transparency invites too many cooks in the kitchen and makes execution really inefficient.
-Too many inexperienced employees with manager or director titles; poor hierarchical order and needs additional leadership training
-Culture of working late and unspoken expectation to work after hours and on weekends",Focus less on giving motivational speeches and more time working on everyone's leadership abilities and developing the right culture.,2.0,2.0,2.0,1.0,3.0,3.0
2018-06-21, Team Leader,"San Francisco, CA",Current Employee ,Great start-up!,Less than a year,0,Great technology. Relationships with eco-system are strong.,Normal growing pains of a start-up.,Keep up the good work. The team is getting stronger every day!,5.0,5.0,5.0,5.0,4.0,5.0
2018-03-26, Engineering Director,"San Francisco, CA",Current Employee ,Fast growing company with very interesting challenges,More than a year,0,"The company is growing like crazy. There are very interesting challenges for the eng team (similar to what uber, lyft, postmates have) plus additional ones because of the industry and regulations.
The team is extremely collaborative and the colleagues are great people I enjoy working with.","With 3 offices directors and above sometimes have to travel a bit to keep in contact with each other, otherwise, they have to rely on remote communication that is not always ideal.",,5.0,5.0,4.0,5.0,4.0,4.0
